#File=ironman-70.3-phuket-20121202.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-phuket-20121202.csv,1,Chris Mccormack,---,---,AUS,00:25:30,02:18:37,01:17:40,00:01:29,00:01:24,04:04:40
ironman-70.3-phuket-20121202.csv,2,Chris Lieto,40,CA,USA,00:25:25,02:17:47,01:37:51,00:01:33,00:01:33,04:24:09
ironman-70.3-phuket-20121202.csv,3,Cameron Brown,40,AUK,NZL,00:27:11,02:41:31,01:26:53,00:01:40,00:01:41,04:38:56
ironman-70.3-phuket-20121202.csv,4,Massimo Cigana,38,Intl State,ITA,00:29:21,---,---,00:01:37,---,DNF
ironman-70.3-phuket-20121202.csv,5,Ruedi Wild,30,---,CHE,00:25:06,02:18:57,01:20:15,00:01:39,00:01:20,04:07:17
ironman-70.3-phuket-20121202.csv,6,Frederik Croneborg,32,---,SWE,00:26:09,02:22:46,01:22:17,00:01:39,00:01:25,04:14:16
ironman-70.3-phuket-20121202.csv,7,Alejandro Santamaria Perez,35,---,ESP,00:28:38,02:30:13,01:36:23,00:01:20,00:01:22,04:37:56
ironman-70.3-phuket-20121202.csv,8,Alberto Casadei,26,Intl State,ITA,00:24:48,02:19:00,01:21:10,00:01:45,00:01:23,04:08:06
ironman-70.3-phuket-20121202.csv,9,Matty White,---,---,AUS,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,10,Justin Granger,41,---,AUS,00:27:48,02:30:30,01:27:34,00:01:49,00:01:33,04:29:14
ironman-70.3-phuket-20121202.csv,11,Sam Hsieh,27,---,TWN,00:25:02,02:30:20,01:32:44,00:01:44,00:01:18,04:31:08
ironman-70.3-phuket-20121202.csv,12,Kodo Hiramatsu,32,Tokyo,JPN,00:26:25,02:56:35,01:21:18,00:01:42,00:02:24,04:48:24
ironman-70.3-phuket-20121202.csv,13,Daiki Masuda,32,KANAGAWA,JPN,00:27:52,02:27:49,01:21:58,00:01:42,00:01:36,04:20:57
ironman-70.3-phuket-20121202.csv,14,Evgeniy Nikitin,---,---,RUS,00:26:11,02:48:54,---,00:02:15,00:03:03,DNF
ironman-70.3-phuket-20121202.csv,15,Simon Agoston,35,Surat Thani,THA,00:25:08,02:27:26,01:23:54,00:01:39,00:01:43,04:19:50
ironman-70.3-phuket-20121202.csv,21,Melissa Hauschildt,---,---,AUS,00:29:50,02:27:27,01:23:23,00:01:33,00:01:17,04:23:30
ironman-70.3-phuket-20121202.csv,22,Leanda Cave,---,---,GBR,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,23,Radka Vodickova,---,---,CZE,00:26:55,02:34:20,01:27:32,00:01:33,00:01:26,04:31:46
ironman-70.3-phuket-20121202.csv,24,Tamsin Lewis,33,---,GBR,00:29:10,02:39:42,01:31:14,00:01:40,00:01:07,04:42:53
ironman-70.3-phuket-20121202.csv,25,Belinda Granger,42,---,AUS,00:28:10,02:35:25,01:34:52,00:01:51,00:01:35,04:41:53
ironman-70.3-phuket-20121202.csv,26,Kat Baker,25,---,AUS,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,27,Shiao-Yu Li,35,---,TWN,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,29,Tim Meyer,---,---,---,00:27:07,02:20:29,01:16:57,00:01:34,00:01:25,04:07:32
ironman-70.3-phuket-20121202.csv,31,Abdulla Al Shamlan,24,Riffa,BHR,00:49:00,04:13:53,02:45:57,00:05:44,00:06:28,08:01:02
ironman-70.3-phuket-20121202.csv,32,Nicholas De Bouillane,24,---,THA,00:35:31,02:56:19,01:48:11,00:03:09,00:01:52,05:25:02
ironman-70.3-phuket-20121202.csv,33,Nicholas Donias,22,TX,USA,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,34,Danny Easterby,24,AB,CAN,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,35,Brad Haag,22,OR,USA,00:31:35,02:55:10,01:57:03,00:02:17,00:01:39,05:27:44
ironman-70.3-phuket-20121202.csv,36,Takashi Iwabuchi,24,Intl State,JPN,---,---,---,---,---,DNS
ironman-70.3-phuket-20121202.csv,37,Tirapich Jotisuta,---,---,THA,00:50:03,03:55:22,03:26:18,00:06:09,00:04:52,08:22:44
ironman-70.3-phuket-20121202.csv,38,Genevieve Kelly,23,DC,USA,00:44:19,03:48:40,02:28:06,00:04:41,00:02:32,07:08:18
ironman-70.3-phuket-20121202.csv,39,Kamil Klamann,24,NY,GBR,00:31:49,03:16:29,02:03:12,00:03:32,00:03:21,05:58:23
ironman-70.3-phuket-20121202.csv,40,Bertrand Lambelin,24,---,FRA,00:34:50,02:54:23,01:58:54,00:02:52,00:02:20,05:33:19
ironman-70.3-phuket-20121202.csv,41,Richard Lawrie,22,Eastern Cape,ZAF,00:30:54,02:52:34,01:37:26,00:01:45,00:01:32,05:04:11
