#ironman-70.3-providence-20110710.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-providence-20110710.csv,1,Viktor Zyemtsev,43,FL,UKR,00:28:23,02:31:13,01:19:27,00:01:30,00:00:51,04:21:24
ironman-70.3-providence-20110710.csv,2,Tim Van Berkel,32,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,3,Philip Graves,27,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,4,David Kahn,32,NY,USA,00:24:12,02:16:23,01:18:01,00:01:35,00:00:41,04:00:52
ironman-70.3-providence-20110710.csv,5,James Ball,40,CT,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,6,Tom Eickelberg,27,PA,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,7,Blake Becker,34,WI,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,8,Raymond Botelho,43,MA,USA,00:29:40,02:29:24,01:44:27,00:02:07,00:00:59,04:46:37
ironman-70.3-providence-20110710.csv,9,Ryan Kelly,34,NH,USA,00:30:40,02:28:59,01:19:53,00:01:30,00:00:47,04:21:49
ironman-70.3-providence-20110710.csv,10,John Kenny,35,PA,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,11,Julien Biboud,30,QC,CAN,00:28:31,02:35:42,01:29:56,00:01:34,00:01:35,04:37:18
ironman-70.3-providence-20110710.csv,12,Mike Caiazzo,40,ME,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,13,Benjamin Munizaga,35,---,CHL,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,14,Paul Ambrose,32,NSW,---,00:26:37,02:16:35,01:16:04,00:01:26,00:00:45,04:01:27
ironman-70.3-providence-20110710.csv,20,Magali Tisseyre,34,CA,CAN,00:29:08,02:32:37,01:22:47,00:01:45,00:00:51,04:27:08
ironman-70.3-providence-20110710.csv,21,Heather Jackson,32,OR,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,22,Amanda Stevens,39,OK,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,23,Kristen White,45,---,USA,00:31:21,02:36:01,01:32:36,00:01:50,00:00:53,04:42:41
ironman-70.3-providence-20110710.csv,24,Kimberly Campbell,35,NC,USA,---,---,---,---,---,DNS
ironman-70.3-providence-20110710.csv,25,Amber Ferreira,34,NH,USA,00:31:34,02:39:30,01:31:03,00:02:07,00:01:15,04:45:29
