#File=ironman-70.3-pucon-20150111.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-pucon-20150111.csv,1,Felipe Barraza,---,---,---,00:23:13,02:13:06,01:20:15,00:02:22,00:01:56,04:00:52
ironman-70.3-pucon-20150111.csv,2,Felipe Van De Wyngard Véliz,---,---,---,00:23:54,02:16:29,01:24:20,00:02:46,00:02:09,04:09:38
ironman-70.3-pucon-20150111.csv,3,Luke Mckenzie,---,---,---,00:25:37,02:10:08,01:24:38,00:02:49,00:02:02,04:05:14
ironman-70.3-pucon-20150111.csv,4,Ciro Violin,---,---,---,00:25:06,02:24:56,01:23:20,00:02:43,00:02:39,04:18:44
ironman-70.3-pucon-20150111.csv,5,Mario De Elias,---,---,---,00:25:10,02:15:35,01:18:57,00:02:36,00:02:08,04:04:26
ironman-70.3-pucon-20150111.csv,6,Richie Cunningham,---,---,---,00:23:32,02:12:28,01:18:51,00:02:44,00:01:57,03:59:32
ironman-70.3-pucon-20150111.csv,7,Barrett Brandon,---,---,---,00:23:27,02:25:57,01:24:54,00:03:24,00:02:28,04:20:10
ironman-70.3-pucon-20150111.csv,8,Benjamin Munizaga Aspillaga,---,---,---,00:24:40,02:24:59,01:34:54,00:03:07,00:02:26,04:30:06
ironman-70.3-pucon-20150111.csv,10,Giovanny Marmol Ruiz,---,---,---,00:25:51,02:34:57,01:28:09,00:03:00,00:02:20,04:34:17
ironman-70.3-pucon-20150111.csv,11,Alejo Badino,---,---,---,00:23:58,02:16:20,01:27:44,00:02:54,00:02:13,04:13:09
ironman-70.3-pucon-20150111.csv,15,Roberto Rivera Cabrera,---,---,---,00:23:30,02:16:51,01:24:48,00:02:50,00:02:17,04:10:16
ironman-70.3-pucon-20150111.csv,16,Gaston Duran Geoghegan,---,---,---,00:30:22,02:32:13,01:38:51,00:03:34,00:02:32,04:47:32
ironman-70.3-pucon-20150111.csv,21,Valentina Carvallo,29,Intl State,---,00:25:55,02:30:09,01:30:50,00:02:38,00:02:12,04:31:44
ironman-70.3-pucon-20150111.csv,22,Barbara Riveros,---,---,---,00:25:53,02:30:09,01:29:32,00:02:40,00:01:57,04:30:11
