#File=ironman-70.3-qujing-20170827.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-qujing-20170827.csv,1,Brad Kahlefeldt,38,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,2,Luke Bell,38,VIC,AUS,00:24:45,02:11:35,01:21:40,00:01:24,00:01:56,04:01:20
ironman-70.3-qujing-20170827.csv,3,Brad Williams,---,---,USA,00:27:17,02:12:46,01:32:33,00:01:48,00:01:50,04:16:14
ironman-70.3-qujing-20170827.csv,4,Justin Metzler,24,CO,USA,00:24:34,02:11:49,01:23:28,00:01:18,00:01:47,04:02:56
ironman-70.3-qujing-20170827.csv,5,Domenico Passuello,39,Intl State,ITA,00:26:47,02:05:16,01:18:33,00:01:24,00:02:03,03:54:03
ironman-70.3-qujing-20170827.csv,6,Dougal Allan,32,OTA,NZL,00:27:33,02:04:29,01:20:26,00:01:20,00:01:54,03:55:42
ironman-70.3-qujing-20170827.csv,7,David Dellow,38,QLD,AUS,00:24:41,02:17:24,01:24:29,00:01:22,00:02:47,04:10:43
ironman-70.3-qujing-20170827.csv,8,Daniil Sapunov,35,Kiev,UKR,00:24:41,02:11:38,01:19:24,00:01:29,00:02:01,03:59:13
ironman-70.3-qujing-20170827.csv,9,Guy Crawford,37,ID,NZL,00:24:42,02:10:10,01:24:48,00:01:16,00:02:00,04:02:56
ironman-70.3-qujing-20170827.csv,10,Alexander Polizzi,29,VIC,AUS,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,11,Jacky Boisset,37,---,FRA,00:39:55,02:39:43,01:33:53,00:02:06,00:03:01,04:58:38
ironman-70.3-qujing-20170827.csv,12,Daniel Brown,41,NSW,AUS,00:32:47,02:33:46,---,00:01:52,00:03:13,DNF
ironman-70.3-qujing-20170827.csv,13,Zsombor Deak,28,NSW,ROU,00:30:04,02:34:13,01:25:08,00:01:17,00:02:18,04:33:00
ironman-70.3-qujing-20170827.csv,14,Jakub Langhammer,25,CZE,CZE,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,15,Johan Stofberg,30,---,ZAF,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,16,Balazs Csoke,34,TX,HUN,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,21,Sarah Piampiano,37,CA,USA,00:29:32,02:16:56,01:27:20,00:02:11,00:02:16,04:18:15
ironman-70.3-qujing-20170827.csv,22,Amelia Rose Watkinson,25,AUK,NZL,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,23,Kate Bevilaqua,40,WA,AUS,00:29:34,02:31:41,01:37:43,00:01:51,00:02:40,04:43:29
ironman-70.3-qujing-20170827.csv,24,Myriam Guillot-Boisset,38,---,FRA,00:33:29,02:35:49,01:31:55,00:01:29,00:02:29,04:45:11
ironman-70.3-qujing-20170827.csv,25,Shiao-Yu Li,40,---,TWN,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,26,Kelsey Withrow,34,CA,USA,00:26:19,02:23:37,01:37:02,00:01:29,00:02:31,04:30:58
ironman-70.3-qujing-20170827.csv,27,Laurel Wassner,41,CA,USA,---,---,---,---,---,DNS
ironman-70.3-qujing-20170827.csv,28,Jenny Fletcher,41,CA,CAN,00:28:08,02:32:43,01:42:00,00:02:17,00:02:23,04:47:31
ironman-70.3-qujing-20170827.csv,29,Kerry Morris,28,WA,AUS,00:30:04,02:28:36,01:41:46,00:01:29,00:02:16,04:44:11
ironman-70.3-qujing-20170827.csv,30,Katharina Grohmann,29,---,DEU,---,---,---,---,---,DNS
