#File=ironman-70.3-raleigh-20170604.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-raleigh-20170604.csv,1,Matthew Russell,34,FL,USA,00:28:30,02:05:27,01:26:00,00:01:16,00:01:32,04:02:45
ironman-70.3-raleigh-20170604.csv,2,James Hadley,37,CO,GBR,00:25:03,02:13:21,01:18:28,00:01:24,00:01:36,03:59:52
ironman-70.3-raleigh-20170604.csv,3,Luke Mckenzie,35,QLD,AUS,00:28:06,02:20:36,01:28:09,00:01:29,00:01:42,04:20:02
ironman-70.3-raleigh-20170604.csv,4,Justin Park,37,GA,USA,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,5,Tyler Butterfield,34,CO,BMU,00:25:02,02:06:18,01:19:21,00:01:23,00:01:08,03:53:12
ironman-70.3-raleigh-20170604.csv,6,Thomas Gerlach,36,FL,USA,00:28:24,02:27:16,01:37:58,00:01:13,00:05:32,04:40:23
ironman-70.3-raleigh-20170604.csv,7,Leon Griffin,36,CO,AUS,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,8,Michael Weiss,36,---,AUT,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,9,Andrew Yoder,27,PA,USA,00:25:00,02:03:03,01:23:45,00:01:26,00:01:46,03:55:00
ironman-70.3-raleigh-20170604.csv,10,Christian Kemp,36,NV,AUS,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,11,Eric Limkemann,35,VA,USA,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,12,Jackson Laundry,23,ON,CAN,00:26:32,02:05:58,01:21:16,00:01:21,00:00:59,03:56:06
ironman-70.3-raleigh-20170604.csv,13,Scott Bradley,33,NY,USA,00:32:32,02:10:37,01:27:56,00:01:38,00:01:42,04:14:25
ironman-70.3-raleigh-20170604.csv,14,Sean Daugherty,24,CO,USA,00:28:19,02:16:09,01:22:29,00:01:25,00:01:51,04:10:13
ironman-70.3-raleigh-20170604.csv,15,Scott Defilippis,37,CA,USA,00:28:39,02:14:36,01:35:09,00:01:27,00:02:53,04:22:44
ironman-70.3-raleigh-20170604.csv,16,Jonathan Fecik,28,CT,USA,00:28:30,02:14:48,01:47:32,00:01:15,00:01:59,04:34:04
ironman-70.3-raleigh-20170604.csv,17,Adam Feigh,24,SC,USA,00:28:37,02:13:15,01:35:04,00:01:23,00:01:44,04:20:03
ironman-70.3-raleigh-20170604.csv,18,Daniel Harris,33,VA,USA,00:28:33,02:18:55,01:25:33,00:01:35,00:02:07,04:16:43
ironman-70.3-raleigh-20170604.csv,19,Chad Holderbaum,37,PA,USA,00:28:33,02:21:50,01:29:20,00:01:28,00:01:58,04:23:09
ironman-70.3-raleigh-20170604.csv,20,Antoine Jolicoeur Desroches,23,QC,CAN,00:24:55,02:11:10,01:31:27,00:01:11,00:01:19,04:10:02
ironman-70.3-raleigh-20170604.csv,21,Tyler Jordan,29,AZ,USA,00:28:40,02:13:10,01:22:13,00:01:31,00:01:37,04:07:11
ironman-70.3-raleigh-20170604.csv,22,Derek Kidwell,32,NC,USA,00:26:32,02:11:46,01:38:10,00:01:26,00:01:31,04:19:25
ironman-70.3-raleigh-20170604.csv,23,Peter Kotland,45,SC,CZE,00:30:11,02:21:55,01:35:06,00:01:47,00:01:43,04:30:42
ironman-70.3-raleigh-20170604.csv,24,Timothy Nichols,35,NC,USA,00:34:10,02:37:28,---,00:01:40,00:03:11,DNF
ironman-70.3-raleigh-20170604.csv,25,Adam Otstot,35,VA,USA,00:28:28,02:11:07,01:22:09,00:01:21,00:01:23,04:04:28
ironman-70.3-raleigh-20170604.csv,26,Kennett Peterson,31,CO,USA,00:28:22,02:05:25,01:22:16,00:01:25,00:01:28,03:58:56
ironman-70.3-raleigh-20170604.csv,27,Michael Poole,25,FL,NZL,00:27:56,02:11:48,---,00:01:16,00:01:22,DNF
ironman-70.3-raleigh-20170604.csv,28,Justin Rossi,37,NV,USA,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,29,Matthew Shanks,27,MD,USA,00:29:41,02:20:34,01:25:23,00:01:30,00:01:40,04:18:48
ironman-70.3-raleigh-20170604.csv,30,Matthew Wisthoff,31,NC,USA,00:25:03,02:13:31,01:28:57,00:01:25,00:01:29,04:10:25
ironman-70.3-raleigh-20170604.csv,31,Beau Garufi,26,MA,USA,00:27:08,02:18:02,01:40:40,00:01:24,00:01:58,04:29:12
ironman-70.3-raleigh-20170604.csv,35,Meredith Kessler,38,CA,USA,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,36,Carrie Lester,36,QLD,AUS,---,---,---,---,---,DNS
ironman-70.3-raleigh-20170604.csv,37,Liz Lyles,39,NV,USA,00:29:41,02:24:14,01:27:56,00:01:26,00:01:36,04:24:53
ironman-70.3-raleigh-20170604.csv,38,Lauren Brandon,32,TX,USA,00:24:46,02:25:21,01:37:40,00:01:29,00:01:40,04:30:56
ironman-70.3-raleigh-20170604.csv,39,Laurel Wassner,41,CA,USA,00:27:45,02:33:07,01:33:15,00:01:23,00:01:58,04:37:28
ironman-70.3-raleigh-20170604.csv,40,Holly Benner,34,PA,USA,00:28:48,02:38:13,01:45:24,00:01:46,00:02:03,04:56:14
ironman-70.3-raleigh-20170604.csv,41,Christen Brown,33,CO,USA,00:27:47,02:28:08,01:33:16,00:01:41,00:01:46,04:32:38
ironman-70.3-raleigh-20170604.csv,42,Sarah Cameto,36,CA,USA,00:28:54,02:26:12,---,00:02:19,00:02:03,DNF
ironman-70.3-raleigh-20170604.csv,43,Alyssa Godesky,31,VA,USA,00:29:50,02:44:38,01:40:13,00:01:54,00:02:24,04:58:59
ironman-70.3-raleigh-20170604.csv,44,Erin Green,35,ID,USA,00:31:42,02:33:06,01:37:40,00:01:48,00:02:14,04:46:30
ironman-70.3-raleigh-20170604.csv,45,Carly Johann,34,CA,USA,00:31:38,02:31:16,01:33:12,00:01:49,00:01:52,04:39:47
ironman-70.3-raleigh-20170604.csv,46,Stephanie Jones,38,SC,USA,00:33:41,02:30:58,01:33:26,00:01:24,00:02:01,04:41:30
ironman-70.3-raleigh-20170604.csv,47,Allison Linnell,27,FL,USA,00:29:41,02:40:21,01:41:15,00:01:23,00:01:55,04:54:35
ironman-70.3-raleigh-20170604.csv,48,Skye Moench,28,UT,USA,00:28:59,02:26:47,01:32:03,00:01:44,00:02:02,04:31:35
