#File=ironman-70.3-rio-de-janeiro-20161106.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-rio-de-janeiro-20161106.csv,1,Santiago Ascenço,35,Goiás,BRA,00:25:03,02:15:57,---,00:01:48,00:01:00,DNF
ironman-70.3-rio-de-janeiro-20161106.csv,2,Paulo Roberto Maciel Da Silva,26,DF,BRA,00:23:35,02:11:50,01:18:42,00:01:44,00:01:15,03:57:06
ironman-70.3-rio-de-janeiro-20161106.csv,3,Luiz Francisco Paiva Ferreira,34,Intl State,BRA,00:23:37,02:11:10,01:20:56,00:01:48,00:01:10,03:58:41
ironman-70.3-rio-de-janeiro-20161106.csv,5,Felipe Manente,28,Intl State,BRA,00:28:07,02:23:22,01:27:08,---,00:01:41,04:20:18
ironman-70.3-rio-de-janeiro-20161106.csv,6,Mario De Elias,32,Buenos Aires,ARG,---,---,---,---,---,DNS
ironman-70.3-rio-de-janeiro-20161106.csv,7,Gustavo Slaib Pereira,34,Intl State,BRA,00:28:05,02:24:21,01:37:48,00:01:54,00:01:51,04:33:59
ironman-70.3-rio-de-janeiro-20161106.csv,8,Guilherme Manocchio,34,Intl State,BRA,00:25:00,02:19:57,01:19:01,00:01:58,00:01:26,04:07:22
ironman-70.3-rio-de-janeiro-20161106.csv,9,Alan Lima,37,Minas Gerais,BRA,00:30:46,02:29:11,01:28:25,00:02:02,00:01:38,04:32:02
ironman-70.3-rio-de-janeiro-20161106.csv,10,Almir Gustavo Sorbo Martins,23,SP,BRA,00:23:15,02:16:22,01:35:50,00:01:56,00:01:15,04:18:38
ironman-70.3-rio-de-janeiro-20161106.csv,11,Antonio Manssur Filho,46,sp,BRA,00:24:57,---,---,00:02:00,---,DNF
ironman-70.3-rio-de-janeiro-20161106.csv,12,Bruno Matheus,30,São Paulo,BRA,00:24:58,02:26:30,01:16:45,00:01:48,00:00:55,04:10:56
ironman-70.3-rio-de-janeiro-20161106.csv,13,Bruno Pais,35,Intl State,PRT,00:24:52,02:14:52,01:19:10,00:01:44,00:01:00,04:01:38
ironman-70.3-rio-de-janeiro-20161106.csv,14,Danilo Melo,25,São Paulo,BRA,00:34:30,02:24:56,01:21:19,00:02:27,00:01:16,04:24:28
ironman-70.3-rio-de-janeiro-20161106.csv,16,Fellipe Santos,25,Parana,BRA,00:24:47,02:12:12,01:19:34,00:01:41,00:01:21,03:59:35
ironman-70.3-rio-de-janeiro-20161106.csv,17,Flavio Da Silva Queiroga,26,SP,BRA,00:24:48,02:14:51,01:26:41,00:01:50,00:01:07,04:09:17
