#File=ironman-70.3-ruegen-20140914.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-ruegen-20140914.csv,1,Faris Al-Sultan,36,DE,DEU,00:17:06,02:20:40,01:21:02,00:03:10,00:04:24,04:06:22
ironman-70.3-ruegen-20140914.csv,2,Jan Raphael,34,DE,DEU,00:17:49,02:26:36,01:26:43,00:03:15,00:04:11,04:18:34
ironman-70.3-ruegen-20140914.csv,3,Horst Reichel,32,---,DEU,00:16:39,02:14:08,01:35:07,00:02:36,00:03:12,04:11:42
ironman-70.3-ruegen-20140914.csv,4,Per Bittner,29,---,DEU,00:17:51,02:14:55,---,00:02:49,00:03:32,DNF
ironman-70.3-ruegen-20140914.csv,5,Michael Raelert,34,DE,DEU,00:16:38,02:09:50,01:21:02,00:02:35,00:03:05,03:53:10
ironman-70.3-ruegen-20140914.csv,6,Michael Goehner,34,---,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,7,Matthias Knossalla,30,---,DEU,00:17:21,02:12:48,01:19:38,00:03:07,00:03:32,03:56:26
ironman-70.3-ruegen-20140914.csv,8,Alexander Schilling,25,---,DEU,---,---,---,---,---,DQ
ironman-70.3-ruegen-20140914.csv,9,Marcus Herbst,26,---,DEU,00:17:11,02:11:55,01:23:20,00:02:40,00:02:52,03:57:58
ironman-70.3-ruegen-20140914.csv,10,Andreas Giglmayr,30,---,AUT,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,11,Markus Thomschke,30,---,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,12,Petr Vales,40,Czech republic,CZE,00:20:06,02:34:49,01:43:01,00:04:14,00:04:53,04:47:03
ironman-70.3-ruegen-20140914.csv,14,Nicholas Ward Munoz,32,---,GBR,00:17:12,02:18:31,01:22:20,00:03:02,00:03:33,04:04:38
ironman-70.3-ruegen-20140914.csv,15,Eduardo Gonzalez De Aguilar,39,---,ESP,00:18:38,---,---,---,---,DNF
ironman-70.3-ruegen-20140914.csv,16,Antonio Aguilar Conejo,35,Intl State,ESP,00:17:50,02:26:37,01:23:38,00:03:10,00:04:43,04:15:58
ironman-70.3-ruegen-20140914.csv,17,Marcus Wöllner,25,Intl State,DEU,00:17:25,02:19:49,01:28:10,00:02:50,00:03:20,04:11:34
ironman-70.3-ruegen-20140914.csv,18,Mauro Baertsch,28,---,CHE,00:17:00,02:17:23,01:23:00,00:02:46,00:03:36,04:03:45
ironman-70.3-ruegen-20140914.csv,19,Dennis Devriendt,32,---,BEL,00:16:47,02:16:32,01:19:57,00:02:50,00:03:34,03:59:40
ironman-70.3-ruegen-20140914.csv,21,Markus Liebelt,24,---,DEU,00:17:48,---,---,00:03:17,---,DNF
ironman-70.3-ruegen-20140914.csv,22,Jens Frommhold,26,---,DEU,00:17:37,02:17:49,01:26:13,00:02:58,00:03:07,04:07:44
ironman-70.3-ruegen-20140914.csv,23,Patrick Lange,28,---,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,24,Guillaume Doree,24,---,FRA,00:17:52,02:20:52,01:23:44,00:03:14,00:03:37,04:09:19
ironman-70.3-ruegen-20140914.csv,25,Edo Van Der Meer,29,---,NLD,00:17:49,02:12:25,01:20:44,00:02:51,00:03:42,03:57:31
ironman-70.3-ruegen-20140914.csv,26,Hannes Vandermoere,26,Intl State,BEL,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,27,Peter Seidel,25,---,DEU,00:18:19,02:27:36,01:24:57,00:03:17,00:03:32,04:17:41
ironman-70.3-ruegen-20140914.csv,28,Mikolaj Luft,29,---,POL,00:17:52,02:18:01,01:27:32,00:02:58,00:03:34,04:09:57
ironman-70.3-ruegen-20140914.csv,29,Mike Aigroz,36,Other,CHE,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,30,Paul Schuster,25,DE,DEU,00:17:12,02:17:20,01:21:18,00:02:51,00:03:03,04:01:44
ironman-70.3-ruegen-20140914.csv,31,Andreas Dreitz,25,---,DEU,00:17:02,---,---,00:02:36,---,DNF
ironman-70.3-ruegen-20140914.csv,32,Christian Nitschke,29,---,DEU,00:17:20,---,---,00:02:47,---,DNF
ironman-70.3-ruegen-20140914.csv,33,Yvan Jarrige,25,---,FRA,00:16:38,02:24:28,01:21:17,00:02:50,00:03:17,04:08:30
ironman-70.3-ruegen-20140914.csv,35,Florian Seifert,23,---,DEU,00:17:51,02:18:13,01:33:30,00:03:10,00:03:48,04:16:32
ironman-70.3-ruegen-20140914.csv,36,David Jilek,27,Intl State,CZE,00:19:13,02:26:47,01:30:25,00:03:39,00:04:26,04:24:30
ironman-70.3-ruegen-20140914.csv,51,Yvonne Van Vlerken,35,---,NLD,00:18:47,02:28:34,01:26:43,00:02:57,00:03:19,04:20:20
ironman-70.3-ruegen-20140914.csv,53,Natascha Schmitt,28,---,DEU,00:19:16,02:35:54,01:25:58,00:03:11,00:03:39,04:27:58
ironman-70.3-ruegen-20140914.csv,54,Laura Philipp,27,---,DEU,00:18:48,02:28:31,01:27:09,00:02:55,00:03:04,04:20:27
ironman-70.3-ruegen-20140914.csv,55,Carolin Lehrieder,25,---,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,56,Daniela Sämmler,26,---,DEU,00:19:22,---,---,00:03:03,---,DNF
ironman-70.3-ruegen-20140914.csv,57,Verena Walter,33,---,DEU,00:20:22,02:34:04,01:33:51,00:03:45,00:04:32,04:36:34
ironman-70.3-ruegen-20140914.csv,58,Juliane Straub,30,DE,DEU,00:20:05,02:44:54,01:34:37,00:03:22,00:03:49,04:46:47
ironman-70.3-ruegen-20140914.csv,59,Alexandra Tondeur,27,---,BEL,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,60,Anja Beranek,29,---,DEU,00:19:42,02:23:12,---,00:03:08,00:03:40,DNF
ironman-70.3-ruegen-20140914.csv,61,Maja Stage Nielsen,26,---,DNK,00:18:48,02:31:49,01:27:20,00:02:57,00:03:39,04:24:33
ironman-70.3-ruegen-20140914.csv,62,Camilla Lindholm Borg,39,---,SWE,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,101,Jette Allerup,56,DK,DNK,00:27:46,03:01:34,02:25:10,00:07:28,00:07:49,06:09:47
ironman-70.3-ruegen-20140914.csv,102,Sonja Barth,39,---,DEU,00:22:02,---,---,00:03:39,---,DNF
ironman-70.3-ruegen-20140914.csv,103,Jutta Bertels,46,---,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,104,Verena Boehm,37,---,DEU,00:31:24,03:24:57,02:24:35,00:07:46,00:07:35,06:36:17
ironman-70.3-ruegen-20140914.csv,105,Nadine Bucci,38,---,DEU,00:21:59,02:43:11,01:39:03,00:03:44,00:04:35,04:52:32
ironman-70.3-ruegen-20140914.csv,106,Jules Cass,26,London,ZAF,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,107,Jana Clement,30,DE,DEU,00:23:14,02:50:39,01:52:45,00:03:38,00:03:59,05:14:15
ironman-70.3-ruegen-20140914.csv,108,Christina Danne,43,DE,DEU,00:29:49,---,---,00:08:39,---,DNF
ironman-70.3-ruegen-20140914.csv,109,Leontien Dekhuyzen,32,---,NLD,00:22:32,02:56:53,02:05:10,00:06:20,00:08:15,05:39:10
ironman-70.3-ruegen-20140914.csv,110,Michaela Dittrich,33,DE,DEU,00:27:28,03:07:20,02:20:31,00:03:59,00:06:23,06:05:41
ironman-70.3-ruegen-20140914.csv,111,Simone Dorenburg,40,Hamburg,DEU,00:23:44,03:11:12,01:56:49,00:05:31,00:07:19,05:44:35
ironman-70.3-ruegen-20140914.csv,112,Susanna Dörlich,43,---,SWE,00:26:34,03:20:25,02:23:42,00:07:45,00:08:32,06:26:58
ironman-70.3-ruegen-20140914.csv,113,Helmien Engelbrecht,52,NL,CAN,00:35:22,03:41:28,03:03:57,00:06:55,00:11:40,07:39:22
ironman-70.3-ruegen-20140914.csv,114,Beatrice Flaig,35,DE,DEU,00:22:12,03:18:23,01:56:44,00:07:56,00:06:21,05:51:36
ironman-70.3-ruegen-20140914.csv,115,Rebecca Fondermann,35,---,DEU,00:20:34,02:45:45,01:43:10,00:03:54,00:04:20,04:57:43
ironman-70.3-ruegen-20140914.csv,116,Linda Freytag,29,---,DEU,00:31:39,03:24:37,02:25:38,00:10:31,00:11:33,06:43:58
ironman-70.3-ruegen-20140914.csv,117,Cornelia Gassner Bentz,52,---,DEU,00:25:24,03:07:09,02:04:37,00:06:49,00:07:14,05:51:13
ironman-70.3-ruegen-20140914.csv,118,Annemarie Gerhard,57,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,119,Andrea Glinsmann,37,---,DEU,00:27:07,02:57:20,02:21:21,00:05:44,00:05:27,05:56:59
ironman-70.3-ruegen-20140914.csv,120,Carmen Grosse,53,---,CHE,00:22:32,02:54:16,01:43:47,00:05:12,00:05:18,05:11:05
ironman-70.3-ruegen-20140914.csv,121,Katja Hallstein,37,---,DEU,00:30:47,03:31:22,02:34:43,00:07:58,00:07:33,06:52:23
ironman-70.3-ruegen-20140914.csv,122,Sonja Hanert,37,DE,DEU,00:26:44,03:02:13,02:11:30,00:06:15,00:06:13,05:52:55
ironman-70.3-ruegen-20140914.csv,123,Kristina Hansen,30,Hamburg,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,124,Marie Hauer,26,---,DEU,00:22:59,02:59:00,01:36:26,00:05:35,00:06:11,05:10:11
ironman-70.3-ruegen-20140914.csv,125,Marion Hebding,46,---,DEU,00:20:19,02:42:06,01:38:11,00:04:38,00:04:28,04:49:42
ironman-70.3-ruegen-20140914.csv,126,Tine Heidelk,42,---,DEU,00:29:09,03:16:52,02:25:55,00:09:23,00:11:13,06:32:32
ironman-70.3-ruegen-20140914.csv,127,Claudia Richter,33,---,DEU,00:23:56,03:10:02,01:57:53,00:05:10,00:06:55,05:43:56
ironman-70.3-ruegen-20140914.csv,128,Christina Hollstein,27,---,DEU,00:28:04,03:10:41,02:13:15,00:11:12,00:07:21,06:10:33
ironman-70.3-ruegen-20140914.csv,129,Marita Gabriel,54,---,DEU,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,130,Katja Husen,38,Hamburg,DEU,00:25:21,02:56:25,01:59:05,00:07:11,00:06:56,05:34:58
ironman-70.3-ruegen-20140914.csv,131,Michaela Illikova,35,Praha,CZE,00:28:41,03:21:49,02:11:34,00:06:09,00:07:17,06:15:30
ironman-70.3-ruegen-20140914.csv,132,Grace Irvine,30,---,GBR,---,---,---,---,---,DNS
ironman-70.3-ruegen-20140914.csv,133,Geralyn Janke,25,MD,USA,00:26:19,03:42:53,02:12:17,00:10:19,00:09:19,06:41:07
ironman-70.3-ruegen-20140914.csv,134,Sylvia Janssen,45,---,DEU,00:28:07,03:24:36,02:33:15,00:06:03,00:06:58,06:38:59
ironman-70.3-ruegen-20140914.csv,135,Jana Jaruskova,33,Praha zapad,CZE,00:28:56,03:19:44,02:22:56,00:08:11,00:07:51,06:27:38
ironman-70.3-ruegen-20140914.csv,136,Katrin Jeschke,50,---,DEU,00:23:51,03:09:21,01:50:32,00:06:03,00:06:45,05:36:32
