#File=ironman-70.3-san-juan-20170319.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-san-juan-20170319.csv,1,Tine Deckers,38,---,BEL,00:28:41,---,---,00:03:06,---,DNF
ironman-70.3-san-juan-20170319.csv,2,Helle Frederiksen,35,---,DNK,00:25:28,02:22:34,01:26:48,00:03:07,00:01:33,04:19:30
ironman-70.3-san-juan-20170319.csv,3,Kelly Williamson,39,CO,USA,00:28:09,02:35:42,01:26:08,00:03:12,00:01:32,04:34:43
ironman-70.3-san-juan-20170319.csv,4,Linsey Corbin,36,OR,USA,00:28:38,02:27:37,01:31:34,00:03:16,00:01:42,04:32:47
ironman-70.3-san-juan-20170319.csv,5,Jodie Robertson,32,NY,USA,00:30:10,02:34:49,01:32:40,00:03:43,00:02:48,04:44:10
ironman-70.3-san-juan-20170319.csv,6,Alicia Kaye,33,FL,USA,00:25:33,02:17:57,01:30:04,00:02:55,00:01:35,04:18:04
ironman-70.3-san-juan-20170319.csv,7,Carrie Lester,36,QLD,AUS,---,---,---,---,---,DNS
ironman-70.3-san-juan-20170319.csv,8,Lesley Smith,33,CO,USA,00:28:16,02:24:57,01:25:07,00:03:30,00:01:38,04:23:28
ironman-70.3-san-juan-20170319.csv,9,Mirjam Weerd,41,---,NLD,---,---,---,---,---,DNS
ironman-70.3-san-juan-20170319.csv,10,Palmira Alvarez,34,CO,MEX,00:32:00,02:31:33,01:39:51,00:03:37,00:01:37,04:48:38
ironman-70.3-san-juan-20170319.csv,11,Sarah Bay,37,CO,USA,00:35:34,02:34:17,01:48:17,00:04:39,00:03:05,05:05:52
ironman-70.3-san-juan-20170319.csv,12,Maria Czesnik,40,---,POL,---,---,---,---,---,DNS
ironman-70.3-san-juan-20170319.csv,13,Lotty Harari,25,Panama,PAN,00:32:58,02:32:13,01:35:13,00:03:40,00:02:01,04:46:05
ironman-70.3-san-juan-20170319.csv,14,Brittany Higgins,32,FL,USA,00:30:15,02:25:46,01:43:02,00:03:37,00:01:52,04:44:32
ironman-70.3-san-juan-20170319.csv,15,Ana Jimenez,25,PR,PRI,00:27:20,02:40:46,01:48:00,00:03:14,00:01:30,05:00:50
ironman-70.3-san-juan-20170319.csv,16,Heather Leiggi,41,DE,USA,00:30:18,02:23:37,01:36:32,00:03:27,00:01:32,04:35:26
ironman-70.3-san-juan-20170319.csv,17,Heather Lendway,32,MN,MNG,00:25:32,02:27:25,01:46:05,00:03:40,00:01:43,04:44:25
ironman-70.3-san-juan-20170319.csv,18,Laura Mathews,23,TN,USA,00:27:57,02:25:07,01:42:33,00:03:21,00:01:20,04:40:18
ironman-70.3-san-juan-20170319.csv,19,Leslie Dimichele Miller,31,VA,USA,00:28:33,02:26:26,01:36:20,00:03:41,00:01:27,04:36:27
ironman-70.3-san-juan-20170319.csv,20,Skye Moench,28,UT,USA,00:28:36,02:23:28,01:30:50,00:03:16,00:01:43,04:27:53
ironman-70.3-san-juan-20170319.csv,21,Stephanie Roy,21,QC,CAN,00:28:39,02:22:09,01:22:59,00:03:08,00:01:38,04:18:33
ironman-70.3-san-juan-20170319.csv,22,Nicole Valentine,34,CO,USA,00:31:06,02:25:56,01:29:01,00:03:58,00:01:34,04:31:35
ironman-70.3-san-juan-20170319.csv,31,Andy Potts,40,CO,USA,00:23:48,02:04:05,01:19:19,00:02:42,00:01:28,03:51:22
ironman-70.3-san-juan-20170319.csv,32,Will Clarke,32,Leicestershire,GBR,---,---,---,---,---,DNS
ironman-70.3-san-juan-20170319.csv,33,Frank Silvestrin Souza,34,Intl State,BRA,00:25:17,02:12:19,01:19:50,00:03:03,00:01:26,04:01:55
ironman-70.3-san-juan-20170319.csv,34,Paul Ambrose,32,CO,AUS,00:25:16,02:02:09,01:24:07,00:02:58,00:01:15,03:55:45
ironman-70.3-san-juan-20170319.csv,35,Matt Russell,34,FL,USA,00:27:07,02:05:14,01:21:51,00:02:55,00:01:27,03:58:34
ironman-70.3-san-juan-20170319.csv,36,Kirill Kotsegarov,30,Harjumaa,EST,---,---,---,---,---,DNS
ironman-70.3-san-juan-20170319.csv,37,Justin Daerr,36,CO,USA,---,---,---,---,---,DNS
