#File=ironman-70.3-santa-cruz-20150913.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-santa-cruz-20150913.csv,11,Sharon Casey,29,CA,USA,00:41:25,03:23:28,02:57:05,00:09:30,00:05:24,07:16:52
ironman-70.3-santa-cruz-20150913.csv,12,Lois Lee,29,CA,USA,00:50:02,03:29:51,02:06:14,00:14:27,00:07:19,06:47:53
ironman-70.3-santa-cruz-20150913.csv,13,Jennifer Scibetta,---,CA,USA,00:49:26,04:05:15,03:14:59,00:12:34,00:04:14,08:26:28
ironman-70.3-santa-cruz-20150913.csv,14,Selen Uguroglu,29,CA,USA,00:50:22,04:03:46,02:46:39,00:11:41,00:09:36,08:02:04
ironman-70.3-santa-cruz-20150913.csv,15,Sean Hanlon,31,CA,USA,00:46:37,03:13:22,02:25:45,00:12:52,00:04:28,06:43:04
ironman-70.3-santa-cruz-20150913.csv,16,Veronica Diaz,31,IN,USA,00:43:55,03:28:11,02:04:06,00:08:05,00:04:43,06:29:00
ironman-70.3-santa-cruz-20150913.csv,17,Sarah Lillo,32,CA,USA,00:42:25,04:01:32,02:52:14,00:10:08,00:05:14,07:51:33
ironman-70.3-santa-cruz-20150913.csv,18,Elizabeth Barrett,38,CA,USA,01:11:48,04:22:55,03:20:20,00:16:51,00:04:21,DNF
ironman-70.3-santa-cruz-20150913.csv,19,Amy Maule,39,VA,USA,00:37:16,02:54:35,01:48:44,00:07:31,00:04:05,05:32:11
ironman-70.3-santa-cruz-20150913.csv,20,Jason Schimpf,35,CA,USA,00:46:34,03:27:11,03:28:03,00:11:36,00:06:16,07:59:40
ironman-70.3-santa-cruz-20150913.csv,21,Abraham De Waal,44,CA,USA,00:41:08,03:08:49,02:18:12,00:11:25,00:06:43,06:26:17
ironman-70.3-santa-cruz-20150913.csv,22,Steve Mongiello,43,CA,USA,00:32:29,02:57:10,02:12:02,00:08:39,00:03:32,05:53:52
ironman-70.3-santa-cruz-20150913.csv,23,Paula Miranda,52,CA,USA,00:56:32,04:18:07,---,00:13:29,00:06:06,DNF
ironman-70.3-santa-cruz-20150913.csv,24,Robert Gillam,51,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,25,James Brady,55,CA,USA,00:58:35,04:27:06,---,00:24:04,---,DNF
ironman-70.3-santa-cruz-20150913.csv,26,Ahmad El-Dardiry,38,CA,USA,00:49:33,03:31:36,02:55:45,00:16:50,00:14:40,07:48:24
ironman-70.3-santa-cruz-20150913.csv,31,Vanessa Aders,26,UT,CAN,00:38:36,02:40:21,01:38:04,00:05:38,00:01:54,05:04:33
ironman-70.3-santa-cruz-20150913.csv,32,Meghan Faulkenberry,27,WA,USA,00:32:00,03:43:29,01:30:36,00:04:11,00:02:08,05:52:24
ironman-70.3-santa-cruz-20150913.csv,33,Jake Mcdonald,21,OR,USA,00:29:40,02:22:51,01:19:59,00:03:54,00:01:46,04:18:10
ironman-70.3-santa-cruz-20150913.csv,34,Adam Bubela,39,---,DEU,00:32:12,02:41:25,01:29:38,00:04:15,00:02:00,04:49:30
ironman-70.3-santa-cruz-20150913.csv,35,Brian Oneil,25,CA,USA,00:28:02,02:21:53,01:26:58,00:04:24,00:02:03,04:23:20
ironman-70.3-santa-cruz-20150913.csv,36,Adam Carlson,32,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,37,Derk De Korver,31,CA,NLD,00:31:10,02:30:30,01:23:57,00:04:12,00:02:45,04:32:34
ironman-70.3-santa-cruz-20150913.csv,38,Thomas Jacob,30,CA,DEU,00:35:19,02:38:40,01:42:05,00:05:11,00:02:36,05:03:51
ironman-70.3-santa-cruz-20150913.csv,39,Carlos Moncada,32,San ,CRI,00:27:35,02:21:01,01:20:48,00:04:41,00:01:54,04:15:59
ironman-70.3-santa-cruz-20150913.csv,40,Oliver Ralph,33,CA,GBR,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,41,Alia Crum,32,CA,USA,00:35:39,02:36:23,01:40:36,00:04:57,00:02:01,04:59:36
ironman-70.3-santa-cruz-20150913.csv,42,Kayla Kielar,32,CA,USA,00:31:36,02:38:11,01:36:15,00:05:30,00:02:20,04:53:52
ironman-70.3-santa-cruz-20150913.csv,43,Hailey Manning,35,CA,USA,00:29:18,02:38:42,01:35:11,00:05:14,00:01:57,04:50:22
ironman-70.3-santa-cruz-20150913.csv,44,Sonja Wieck,35,CA,USA,00:31:52,02:39:03,01:34:10,00:05:26,00:01:58,04:52:29
ironman-70.3-santa-cruz-20150913.csv,45,Rob Gray,39,CO,ZAF,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,46,Tim Reynolds,35,CA,USA,00:30:18,02:20:25,---,00:05:24,---,DNF
ironman-70.3-santa-cruz-20150913.csv,47,C. Scott Chaney,43,CA,USA,00:27:09,02:31:56,01:25:58,00:04:28,00:01:17,04:30:48
ironman-70.3-santa-cruz-20150913.csv,48,Kevin Coady,40,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,49,Graham Cooper,45,CA,USA,00:30:42,02:31:20,01:26:12,00:05:34,00:03:23,04:37:11
ironman-70.3-santa-cruz-20150913.csv,50,Christopher Steenson,44,OR,USA,00:27:53,02:33:17,01:35:47,00:06:41,00:04:21,04:47:59
ironman-70.3-santa-cruz-20150913.csv,51,Dennis Woodside,46,CA,USA,00:30:56,02:27:14,01:27:45,00:05:31,00:04:42,04:36:08
ironman-70.3-santa-cruz-20150913.csv,52,Audra Adair,40,CA,USA,00:35:32,02:37:24,01:30:54,00:05:51,00:02:21,04:52:02
ironman-70.3-santa-cruz-20150913.csv,53,Julie Dunkle,48,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,54,Mimi Winsberg,49,CA,USA,00:36:17,02:46:47,01:43:52,00:07:06,00:03:26,05:17:28
ironman-70.3-santa-cruz-20150913.csv,55,Marijane Maples,66,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,56,Daniel Goff,50,WA,USA,00:40:49,02:38:56,01:44:42,00:06:01,00:02:25,05:12:53
ironman-70.3-santa-cruz-20150913.csv,57,Tom Trauger,52,NV,USA,00:30:40,02:26:02,01:32:21,00:04:56,00:02:02,04:36:01
ironman-70.3-santa-cruz-20150913.csv,58,John Tuttle,54,CA,USA,00:28:26,02:30:32,01:31:19,00:04:41,00:02:28,04:37:26
ironman-70.3-santa-cruz-20150913.csv,59,Chris Montross,55,CA,USA,00:27:29,02:30:58,01:33:51,00:06:10,00:03:08,04:41:36
ironman-70.3-santa-cruz-20150913.csv,60,Chuck Ojeda,56,CA,USA,00:39:19,02:48:58,01:45:57,00:08:31,00:03:35,05:26:20
ironman-70.3-santa-cruz-20150913.csv,61,Daniel Rogers,49,IL,USA,00:33:59,02:36:15,01:31:58,00:05:12,00:01:58,04:49:22
ironman-70.3-santa-cruz-20150913.csv,62,Kimio Bazett,37,CA,USA,00:31:59,02:36:53,01:38:00,00:05:47,00:02:53,04:55:32
ironman-70.3-santa-cruz-20150913.csv,63,Diane Ridgway,66,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,70,Lydia Noyes,24,CA,USA,00:40:31,02:43:37,01:44:51,00:06:01,00:03:13,05:18:13
ironman-70.3-santa-cruz-20150913.csv,71,Ashley Rappa,28,CA,USA,00:34:58,02:51:14,01:45:34,00:05:00,00:02:28,05:19:14
ironman-70.3-santa-cruz-20150913.csv,72,Stephanie Schmotter,27,CA,USA,00:37:17,02:51:03,01:54:05,00:05:31,00:02:25,05:30:21
ironman-70.3-santa-cruz-20150913.csv,73,Valerie Snider,24,TX,USA,00:31:40,---,---,00:05:49,---,DNF
ironman-70.3-santa-cruz-20150913.csv,74,Guillaume De Zwirek,26,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,75,Arthur Gamirov,29,NV,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,76,Wade Frank,34,CO,USA,---,---,---,---,---,DNS
ironman-70.3-santa-cruz-20150913.csv,77,Tony Leach,32,MA,USA,00:37:20,02:35:00,01:39:12,00:06:33,00:02:13,05:00:18
ironman-70.3-santa-cruz-20150913.csv,78,John Nickerson,32,CA,USA,00:30:10,02:33:24,01:30:17,00:05:21,00:02:05,04:41:17
ironman-70.3-santa-cruz-20150913.csv,79,Christian Prelle,32,CA,USA,00:32:17,02:32:04,01:33:38,00:05:18,00:02:00,04:45:17
