#File=ironman-70.3-singapore-20110320.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-singapore-20110320.csv,1,James Cunnama,27,---,ZAF,00:30:26,02:03:49,01:14:24,00:02:30,00:00:36,03:51:45
ironman-70.3-singapore-20110320.csv,2,Faris Al-Sultan,33,DE,DEU,00:27:57,02:06:42,01:18:13,00:02:17,00:01:04,03:56:13
ironman-70.3-singapore-20110320.csv,3,Patrick Vernay,37,---,FRA,00:29:14,02:04:58,01:18:22,00:02:30,00:00:46,03:55:50
ironman-70.3-singapore-20110320.csv,4,Pete Jacobs,29,QLD,AUS,00:27:51,02:06:27,01:16:59,00:02:25,00:00:43,03:54:25
ironman-70.3-singapore-20110320.csv,5,Courtney Ogden,38,WA,AUS,00:30:25,02:06:48,01:41:09,00:02:30,00:01:13,04:22:05
ironman-70.3-singapore-20110320.csv,6,Chris Kemp,30,---,AUS,00:27:50,02:06:27,01:19:31,00:02:25,00:00:47,03:57:00
ironman-70.3-singapore-20110320.csv,7,Scott Neyedli,32,TX,GBR,00:30:27,02:03:52,01:20:58,00:02:20,00:00:48,03:58:25
ironman-70.3-singapore-20110320.csv,8,Frederik Croneborg,30,---,SWE,---,---,---,---,---,DNS
ironman-70.3-singapore-20110320.csv,9,Guy Crawford,31,ID,NZL,00:30:25,02:03:45,01:32:29,00:02:30,00:00:47,04:09:56
ironman-70.3-singapore-20110320.csv,10,Hiroyuki Nishiuchi,35,Hyogo,JPN,00:28:12,02:14:13,01:27:20,00:02:30,00:00:54,04:13:09
ironman-70.3-singapore-20110320.csv,11,Kris Gemmell,33,---,NZL,00:27:44,02:06:30,01:13:40,00:02:26,00:00:36,03:50:56
ironman-70.3-singapore-20110320.csv,12,Hideo Fukui,33,---,JPN,00:28:09,02:06:04,01:18:59,00:02:31,00:00:49,03:56:32
ironman-70.3-singapore-20110320.csv,13,Daniel Halksworth,25,Intl State,GBR,00:27:48,02:06:28,01:26:26,00:02:32,00:00:52,04:04:06
ironman-70.3-singapore-20110320.csv,14,Markus Ressler,35,Intl State,AUT,---,---,---,---,---,DNS
ironman-70.3-singapore-20110320.csv,15,Daiki Masuda,31,KANAGAWA,JPN,00:32:47,02:13:17,01:32:04,00:02:00,00:01:01,04:21:09
ironman-70.3-singapore-20110320.csv,16,Brandon Marsh,36,TX,USA,00:27:59,02:06:15,01:38:58,00:02:31,00:00:51,04:16:34
ironman-70.3-singapore-20110320.csv,17,Sandi Ivancic,28,---,SVN,00:32:49,02:24:09,---,00:02:30,00:01:05,DNF
ironman-70.3-singapore-20110320.csv,18,Nick Murray,24,---,AUS,00:32:44,02:15:15,01:28:10,00:02:30,00:00:44,04:19:23
ironman-70.3-singapore-20110320.csv,19,Balazs Csoke,27,TX,HUN,---,---,---,---,---,DNS
ironman-70.3-singapore-20110320.csv,20,Ueli Bieler,30,---,CHE,00:37:43,02:10:50,01:24:39,00:02:24,00:01:10,04:16:46
ironman-70.3-singapore-20110320.csv,21,Jemani Francis,26,---,AUS,00:29:14,02:05:03,---,00:02:30,00:00:52,DNF
ironman-70.3-singapore-20110320.csv,22,Jodie Ann Swallow,29,essex,GBR,---,---,---,02:48:11,---,DNF
ironman-70.3-singapore-20110320.csv,24,Michelle Wu,28,Other,AUS,00:34:08,02:19:04,01:28:46,00:02:30,00:01:03,04:25:31
ironman-70.3-singapore-20110320.csv,26,Kirsten Molloy,31,---,AUS,00:31:48,02:23:27,01:39:01,00:02:30,00:01:02,04:37:48
ironman-70.3-singapore-20110320.csv,27,Maki Nishiuchi,35,Intl State,JPN,00:31:47,02:16:35,01:39:35,00:02:30,00:00:44,04:31:11
ironman-70.3-singapore-20110320.csv,28,Megumi Shigaki,37,---,JPN,00:35:51,02:27:22,01:38:27,00:02:26,00:01:09,04:45:15
ironman-70.3-singapore-20110320.csv,29,Rachael Paxton,26,QLD,AUS,00:36:50,02:20:33,01:36:36,00:02:07,00:00:46,04:36:52
ironman-70.3-singapore-20110320.csv,30,Mary Beth Ellis,33,MA,USA,00:30:07,02:19:02,01:28:10,00:02:20,00:01:27,04:21:06
ironman-70.3-singapore-20110320.csv,31,Emi Shiono,30,---,JPN,00:42:27,02:24:15,01:37:10,00:02:25,00:01:19,04:47:36
ironman-70.3-singapore-20110320.csv,32,Emma Ruth Smith,29,---,GBR,00:37:51,02:29:31,01:33:05,00:02:23,00:01:06,04:43:56
ironman-70.3-singapore-20110320.csv,33,Rachael Smith,35,---,NZL,00:38:55,02:23:13,01:35:41,00:02:26,00:01:02,04:41:17
ironman-70.3-singapore-20110320.csv,35,Jasmine Lim,22,---,SGP,00:55:52,03:15:10,02:16:25,00:03:44,00:02:36,06:33:47
ironman-70.3-singapore-20110320.csv,36,Sara Ng,19,---,SGP,00:53:18,03:03:26,02:20:52,00:03:42,00:02:04,06:23:22
ironman-70.3-singapore-20110320.csv,37,Veronica Tang,22,---,SGP,00:47:50,03:00:52,02:00:05,00:05:25,00:02:34,05:56:46
