#ironman-70.3-singapore-20120318.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-singapore-20120318.csv,1,Ollie Whistler,28,---,AUS,00:26:44,02:10:40,01:34:31,00:01:23,00:01:29,04:14:47
ironman-70.3-singapore-20120318.csv,2,Alessandro Degasperi,35,Italy,ITA,00:26:46,02:10:36,01:21:04,00:01:24,00:01:25,04:01:15
ironman-70.3-singapore-20120318.csv,3,Guy Crawford,37,NSW,NZL,00:26:43,02:10:40,01:30:58,00:01:25,00:01:23,04:11:09
ironman-70.3-singapore-20120318.csv,4,Christian Kemp,35,NV,AUS,00:24:04,02:06:28,---,00:00:55,00:01:20,DNF
ironman-70.3-singapore-20120318.csv,5,Denis Vasiliev,27,---,RUS,00:24:04,02:06:43,01:26:25,00:00:57,00:01:16,03:59:25
ironman-70.3-singapore-20120318.csv,6,Timothy Marr,37,HI,USA,00:26:46,02:10:43,01:48:08,00:01:21,00:01:35,04:28:33
ironman-70.3-singapore-20120318.csv,7,Adam Gordon,33,QLD,NZL,00:30:15,02:20:26,---,00:01:39,00:01:39,DNF
ironman-70.3-singapore-20120318.csv,8,Nick Waninger,32,IN,USA,00:27:31,02:16:11,01:18:59,00:01:17,00:01:14,04:05:12
ironman-70.3-singapore-20120318.csv,9,Josh Amberger,27,QLD,AUS,00:24:03,02:06:28,01:22:01,00:00:57,00:01:20,03:54:49
ironman-70.3-singapore-20120318.csv,10,Michael Kent,31,---,AUS,00:32:19,---,---,00:02:05,00:32:19,DNF
ironman-70.3-singapore-20120318.csv,11,Luke Gillmer,33,NSW,AUS,00:27:39,02:17:34,01:42:24,00:01:35,00:01:44,04:30:56
ironman-70.3-singapore-20120318.csv,12,Mike Gee,38,---,AUS,00:29:40,---,---,00:01:26,00:29:40,DNF
ironman-70.3-singapore-20120318.csv,13,Dylan Mcneice,31,NZ,NZL,00:24:02,02:06:35,01:27:47,00:00:51,00:01:36,04:00:51
ironman-70.3-singapore-20120318.csv,14,Eneko Elosegi,33,---,ESP,00:31:42,02:16:51,01:34:38,00:01:24,00:01:39,04:26:14
ironman-70.3-singapore-20120318.csv,15,Kodo Hiramatsu,36,Intl State,JPN,00:27:32,02:16:27,01:25:20,00:01:18,00:01:28,04:12:05
ironman-70.3-singapore-20120318.csv,16,Tadashi Iida,39,---,JPN,00:30:06,02:25:01,01:32:52,00:01:28,00:01:36,04:31:03
ironman-70.3-singapore-20120318.csv,17,Anthony Devos,25,---,BEL,00:27:34,02:16:12,01:38:27,00:01:26,00:01:41,04:25:20
ironman-70.3-singapore-20120318.csv,18,Yeunsik Ham,37,Intl State,KOR,00:39:04,02:27:11,01:29:05,00:02:05,00:02:14,04:39:39
ironman-70.3-singapore-20120318.csv,19,Dan Brown,40,NSW,PHL,00:35:21,02:30:31,01:45:42,00:01:30,00:01:43,04:54:47
ironman-70.3-singapore-20120318.csv,22,Mary Beth Ellis,39,MA,USA,00:26:42,02:17:45,01:32:07,00:01:15,00:01:46,04:19:35
