#File=ironman-70.3-south-africa-20130120.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-south-africa-20130120.csv,1,Faris Al-Sultan,38,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-south-africa-20130120.csv,2,Ronnie Schildknecht,36,---,CHE,00:26:48,02:17:46,01:17:47,00:02:36,00:01:26,04:06:23
ironman-70.3-south-africa-20130120.csv,3,James Cunnama,33,Intl State,ZAF,---,---,---,---,---,DNS
ironman-70.3-south-africa-20130120.csv,4,Cyril Viennot,34,---,FRA,00:26:40,02:23:55,01:20:56,00:03:05,00:01:33,04:16:09
ironman-70.3-south-africa-20130120.csv,5,Kent Horner,34,---,ZAF,00:25:02,02:26:37,01:22:53,00:02:22,00:01:23,04:18:17
ironman-70.3-south-africa-20130120.csv,6,Timothy Philip Don,38,---,GBR,00:24:58,02:22:00,01:19:31,00:02:39,00:01:32,04:10:40
ironman-70.3-south-africa-20130120.csv,7,Bart Aernouts,32,---,BEL,00:26:45,02:15:39,01:17:21,00:02:34,00:01:34,04:03:53
ironman-70.3-south-africa-20130120.csv,8,Marko Albert,37,Intl State,EST,00:23:43,02:21:36,01:22:54,00:02:20,00:01:38,04:12:11
ironman-70.3-south-africa-20130120.csv,9,Stav Bassan,28,---,ISR,00:29:38,02:39:09,01:37:29,00:03:28,00:01:42,04:51:26
ironman-70.3-south-africa-20130120.csv,10,Stephen Bayliss,37,Surrey,GBR,00:25:10,02:30:54,01:24:36,00:02:34,00:01:40,04:24:54
ironman-70.3-south-africa-20130120.csv,11,William Clarke,31,Leicestershire,GBR,00:24:20,02:26:38,01:18:41,00:02:26,00:01:42,04:13:47
ironman-70.3-south-africa-20130120.csv,12,Michael Davidson,38,---,ZAF,00:26:54,---,---,00:03:08,---,DNF
ironman-70.3-south-africa-20130120.csv,13,Victor Debil-Caux,---,---,FRA,00:30:04,02:28:17,01:23:07,00:03:38,00:01:34,04:26:40
ironman-70.3-south-africa-20130120.csv,14,Gerhard De Bruin,32,---,ZAF,00:28:15,02:28:30,01:32:51,00:02:44,00:01:43,04:34:03
ironman-70.3-south-africa-20130120.csv,15,Grant Edmiston,28,MA,ZAF,00:33:29,02:37:50,01:40:00,00:03:18,00:01:50,04:56:27
ironman-70.3-south-africa-20130120.csv,16,Tadashi Iida,39,---,JPN,00:29:22,02:44:44,01:31:34,00:03:03,00:01:43,04:50:26
ironman-70.3-south-africa-20130120.csv,17,Travis Johnston,31,---,ZAF,00:26:37,02:33:45,---,00:02:55,00:01:36,DNF
ironman-70.3-south-africa-20130120.csv,18,Freddy Lampret,37,---,ZAF,00:26:47,02:31:58,01:24:19,00:02:54,00:02:00,04:27:58
ironman-70.3-south-africa-20130120.csv,19,Kyle Leto,30,CO,USA,00:23:56,02:28:59,01:23:25,00:02:18,00:01:26,04:20:04
ironman-70.3-south-africa-20130120.csv,20,Terrence Lowe,29,Gauteng,ZAF,00:32:04,02:32:09,01:20:10,00:03:06,00:01:32,04:29:01
ironman-70.3-south-africa-20130120.csv,22,Swen Sundberg,42,DE,DEU,00:26:52,02:22:41,01:26:26,00:02:33,00:01:22,04:19:54
ironman-70.3-south-africa-20130120.csv,23,Mark Threlfall,28,Intl State,GBR,00:23:45,02:27:12,01:23:08,00:02:21,00:01:31,04:17:57
ironman-70.3-south-africa-20130120.csv,24,Axel Zeebroek,38,---,BEL,00:23:50,02:37:14,01:21:43,00:02:20,00:02:24,04:27:31
ironman-70.3-south-africa-20130120.csv,25,Jodie Ann Swallow,35,Other,GBR,00:25:11,02:38:05,01:26:56,00:02:41,00:01:37,04:34:30
ironman-70.3-south-africa-20130120.csv,26,Lucie Zelenkova,42,---,CZE,00:26:40,02:41:06,01:32:00,00:02:51,00:01:42,04:44:19
ironman-70.3-south-africa-20130120.csv,27,Tine Deckers,38,---,BEL,---,---,---,---,---,DNS
ironman-70.3-south-africa-20130120.csv,28,Claire Horner,35,---,ZAF,00:30:59,---,---,00:03:12,---,DNF
ironman-70.3-south-africa-20130120.csv,29,Bella Bayliss,38,---,GBR,00:31:03,02:47:22,---,00:03:20,00:01:52,DNF
ironman-70.3-south-africa-20130120.csv,30,Maria Czesnik,39,Intl State,POL,00:26:47,03:06:20,01:30:05,00:03:17,00:01:56,05:08:25
ironman-70.3-south-africa-20130120.csv,31,Riana Robertson,33,Gauteng,ZAF,00:30:03,03:04:38,01:44:39,00:03:10,00:02:10,05:24:40
ironman-70.3-south-africa-20130120.csv,32,Natasha Gorrie,34,---,ZAF,00:30:52,02:34:09,01:35:41,00:03:10,00:01:35,04:45:27
ironman-70.3-south-africa-20130120.csv,33,Susie Cheetham,30,WILTS,GBR,00:29:23,02:41:24,01:27:49,00:03:17,00:01:45,04:43:38
ironman-70.3-south-africa-20130120.csv,34,Camilla Lindholm,---,---,SWE,00:38:18,02:42:56,01:25:27,00:03:29,00:01:49,04:51:59
ironman-70.3-south-africa-20130120.csv,35,Dianne McEwan,32,---,ZAF,00:29:21,02:40:31,01:34:40,00:03:22,00:01:39,04:49:33
ironman-70.3-south-africa-20130120.csv,36,Jeanni Seymour,24,CO,ZAF,00:30:52,02:39:14,01:33:26,00:03:09,00:01:30,04:48:11
ironman-70.3-south-africa-20130120.csv,37,Kathrin Walther,---,Western Cape,DEU,00:31:00,02:50:33,01:40:59,00:03:24,00:01:36,05:07:32
ironman-70.3-south-africa-20130120.csv,40,Nik Affat,---,Eastern Cape,ZAF,00:40:14,03:29:35,02:30:59,00:06:05,00:03:05,06:49:58
ironman-70.3-south-africa-20130120.csv,41,Ryan Banks,24,MA,ZAF,00:37:12,03:45:26,02:20:14,00:06:21,00:03:53,06:53:06
