#File=ironman-70.3-sri-lanka-20120219.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-sri-lanka-20120219.csv,1,Faris Al-Sultan,34,DE,ARE,00:25:25,02:06:26,01:18:33,00:00:42,00:00:33,03:51:39
ironman-70.3-sri-lanka-20120219.csv,2,Tim Van Berkel,27,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,3,Bryan Rhodes,39,CAN,NZL,00:25:19,02:05:24,01:27:27,00:00:31,00:00:33,03:59:14
ironman-70.3-sri-lanka-20120219.csv,4,Joshua Rix,33,VIC,AUS,00:25:29,02:11:54,01:41:01,00:00:31,00:00:44,04:19:39
ironman-70.3-sri-lanka-20120219.csv,5,Swen Sundberg,38,Eastern Cape,DEU,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,6,Kent Horner,29,---,ZAF,00:25:22,02:10:46,01:33:37,00:00:30,00:00:34,04:10:49
ironman-70.3-sri-lanka-20120219.csv,7,Alessandro Degasperi,31,Intl State,ITA,00:25:27,02:14:31,01:19:44,00:00:38,00:00:34,04:00:54
ironman-70.3-sri-lanka-20120219.csv,8,Christie Sym,28,NSW,AUS,00:31:00,02:22:07,01:42:13,00:00:34,00:00:44,04:36:38
ironman-70.3-sri-lanka-20120219.csv,9,Katja Rabe,33,---,DEU,00:31:52,02:26:36,01:34:28,00:00:37,00:00:40,04:34:13
ironman-70.3-sri-lanka-20120219.csv,10,Claire Horner,30,---,ZAF,00:32:24,02:26:04,01:37:48,00:00:39,00:00:39,04:37:34
ironman-70.3-sri-lanka-20120219.csv,11,Dana Wagner,28,Niedersachsen,DEU,00:32:35,02:25:38,01:42:08,00:00:51,00:00:50,04:42:02
ironman-70.3-sri-lanka-20120219.csv,12,Lucie Zelenkova,37,Eastern Cape,ZAF,00:28:01,02:25:01,01:35:51,00:00:46,00:00:38,04:30:17
ironman-70.3-sri-lanka-20120219.csv,13,Belinda Granger,41,---,AUS,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,14,Justin Granger,40,---,AUS,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,15,Frederik Croneborg,31,---,SWE,00:28:04,02:11:55,01:23:13,00:00:36,00:00:39,04:04:27
ironman-70.3-sri-lanka-20120219.csv,20,Inaam Naomi Abboud,31,TN,OMN,00:45:05,03:14:37,02:24:05,00:01:25,00:01:23,06:26:35
ironman-70.3-sri-lanka-20120219.csv,21,Kareem Afzal,36,PA,USA,00:41:30,02:37:11,02:09:40,00:00:55,00:02:22,05:31:38
ironman-70.3-sri-lanka-20120219.csv,22,Ahmed Al Malki,34,Muscat,OMN,00:48:20,02:50:02,02:10:51,00:01:30,00:01:41,05:52:24
ironman-70.3-sri-lanka-20120219.csv,23,Khaled Al Qubaisi,41,---,ARE,00:55:24,02:57:50,03:08:08,00:02:29,00:02:57,07:06:48
ironman-70.3-sri-lanka-20120219.csv,24,Francis Alcacer,54,---,FRA,00:45:55,02:44:26,02:41:24,00:01:22,00:01:07,06:14:14
ironman-70.3-sri-lanka-20120219.csv,25,Gheis Ameri,33,---,ARE,00:56:12,03:38:45,---,00:02:28,00:01:17,DNF
ironman-70.3-sri-lanka-20120219.csv,26,Nicola Ancarani,40,Italy,ITA,00:42:59,03:01:00,02:38:01,00:01:32,00:01:49,06:25:21
ironman-70.3-sri-lanka-20120219.csv,27,Aj Anderson,32,---,THA,00:32:01,02:16:46,01:20:32,00:00:33,00:00:39,04:10:31
ironman-70.3-sri-lanka-20120219.csv,28,Benjamin Atkinson,35,WA,USA,00:39:14,03:12:03,03:08:07,00:02:11,00:03:13,07:04:48
ironman-70.3-sri-lanka-20120219.csv,29,Mike Atwell,46,---,ARE,00:34:15,02:33:53,02:15:55,00:01:23,00:01:13,05:26:39
ironman-70.3-sri-lanka-20120219.csv,30,Krzysztof Kutera,38,---,ARE,00:37:02,02:50:51,02:02:03,00:01:12,00:02:11,05:33:19
ironman-70.3-sri-lanka-20120219.csv,31,Kelly Barber,---,---,USA,00:40:26,03:02:26,02:13:01,00:01:52,00:01:49,05:59:34
ironman-70.3-sri-lanka-20120219.csv,32,Paul Barner,50,NY,USA,00:53:31,03:26:28,03:07:00,00:01:44,00:03:42,07:32:25
ironman-70.3-sri-lanka-20120219.csv,33,Mark Batten,53,WA,AUS,00:32:29,02:25:44,01:55:08,00:00:54,00:00:52,04:55:07
ironman-70.3-sri-lanka-20120219.csv,34,Alexander Bautista,45,---,ARE,00:37:15,02:44:54,01:24:50,00:01:27,00:00:58,04:49:24
ironman-70.3-sri-lanka-20120219.csv,35,Adam Becker,35,CA,USA,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,36,Matthias Berger,34,---,THA,00:40:06,02:37:21,02:28:41,00:01:28,00:01:53,05:49:29
ironman-70.3-sri-lanka-20120219.csv,37,Jason Blejwas,30,NC,HKG,00:43:10,02:37:42,01:59:45,00:01:02,00:01:07,05:22:46
ironman-70.3-sri-lanka-20120219.csv,38,Ronan Bole,39,---,CHN,00:41:15,02:22:54,01:44:19,00:01:17,00:01:34,04:51:19
ironman-70.3-sri-lanka-20120219.csv,39,Martin Bond,39,DXB,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,40,Jonathan Bondoc,38,Intl State,PHL,00:43:32,02:52:17,02:49:17,00:02:02,00:01:50,06:28:58
ironman-70.3-sri-lanka-20120219.csv,41,Leon Bowes,32,QLD,AUS,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,42,Harold Britos,37,---,ARE,00:42:28,02:49:20,01:52:43,00:00:57,00:01:02,05:26:30
ironman-70.3-sri-lanka-20120219.csv,43,Nadine Bubner,32,---,HKG,00:51:35,03:06:30,02:04:17,00:02:08,00:02:18,06:06:48
ironman-70.3-sri-lanka-20120219.csv,44,Simon Casey,32,VI,AUS,00:39:20,02:29:55,01:45:54,00:01:11,00:01:48,04:58:08
ironman-70.3-sri-lanka-20120219.csv,45,Kitpong Chawaldit,42,Nonthaburi,THA,00:50:17,03:21:22,02:38:29,00:02:56,00:03:14,06:56:18
ironman-70.3-sri-lanka-20120219.csv,46,Thomas Chevrier,40,Intl State,SGP,00:42:11,02:48:11,02:35:47,00:02:29,00:02:38,06:11:16
ironman-70.3-sri-lanka-20120219.csv,47,Lin Hong Choo,24,---,SGP,00:41:35,02:50:01,02:30:20,00:01:41,00:01:12,06:04:49
ironman-70.3-sri-lanka-20120219.csv,48,Chin-Ta Chou,49,---,TWN,01:01:26,02:47:44,03:06:59,00:02:12,00:04:27,07:02:48
ironman-70.3-sri-lanka-20120219.csv,49,Ying Whye Stephen Choy,46,---,SGP,00:59:52,02:46:44,02:20:54,00:01:18,00:01:14,06:10:02
ironman-70.3-sri-lanka-20120219.csv,50,Mira Christanto,27,---,HKG,00:44:51,03:15:29,02:23:46,00:01:43,00:01:25,06:27:14
ironman-70.3-sri-lanka-20120219.csv,51,Mark Gerard Clay,45,---,IDN,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,52,Judi Clemie,44,WA,SGP,00:41:28,02:51:18,02:12:21,00:01:02,00:01:30,05:47:39
ironman-70.3-sri-lanka-20120219.csv,53,Robert Coetzee,50,---,NLD,00:44:13,02:36:22,02:38:25,00:02:06,00:02:57,06:04:03
ironman-70.3-sri-lanka-20120219.csv,54,Guy Coghlan,45,SURREY,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,55,Brett Conradt,---,---,USA,00:43:13,02:01:40,02:11:18,00:01:54,00:02:19,05:00:24
ironman-70.3-sri-lanka-20120219.csv,56,Piers Constable,41,NY,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,57,Gaetan Contrino,43,---,SAU,00:42:09,02:29:34,01:48:04,00:00:43,00:02:07,05:02:37
ironman-70.3-sri-lanka-20120219.csv,58,Clint Covey,38,---,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,60,Mark Cross,48,---,IDN,00:40:46,02:41:12,02:13:22,00:01:30,00:02:08,05:38:58
ironman-70.3-sri-lanka-20120219.csv,61,Trent Cunnane,34,---,AUS,00:42:36,03:17:09,---,00:04:45,00:04:21,DNF
ironman-70.3-sri-lanka-20120219.csv,62,Jac Currie,---,Dubai,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,63,Paul D'Arcy,39,Herts,HKG,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,64,Barry Day,32,HKG,HKG,00:36:45,02:34:33,01:46:45,00:00:52,00:01:28,05:00:23
ironman-70.3-sri-lanka-20120219.csv,65,Emma Dickie,---,Dubai,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,66,Alexandros Diogenous,---,---,CYP,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,67,Gary Douglas,---,WA,AUS,00:45:30,02:42:37,01:55:48,00:01:07,00:00:45,05:25:47
ironman-70.3-sri-lanka-20120219.csv,68,Augusto Dreyer,---,Dubai,ARE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,69,Robin Edgecliffe-Johnson,36,SG,MYS,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,70,Stefanie Eigen,42,NV,USA,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,71,Endo Shusaku,29,---,JPN,00:39:49,02:45:05,00:57:55,00:01:37,00:00:43,04:25:09
ironman-70.3-sri-lanka-20120219.csv,72,David Ennes,48,---,SGP,00:34:35,02:45:49,02:17:38,00:02:23,00:01:37,05:42:02
ironman-70.3-sri-lanka-20120219.csv,73,Pablo Erat,41,---,CHE,00:29:03,02:16:56,01:38:18,00:00:43,00:01:03,04:26:03
ironman-70.3-sri-lanka-20120219.csv,74,Kuo-Chang Feng,38,---,TWN,00:42:06,02:22:19,01:50:52,00:01:09,00:01:55,04:58:21
ironman-70.3-sri-lanka-20120219.csv,75,Lisa Fenton,40,Muscat,OMN,00:58:30,03:23:30,03:01:39,00:02:14,00:02:09,07:28:02
ironman-70.3-sri-lanka-20120219.csv,76,Anthony Fesche,42,---,SGP,00:36:23,02:25:25,01:40:05,00:01:00,00:00:43,04:43:36
ironman-70.3-sri-lanka-20120219.csv,77,Jarand Fjeld,37,---,NOR,00:45:37,02:21:41,01:56:41,00:02:02,00:01:43,05:07:44
ironman-70.3-sri-lanka-20120219.csv,78,Olivier Fleurot,46,---,CHE,---,---,---,---,---,DNS
ironman-70.3-sri-lanka-20120219.csv,79,Helder Francisco,37,TX,THA,00:39:43,02:24:44,01:49:54,00:01:00,00:01:10,04:56:31
ironman-70.3-sri-lanka-20120219.csv,80,Yukari Fukahori,33,---,JPN,00:44:07,02:26:02,02:06:22,00:01:16,00:01:33,05:19:20
ironman-70.3-sri-lanka-20120219.csv,82,Neil Gambon,45,DXB,ARE,00:51:52,02:34:22,02:37:18,00:00:44,00:01:37,06:05:53
ironman-70.3-sri-lanka-20120219.csv,83,Javier Garcia,---,---,MEX,00:40:25,02:39:22,02:16:16,00:00:48,00:01:26,05:38:17
ironman-70.3-sri-lanka-20120219.csv,84,James Gartner,---,---,USA,00:53:39,03:10:05,02:56:03,00:06:11,00:04:48,07:10:46
ironman-70.3-sri-lanka-20120219.csv,85,Daniel Geary,42,---,SGP,00:36:50,---,02:09:58,00:02:15,03:16:48,05:26:46
ironman-70.3-sri-lanka-20120219.csv,86,Malcolm Geluk,42,---,QAT,00:33:05,02:30:51,01:49:45,00:01:23,00:01:36,04:56:40
