#File=ironman-70.3-st.-croix-20120506.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-st.-croix-20120506.csv,1,Maxim Kriat,---,---,UKR,00:27:25,02:22:22,01:25:54,---,---,04:15:41
ironman-70.3-st.-croix-20120506.csv,2,Andy Potts,35,CO,USA,00:24:29,02:19:42,01:19:20,---,---,04:03:31
ironman-70.3-st.-croix-20120506.csv,3,Terenzo Bozzone,27,AUK,NZL,00:25:49,02:23:44,01:20:31,---,---,04:10:04
ironman-70.3-st.-croix-20120506.csv,4,Oscar Galindez,---,---,ARG,00:28:00,02:21:44,01:22:47,---,---,04:12:31
ironman-70.3-st.-croix-20120506.csv,5,Frederik Van Lierde,---,---,BEL,00:25:48,02:25:13,01:25:40,---,---,04:16:41
ironman-70.3-st.-croix-20120506.csv,6,Mac Brown,---,---,USA,00:35:11,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,7,Lance Armstrong,---,---,USA,00:25:51,02:16:09,01:25:08,---,---,04:07:08
ironman-70.3-st.-croix-20120506.csv,8,Ryan Power,23,ON,CAN,00:31:36,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,9,Ed Donner,35,FL,USA,00:31:01,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,10,Ciro Violin,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-st.-croix-20120506.csv,11,Alessandro Degasperi,---,---,ITA,00:27:22,02:22:20,01:19:11,---,---,04:08:53
ironman-70.3-st.-croix-20120506.csv,12,Teemu Kyllonen,---,---,FIN,---,---,---,---,---,DNS
ironman-70.3-st.-croix-20120506.csv,13,Damon Barnett,---,---,USA,00:27:28,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,14,Eliot Holtham,---,---,CAN,00:28:02,02:29:27,01:27:30,---,---,04:24:59
ironman-70.3-st.-croix-20120506.csv,15,Andres Castillo,---,---,COL,00:25:45,02:24:27,01:26:36,---,---,04:16:48
ironman-70.3-st.-croix-20120506.csv,16,Erich Wegscheider,---,---,USA,00:29:20,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,17,Kyle Pawlaczyk,---,---,USA,00:26:50,02:39:16,01:35:03,---,---,04:41:09
ironman-70.3-st.-croix-20120506.csv,18,Zach Ruble,---,---,USA,00:28:05,02:32:11,01:25:07,---,---,04:25:23
ironman-70.3-st.-croix-20120506.csv,19,Stephane Poulat,---,---,FRA,00:24:31,02:19:46,01:21:08,---,---,04:05:25
ironman-70.3-st.-croix-20120506.csv,20,Tyler Lord,---,---,CAN,00:30:59,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,21,Dave Harju,---,---,CAN,00:29:34,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,22,Edgardo Omar Velez,---,---,PRT,00:25:43,02:36:38,01:26:57,---,---,04:29:18
ironman-70.3-st.-croix-20120506.csv,23,Grant Burwash,---,---,USA,00:27:20,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,51,Nina Kraft,---,---,DEU,00:27:05,02:47:45,01:32:54,---,---,04:47:44
ironman-70.3-st.-croix-20120506.csv,52,Kelly Fillnow,---,---,USA,00:36:38,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,53,Mary Beth Ellis,---,---,USA,00:27:07,02:37:45,01:28:42,---,---,04:33:34
ironman-70.3-st.-croix-20120506.csv,54,Stephanie Jones,---,---,USA,00:34:54,02:46:39,01:39:28,---,---,05:01:01
ironman-70.3-st.-croix-20120506.csv,55,Jenny Fletcher,---,---,USA,00:29:52,02:47:43,01:42:05,---,---,04:59:40
ironman-70.3-st.-croix-20120506.csv,56,Leslie Lamacchia,---,---,USA,00:37:34,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,57,Kim Loeffler,---,---,USA,00:34:57,02:44:47,01:29:40,---,---,04:49:24
ironman-70.3-st.-croix-20120506.csv,58,Stephanie Ossenbrink,---,---,CAN,00:32:39,02:45:11,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,59,Sara Gross,---,---,CAN,00:29:45,02:47:49,01:29:09,---,---,04:46:43
ironman-70.3-st.-croix-20120506.csv,60,Marie Danais,---,---,CAN,00:29:50,02:54:55,01:37:05,---,---,05:01:50
ironman-70.3-st.-croix-20120506.csv,61,Tamara Kozulina,---,---,UKR,00:34:59,02:41:44,01:31:08,---,---,04:47:51
ironman-70.3-st.-croix-20120506.csv,62,Karen Smyers,---,---,USA,00:32:12,02:50:11,01:45:44,---,---,05:08:07
ironman-70.3-st.-croix-20120506.csv,63,Angela Naeth,---,---,CAN,00:29:47,02:33:08,01:25:17,---,---,04:28:12
ironman-70.3-st.-croix-20120506.csv,101,Patrick O'Brien,20,TN,USA,00:32:53,02:52:59,01:43:08,---,---,05:09:00
ironman-70.3-st.-croix-20120506.csv,102,Adam Leemans,21,NY,USA,00:32:28,02:41:44,01:36:02,---,---,04:50:14
ironman-70.3-st.-croix-20120506.csv,103,Romedy Murr,21,NY,USA,00:34:37,02:39:45,02:00:33,---,---,05:14:55
ironman-70.3-st.-croix-20120506.csv,104,Andrew Webster,22,FL,USA,00:39:05,02:41:19,01:54:31,---,---,05:14:55
ironman-70.3-st.-croix-20120506.csv,105,John Wiygul,22,TN,USA,00:34:52,02:44:42,01:36:42,---,---,04:56:16
ironman-70.3-st.-croix-20120506.csv,106,Juan Pablo Cano De Urquidi,23,Durango,MEX,00:40:36,02:38:48,01:37:45,---,---,04:57:09
ironman-70.3-st.-croix-20120506.csv,107,Brian Duffy,24,PA,USA,00:28:58,02:32:48,01:31:10,---,---,04:32:56
ironman-70.3-st.-croix-20120506.csv,108,Mark Faas,24,---,CAN,00:31:02,02:57:10,01:38:42,---,---,05:06:54
ironman-70.3-st.-croix-20120506.csv,109,Thomas Frantzen,24,PA,USA,00:42:30,03:15:42,02:35:06,---,---,06:33:18
ironman-70.3-st.-croix-20120506.csv,110,Jeremiah Paris,23,---,USA,00:40:29,03:14:01,02:26:16,---,---,06:20:46
ironman-70.3-st.-croix-20120506.csv,111,Matthew Clifford,25,CA,USA,00:39:47,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,112,Jairo Salazar,24,---,COL,00:30:31,02:36:23,01:29:44,---,---,04:36:38
ironman-70.3-st.-croix-20120506.csv,113,Bernardo Villar,25,VA,USA,00:40:08,03:41:06,02:21:03,---,---,06:42:17
ironman-70.3-st.-croix-20120506.csv,114,Rodrigo Acevedo,26,CO,COL,00:33:46,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,115,Daniel C Bell,25,CA,USA,00:41:15,03:16:56,02:04:49,---,---,06:03:00
ironman-70.3-st.-croix-20120506.csv,116,Julien Buffe,25,---,FRA,00:28:04,02:42:06,01:43:27,---,---,04:53:37
ironman-70.3-st.-croix-20120506.csv,117,Timothy Pedrotty,25,NY,USA,00:45:07,03:31:40,02:13:58,---,---,06:30:45
ironman-70.3-st.-croix-20120506.csv,118,Kyle Raymer,25,MO,USA,01:00:17,03:48:14,02:31:36,---,---,07:20:07
ironman-70.3-st.-croix-20120506.csv,119,Jose Varcasia,25,Lombardia,PAN,00:39:11,02:53:59,01:42:04,---,---,05:15:14
ironman-70.3-st.-croix-20120506.csv,120,Jerry Becker,---,VI,VIR,00:37:38,03:04:46,02:06:02,---,---,05:48:26
ironman-70.3-st.-croix-20120506.csv,121,Jason Devlin,26,NY,USA,00:47:11,03:19:18,02:07:52,---,---,06:14:21
ironman-70.3-st.-croix-20120506.csv,122,Ryan Taylor,26,TX,USA,00:50:01,03:21:11,02:33:22,---,---,06:44:34
ironman-70.3-st.-croix-20120506.csv,123,Ben Aldous,28,WA,CAN,00:37:20,03:04:32,01:51:55,---,---,05:33:47
ironman-70.3-st.-croix-20120506.csv,124,Rafa Colon,28,AL,USA,00:31:05,02:43:01,01:40:56,---,---,04:55:02
ironman-70.3-st.-croix-20120506.csv,125,Robert Craig,27,FL,USA,00:39:48,03:13:57,01:51:33,---,---,05:45:18
ironman-70.3-st.-croix-20120506.csv,126,Adam Dumouchelle,28,NJ,USA,00:41:03,---,---,---,---,DNF
ironman-70.3-st.-croix-20120506.csv,127,Romain Lobjois,27,---,FRA,00:30:28,02:53:00,01:46:46,---,---,05:10:14
ironman-70.3-st.-croix-20120506.csv,128,Dernier Ludovic,27,---,BEL,---,---,---,---,---,DNS
