#ironman-70.3-st.-george-20130504.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-st.-george-20130504.csv,1,Ben Hoffman,33,CO,USA,00:24:21,02:13:16,01:18:40,00:01:11,00:01:29,03:58:57
ironman-70.3-st.-george-20130504.csv,2,Jordan Rapp,36,CA,USA,00:25:40,02:14:37,01:38:59,00:01:22,00:01:48,04:22:26
ironman-70.3-st.-george-20130504.csv,3,Sebastian Kienle,32,---,DEU,00:25:59,02:09:23,01:25:06,00:01:13,00:01:14,04:02:55
ironman-70.3-st.-george-20130504.csv,4,Andy Potts,39,CO,USA,00:22:40,02:11:46,01:17:02,00:01:15,00:01:38,03:54:21
ironman-70.3-st.-george-20130504.csv,5,Bevan Docherty,39,CA,USA,00:23:44,02:12:14,---,00:00:58,---,DNF
ironman-70.3-st.-george-20130504.csv,6,Michael Raelert,36,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,7,Dirk Bockel,39,FL,LUX,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,8,Ivan Rana,37,ES,ESP,00:23:31,02:18:57,01:12:41,00:01:07,00:01:16,03:57:32
ironman-70.3-st.-george-20130504.csv,9,Andrew Starykowicz,34,IL,USA,00:23:33,02:14:37,---,00:01:17,00:01:41,DNF
ironman-70.3-st.-george-20130504.csv,10,Maik Twelsiek,35,AZ,DEU,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,11,Luke Mckenzie,35,CA,AUS,00:23:46,02:11:34,01:19:06,00:01:12,00:01:25,03:57:03
ironman-70.3-st.-george-20130504.csv,12,Mathias Hecht,36,Intl State,CHE,00:23:52,02:16:13,01:27:55,00:01:28,00:01:59,04:11:27
ironman-70.3-st.-george-20130504.csv,13,Greg Bennett,44,---,USA,00:24:11,02:11:18,01:23:21,00:01:15,00:01:32,04:01:37
ironman-70.3-st.-george-20130504.csv,14,Paul Amey,43,---,USA,00:30:22,03:10:24,02:41:15,00:02:49,00:03:58,06:28:48
ironman-70.3-st.-george-20130504.csv,15,Filip Ospaly,40,CZE,CZE,00:23:23,02:17:07,01:19:09,00:01:12,00:01:24,04:02:15
ironman-70.3-st.-george-20130504.csv,16,Paul Matthews,33,CO,USA,00:23:54,02:21:52,01:19:56,00:01:09,00:01:42,04:08:33
ironman-70.3-st.-george-20130504.csv,17,Matt Reed,40,CA,USA,00:23:23,02:11:51,01:19:09,00:01:16,00:01:19,03:56:58
ironman-70.3-st.-george-20130504.csv,18,Jordan Jones,35,CO,USA,00:24:29,02:15:33,01:19:23,00:01:25,00:01:41,04:02:31
ironman-70.3-st.-george-20130504.csv,19,Tj Tollakson,36,IA,USA,00:24:18,02:10:05,01:19:27,00:01:15,00:01:55,03:57:00
ironman-70.3-st.-george-20130504.csv,20,Chad Holderbaum,36,PA,USA,00:25:59,02:24:56,01:29:50,00:01:27,00:01:48,04:24:00
ironman-70.3-st.-george-20130504.csv,21,Derek Garcia,32,ID,USA,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,22,Ruedi Wild,34,---,CHE,00:24:25,02:15:29,01:16:53,00:01:36,00:01:55,04:00:18
ironman-70.3-st.-george-20130504.csv,23,Brian Fleischmann,38,CO,USA,00:23:05,02:21:23,01:24:17,00:01:11,00:01:42,04:11:38
ironman-70.3-st.-george-20130504.csv,24,Swen Sundberg,42,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,25,Heath Thurston,38,UT,USA,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,26,Trevor Wurtele,37,BC,CAN,00:25:54,02:11:33,01:17:41,00:01:18,00:01:29,03:57:55
ironman-70.3-st.-george-20130504.csv,27,Dorian Wagner,32,---,DEU,00:24:18,02:16:08,01:23:23,00:01:15,00:01:28,04:06:32
ironman-70.3-st.-george-20130504.csv,28,Christian Brader,36,---,DEU,00:26:35,---,---,00:01:31,---,DNF
ironman-70.3-st.-george-20130504.csv,29,Matthew Pellow,26,NSW,AUS,00:25:49,02:20:31,01:20:14,00:01:14,00:01:29,04:09:17
ironman-70.3-st.-george-20130504.csv,30,Sam Betten,28,---,AUS,00:23:21,02:12:29,01:25:12,00:01:30,00:01:26,04:03:58
ironman-70.3-st.-george-20130504.csv,31,Víctor Del Corral,36,---,ESP,00:26:05,02:15:34,01:15:48,00:01:36,00:01:48,04:00:51
ironman-70.3-st.-george-20130504.csv,32,Matthew Sheeks,32,WA,USA,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,33,Damon Barnet,29,CA,USA,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,34,Kirk Nelson,36,UT,USA,00:28:04,02:17:40,01:25:45,00:01:25,00:02:05,04:14:59
ironman-70.3-st.-george-20130504.csv,35,Kevin Collington,31,FL,USA,00:23:22,02:12:31,01:15:15,00:01:03,00:01:27,03:53:38
ironman-70.3-st.-george-20130504.csv,36,Joel Jameson,33,Intl State,GBR,00:28:54,02:20:58,01:18:46,00:01:25,00:01:42,04:11:45
ironman-70.3-st.-george-20130504.csv,37,Felipe Van De Wyngard,35,Intl State,CHL,00:24:19,02:22:24,01:24:04,00:01:24,00:01:37,04:13:48
ironman-70.3-st.-george-20130504.csv,38,Braden Currie,30,---,NZL,00:25:43,02:24:22,01:20:51,00:01:23,00:01:34,04:13:53
ironman-70.3-st.-george-20130504.csv,39,Thomas Gerlach,35,WI,USA,---,---,---,---,---,DNS
ironman-70.3-st.-george-20130504.csv,40,Barrett Brandon,34,TX,USA,00:23:20,02:28:01,01:25:28,00:01:21,00:01:54,04:20:04
