#File=ironman-70.3-st.-poelten-20120520.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-st.-poelten-20120520.csv,1,Filip Ospaly,36,CZE,CZE,00:23:32,02:15:52,01:11:33,00:01:58,00:01:50,03:54:45
ironman-70.3-st.-poelten-20120520.csv,2,Faris Al-Sultan,---,---,DEU,00:24:04,02:16:06,01:17:10,00:02:18,00:02:34,04:02:12
ironman-70.3-st.-poelten-20120520.csv,3,Andreas Raelert,35,---,DEU,00:24:12,02:14:48,01:11:53,00:02:20,00:02:11,03:55:24
ironman-70.3-st.-poelten-20120520.csv,4,Michael Goehner,31,---,DEU,00:26:00,02:15:43,01:14:59,00:02:37,00:02:25,04:01:44
ironman-70.3-st.-poelten-20120520.csv,5,Massimo Cigana,38,Intl State,ITA,00:27:42,02:14:07,02:00:04,00:02:32,00:02:31,04:46:56
ironman-70.3-st.-poelten-20120520.csv,8,Franz Höfer,32,---,AUT,00:24:32,02:21:52,01:26:24,00:02:26,00:02:36,04:17:50
ironman-70.3-st.-poelten-20120520.csv,10,Bart Aernouts,27,---,BEL,00:26:39,02:15:29,01:11:28,00:02:09,00:02:09,03:57:54
ironman-70.3-st.-poelten-20120520.csv,11,Erich Wegscheider,26,CA,USA,00:27:43,02:31:54,01:26:20,00:02:37,00:03:48,04:32:22
ironman-70.3-st.-poelten-20120520.csv,12,Lothar Leder,41,---,DEU,00:25:26,02:32:40,01:21:39,00:02:20,00:02:53,04:24:58
ironman-70.3-st.-poelten-20120520.csv,13,Alessandro De Gasperi,31,Intl State,ITA,00:24:07,02:15:09,01:13:50,00:02:03,00:02:16,03:57:25
ironman-70.3-st.-poelten-20120520.csv,14,Dominik Berger,29,---,AUT,00:24:22,02:14:38,01:22:55,00:02:24,00:02:22,04:06:41
ironman-70.3-st.-poelten-20120520.csv,16,Georg Swoboda,34,---,AUT,00:27:15,02:13:56,01:23:34,00:03:07,00:02:30,04:10:22
ironman-70.3-st.-poelten-20120520.csv,18,Christoph Kullnig,32,---,AUT,00:25:28,02:27:28,01:27:36,00:02:31,00:02:37,04:25:40
