#ironman-70.3-staffordshire-20160612.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-staffordshire-20160612.csv,1,Lucy Gossage,36,---,GBR,00:29:24,02:29:46,01:29:56,00:02:47,00:01:28,04:33:21
ironman-70.3-staffordshire-20160612.csv,2,Kimberley Morrison,28,Intl State,GBR,00:27:09,02:29:08,01:34:42,00:03:18,00:01:30,04:35:47
ironman-70.3-staffordshire-20160612.csv,3,Nikki Bartlett,29,Gloucestershire,GBR,00:29:26,02:33:49,01:30:04,00:03:02,00:01:10,04:37:31
ironman-70.3-staffordshire-20160612.csv,4,Rahel Bellinga,47,---,NLD,00:32:33,02:48:18,---,00:03:44,00:02:33,DNF
ironman-70.3-staffordshire-20160612.csv,5,Natalie Seymour,29,Intl State,GBR,00:28:49,02:45:31,01:31:15,00:03:03,00:01:22,04:50:00
ironman-70.3-staffordshire-20160612.csv,6,Lucy Charles,22,Hertfordshire,GBR,00:23:36,02:39:43,01:34:47,00:03:03,00:01:34,04:42:43
ironman-70.3-staffordshire-20160612.csv,7,Kate Comber,28,Somerset,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,8,Nicola Spirig,34,CH,CHE,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,9,Nicole Walters,27,Avon,GBR,00:25:29,02:41:04,01:37:26,00:03:22,00:01:43,04:49:04
ironman-70.3-staffordshire-20160612.csv,10,Vicky Gill,36,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,11,Mareen Hufe,38,---,DEU,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,20,Joe Skipper,28,---,GBR,00:25:22,02:19:42,01:17:30,00:03:05,00:01:12,04:06:51
ironman-70.3-staffordshire-20160612.csv,21,Matt Trautman,31,ZA,ZAF,00:24:31,02:13:30,01:14:28,00:02:47,00:01:12,03:56:28
ironman-70.3-staffordshire-20160612.csv,22,Mauro Baertsch,30,---,CHE,00:25:26,02:19:55,01:19:39,00:03:04,00:01:33,04:09:37
ironman-70.3-staffordshire-20160612.csv,23,Markus Thomschke,32,DE,DEU,00:25:07,02:12:34,01:21:08,00:03:06,00:01:05,04:03:00
ironman-70.3-staffordshire-20160612.csv,24,Harry Wiltshire,33,Intl State,GBR,00:22:52,02:17:20,01:18:59,00:02:42,00:00:58,04:02:51
ironman-70.3-staffordshire-20160612.csv,25,Kyle Buckingham,32,---,ZAF,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,26,Fraser Cartmell,34,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,27,Nick Baldwin,28,Seychelles,SYC,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,28,Milosz Sowinski,21,Intl State,POL,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,29,Brad Williams,30,Intl State,USA,00:27:33,02:27:01,01:24:55,00:03:23,00:01:19,04:24:11
ironman-70.3-staffordshire-20160612.csv,30,Peter Kerr,27,VIC,AUS,00:22:50,02:32:24,01:16:35,00:02:46,00:01:26,04:16:01
ironman-70.3-staffordshire-20160612.csv,31,Oliver Simon,36,---,GBR,00:24:30,02:21:06,01:24:55,00:03:01,00:01:27,04:14:59
ironman-70.3-staffordshire-20160612.csv,32,Mark Threlfall,28,Intl State,GBR,00:22:56,02:17:10,01:20:30,00:02:42,00:06:34,04:09:52
ironman-70.3-staffordshire-20160612.csv,33,Craig Twigg,44,leicestershire,GBR,00:25:41,---,---,00:03:11,---,DNF
ironman-70.3-staffordshire-20160612.csv,34,Stephen Donnelly,29,Connacht,IRL,00:27:43,02:26:58,01:21:51,00:03:22,00:01:32,04:21:26
ironman-70.3-staffordshire-20160612.csv,35,Brennan Townshend,---,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,36,Richard Westover,29,DE,GBR,00:27:44,02:27:02,01:19:05,00:03:28,00:02:00,04:19:19
ironman-70.3-staffordshire-20160612.csv,37,Graeme Stewart,38,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,38,Colin Norris,29,---,GBR,00:25:17,02:26:37,01:18:19,00:03:23,00:01:23,04:14:59
ironman-70.3-staffordshire-20160612.csv,39,Matthew Leeman,25,---,GBR,00:24:31,02:30:27,01:26:59,00:03:03,00:01:39,04:26:39
ironman-70.3-staffordshire-20160612.csv,40,Anthony Meager,24,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,41,Swen Sundberg,42,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,42,Ohad Sinai,25,Intl State,ISR,00:30:58,02:40:13,01:28:06,00:04:21,00:01:46,04:45:24
ironman-70.3-staffordshire-20160612.csv,50,Kimberley Barber,24,Devon,GBR,00:46:09,03:51:27,02:54:38,00:11:44,00:11:14,07:55:12
ironman-70.3-staffordshire-20160612.csv,51,Lucy Berry,23,---,GBR,00:35:42,02:53:38,02:02:46,00:05:04,00:02:39,05:39:49
ironman-70.3-staffordshire-20160612.csv,52,Zoe Clare Barber,23,---,GBR,00:34:20,03:19:39,01:49:08,00:05:18,00:02:44,05:51:09
ironman-70.3-staffordshire-20160612.csv,53,Kate Dymock,23,Somerset,GBR,00:43:35,03:32:39,02:43:26,00:08:52,00:08:40,07:17:12
ironman-70.3-staffordshire-20160612.csv,54,Beth Eardley,21,Staffordshire,GBR,00:47:07,03:11:54,02:20:46,00:05:41,00:02:33,06:28:01
ironman-70.3-staffordshire-20160612.csv,55,Emma Holland,23,West Yorkshire,GBR,00:56:25,03:40:40,02:16:47,00:06:11,00:04:02,07:04:05
ironman-70.3-staffordshire-20160612.csv,56,Hannah Jones,24,Powys,GBR,00:54:20,03:28:08,02:17:06,00:07:55,00:06:23,06:53:52
ironman-70.3-staffordshire-20160612.csv,57,Briony King,22,Gloucestershire,AUS,00:39:59,03:17:20,02:25:21,00:06:22,00:02:35,06:31:37
ironman-70.3-staffordshire-20160612.csv,58,Neli Miteva,23,London,BGR,00:42:56,04:26:38,02:18:01,00:09:00,00:04:37,07:41:12
ironman-70.3-staffordshire-20160612.csv,59,Alexandra Symonds,23,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,60,Hannah Witchalls,24,---,GBR,00:44:21,03:42:41,02:07:35,00:06:20,00:02:52,06:43:49
ironman-70.3-staffordshire-20160612.csv,62,Dionne Allen,27,---,GBR,00:33:00,02:52:47,01:33:30,00:04:22,00:01:59,05:05:38
ironman-70.3-staffordshire-20160612.csv,63,Andrea Bachand,29,Berkshire,CAN,00:35:17,03:11:02,01:42:24,00:05:38,00:02:17,05:36:38
ironman-70.3-staffordshire-20160612.csv,64,Abigail Bagshaw,25,Staffs,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,65,Fiona Barnes,29,---,GBR,00:36:01,03:12:24,02:34:45,00:08:02,00:09:54,06:41:06
ironman-70.3-staffordshire-20160612.csv,66,Laura Barton,27,Isle of Wight,GBR,00:41:54,03:32:29,02:15:52,00:10:30,00:05:27,06:46:12
ironman-70.3-staffordshire-20160612.csv,67,Jennifer Bedford,29,---,GBR,00:33:48,03:07:00,01:49:05,00:07:11,00:03:04,05:40:08
ironman-70.3-staffordshire-20160612.csv,68,Laura Belfield,28,cheshire,GBR,00:55:31,03:30:21,02:05:32,00:08:11,00:07:38,06:47:13
ironman-70.3-staffordshire-20160612.csv,69,Lucy Bevan,26,London,GBR,00:41:35,03:37:22,02:11:33,00:05:39,00:03:36,06:39:45
ironman-70.3-staffordshire-20160612.csv,70,Jade Boggia,27,---,GBR,00:35:50,02:57:23,02:21:04,00:06:17,00:05:22,06:05:56
ironman-70.3-staffordshire-20160612.csv,71,Harriet Bowyer,25,---,GBR,00:34:48,03:10:50,01:51:15,00:04:58,00:02:15,05:44:06
ironman-70.3-staffordshire-20160612.csv,72,Eleanor Broderick,28,Newark,GBR,00:52:56,04:17:01,02:52:15,00:13:29,00:08:36,08:24:17
ironman-70.3-staffordshire-20160612.csv,73,Laura Butcher,27,County,GBR,00:39:59,03:51:35,02:18:26,00:11:32,00:06:10,07:07:42
ironman-70.3-staffordshire-20160612.csv,74,Aimee Campbell,26,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,75,Jenny Chancellor,29,---,GBR,00:41:14,03:41:00,02:33:00,00:06:31,00:04:56,07:06:41
ironman-70.3-staffordshire-20160612.csv,76,Tanya Checkley,26,Leicestershire,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,77,Kerry Crook,29,West Midlands,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,78,Maggie Debicka,28,London,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,79,Kate Edmond,29,---,GBR,00:36:41,03:28:21,02:04:26,00:09:28,00:07:59,06:26:55
ironman-70.3-staffordshire-20160612.csv,80,Victoria Elmer,27,Dorset,GBR,00:32:01,02:51:05,02:06:42,00:05:19,00:02:54,05:38:01
ironman-70.3-staffordshire-20160612.csv,81,Sarah Frodsham,27,Shropshire,GBR,00:44:01,03:09:29,---,00:08:31,---,DNF
ironman-70.3-staffordshire-20160612.csv,82,Grace Fuller,27,Herts,GBR,00:39:36,03:36:30,02:12:23,00:06:49,00:06:06,06:41:24
ironman-70.3-staffordshire-20160612.csv,83,Shirin Gerami,27,---,IRN,00:34:13,03:03:54,02:01:15,00:05:39,00:03:14,05:48:15
ironman-70.3-staffordshire-20160612.csv,84,Aisling Gilchrist,28,London,IRL,00:35:58,03:11:28,01:58:16,00:06:26,00:03:55,05:56:03
ironman-70.3-staffordshire-20160612.csv,85,Katie Green,---,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,86,Jamey Henderson,28,United Kingdom,GBR,00:34:13,03:06:59,01:54:40,00:05:16,00:02:41,05:43:49
ironman-70.3-staffordshire-20160612.csv,87,Shelley Hobson,29,Greater Manchester,GBR,00:46:34,04:10:44,02:40:21,00:10:03,00:08:10,07:55:52
ironman-70.3-staffordshire-20160612.csv,88,Sophie Holt,28,---,GBR,00:36:37,03:21:41,02:15:27,00:06:46,00:04:31,06:25:02
ironman-70.3-staffordshire-20160612.csv,89,Hannah Jones,28,---,GBR,00:45:35,03:37:45,02:47:41,00:08:50,00:06:39,07:26:30
ironman-70.3-staffordshire-20160612.csv,90,Victoria Jones,27,---,GBR,00:32:23,03:08:22,01:49:13,00:05:48,00:05:09,05:40:55
ironman-70.3-staffordshire-20160612.csv,91,May Kirkby,27,---,GBR,00:41:29,03:25:44,02:40:52,00:06:56,00:04:06,06:59:07
ironman-70.3-staffordshire-20160612.csv,92,Ella Matthews,25,---,GBR,00:42:11,03:30:44,01:59:57,00:06:07,00:03:27,06:22:26
ironman-70.3-staffordshire-20160612.csv,93,Megan Mccall,29,---,GBR,00:40:01,03:23:34,02:06:32,00:11:41,00:07:12,06:29:00
ironman-70.3-staffordshire-20160612.csv,94,Zoe Mortemore,28,---,GBR,00:35:21,03:11:58,01:52:44,00:04:40,00:02:18,05:47:01
ironman-70.3-staffordshire-20160612.csv,95,Joanna Muddle,25,---,GBR,00:32:34,02:59:18,01:46:33,00:04:24,00:01:52,05:24:41
ironman-70.3-staffordshire-20160612.csv,96,Sherrie Norman,25,---,GBR,00:41:23,03:25:55,02:26:58,00:08:00,00:05:08,06:47:24
ironman-70.3-staffordshire-20160612.csv,97,Polly O'Gorman,25,Cheshire,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,98,Laura Page,26,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,99,Rhianna Parkinson,25,Lancashire,GBR,00:39:49,03:28:00,02:18:44,00:06:14,00:03:57,06:36:44
ironman-70.3-staffordshire-20160612.csv,100,Aneesha Patel,26,Non-US/Other,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,101,Geri Perkins,28,Northants,GBR,00:42:50,03:05:59,01:57:50,00:07:16,00:04:13,05:58:08
ironman-70.3-staffordshire-20160612.csv,102,Sara Powell,24,- -,GBR,00:39:55,03:23:44,02:26:01,00:07:40,00:04:53,06:42:13
ironman-70.3-staffordshire-20160612.csv,103,Hazel Reader,29,---,GBR,00:42:13,03:25:54,02:13:08,00:07:07,00:05:39,06:34:01
ironman-70.3-staffordshire-20160612.csv,104,Naomi Robertson,29,---,GBR,00:34:08,03:20:37,01:54:24,00:05:21,00:04:37,05:59:07
ironman-70.3-staffordshire-20160612.csv,105,Judith Robinson,26,Cambridgeshire,GBR,00:42:48,03:03:35,02:15:14,00:06:40,00:04:29,06:12:46
ironman-70.3-staffordshire-20160612.csv,106,Emma Sowden,29,---,GBR,00:49:40,03:22:40,02:34:43,00:07:32,00:02:35,06:57:10
ironman-70.3-staffordshire-20160612.csv,107,Ruth Stirling,28,---,GBR,00:40:55,03:41:00,03:03:28,00:06:50,00:05:36,07:37:49
ironman-70.3-staffordshire-20160612.csv,108,Rebecca Tomlinson,28,---,GBR,00:45:23,03:31:31,01:56:51,00:06:41,00:04:57,06:25:23
ironman-70.3-staffordshire-20160612.csv,109,Hannah Vaughan,25,Surrey,GBR,00:39:53,03:21:52,02:07:02,00:06:42,00:03:07,06:18:36
ironman-70.3-staffordshire-20160612.csv,110,Amy Walker,28,---,GBR,00:45:43,03:35:27,02:05:44,00:08:57,00:07:58,06:43:49
ironman-70.3-staffordshire-20160612.csv,111,Harriet Welch,26,---,GBR,00:42:24,03:48:15,02:32:28,00:06:58,00:04:07,07:14:12
ironman-70.3-staffordshire-20160612.csv,112,Addie Withall,28,---,ROU,01:04:18,---,---,00:08:02,---,DNF
ironman-70.3-staffordshire-20160612.csv,113,Emma Woodings,29,---,GBR,00:43:59,02:54:07,01:44:17,00:06:02,00:03:17,05:31:42
ironman-70.3-staffordshire-20160612.csv,114,Sharon Simpson,28,---,GBR,00:43:47,03:15:47,02:39:35,00:12:00,00:10:44,07:01:53
ironman-70.3-staffordshire-20160612.csv,115,Lucy Allen,30,---,GBR,00:39:00,03:39:01,02:40:16,00:08:25,00:04:28,07:11:10
ironman-70.3-staffordshire-20160612.csv,116,Laura Ansell,30,Kent,GBR,00:40:25,05:46:26,---,00:09:32,---,DNF
ironman-70.3-staffordshire-20160612.csv,117,Laura Baskeyfield,30,---,GBR,---,---,---,---,---,DNS
ironman-70.3-staffordshire-20160612.csv,118,Karen Bayliss,34,Pembrokeshire,GBR,00:41:32,03:44:34,02:46:10,00:09:35,00:05:46,07:27:37
ironman-70.3-staffordshire-20160612.csv,119,Sarah Beale,34,---,GBR,00:48:34,02:59:35,01:49:43,00:04:38,00:03:00,05:45:30
ironman-70.3-staffordshire-20160612.csv,120,Natasha Blunt,29,---,GBR,00:42:14,03:29:54,01:59:47,00:05:04,00:04:34,06:21:33
ironman-70.3-staffordshire-20160612.csv,121,Sarah Bowler,33,Lancashire,GBR,00:52:43,03:36:58,02:44:53,00:08:30,00:07:05,07:30:09
ironman-70.3-staffordshire-20160612.csv,122,Laura Bradley,33,---,GBR,00:45:27,03:25:06,02:16:27,00:07:23,00:04:13,06:38:36
