#ironman-70.3-steelhead-20140810.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-steelhead-20140810.csv,1,Lionel Sanders,28,ON,CAN,00:29:42,02:00:41,01:12:36,00:01:51,00:01:23,03:46:13
ironman-70.3-steelhead-20140810.csv,2,Igor Amorelli,31,Santa Catarina,BRA,00:25:00,02:05:22,01:22:12,00:02:03,00:01:23,03:56:00
ironman-70.3-steelhead-20140810.csv,3,Wes Anderson,34,IA,USA,00:27:32,02:11:06,01:27:30,00:02:03,00:01:28,04:09:39
ironman-70.3-steelhead-20140810.csv,4,Ryan Bates,36,FL,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,5,Adam Bohach,32,IA,USA,00:28:49,02:13:18,01:16:30,00:02:14,00:01:49,04:02:40
ironman-70.3-steelhead-20140810.csv,6,Karl Bordine,41,CA,USA,00:28:10,02:08:42,01:31:49,00:02:12,00:01:31,04:12:24
ironman-70.3-steelhead-20140810.csv,9,Fabio Carvalho,37,Intl State,BRA,00:25:07,02:07:59,---,00:01:52,00:01:35,DNF
ironman-70.3-steelhead-20140810.csv,10,Nicholas Chase,30,FL,USA,00:30:55,02:12:41,01:31:38,00:02:04,00:01:31,04:18:49
ironman-70.3-steelhead-20140810.csv,11,James Cotter,34,TX,NZL,00:25:06,02:13:34,01:17:05,00:02:22,00:01:47,03:59:54
ironman-70.3-steelhead-20140810.csv,12,Mario De Elias,31,Buenos Aires,ARG,00:27:28,02:11:01,01:16:32,00:02:03,00:01:33,03:58:37
ironman-70.3-steelhead-20140810.csv,13,Robert Duncan,33,IN,USA,00:34:57,02:23:28,---,00:02:55,---,DNF
ironman-70.3-steelhead-20140810.csv,14,Paul Eicher,25,WI,USA,00:27:30,02:27:43,01:33:02,00:02:11,00:04:26,04:34:52
ironman-70.3-steelhead-20140810.csv,15,Thomas Gerlach,35,WI,USA,00:29:18,02:14:14,01:21:29,00:02:14,00:01:51,04:09:06
ironman-70.3-steelhead-20140810.csv,16,Mike Hermanson,29,KY,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,17,Keith Kotar,25,TX,USA,00:32:33,02:21:32,01:20:34,00:02:18,00:01:36,04:18:33
ironman-70.3-steelhead-20140810.csv,18,Stanislav Krylov,31,FR,RUS,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,19,Tom Maliszewski,38,MI,USA,00:32:31,02:18:26,01:27:14,00:02:35,00:01:59,04:22:45
ironman-70.3-steelhead-20140810.csv,20,Justin Metzler,23,CO,USA,00:27:30,02:11:12,01:16:55,00:01:50,00:01:25,03:58:52
ironman-70.3-steelhead-20140810.csv,21,James Minnema,37,MI,USA,00:33:39,02:14:25,01:20:58,00:02:15,00:01:22,04:12:39
ironman-70.3-steelhead-20140810.csv,22,Reeven Nathan,23,IL,USA,00:27:25,02:21:36,01:38:52,00:02:07,00:01:46,04:31:46
ironman-70.3-steelhead-20140810.csv,23,Philipp Podsiedlik,28,---,AUT,00:27:22,02:11:06,01:22:21,00:02:11,00:01:31,04:04:31
ironman-70.3-steelhead-20140810.csv,24,Ryan Rau,35,MI,USA,00:31:23,02:16:40,01:25:17,00:02:14,00:01:28,04:17:02
ironman-70.3-steelhead-20140810.csv,25,Rodrigo Sepulveda San Martin,25,---,CHL,00:27:31,02:14:33,01:26:54,00:02:32,00:01:35,04:13:05
ironman-70.3-steelhead-20140810.csv,26,Jack Smith,30,VA,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,27,Tony White,31,TN,USA,00:27:25,02:17:48,01:24:28,00:02:07,00:01:55,04:13:43
ironman-70.3-steelhead-20140810.csv,28,Devin Wittig,23,ON,CAN,00:32:42,02:19:40,01:23:46,00:02:02,00:02:01,04:20:11
ironman-70.3-steelhead-20140810.csv,35,Caitlin Snow,34,MA,USA,00:28:39,02:25:30,01:20:25,00:02:18,00:01:25,04:18:17
ironman-70.3-steelhead-20140810.csv,39,Amanda Stevens,39,OK,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,40,Ashley Clifford,30,FL,USA,00:28:26,02:25:27,01:27:26,00:02:24,00:01:43,04:25:26
ironman-70.3-steelhead-20140810.csv,42,Lesley Smith,33,CO,USA,00:32:52,02:32:23,---,00:02:40,00:01:45,DNF
ironman-70.3-steelhead-20140810.csv,43,Sarah Cameto,35,CA,USA,00:29:23,02:25:42,01:30:53,00:02:36,00:01:58,04:30:32
ironman-70.3-steelhead-20140810.csv,44,Andrea Hutchins,40,MI,USA,00:36:52,---,---,---,---,DNF
ironman-70.3-steelhead-20140810.csv,45,Michelle Mighdoll,30,CA,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,46,Brittany Pierce,32,FL,USA,00:32:55,02:26:30,01:37:03,00:02:23,00:01:38,04:40:29
ironman-70.3-steelhead-20140810.csv,48,Jeanni Seymour,24,CO,ZAF,00:30:08,02:21:32,01:34:09,00:02:10,00:01:39,04:29:38
ironman-70.3-steelhead-20140810.csv,51,Miranda Tomenson,31,ON,CAN,00:28:41,02:31:00,01:31:59,00:02:29,00:01:52,04:36:01
ironman-70.3-steelhead-20140810.csv,101,Rachel Weeks,---,SC,USA,01:01:38,03:09:39,02:59:30,00:05:50,00:06:01,07:22:38
ironman-70.3-steelhead-20140810.csv,102,Caroline Gaynor,32,NC,USA,01:01:38,03:09:40,02:59:31,00:05:49,00:06:01,07:22:39
ironman-70.3-steelhead-20140810.csv,107,Della Irby,54,TX,USA,00:45:47,02:39:30,01:45:25,00:04:09,00:03:16,05:18:07
ironman-70.3-steelhead-20140810.csv,108,Karen Ponette-Maldonado,47,TX,USA,00:34:59,02:43:45,01:36:58,00:02:50,00:02:12,05:00:44
ironman-70.3-steelhead-20140810.csv,109,Nicole Stockburger,48,WI,USA,00:41:30,02:42:04,02:20:55,00:05:32,00:04:20,05:54:21
ironman-70.3-steelhead-20140810.csv,110,Black Larry,58,FL,USA,00:29:32,02:29:52,01:39:15,00:03:00,00:02:53,04:44:32
ironman-70.3-steelhead-20140810.csv,111,Bruce Williams,58,OH,USA,00:30:43,02:28:29,01:40:46,00:03:11,00:01:57,04:45:06
ironman-70.3-steelhead-20140810.csv,112,Bob Recinto,---,IN,USA,00:43:48,02:37:36,02:10:05,00:03:57,00:03:13,05:38:39
ironman-70.3-steelhead-20140810.csv,113,Steven Maves,56,IN,USA,00:37:58,02:31:08,01:29:56,00:03:50,00:01:55,04:44:47
ironman-70.3-steelhead-20140810.csv,114,Brock Gibbs,48,QC,CAN,00:35:53,02:19:00,01:25:37,00:03:05,00:02:26,04:26:01
ironman-70.3-steelhead-20140810.csv,115,Paul Linck,51,GA,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,116,Aaron Acuna,30,IL,USA,00:28:20,02:20:34,01:28:45,00:02:41,00:02:21,04:22:41
ironman-70.3-steelhead-20140810.csv,117,Wes Hargrove,35,GA,USA,00:35:03,02:28:02,01:27:08,00:02:46,00:01:53,04:34:52
ironman-70.3-steelhead-20140810.csv,118,Nate Littlefield,33,IN,USA,00:34:46,02:18:30,01:37:54,00:02:53,00:02:26,04:36:29
ironman-70.3-steelhead-20140810.csv,119,Mark Beckwith,38,IL,USA,00:29:51,02:14:42,01:27:57,00:02:28,00:01:53,04:16:51
ironman-70.3-steelhead-20140810.csv,120,Michael Dybala,41,QC,CAN,00:33:44,02:20:57,01:40:14,00:02:59,00:02:15,04:40:09
ironman-70.3-steelhead-20140810.csv,121,Antonio Ferreira Da Silva Neto,37,---,BRA,00:28:00,02:11:55,01:26:22,00:02:50,00:02:11,04:11:18
ironman-70.3-steelhead-20140810.csv,122,Scott Iott,40,IL,USA,00:32:02,02:08:56,01:25:11,00:02:44,00:01:24,04:10:17
ironman-70.3-steelhead-20140810.csv,123,Dean Johnson,40,CA,GBR,00:35:52,02:19:55,01:28:08,00:02:43,00:02:36,04:29:14
ironman-70.3-steelhead-20140810.csv,124,Denis Martins,36,DF,BRA,00:31:27,02:16:56,01:29:37,00:02:53,00:01:50,04:22:43
ironman-70.3-steelhead-20140810.csv,125,Dan Stubleski,40,MI,USA,00:30:27,02:04:37,01:16:30,00:02:37,00:01:58,03:56:09
ironman-70.3-steelhead-20140810.csv,126,Harold Wilson,38,TX,USA,00:31:23,02:18:05,02:35:31,00:02:58,00:02:13,05:30:10
ironman-70.3-steelhead-20140810.csv,127,Neal Fisher,42,ON,CAN,00:37:05,02:25:43,02:19:07,00:04:36,00:02:41,05:29:12
ironman-70.3-steelhead-20140810.csv,128,Dave Hunnius,42,IL,USA,00:34:25,02:22:48,01:26:19,00:04:21,00:02:22,04:30:15
ironman-70.3-steelhead-20140810.csv,129,Brandon Kambach,43,FL,USA,00:43:03,02:39:02,01:58:01,00:04:17,00:03:12,05:27:35
ironman-70.3-steelhead-20140810.csv,130,Bruce Long,45,MO,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20140810.csv,131,Jon Lott,43,IL,USA,00:34:06,02:21:09,01:42:22,00:03:11,00:03:05,04:43:53
ironman-70.3-steelhead-20140810.csv,132,Brian Mann,44,NC,USA,00:41:44,02:25:59,01:45:43,00:04:11,00:03:15,05:00:52
ironman-70.3-steelhead-20140810.csv,133,Susan Ford,51,TN,USA,00:40:56,02:48:22,01:45:56,00:04:17,00:03:02,05:22:33
ironman-70.3-steelhead-20140810.csv,134,Kim Michael-Lee,52,IL,USA,00:58:56,02:42:50,02:25:53,00:05:17,00:02:49,06:15:45
ironman-70.3-steelhead-20140810.csv,135,Monte Hitchcock,66,IN,USA,00:38:24,02:50:06,01:54:13,00:04:15,00:02:43,05:29:41
ironman-70.3-steelhead-20140810.csv,136,Gerald Steinhoff,62,IN,USA,00:43:14,02:28:48,01:54:51,00:04:59,00:03:48,05:15:40
ironman-70.3-steelhead-20140810.csv,137,Ileana Paul,48,ON,CAN,00:44:35,02:44:43,01:58:56,00:04:16,00:03:22,05:35:52
ironman-70.3-steelhead-20140810.csv,138,Tanya Philp,46,---,CAN,00:36:38,02:37:25,01:52:08,00:04:55,00:03:32,05:14:38
ironman-70.3-steelhead-20140810.csv,139,Daniel Dungan,59,IL,USA,00:37:57,02:30:45,01:49:13,00:03:42,00:02:43,05:04:20
ironman-70.3-steelhead-20140810.csv,140,Wyman Roberts,57,---,USA,00:39:47,02:35:23,01:54:30,00:04:02,00:02:30,05:16:12
ironman-70.3-steelhead-20140810.csv,141,Mark Slade,56,MI,USA,00:44:08,03:01:15,02:51:33,00:07:13,00:05:03,06:49:12
ironman-70.3-steelhead-20140810.csv,142,Pamela Allan,41,ON,CAN,00:40:15,02:42:13,01:51:37,00:04:40,00:02:58,05:21:43
ironman-70.3-steelhead-20140810.csv,143,Heather Cadorette,41,MI,USA,00:33:32,02:37:44,01:53:14,00:03:29,00:02:12,05:10:11
ironman-70.3-steelhead-20140810.csv,144,Dawn Kussow,43,WI,USA,00:35:53,02:39:51,01:51:39,00:03:24,00:02:25,05:13:12
