#File=ironman-70.3-steelhead-20170813.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-steelhead-20170813.csv,1,Joe Gambles,35,CO,AUS,00:27:08,02:05:08,01:15:02,00:02:01,00:02:02,03:51:21
ironman-70.3-steelhead-20170813.csv,2,Igor Amorelli,32,Santa Catarina,BRA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,3,Andrew Starykowicz,35,IL,USA,00:26:14,01:58:30,01:18:08,00:02:06,00:01:59,03:46:57
ironman-70.3-steelhead-20170813.csv,4,Andreas Raelert,41,---,DEU,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,5,Matt Hanson,32,IA,USA,00:27:32,02:06:30,01:10:50,00:01:56,00:02:20,03:49:08
ironman-70.3-steelhead-20170813.csv,6,Kyle Buckingham,33,---,ZAF,00:27:29,02:06:38,01:16:07,00:01:56,00:02:07,03:54:17
ironman-70.3-steelhead-20170813.csv,7,Leon Griffin,37,CO,AUS,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,8,Matt Russell,34,FL,USA,00:28:45,02:07:54,01:19:34,00:01:54,00:02:14,04:00:21
ironman-70.3-steelhead-20170813.csv,9,Tj Tollakson,37,IA,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,10,Kevin Collington,32,FL,USA,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,11,Taylor Reid,26,ON,CAN,00:28:55,---,---,00:02:00,---,DNF
ironman-70.3-steelhead-20170813.csv,12,Cameron Wurf,34,TAS,AUS,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,13,Bryan Rhodes,44,CAN,NZL,---,---,---,---,---,DNS
ironman-70.3-steelhead-20170813.csv,14,James Hadley,37,CO,GBR,00:26:58,02:05:22,01:19:45,00:02:04,00:02:15,03:56:24
ironman-70.3-steelhead-20170813.csv,15,Jackson Laundry,24,ON,CAN,00:27:25,02:05:00,01:17:18,00:01:44,00:01:54,03:53:21
ironman-70.3-steelhead-20170813.csv,16,Mario De Elias,32,Buenos Aires,ARG,---,---,---,---,---,DNS
