#File=ironman-70.3-subic-bay-philippines-20170312.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-subic-bay-philippines-20170312.csv,1,Tim Reed,32,NSW,AUS,00:23:31,02:07:15,01:16:15,00:02:16,00:01:00,03:50:17
ironman-70.3-subic-bay-philippines-20170312.csv,2,Craig Alexander,43,NSW,AUS,00:23:28,02:07:13,01:14:54,00:02:19,00:01:03,03:48:57
ironman-70.3-subic-bay-philippines-20170312.csv,3,Tim Van Berkel,32,NSW,AUS,00:24:42,02:05:55,01:20:52,00:02:18,00:01:05,03:54:52
ironman-70.3-subic-bay-philippines-20170312.csv,4,Sam Betten,28,QLD,AUS,00:23:22,02:07:23,01:24:28,00:02:26,00:00:54,03:58:33
ironman-70.3-subic-bay-philippines-20170312.csv,5,Kevin Collington,32,FL,USA,00:23:26,02:07:30,01:18:07,00:02:12,00:00:56,03:52:11
ironman-70.3-subic-bay-philippines-20170312.csv,6,Guy Crawford,37,ID,NZL,00:24:50,02:15:43,01:25:40,00:02:14,00:01:14,04:09:41
ironman-70.3-subic-bay-philippines-20170312.csv,7,Jason Hall,24,NZ,NZL,00:24:57,02:27:13,01:28:15,00:02:16,00:01:06,04:23:47
ironman-70.3-subic-bay-philippines-20170312.csv,9,Johannes Moldan,28,---,DEU,00:25:00,02:05:32,01:33:23,00:02:13,00:01:23,04:07:31
ironman-70.3-subic-bay-philippines-20170312.csv,10,Ritchie Nicholls,29,Derry,GBR,00:24:53,02:18:14,01:16:46,00:02:10,00:01:08,04:03:11
ironman-70.3-subic-bay-philippines-20170312.csv,11,Sven Riederer,35,---,CHE,00:23:27,02:07:14,01:18:18,00:02:08,00:00:57,03:52:04
ironman-70.3-subic-bay-philippines-20170312.csv,12,Till Schramm,31,---,DEU,00:27:28,02:18:55,01:24:09,00:02:35,00:01:39,04:14:46
ironman-70.3-subic-bay-philippines-20170312.csv,15,Benjamin Williams,33,HI,USA,00:27:20,02:24:35,01:25:08,00:02:18,00:01:12,04:20:33
ironman-70.3-subic-bay-philippines-20170312.csv,18,Ruedi Wild,34,---,CHE,00:23:35,02:07:22,01:14:07,00:02:08,00:01:12,03:48:24
ironman-70.3-subic-bay-philippines-20170312.csv,19,Iain Alexandridis,23,NJ,USA,00:24:55,02:14:10,01:22:23,00:02:16,00:01:08,04:04:52
ironman-70.3-subic-bay-philippines-20170312.csv,20,Kyle Buckingham,33,---,ZAF,00:24:20,02:06:17,01:25:26,00:02:36,00:01:07,03:59:46
ironman-70.3-subic-bay-philippines-20170312.csv,21,Caroline Claudia Steffen,38,NSW,CHE,00:26:18,02:26:54,01:29:01,00:02:34,00:01:08,04:25:55
ironman-70.3-subic-bay-philippines-20170312.csv,22,Radka Kahlefeldt,32,QLD,CZE,00:26:20,02:26:50,01:25:24,00:02:31,00:01:08,04:22:13
ironman-70.3-subic-bay-philippines-20170312.csv,23,Dimity Lee Duke,33,WA,AUS,00:29:20,02:27:49,01:40:29,00:03:02,00:01:17,04:41:57
ironman-70.3-subic-bay-philippines-20170312.csv,25,Kate Bevilaqua,39,WA,AUS,00:27:44,02:36:05,01:39:11,00:02:55,00:01:34,04:47:29
ironman-70.3-subic-bay-philippines-20170312.csv,26,Sarah Lester,31,VIC,AUS,00:31:38,02:43:27,01:40:03,00:02:48,00:01:23,04:59:19
ironman-70.3-subic-bay-philippines-20170312.csv,27,Michael Raelert,36,---,DEU,00:23:25,02:07:12,01:17:37,00:02:11,00:05:52,03:56:17
ironman-70.3-subic-bay-philippines-20170312.csv,28,Jake Montgomery,22,QLD,AUS,00:23:23,02:05:40,01:31:48,00:02:22,00:01:17,04:04:30
ironman-70.3-subic-bay-philippines-20170312.csv,31,August Benedicto,32,Tarlac,PHL,00:30:30,02:24:57,01:26:55,00:02:22,00:00:58,04:25:42
ironman-70.3-subic-bay-philippines-20170312.csv,34,Madhurjya Borah,36,Karnataka,IND,00:32:38,02:47:22,01:44:28,00:02:59,00:01:53,05:09:20
ironman-70.3-subic-bay-philippines-20170312.csv,35,Benjamin Rana,31,Laguna,PHL,00:31:53,02:30:43,01:42:49,00:02:31,00:01:20,04:49:16
ironman-70.3-subic-bay-philippines-20170312.csv,41,Monica Torres,32,Intl State,PHL,00:37:15,---,---,00:02:40,---,DNF
ironman-70.3-subic-bay-philippines-20170312.csv,42,Jenny Rose Guerrero,32,Quezon City,PHL,00:31:34,02:49:05,01:48:46,00:03:10,00:01:48,05:14:23
ironman-70.3-subic-bay-philippines-20170312.csv,101,Karl Greyson Le,19,Cebu,PHL,00:36:35,02:40:57,01:43:49,00:02:50,00:01:51,05:06:02
ironman-70.3-subic-bay-philippines-20170312.csv,102,Brady Wicks,20,HI,USA,00:45:30,03:42:15,02:57:19,00:03:51,00:02:44,07:31:39
ironman-70.3-subic-bay-philippines-20170312.csv,103,Malvin Mijares,20,NCR,PHL,00:39:35,03:36:48,02:39:04,00:05:16,00:02:29,07:03:12
ironman-70.3-subic-bay-philippines-20170312.csv,106,Eli John Razon,21,apalit pampanga,PHL,00:48:44,03:06:22,03:00:42,00:07:37,00:05:03,07:08:28
ironman-70.3-subic-bay-philippines-20170312.csv,107,Mike Anthony Visitacion,21,Ilocos Norte,PHL,00:45:47,04:03:29,03:35:35,00:04:52,00:03:59,DNF
ironman-70.3-subic-bay-philippines-20170312.csv,108,Jeric Marchito,21,Tarlac Tarlac,PHL,00:46:23,02:57:34,02:54:26,00:03:58,00:01:57,06:44:18
ironman-70.3-subic-bay-philippines-20170312.csv,109,Dalton Muchow,21,HI,USA,00:34:19,03:02:08,02:13:23,00:05:57,00:03:58,05:59:45
ironman-70.3-subic-bay-philippines-20170312.csv,110,Jard Evans Garcia,22,NCR,PHL,00:44:01,03:28:09,02:31:06,00:05:44,00:03:28,06:52:28
ironman-70.3-subic-bay-philippines-20170312.csv,111,Paul Teddie Magpantay,23,Bulacan,PHL,00:41:32,03:26:50,03:40:07,00:04:52,00:04:50,07:58:11
ironman-70.3-subic-bay-philippines-20170312.csv,112,Kennyl Labatos,23,Cebu,PHL,00:44:37,03:38:55,03:21:25,00:06:42,00:03:04,07:54:43
ironman-70.3-subic-bay-philippines-20170312.csv,113,Gerwin Bryan Ong,24,Manila,PHL,00:41:16,02:48:30,02:19:24,00:03:41,00:02:18,05:55:09
ironman-70.3-subic-bay-philippines-20170312.csv,114,Riz Marc Estrada,25,Pangasinan,PHL,00:47:25,03:03:54,02:09:47,00:04:37,00:01:49,06:07:32
ironman-70.3-subic-bay-philippines-20170312.csv,116,Harley David,25,pampanga,PHL,00:43:58,02:41:20,02:03:55,00:03:11,00:03:23,05:35:47
ironman-70.3-subic-bay-philippines-20170312.csv,117,Gevaert Paul Papa,26,National capital region,PHL,00:55:23,03:07:45,02:10:27,00:06:50,00:03:34,06:23:59
ironman-70.3-subic-bay-philippines-20170312.csv,118,Justin Ambata,25,Metro Manila,PHL,00:54:49,03:33:39,02:49:34,00:07:10,00:04:42,07:29:54
ironman-70.3-subic-bay-philippines-20170312.csv,119,Jordan Timothy Tan,26,NCR,PHL,00:39:40,03:14:12,02:59:22,00:04:38,00:03:29,07:01:21
ironman-70.3-subic-bay-philippines-20170312.csv,120,Justine Edward Valderrama,26,Paco Manila,PHL,00:43:22,03:07:39,02:21:54,00:04:37,00:03:24,06:20:56
ironman-70.3-subic-bay-philippines-20170312.csv,121,Paul Norman Chan,27,taytay rizal,PHL,00:41:28,03:03:33,02:35:57,00:04:22,00:04:04,06:29:24
ironman-70.3-subic-bay-philippines-20170312.csv,122,Giorgio Mendoza,27,nueva ecija,PHL,00:37:00,02:59:01,02:34:15,00:04:22,00:01:51,06:16:29
ironman-70.3-subic-bay-philippines-20170312.csv,123,Kevin Lua,26,Metro Manila,PHL,00:27:58,03:01:00,02:21:52,00:06:06,00:02:43,05:59:39
ironman-70.3-subic-bay-philippines-20170312.csv,124,Erwyn Charles Zuniga,27,Marikina,PHL,00:47:25,03:11:29,02:07:14,00:04:46,00:01:33,06:12:27
ironman-70.3-subic-bay-philippines-20170312.csv,125,Stallone Choa,26,Metro Manila,PHL,00:46:38,03:31:10,02:33:11,00:06:50,00:04:12,07:02:01
ironman-70.3-subic-bay-philippines-20170312.csv,126,Ashley Tuazon,26,Metro manila,PHL,00:48:58,03:02:19,02:46:21,00:04:57,00:02:14,06:44:49
ironman-70.3-subic-bay-philippines-20170312.csv,127,Kevin Lapena,26,---,PHL,00:44:25,03:53:51,02:53:20,00:06:16,00:06:22,07:44:14
ironman-70.3-subic-bay-philippines-20170312.csv,128,Justin Phillippe Caro,27,nueva ecija,PHL,00:51:27,03:31:59,03:02:55,00:07:01,00:03:23,07:36:45
ironman-70.3-subic-bay-philippines-20170312.csv,129,David Andro Rivera,27,Metro Manila,PHL,00:47:23,03:37:05,03:08:52,00:10:04,00:04:49,07:48:13
ironman-70.3-subic-bay-philippines-20170312.csv,130,Ralph O'Neil Ambuchi,28,Mandaluyong,PHL,00:49:41,03:44:09,03:01:24,00:06:48,00:03:17,07:45:19
ironman-70.3-subic-bay-philippines-20170312.csv,131,Sir Karlos Cruz,27,---,PHL,00:44:10,03:34:35,03:20:03,00:05:55,00:03:50,07:48:33
ironman-70.3-subic-bay-philippines-20170312.csv,132,Aaron Arkins Borbe,27,manila,PHL,00:40:15,03:21:46,02:40:58,00:06:06,00:04:35,06:53:40
ironman-70.3-subic-bay-philippines-20170312.csv,133,Nicolie Deo Pascual,27,Pampanga,PHL,00:40:22,02:57:37,02:17:26,00:04:16,00:01:21,06:01:02
ironman-70.3-subic-bay-philippines-20170312.csv,134,Freddie Liversidge,27,CA,GBR,00:32:26,02:37:20,02:12:00,00:03:26,00:01:38,05:26:50
ironman-70.3-subic-bay-philippines-20170312.csv,135,Denis Tenchurin,28,---,SGP,00:40:26,02:43:07,01:55:19,00:04:22,00:02:14,05:25:28
ironman-70.3-subic-bay-philippines-20170312.csv,136,Chris Weeks,27,Dorset,GBR,00:29:35,02:34:01,01:56:23,00:03:03,00:01:52,05:04:54
ironman-70.3-subic-bay-philippines-20170312.csv,137,Benjamin Cranwell,27,DXB,GBR,00:27:51,03:03:12,02:09:07,00:02:43,00:02:09,05:45:02
ironman-70.3-subic-bay-philippines-20170312.csv,138,Rulf Valera,27,"Taytay, Rizal",PHL,00:40:20,03:28:38,03:06:23,00:06:53,00:05:29,07:27:43
ironman-70.3-subic-bay-philippines-20170312.csv,139,Peter Campos Villocino,27,DAVAO CITY,PHL,00:35:02,02:52:18,02:11:02,00:03:33,00:03:16,05:45:11
ironman-70.3-subic-bay-philippines-20170312.csv,140,Lloyd Moffatt,28,---,AUS,00:41:11,02:59:49,02:38:45,00:05:36,00:04:41,06:30:02
ironman-70.3-subic-bay-philippines-20170312.csv,141,Naune Elison Mejares,28,Cebu,PHL,00:36:12,02:46:06,01:51:12,00:03:44,00:02:05,05:19:19
ironman-70.3-subic-bay-philippines-20170312.csv,142,Alvin Cera,29,Batangas,PHL,00:51:27,03:19:53,03:14:35,00:07:22,00:03:30,07:36:47
ironman-70.3-subic-bay-philippines-20170312.csv,143,Norman Resurreccion,28,taytay rizal,PHL,00:38:01,02:38:43,02:10:25,00:03:50,00:01:49,05:32:48
ironman-70.3-subic-bay-philippines-20170312.csv,144,Regie Boljoran,28,manila,PHL,00:37:50,02:51:43,02:23:56,00:03:36,00:01:56,05:59:01
ironman-70.3-subic-bay-philippines-20170312.csv,145,Rj Chua,28,Ilocos Norte,PHL,00:46:02,02:57:26,02:42:53,00:05:05,00:01:53,06:33:19
ironman-70.3-subic-bay-philippines-20170312.csv,146,Calel Bustamante,28,Taguig City,PHL,00:42:10,03:24:58,02:41:03,00:04:51,00:04:50,06:57:52
ironman-70.3-subic-bay-philippines-20170312.csv,147,Kankan Xie,28,CA,CHN,00:48:31,03:38:26,02:37:04,00:06:56,00:06:04,07:17:01
ironman-70.3-subic-bay-philippines-20170312.csv,148,Daniel King,28,Swansea,GBR,00:44:47,03:21:05,02:55:36,00:09:35,00:05:43,07:16:46
ironman-70.3-subic-bay-philippines-20170312.csv,149,Kentaro Takagi,28,Kanagawa,JPN,00:50:54,03:19:22,02:28:03,00:08:23,00:03:55,06:50:37
ironman-70.3-subic-bay-philippines-20170312.csv,150,Kenneth Tan,28,General Santos City,PHL,00:40:44,03:04:56,02:34:18,00:05:01,00:02:39,06:27:38
ironman-70.3-subic-bay-philippines-20170312.csv,151,Kento Machida,28,Metro Manila,JPN,00:41:54,03:21:58,02:31:21,00:07:59,00:05:58,06:49:10
ironman-70.3-subic-bay-philippines-20170312.csv,153,Aiken Ting,29,olongapo,PHL,00:43:14,02:50:25,02:08:16,00:04:05,00:01:08,05:47:08
ironman-70.3-subic-bay-philippines-20170312.csv,154,Crisvic Ramos,29,Batangas,PHL,00:45:06,03:08:39,02:33:30,00:05:00,00:01:53,06:34:08
ironman-70.3-subic-bay-philippines-20170312.csv,155,Eduard De Guzman,30,nueva ecija,PHL,00:53:09,03:47:23,03:30:36,00:06:01,00:03:24,08:20:33
ironman-70.3-subic-bay-philippines-20170312.csv,156,Erastus Pan,29,Bulacan,PHL,00:41:36,02:52:36,02:15:42,00:04:24,00:02:13,05:56:31
ironman-70.3-subic-bay-philippines-20170312.csv,157,Jonats Pascual,30,Mandaluyong City,PHL,00:55:31,---,---,00:10:34,---,DNF
ironman-70.3-subic-bay-philippines-20170312.csv,158,Neil Ivan Tan,29,Cavite,PHL,00:43:19,03:40:59,02:55:35,00:04:24,00:05:44,07:30:01
ironman-70.3-subic-bay-philippines-20170312.csv,159,Nicholo Andre Villanueva,29,Batangas,PHL,00:45:02,02:53:04,03:00:44,00:04:52,00:02:42,06:46:24
ironman-70.3-subic-bay-philippines-20170312.csv,160,Jordan Arvin Ruiz,29,Valenzuela City,PHL,00:51:17,02:51:49,02:09:54,00:04:20,00:01:57,05:59:17
ironman-70.3-subic-bay-philippines-20170312.csv,161,Luiscarlo Feliciano,29,Bataan,PHL,00:48:28,03:02:58,02:11:14,00:05:05,00:02:58,06:10:43
ironman-70.3-subic-bay-philippines-20170312.csv,162,Ronn Bryan Bundoc,30,Manila,PHL,00:53:43,03:28:47,02:42:24,00:07:05,00:04:14,07:16:13
ironman-70.3-subic-bay-philippines-20170312.csv,163,Dominic Esmeralda,29,Misamis occidental,PHL,00:43:01,02:53:24,02:25:55,00:04:05,00:02:06,06:08:31
ironman-70.3-subic-bay-philippines-20170312.csv,164,Minh Quang Pham,29,Vietnam,VNM,00:42:27,02:59:55,02:01:04,00:04:58,00:02:29,05:50:53
ironman-70.3-subic-bay-philippines-20170312.csv,165,Zac Pow,29,---,SGP,00:43:27,03:28:14,02:23:01,00:03:57,00:02:50,06:41:29
ironman-70.3-subic-bay-philippines-20170312.csv,166,James Iskandar,30,"
Jakarta",IDN,00:33:35,03:09:01,02:02:59,00:06:31,00:02:25,05:54:31
ironman-70.3-subic-bay-philippines-20170312.csv,167,Jommer Louie Bolesa,29,MANILA,PHL,---,---,---,---,---,DQ
ironman-70.3-subic-bay-philippines-20170312.csv,168,Kristan Jerico Kaibigan,29,Lipa City,PHL,00:44:16,02:46:48,01:56:10,00:04:49,00:03:18,05:35:21
ironman-70.3-subic-bay-philippines-20170312.csv,169,Timothy Bonalos,29,Laguna,PHL,00:45:35,03:31:18,02:48:28,00:07:21,00:04:23,07:17:05
ironman-70.3-subic-bay-philippines-20170312.csv,170,Lew Francisco,31,nueva ecija,PHL,00:51:32,03:12:59,02:19:38,00:05:05,00:01:51,06:31:05
