#ironman-70.3-sunshine-coast-20140914.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-sunshine-coast-20140914.csv,1,Pete Jacobs,34,QLD,AUS,00:23:42,02:07:23,01:14:19,00:01:39,00:00:45,03:47:48
ironman-70.3-sunshine-coast-20140914.csv,2,Bradley Kahlefeldt,37,NSW,AUS,00:23:48,02:07:22,01:17:47,00:01:37,00:00:49,03:51:23
ironman-70.3-sunshine-coast-20140914.csv,3,Clayton Fettell,30,NSW,AUS,00:23:48,02:07:23,---,00:01:35,00:00:56,DNF
ironman-70.3-sunshine-coast-20140914.csv,4,Courtney Atkinson,37,---,AUS,00:23:42,02:07:31,01:12:08,00:01:31,00:00:44,03:45:36
ironman-70.3-sunshine-coast-20140914.csv,5,Casey Munro,31,QLD,AUS,00:23:50,02:07:16,01:21:46,00:01:42,00:00:57,03:55:31
ironman-70.3-sunshine-coast-20140914.csv,6,Dan Wilson,31,---,AUS,00:23:42,02:07:25,01:12:01,00:01:40,00:00:48,03:45:36
ironman-70.3-sunshine-coast-20140914.csv,7,Michael Fox,27,NSW,AUS,00:23:51,02:15:57,01:22:41,00:01:43,00:00:48,04:05:00
ironman-70.3-sunshine-coast-20140914.csv,8,Luke Bell,37,VIC,AUS,00:23:56,02:07:12,01:19:40,00:01:43,00:00:55,03:53:26
ironman-70.3-sunshine-coast-20140914.csv,10,Luke Whitmore,35,VIC,AUS,00:27:07,02:19:34,01:21:24,00:01:49,00:01:04,04:10:58
ironman-70.3-sunshine-coast-20140914.csv,11,Mark Bowstead,27,---,NZL,00:24:31,02:10:18,01:20:10,00:01:47,00:00:56,03:57:42
ironman-70.3-sunshine-coast-20140914.csv,12,Brad Clark,38,QLD,AUS,00:26:04,02:14:16,01:20:45,00:01:45,00:01:00,04:03:50
ironman-70.3-sunshine-coast-20140914.csv,15,Nicholas Hull,29,QLD,AUS,00:24:48,02:14:58,01:17:48,00:01:43,00:00:46,04:00:03
ironman-70.3-sunshine-coast-20140914.csv,16,Lachlan Kerin,21,VIC,AUS,00:26:00,02:14:20,01:24:22,00:01:46,00:01:04,04:07:32
ironman-70.3-sunshine-coast-20140914.csv,17,Josh Rix,37,---,AUS,00:25:37,02:18:12,01:26:39,00:01:54,00:00:56,04:13:18
ironman-70.3-sunshine-coast-20140914.csv,19,Lindsey Wall,27,---,AUS,00:23:53,02:15:57,01:22:00,00:01:40,00:00:52,04:04:22
ironman-70.3-sunshine-coast-20140914.csv,20,Brad Wauer,25,SA,AUS,00:26:02,02:17:48,01:28:03,00:01:57,00:01:06,04:14:56
ironman-70.3-sunshine-coast-20140914.csv,21,Tim Green,33,QLD,AUS,00:24:01,02:16:08,01:23:40,00:01:59,00:00:50,04:06:38
ironman-70.3-sunshine-coast-20140914.csv,31,Gina Crawford,35,Canterbury,NZL,00:27:03,02:25:11,01:24:02,00:02:01,00:01:12,04:19:29
ironman-70.3-sunshine-coast-20140914.csv,32,Caroline Steffen,37,QLD,CHE,00:26:06,02:24:42,01:18:40,00:01:43,00:00:55,04:12:06
ironman-70.3-sunshine-coast-20140914.csv,33,Radka Vodickova,31,Intl State,CZE,00:25:43,02:24:59,01:23:02,00:01:47,00:00:50,04:16:21
ironman-70.3-sunshine-coast-20140914.csv,34,Kiyomi Niwata,45,---,JPN,00:27:51,02:37:03,01:23:15,00:01:53,00:00:54,04:30:56
ironman-70.3-sunshine-coast-20140914.csv,35,Lisa Marangon,36,NSW,AUS,00:27:08,02:30:59,01:35:39,00:02:06,00:01:08,04:37:00
ironman-70.3-sunshine-coast-20140914.csv,36,Kym Coogan,39,QLD,AUS,00:27:42,02:31:01,01:30:30,00:02:01,00:01:15,04:32:29
ironman-70.3-sunshine-coast-20140914.csv,39,Michelle Wu,33,---,AUS,00:29:29,02:37:38,01:25:23,00:02:09,00:01:08,04:35:47
ironman-70.3-sunshine-coast-20140914.csv,41,Sarah Crowley,33,QLD,AUS,00:27:45,02:28:22,01:32:08,00:01:46,00:01:03,04:31:04
ironman-70.3-sunshine-coast-20140914.csv,43,Julia Grant,30,---,NZL,00:29:25,02:28:47,01:27:44,00:02:04,00:00:59,04:28:59
ironman-70.3-sunshine-coast-20140914.csv,44,Kristy Hallett,43,VIC,AUS,00:32:04,02:34:31,01:33:37,00:02:03,00:01:12,04:43:27
ironman-70.3-sunshine-coast-20140914.csv,45,Polly Hendy,28,NSW,GBR,00:27:56,02:34:16,01:27:35,00:02:13,00:01:02,04:33:02
ironman-70.3-sunshine-coast-20140914.csv,47,Rebecca Preston,37,QLD,AUS,00:29:22,02:28:41,01:27:36,00:02:04,00:01:05,04:28:48
ironman-70.3-sunshine-coast-20140914.csv,48,Matilda Raynolds,29,---,AUS,00:28:01,02:32:37,01:43:49,00:02:09,00:01:04,04:47:40
ironman-70.3-sunshine-coast-20140914.csv,49,Krystal Smith,25,---,AUS,00:29:24,02:30:38,01:47:20,00:02:12,00:01:14,04:50:48
ironman-70.3-sunshine-coast-20140914.csv,50,Christie Sym,32,NSW,AUS,00:27:51,02:46:23,---,00:01:56,00:03:29,DNF
ironman-70.3-sunshine-coast-20140914.csv,51,Tineke Stewart,29,NZ,NZL,00:30:23,02:29:43,01:34:42,00:01:48,00:00:49,04:37:25
ironman-70.3-sunshine-coast-20140914.csv,61,Nick Bernard,26,QLD,AUS,00:45:26,02:38:42,01:54:09,00:04:14,00:03:16,05:25:47
ironman-70.3-sunshine-coast-20140914.csv,62,Samuel Beveridge,26,VIC,AUS,00:30:14,02:14:57,01:26:58,00:02:50,00:01:07,04:16:06
ironman-70.3-sunshine-coast-20140914.csv,63,Michael Bingham,26,QLD,GBR,00:35:18,02:47:13,01:40:42,00:03:15,00:01:24,05:07:52
ironman-70.3-sunshine-coast-20140914.csv,64,Nathan Blunt,26,QLD,AUS,00:32:16,02:30:02,01:42:17,00:03:11,00:01:16,04:49:02
ironman-70.3-sunshine-coast-20140914.csv,65,Michael Brennan,25,NSW,AUS,00:42:06,02:54:48,02:14:45,00:04:59,00:02:49,05:59:27
ironman-70.3-sunshine-coast-20140914.csv,67,Will Carman,23,QLD,AUS,00:29:05,02:15:01,01:36:16,00:02:37,00:00:50,04:23:49
ironman-70.3-sunshine-coast-20140914.csv,68,Lachlan Cooper,26,---,AUS,00:41:18,02:55:42,02:00:19,00:04:56,00:03:58,05:46:13
ironman-70.3-sunshine-coast-20140914.csv,69,Josh Corcoran,20,---,AUS,00:46:27,03:08:56,01:59:31,00:03:39,00:05:56,06:04:29
ironman-70.3-sunshine-coast-20140914.csv,72,Jamie Edwards,26,VIC,AUS,00:29:55,02:20:26,01:39:19,00:02:12,00:01:18,04:33:10
ironman-70.3-sunshine-coast-20140914.csv,73,Luke Farrell,23,---,AUS,00:25:43,02:16:04,01:32:05,00:01:56,00:01:04,04:16:52
ironman-70.3-sunshine-coast-20140914.csv,74,Michael Fenwick-Nevin,26,VIC,AUS,00:41:33,03:01:10,02:01:18,00:04:59,00:03:48,05:52:48
ironman-70.3-sunshine-coast-20140914.csv,75,Ben Fox,26,QLD,AUS,00:46:07,02:45:47,02:04:41,00:03:14,00:02:27,05:42:16
ironman-70.3-sunshine-coast-20140914.csv,76,Tom Gallagher,26,VIC,AUS,00:31:53,02:20:10,01:45:05,00:02:18,00:01:16,04:40:42
ironman-70.3-sunshine-coast-20140914.csv,77,Chris Graham,26,QLD,AUS,00:32:10,02:25:58,01:52:26,00:02:30,00:01:39,04:54:43
ironman-70.3-sunshine-coast-20140914.csv,78,Will Hannemann,25,VIC,AUS,00:34:32,02:40:48,01:46:00,00:04:36,00:04:19,05:10:15
ironman-70.3-sunshine-coast-20140914.csv,79,Stewart Harper,34,---,AUS,00:37:01,02:41:10,02:02:50,00:03:22,00:01:55,05:26:18
ironman-70.3-sunshine-coast-20140914.csv,81,Daniel How,25,VIC,AUS,00:38:53,02:56:30,02:15:15,00:03:12,00:03:11,05:57:01
ironman-70.3-sunshine-coast-20140914.csv,82,Shane Ilgen,22,---,AUS,00:25:36,02:19:17,01:26:32,00:02:11,00:01:13,04:14:49
ironman-70.3-sunshine-coast-20140914.csv,83,Mathieson Jenkin,22,NH,AUS,00:36:22,03:01:33,02:32:44,00:04:08,00:01:16,06:16:03
ironman-70.3-sunshine-coast-20140914.csv,84,Brodie Johnco,26,NSW,AUS,00:37:54,03:01:36,02:20:21,00:04:22,00:03:10,06:07:23
ironman-70.3-sunshine-coast-20140914.csv,86,Asiri Joseph,25,QLD,AUS,00:48:48,03:31:18,02:50:38,00:05:42,00:04:05,07:20:31
ironman-70.3-sunshine-coast-20140914.csv,88,William Kitchen,26,VIC,AUS,00:33:59,02:45:00,01:44:21,00:03:50,00:03:00,05:10:10
ironman-70.3-sunshine-coast-20140914.csv,89,Logan Kramer,26,QLD,NZL,00:36:00,02:53:46,02:26:40,00:04:38,00:05:18,06:06:22
ironman-70.3-sunshine-coast-20140914.csv,90,Jeremy Lawrance,26,QLD,AUS,00:32:24,02:42:38,01:50:55,00:03:48,00:03:30,05:13:15
ironman-70.3-sunshine-coast-20140914.csv,91,Matthew Lester,25,NSW,AUS,00:32:39,02:27:59,01:58:52,00:02:25,00:01:20,05:03:15
ironman-70.3-sunshine-coast-20140914.csv,92,Benjamin Mathwin,26,QLD,AUS,00:33:18,02:39:51,01:35:30,00:02:40,00:01:27,04:52:46
ironman-70.3-sunshine-coast-20140914.csv,93,Alexander Matthews,26,VIC,AUS,00:34:35,02:38:01,01:52:10,00:03:42,00:04:09,05:12:37
ironman-70.3-sunshine-coast-20140914.csv,94,Xavier Meade,24,VIC,AUS,00:33:02,02:39:21,02:02:22,00:02:44,00:00:56,05:18:25
