#File=ironman-70.3-sunshine-coast-20150913.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-sunshine-coast-20150913.csv,2,Terenzo Bozzone,30,AUK,NZL,00:23:01,02:05:46,01:16:04,00:01:41,00:00:41,03:47:13
ironman-70.3-sunshine-coast-20150913.csv,5,Tim Van Berkel,31,NSW,AUS,00:24:05,02:04:45,01:13:11,00:01:42,00:00:45,03:44:28
ironman-70.3-sunshine-coast-20150913.csv,6,Luke Bell,36,VIC,AUS,00:23:03,02:10:49,---,00:01:47,00:01:17,DNF
ironman-70.3-sunshine-coast-20150913.csv,7,Josh Amberger,26,QLD,AUS,00:22:18,02:05:33,---,00:01:47,00:00:54,DNF
ironman-70.3-sunshine-coast-20150913.csv,8,Luke Mckenzie,34,QLD,AUS,00:23:57,02:04:38,01:15:35,00:01:48,00:00:47,03:46:45
ironman-70.3-sunshine-coast-20150913.csv,9,Alex Reithmeier,32,NSW,AUS,00:24:15,---,---,00:01:37,---,DNF
ironman-70.3-sunshine-coast-20150913.csv,10,Casey Munro,30,QLD,AUS,00:22:49,02:05:55,01:20:24,00:01:51,00:00:58,03:51:57
ironman-70.3-sunshine-coast-20150913.csv,11,Sam Betten,27,QLD,AUS,00:23:02,02:10:17,01:21:06,00:01:42,00:00:56,03:57:03
ironman-70.3-sunshine-coast-20150913.csv,12,Giles Clayton,31,QLD,AUS,00:24:07,02:21:05,01:22:50,00:01:52,00:01:05,04:10:59
ironman-70.3-sunshine-coast-20150913.csv,13,Clayton Fettell,29,NSW,AUS,00:23:00,02:05:49,01:23:39,00:01:43,00:00:38,03:54:49
ironman-70.3-sunshine-coast-20150913.csv,15,Tim Green,32,QLD,AUS,00:24:01,02:14:18,01:23:52,00:02:02,00:01:00,04:05:13
ironman-70.3-sunshine-coast-20150913.csv,16,Jarmo Hast,39,QLD,AUS,00:25:07,02:18:36,01:16:25,00:01:53,00:00:53,04:02:54
ironman-70.3-sunshine-coast-20150913.csv,17,Dylan Hill,28,---,AUS,00:27:52,02:15:30,01:19:16,00:01:57,00:01:18,04:05:53
ironman-70.3-sunshine-coast-20150913.csv,18,Jamie Huggett,25,VIC,AUS,00:24:06,02:12:13,01:15:25,00:01:45,00:00:59,03:54:28
ironman-70.3-sunshine-coast-20150913.csv,19,Nicholas Hull,28,QLD,AUS,00:25:06,02:13:00,01:16:39,00:01:45,00:00:52,03:57:22
ironman-70.3-sunshine-coast-20150913.csv,20,Lachlan Kerin,20,VIC,AUS,00:24:01,02:12:19,01:25:22,00:01:49,00:01:18,04:04:49
ironman-70.3-sunshine-coast-20150913.csv,21,Matthew Pellow,25,NSW,AUS,00:25:08,02:13:23,---,00:01:43,00:00:52,DNF
ironman-70.3-sunshine-coast-20150913.csv,22,Samuel Murphy,28,QLD,AUS,00:27:52,02:22:21,01:19:03,00:01:54,00:01:01,04:12:11
ironman-70.3-sunshine-coast-20150913.csv,23,Todd Skipworth,30,WA,AUS,00:22:45,02:10:22,01:17:16,00:01:47,00:00:54,03:53:04
