#File=ironman-70.3-switzerland-20120603.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-switzerland-20120603.csv,1,Ronnie Schildknecht,32,---,CHE,00:25:07,02:08:14,---,00:02:14,00:01:17,DNF
ironman-70.3-switzerland-20120603.csv,2,Michael Raelert,31,DE,DEU,00:22:32,02:06:48,01:12:03,00:01:50,00:01:00,03:44:13
ironman-70.3-switzerland-20120603.csv,3,Mike Aigroz,34,Other,CHE,00:23:55,02:15:01,---,00:01:57,00:12:31,DNF
ironman-70.3-switzerland-20120603.csv,4,Paul Amey,38,---,GBR,02:17:25,02:39:48,04:26:55,00:03:40,---,06:45:14
ironman-70.3-switzerland-20120603.csv,5,Cyril Viennot,29,---,FRA,00:23:53,02:14:16,01:17:40,00:02:05,00:01:09,03:59:03
ironman-70.3-switzerland-20120603.csv,6,Bart Aernouts,27,---,BEL,00:25:37,02:08:10,01:14:14,00:01:54,00:01:09,03:51:04
ironman-70.3-switzerland-20120603.csv,7,Mike Schifferle,38,---,CHE,00:28:26,02:30:40,01:27:01,00:02:15,00:02:51,04:31:13
ironman-70.3-switzerland-20120603.csv,8,Bruno Clerbout,35,---,BEL,00:23:57,02:09:36,01:14:48,00:02:08,00:01:08,03:51:37
ironman-70.3-switzerland-20120603.csv,9,Michael Wetzel,28,---,DEU,00:25:46,02:14:33,01:17:44,00:02:06,00:01:09,04:01:18
ironman-70.3-switzerland-20120603.csv,10,Sylvain Rota,28,FR,FRA,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,11,Michael Goehner,31,---,DEU,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,12,Patrick Jaberg,32,---,CHE,00:25:01,02:15:02,01:23:57,00:02:14,00:01:25,04:07:39
ironman-70.3-switzerland-20120603.csv,13,François Chabaud,40,---,FRA,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,14,Marcel Bischof,27,DE,DEU,00:26:36,02:17:20,01:19:07,00:02:06,00:01:26,04:06:35
ironman-70.3-switzerland-20120603.csv,15,Herve Faure,35,---,FRA,00:24:57,02:08:26,01:16:37,00:02:15,00:01:06,03:53:21
ironman-70.3-switzerland-20120603.csv,16,Stefan Schmid,25,---,DEU,00:26:38,02:13:36,01:17:48,00:02:07,00:01:24,04:01:33
ironman-70.3-switzerland-20120603.csv,17,Erich Kunz,33,---,CHE,00:26:31,02:13:40,01:29:52,00:02:05,00:01:22,04:13:30
ironman-70.3-switzerland-20120603.csv,18,Marty Lewinski,39,---,POL,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,19,Evgeniy Nikitin,23,russia,RUS,00:24:23,02:32:36,01:41:50,00:02:52,00:01:46,04:43:27
ironman-70.3-switzerland-20120603.csv,20,Jonathan Hotchkiss,33,---,GBR,00:26:10,02:17:38,01:23:23,00:02:18,00:01:27,04:10:56
ironman-70.3-switzerland-20120603.csv,21,Christian Jais,33,---,DEU,00:27:50,02:20:27,01:28:11,00:02:15,00:01:23,04:20:06
ironman-70.3-switzerland-20120603.csv,22,Marc-Yvan De Kaenel,27,CH,CHE,00:22:37,02:19:11,01:23:13,00:01:48,00:01:03,04:07:52
ironman-70.3-switzerland-20120603.csv,23,Stephan Vuckovic,39,DE,DEU,00:23:56,---,---,00:02:09,---,DNF
ironman-70.3-switzerland-20120603.csv,24,Boris Stein,27,---,DEU,00:25:48,02:11:32,01:14:39,00:01:54,00:01:12,03:55:05
ironman-70.3-switzerland-20120603.csv,25,Marc Widmer,27,Intl State,CHE,00:23:05,02:17:06,01:20:39,00:02:08,00:01:22,04:04:20
ironman-70.3-switzerland-20120603.csv,26,Kamil Van Beijnum,30,---,NLD,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,27,Ivan Kharin,18,Russia,RUS,00:30:42,02:29:40,01:30:00,00:03:03,00:01:38,04:35:03
ironman-70.3-switzerland-20120603.csv,28,Joni Pinosto,27,OULU,FIN,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,29,Ludovic Le Guellec,30,---,FRA,00:27:53,02:34:59,01:26:24,00:02:45,00:01:22,04:33:23
ironman-70.3-switzerland-20120603.csv,30,Cã©dric Lassonde,---,---,FRA,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,31,Benoit Menestrier,35,Intl State,FRA,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,32,Matt Ellis,---,---,GBR,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,33,Darby Thomas,28,Intl State,FIN,00:27:55,02:20:19,01:17:23,00:02:20,00:01:24,04:09:21
ironman-70.3-switzerland-20120603.csv,34,Olivier Cardoen,36,---,BEL,00:25:51,02:18:06,01:26:25,00:02:07,00:01:26,04:13:55
ironman-70.3-switzerland-20120603.csv,35,Ben Allen,27,NSW,AUS,00:23:03,02:21:09,01:17:13,00:01:54,00:01:21,04:04:40
ironman-70.3-switzerland-20120603.csv,36,Manuel Küng,24,---,CHE,00:22:32,02:15:38,01:18:06,00:02:07,00:01:14,03:59:37
ironman-70.3-switzerland-20120603.csv,37,Ueli Bieler,31,---,CHE,00:30:52,02:28:07,01:22:18,00:02:58,00:01:45,04:26:00
ironman-70.3-switzerland-20120603.csv,38,Dorian Wagner,28,---,DEU,00:23:24,---,---,00:02:04,---,DNF
ironman-70.3-switzerland-20120603.csv,39,Andreas Wolpert,32,---,DEU,00:27:51,02:20:05,01:20:48,00:02:27,00:01:36,04:12:47
ironman-70.3-switzerland-20120603.csv,40,Johann Ackermann,---,---,DEU,00:22:40,02:11:00,01:19:43,00:01:56,00:01:22,03:56:41
ironman-70.3-switzerland-20120603.csv,41,Andreas Dreitz,23,---,DEU,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,42,Raynard Tissink,38,---,ZAF,00:24:00,02:09:24,01:18:06,00:02:09,00:01:19,03:54:58
ironman-70.3-switzerland-20120603.csv,43,Horst Reichel,30,---,DEU,00:23:56,---,---,00:01:59,---,DNF
ironman-70.3-switzerland-20120603.csv,44,Andrea Salvisberg,23,---,CHE,00:22:33,02:13:18,01:22:30,00:01:48,00:01:09,04:01:18
ironman-70.3-switzerland-20120603.csv,45,Trevor Delsaut,27,---,FRA,00:25:04,---,---,00:02:12,---,DNF
ironman-70.3-switzerland-20120603.csv,51,Caroline Claudia Steffen,33,NSW,CHE,00:24:59,02:20:08,01:24:00,00:01:58,00:01:12,04:12:17
ironman-70.3-switzerland-20120603.csv,52,Simone Braendli,31,---,CHE,00:24:25,02:33:03,01:27:25,00:02:18,00:01:19,04:28:30
ironman-70.3-switzerland-20120603.csv,53,Gina Crawford,31,Canterbury,NZL,00:25:00,02:25:23,01:25:31,00:02:18,00:01:41,04:19:53
ironman-70.3-switzerland-20120603.csv,54,Katja Rabe,33,---,DEU,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,55,Sophie De Groote,29,---,BEL,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,56,Emma Kate Lidbury,32,CO,GBR,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,57,Anja Beranek,27,---,DEU,00:24:53,02:20:02,01:32:08,00:02:14,00:01:27,04:20:44
ironman-70.3-switzerland-20120603.csv,58,Francesca Tibaldi,36,Other,ITA,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,59,Dana Wagner,29,Niedersachsen,DEU,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,60,Nina Pekerman,34,Intl State,ISR,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,61,Jenny Fletcher,36,CA,CAN,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,62,Regula Rohrbach,37,---,CHE,00:26:41,02:23:21,01:30:42,00:02:54,00:01:31,04:25:09
ironman-70.3-switzerland-20120603.csv,63,Irina Kirchler,---,---,AUT,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,64,Susan Dietrich,30,---,DEU,00:27:37,02:34:00,01:33:44,00:02:17,00:01:39,04:39:17
ironman-70.3-switzerland-20120603.csv,65,Nicole Woysch,35,---,DEU,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,66,Eva Wutti,23,---,AUT,00:27:34,02:27:32,01:37:50,00:02:12,00:01:15,04:36:23
ironman-70.3-switzerland-20120603.csv,67,Erika Csomor,38,---,HUN,00:27:54,02:29:41,01:31:25,00:02:12,00:01:22,04:32:34
ironman-70.3-switzerland-20120603.csv,68,Natalie Barnard,25,---,GBR,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,69,Camilla Larsson,---,---,SWE,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,70,Christine Grammer,29,---,AUT,00:30:48,---,---,00:02:27,---,DNF
ironman-70.3-switzerland-20120603.csv,71,Michaela Giger,36,---,CHE,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,72,Celine Schaerer,22,---,CHE,00:23:23,02:36:48,01:34:11,00:02:26,00:01:28,04:38:16
ironman-70.3-switzerland-20120603.csv,73,Nicola Spirig Hug,30,CH,CHE,00:24:43,02:20:19,01:20:36,00:02:04,00:01:10,04:08:52
ironman-70.3-switzerland-20120603.csv,74,Mareen Hufe,34,---,DEU,00:29:25,02:41:28,01:36:00,00:02:43,00:01:44,04:51:20
ironman-70.3-switzerland-20120603.csv,75,Yvonne Van Vlerken,33,---,NLD,00:29:20,---,---,00:02:21,---,DNF
ironman-70.3-switzerland-20120603.csv,76,Anne Basso,28,NC,FRA,00:27:47,02:41:09,01:31:46,00:02:49,00:01:33,04:45:04
ironman-70.3-switzerland-20120603.csv,77,Lewis Tamsim,---,---,---,00:27:51,02:25:35,01:28:26,00:02:19,00:01:16,04:25:27
ironman-70.3-switzerland-20120603.csv,101,Esther Haller,---,---,CHE,00:36:58,02:48:56,01:43:35,00:03:23,00:01:56,05:14:48
ironman-70.3-switzerland-20120603.csv,102,Rahel Bättig,24,---,CHE,00:30:59,02:50:08,01:47:55,00:02:38,00:01:59,05:13:39
ironman-70.3-switzerland-20120603.csv,103,Diana Kälin,23,---,CHE,00:30:08,02:44:57,01:53:40,00:02:24,00:02:00,05:13:09
ironman-70.3-switzerland-20120603.csv,104,Jeanine Forster,24,---,CHE,00:34:53,02:56:28,02:17:09,00:03:11,00:02:01,05:53:42
ironman-70.3-switzerland-20120603.csv,105,Anna Lisa Precek,---,---,CHE,---,---,---,---,---,DNS
ironman-70.3-switzerland-20120603.csv,106,Marisa Kugler,22,DE,DEU,00:36:26,03:01:21,02:04:43,00:03:23,00:02:30,05:48:23
ironman-70.3-switzerland-20120603.csv,107,Laura Stoessel,---,---,CHE,00:33:49,02:59:42,02:12:22,00:03:12,00:01:51,05:50:56
ironman-70.3-switzerland-20120603.csv,108,Lena Steiner,21,---,CHE,00:39:32,02:55:45,02:16:08,00:03:31,00:02:40,05:57:36
