#File=ironman-70.3-taiwan-20151101.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-taiwan-20151101.csv,1,Cameron Brown,43,AUK,NZL,00:25:44,01:50:28,01:22:46,00:03:12,00:02:22,03:44:32
ironman-70.3-taiwan-20151101.csv,2,Frederik Croneborg,34,---,SWE,00:24:57,01:47:23,01:20:50,00:03:02,00:02:29,03:38:41
ironman-70.3-taiwan-20151101.csv,3,Christian Kramer,32,---,DEU,00:24:01,01:42:31,01:23:18,00:03:10,00:02:39,03:35:39
ironman-70.3-taiwan-20151101.csv,4,Paul Ambrose,31,CO,AUS,00:24:52,01:47:20,01:28:34,00:03:08,00:02:31,03:46:25
ironman-70.3-taiwan-20151101.csv,5,Guy Crawford,36,ID,NZL,00:24:00,01:42:38,01:21:24,00:03:06,00:02:35,03:33:43
ironman-70.3-taiwan-20151101.csv,6,Mitchell Robins,27,NSW,AUS,00:24:58,---,---,00:02:54,---,DNF
ironman-70.3-taiwan-20151101.csv,7,Daiki Masuda,35,KANAGAWA,JPN,00:28:35,02:21:50,01:33:36,00:03:30,00:03:13,04:30:44
ironman-70.3-taiwan-20151101.csv,8,Yu Shinozaki,31,Intl State,JPN,00:29:12,01:54:50,01:37:29,00:03:47,00:02:59,04:08:17
ironman-70.3-taiwan-20151101.csv,10,Harry Wiltshire,32,Intl State,GBR,00:23:51,01:49:25,01:31:00,00:03:07,00:02:42,03:50:05
ironman-70.3-taiwan-20151101.csv,11,Zsombor Deak,26,NSW,ROU,00:29:11,02:01:27,01:26:32,00:03:16,00:02:51,04:03:17
ironman-70.3-taiwan-20151101.csv,12,Jonathan Tryoen,29,---,FRA,00:24:05,01:58:49,01:46:42,00:03:02,00:02:46,04:15:24
ironman-70.3-taiwan-20151101.csv,13,Travis Johnston,30,Gauteng,ZAF,00:26:55,01:54:58,01:25:46,00:02:51,00:02:41,03:53:11
ironman-70.3-taiwan-20151101.csv,21,Gina Crawford,34,Canterbury,NZL,00:26:49,02:04:07,01:28:02,00:03:44,00:02:55,04:05:37
ironman-70.3-taiwan-20151101.csv,22,Dimity Lee Duke,31,WA,AUS,00:28:17,02:06:40,01:32:53,00:03:54,00:02:29,04:14:13
ironman-70.3-taiwan-20151101.csv,24,Kate Bevilaqua,38,WA,AUS,00:28:11,02:03:07,01:29:46,00:03:24,00:02:40,04:07:08
ironman-70.3-taiwan-20151101.csv,25,Kathryn Haesner,39,VIC,NZL,00:28:04,02:11:09,01:37:53,00:03:40,00:02:58,04:23:44
ironman-70.3-taiwan-20151101.csv,27,Emi Sakai,35,Tokyo,JPN,00:33:27,02:04:35,01:36:28,00:03:40,00:03:26,04:21:36
ironman-70.3-taiwan-20151101.csv,101,Chun-Chun Hung,22,---,TWN,00:45:57,02:33:52,02:24:40,00:05:15,00:03:26,05:53:10
ironman-70.3-taiwan-20151101.csv,102,Ippommatsu Shizuka,22,東京都,JPN,00:28:15,02:18:33,01:56:25,00:04:44,00:03:35,04:51:32
ironman-70.3-taiwan-20151101.csv,104,Zi Yu Yang,24,TW,TWN,00:49:07,02:55:22,03:00:14,00:09:36,00:13:09,07:07:28
ironman-70.3-taiwan-20151101.csv,105,Loan Chen,24,TW,TWN,00:41:38,02:46:59,02:39:27,00:07:45,00:08:31,06:24:20
ironman-70.3-taiwan-20151101.csv,106,Yin Sang Lai,26,kwun tong kln hk,HKG,00:38:42,02:32:00,02:07:58,00:05:04,00:04:44,05:28:28
ironman-70.3-taiwan-20151101.csv,108,Becky Po Chi Yao,27,TW,TWN,00:52:20,03:08:39,03:11:23,00:09:41,00:05:53,07:27:56
ironman-70.3-taiwan-20151101.csv,109,Ya-Ting Lin,27,TW,TWN,00:46:40,02:51:13,02:22:05,00:07:46,00:05:54,06:13:38
ironman-70.3-taiwan-20151101.csv,111,Hendrika Nally,27,---,AUS,00:32:15,02:20:01,02:03:46,00:04:24,00:03:33,05:03:59
ironman-70.3-taiwan-20151101.csv,112,Kuo Pei-Hsiu,27,TW,TWN,00:46:51,02:42:56,02:17:15,00:06:38,00:10:23,06:04:03
ironman-70.3-taiwan-20151101.csv,113,Yuki Taguchi,27,---,JPN,00:41:53,02:26:47,02:13:20,00:06:59,00:04:58,05:33:57
ironman-70.3-taiwan-20151101.csv,114,Shuang Lang,---,---,CHN,00:50:50,02:53:54,02:12:17,00:10:02,00:07:56,06:14:59
ironman-70.3-taiwan-20151101.csv,115,Crystal Sullivan,28,TW,USA,00:39:35,02:48:20,02:33:05,00:14:02,00:13:10,06:28:12
ironman-70.3-taiwan-20151101.csv,116,Ji Qing Xia,29,上海市,CHN,00:29:17,02:31:46,02:11:57,00:06:18,00:05:06,05:24:24
ironman-70.3-taiwan-20151101.csv,117,Wen-Chun Wang,29,TW,TWN,00:42:20,02:36:14,02:13:43,00:04:06,00:03:36,05:39:59
ironman-70.3-taiwan-20151101.csv,119,Tzu Yuan Chen,29,TW,TWN,01:13:53,---,---,---,---,DNF
ironman-70.3-taiwan-20151101.csv,120,Erika Glaser,29,---,DEU,00:55:08,02:42:48,02:24:16,00:09:41,00:08:12,06:20:05
ironman-70.3-taiwan-20151101.csv,121,Chiaki Takata,29,osaka,JPN,00:41:22,02:27:00,02:01:18,00:07:21,00:05:12,05:22:13
ironman-70.3-taiwan-20151101.csv,122,Wang Ping Lee,29,---,TWN,---,03:00:58,03:13:00,00:35:13,00:07:55,DNF
ironman-70.3-taiwan-20151101.csv,123,Yi Hsiu Yang,30,---,TWN,00:42:22,02:21:18,02:07:26,00:07:26,00:04:24,05:22:56
ironman-70.3-taiwan-20151101.csv,124,Chun Shao Huang,30,TW,TWN,00:44:21,02:48:04,03:27:22,00:09:26,00:09:48,07:19:01
ironman-70.3-taiwan-20151101.csv,125,Yating Wu,30,TW,TWN,00:44:53,02:44:50,02:43:19,00:11:31,00:07:27,06:32:00
ironman-70.3-taiwan-20151101.csv,126,Yuhsuan Liu,30,TW,TWN,00:57:38,03:01:04,03:27:05,00:10:46,00:13:28,07:50:01
ironman-70.3-taiwan-20151101.csv,127,Connie Zhuo,30,TW,TWN,00:48:09,02:57:12,02:55:02,00:09:56,00:08:37,06:58:56
ironman-70.3-taiwan-20151101.csv,128,Pei Chin Kuo,31,TW,TWN,00:49:22,02:36:03,02:28:00,00:07:47,00:06:50,06:08:02
ironman-70.3-taiwan-20151101.csv,129,Ai Kondo,31,ISH,JPN,00:58:23,02:53:41,02:26:51,00:11:17,00:11:05,06:41:17
ironman-70.3-taiwan-20151101.csv,130,Kuang-Hua Chen,31,TW,TWN,00:37:37,02:31:13,02:56:09,00:10:51,00:10:39,06:26:29
