#File=ironman-70.3-taupo-20161210.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-taupo-20161210.csv,1,Braden Currie,30,OTA,NZL,00:24:04,02:09:42,01:14:43,00:03:12,00:01:04,03:52:45
ironman-70.3-taupo-20161210.csv,2,Cameron Brown,44,AUK,NZL,00:26:59,02:10:02,01:21:28,00:03:35,00:01:11,04:03:15
ironman-70.3-taupo-20161210.csv,3,Dougal Allan,31,OTA,NZL,00:27:41,02:08:30,01:19:03,00:03:29,00:01:11,03:59:54
ironman-70.3-taupo-20161210.csv,4,Paul Ambrose,32,CO,AUS,00:25:09,02:08:43,01:26:33,00:03:13,00:01:10,04:04:48
ironman-70.3-taupo-20161210.csv,5,Zac Barber,22,---,NZL,00:26:10,---,---,00:03:37,---,DNF
ironman-70.3-taupo-20161210.csv,6,Mark Bowstead,27,AUK,NZL,00:24:06,02:06:30,---,00:03:10,00:01:17,DNF
ironman-70.3-taupo-20161210.csv,7,Simon Cochrane,32,WKO,NZL,00:25:08,02:15:06,01:21:28,00:03:18,00:01:22,04:06:22
ironman-70.3-taupo-20161210.csv,9,Alain Djouad-Guibert,39,Maroc,MAR,00:36:43,02:34:45,01:26:38,00:05:02,00:01:45,04:44:53
ironman-70.3-taupo-20161210.csv,10,Sam Elstob,21,CAN,NZL,00:27:38,02:28:24,01:36:53,00:03:09,00:01:13,04:37:17
ironman-70.3-taupo-20161210.csv,11,Franklin Matt,23,AUK,NZL,00:24:07,02:11:37,01:32:16,00:03:20,00:01:24,04:12:44
ironman-70.3-taupo-20161210.csv,12,Jason Hall,24,NZ,NZL,00:25:15,02:18:32,01:19:39,00:03:19,00:01:07,04:07:52
ironman-70.3-taupo-20161210.csv,16,Lachlan Kerin,22,VIC,AUS,00:25:10,02:07:01,01:23:06,00:03:11,00:01:13,03:59:41
ironman-70.3-taupo-20161210.csv,17,Daniel Mcguigan,39,NSW,AUS,00:35:11,02:28:50,01:38:54,00:05:03,00:01:42,04:49:40
ironman-70.3-taupo-20161210.csv,18,Cameron Paul,26,WKO,NZL,00:26:52,02:13:21,01:30:04,00:03:30,00:01:22,04:15:09
ironman-70.3-taupo-20161210.csv,19,Mike Philips,25,CAN,NZL,00:25:12,02:07:02,01:16:46,00:03:12,00:01:06,03:53:18
ironman-70.3-taupo-20161210.csv,20,Eddie Rawles,25,BOP,NZL,00:24:06,02:09:45,01:19:20,00:03:21,00:01:19,03:57:51
ironman-70.3-taupo-20161210.csv,21,Drew Scott,26,CO,USA,00:25:10,02:07:08,01:21:37,00:03:05,00:01:10,03:58:10
ironman-70.3-taupo-20161210.csv,22,Olly Shaw,24,BOP,NZL,00:26:18,---,---,00:03:28,---,DNF
ironman-70.3-taupo-20161210.csv,23,Todd Skipworth,31,WA,AUS,00:24:08,02:10:14,01:18:07,00:03:14,00:01:14,03:56:57
ironman-70.3-taupo-20161210.csv,24,Lindsey Wall,27,NSW,AUS,00:25:13,02:15:15,01:22:06,00:03:11,00:01:23,04:07:08
ironman-70.3-taupo-20161210.csv,25,Alexi Petrie,25,AUK,NZL,00:26:06,02:15:15,01:27:50,00:03:32,00:01:20,04:14:03
ironman-70.3-taupo-20161210.csv,26,Amelia Rose Watkinson,25,AUK,NZL,00:27:56,02:23:34,01:31:59,00:03:44,00:01:12,04:28:25
ironman-70.3-taupo-20161210.csv,27,Laura Siddall,36,CA,GBR,00:29:54,02:23:41,01:24:25,00:03:35,00:01:09,04:22:44
ironman-70.3-taupo-20161210.csv,29,Melanie Mcquaid,43,BC,CAN,00:28:44,02:26:58,01:55:29,00:04:01,00:01:28,04:56:40
ironman-70.3-taupo-20161210.csv,30,Elaine Brent,---,WAI,NZL,00:33:12,02:40:05,01:34:46,00:04:01,00:01:17,04:53:21
ironman-70.3-taupo-20161210.csv,31,Rebecca Clarke,28,AUK,NZL,00:25:37,02:37:06,01:35:00,00:03:27,00:01:42,04:42:52
ironman-70.3-taupo-20161210.csv,32,Anna Cleaver,35,---,NZL,00:27:56,---,---,00:04:13,---,DNF
ironman-70.3-taupo-20161210.csv,33,Tamsyn Hayes,31,OTA,NZL,00:31:13,02:30:10,01:38:06,00:04:00,00:01:43,04:45:12
ironman-70.3-taupo-20161210.csv,34,Hannah Lawrence,39,---,NZL,00:31:13,02:33:57,01:34:30,00:04:07,00:01:33,04:45:20
ironman-70.3-taupo-20161210.csv,35,Laura Wood,24,CAN,NZL,00:26:39,02:35:08,01:38:03,00:03:39,00:01:37,04:45:06
ironman-70.3-taupo-20161210.csv,36,Meredith Kessler,38,CA,USA,00:25:36,02:23:39,01:27:54,00:04:12,00:01:15,04:22:36
ironman-70.3-taupo-20161210.csv,37,Erin Furness,34,WKO,NZL,00:33:12,02:45:19,01:38:27,00:04:19,00:01:37,05:02:54
ironman-70.3-taupo-20161210.csv,38,Pip Meo,32,AUK,NZL,00:33:33,02:43:45,01:29:53,00:03:45,00:01:08,04:52:04
ironman-70.3-taupo-20161210.csv,51,Kieran Billing,29,---,NZL,00:39:30,03:05:38,02:08:03,00:06:45,00:02:43,06:02:39
ironman-70.3-taupo-20161210.csv,52,Daniel Britten,35,NZ,NZL,00:31:41,02:32:31,01:43:12,00:05:31,00:01:38,04:54:33
ironman-70.3-taupo-20161210.csv,53,Mark Burke,54,WKO,NZL,00:33:53,02:24:38,01:46:04,00:05:27,00:01:52,04:51:54
ironman-70.3-taupo-20161210.csv,54,Nicola Carter,36,---,NZL,00:35:22,03:10:41,02:34:58,00:06:11,00:02:29,06:29:41
ironman-70.3-taupo-20161210.csv,55,Scott Devonport,39,---,NZL,00:33:34,02:48:06,01:59:08,00:04:48,00:02:19,05:27:55
ironman-70.3-taupo-20161210.csv,56,Jeannie Duffy,51,---,NZL,00:39:09,03:15:52,02:19:36,00:08:12,00:03:04,06:25:53
ironman-70.3-taupo-20161210.csv,58,Scott Forsythe,52,WKO,NZL,00:41:36,03:08:33,02:54:57,00:09:43,00:03:22,06:58:11
ironman-70.3-taupo-20161210.csv,59,Lucy Giesen,32,---,NZL,00:38:09,03:23:06,02:07:56,00:08:50,00:02:32,06:20:33
ironman-70.3-taupo-20161210.csv,60,John Goodwin,46,---,NZL,00:39:57,02:53:05,02:06:54,00:06:20,00:03:03,05:49:19
ironman-70.3-taupo-20161210.csv,61,Fraser Haywood,28,WKO,NZL,00:29:34,02:45:53,01:48:59,00:06:53,00:02:20,05:13:39
ironman-70.3-taupo-20161210.csv,62,John Hind,51,NZ,NZL,00:42:54,02:43:27,02:03:59,00:06:32,00:01:56,05:38:48
ironman-70.3-taupo-20161210.csv,63,Daniel Horton,35,WKO,NZL,00:40:43,02:39:56,02:09:47,00:06:22,00:02:38,05:39:26
ironman-70.3-taupo-20161210.csv,66,Rory Magee,46,WKO,NZL,00:39:55,02:55:33,01:46:43,00:07:05,00:02:21,05:31:37
ironman-70.3-taupo-20161210.csv,67,Brittney Mckinnel,26,WKO,NZL,00:36:38,03:40:18,01:52:28,00:05:51,00:02:40,06:17:55
ironman-70.3-taupo-20161210.csv,68,Katrina Mcmillan,26,NZ,NZL,00:39:15,03:45:23,02:32:33,00:07:28,00:03:25,07:08:04
ironman-70.3-taupo-20161210.csv,69,Matt Mortimer,41,NZ,NZL,00:42:42,03:01:39,02:21:04,00:08:46,00:02:02,06:16:13
ironman-70.3-taupo-20161210.csv,70,Scott O'Brien,34,BOP,NZL,00:30:13,02:28:51,01:35:29,00:04:41,00:01:26,04:40:40
ironman-70.3-taupo-20161210.csv,71,Takeshi Otsuka,46,WKO,NZL,00:42:51,02:49:40,01:54:44,00:09:28,00:03:58,05:40:41
ironman-70.3-taupo-20161210.csv,72,Cassie Nicholson,30,WKO,NZL,00:32:54,02:48:25,01:47:30,00:04:47,00:01:24,05:15:00
ironman-70.3-taupo-20161210.csv,73,Vicki Reardon,57,WKO,NZL,00:42:57,03:18:37,02:23:13,00:06:55,00:02:51,06:34:33
ironman-70.3-taupo-20161210.csv,74,Steve Sievwright,50,WKO,NZL,00:41:08,02:56:06,02:24:15,00:06:58,00:02:42,06:11:09
ironman-70.3-taupo-20161210.csv,76,Cyn Smith,46,BOP,NZL,00:39:23,03:17:36,02:23:24,00:07:51,00:03:27,06:31:41
ironman-70.3-taupo-20161210.csv,78,Panapa Tahau Whelan,19,---,NZL,00:34:03,03:36:20,03:30:53,00:12:19,00:06:49,DNF
ironman-70.3-taupo-20161210.csv,79,Peter Taylor,70,BOP,NZL,00:48:26,03:19:18,02:55:32,00:10:35,00:04:26,07:18:17
ironman-70.3-taupo-20161210.csv,80,Nathan Toma,22,NZ,NZL,00:39:28,02:54:58,02:41:18,00:05:54,00:02:27,06:24:05
ironman-70.3-taupo-20161210.csv,81,Trevor Watts,54,WKO,NZL,00:33:59,02:44:37,02:05:18,00:06:23,00:03:15,05:33:32
ironman-70.3-taupo-20161210.csv,82,Aaron White,41,AUK,NZL,00:34:06,02:38:34,01:58:24,00:05:18,00:01:59,05:18:21
ironman-70.3-taupo-20161210.csv,83,David Woltman,50,WKO,NZL,00:41:36,03:05:08,02:20:20,00:09:14,00:03:26,06:19:44
ironman-70.3-taupo-20161210.csv,84,Karen Woodhead,41,---,NZL,00:42:32,03:33:06,02:33:05,00:09:09,00:03:50,07:01:42
ironman-70.3-taupo-20161210.csv,85,Paul Wraight,43,BOP,GBR,00:34:21,02:42:28,01:49:42,00:05:07,00:01:40,05:13:18
ironman-70.3-taupo-20161210.csv,91,Kevin Allen,42,---,NZL,00:32:47,02:29:30,01:30:42,00:05:06,00:01:11,04:39:16
ironman-70.3-taupo-20161210.csv,92,Derek Blank,35,AUK,NZL,00:44:42,03:15:42,02:39:51,00:07:11,00:03:28,06:50:54
ironman-70.3-taupo-20161210.csv,93,Kerri Dewe,37,AUK,NZL,00:35:34,02:42:01,01:41:30,00:04:30,00:01:30,05:05:05
