#ironman-70.3-texas-20110409.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-texas-20110409.csv,1,Terenzo Bozzone,31,CA,USA,00:22:42,02:06:56,01:18:11,00:01:20,00:00:51,03:50:00
ironman-70.3-texas-20110409.csv,2,Tim O'Donnell,35,CO,USA,00:22:41,02:11:28,01:11:57,00:01:17,00:00:53,03:48:16
ironman-70.3-texas-20110409.csv,3,Chris Lieto,44,CA,USA,00:23:39,02:02:15,01:16:56,00:01:33,00:01:14,03:45:37
ironman-70.3-texas-20110409.csv,4,Paul Amey,43,---,GBR,00:22:52,---,---,00:01:29,---,DNF
ironman-70.3-texas-20110409.csv,7,Rasmus Henning,40,---,DNK,00:22:20,02:07:12,01:14:47,00:01:28,00:01:00,03:46:47
ironman-70.3-texas-20110409.csv,8,Richie Cunningham,43,CO,AUS,00:22:52,---,---,00:01:22,---,DNF
ironman-70.3-texas-20110409.csv,9,Ronnie Schildknecht,36,---,CHE,00:25:01,02:04:33,01:21:27,00:01:31,00:01:01,03:53:33
ironman-70.3-texas-20110409.csv,11,Torsten Abel,42,AZ,DEU,00:24:53,---,---,00:01:41,---,DNF
ironman-70.3-texas-20110409.csv,12,Mike Aigroz,38,CH,CHE,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,13,Marko Albert,37,Intl State,EST,00:22:18,02:09:52,01:16:46,00:01:29,00:01:01,03:51:26
ironman-70.3-texas-20110409.csv,14,Paul Ambrose,32,NSW,GBR,00:22:43,---,---,00:01:33,---,DNF
ironman-70.3-texas-20110409.csv,15,Gavin Anderson,37,CO,USA,00:22:38,02:16:11,01:20:01,00:01:45,00:01:00,04:01:35
ironman-70.3-texas-20110409.csv,16,Jimmy Archer,44,CO,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,18,Christian Brader,36,---,DEU,00:26:42,02:10:42,01:21:43,00:01:39,00:01:40,04:02:26
ironman-70.3-texas-20110409.csv,19,James Cotter,34,TX,NZL,00:22:44,---,---,00:01:35,---,DNF
ironman-70.3-texas-20110409.csv,20,Justin Daerr,35,CO,USA,00:26:39,02:20:07,01:17:43,00:01:46,00:01:34,04:07:49
ironman-70.3-texas-20110409.csv,21,Lewis Elliot,36,AZ,USA,00:26:42,02:12:17,01:26:27,00:01:39,00:01:13,04:08:18
ironman-70.3-texas-20110409.csv,22,Kevin Everett,41,ID,USA,00:23:33,02:11:21,01:38:55,00:01:30,00:01:11,04:16:30
ironman-70.3-texas-20110409.csv,23,John Flanagan Iii,41,HI,USA,00:21:23,---,01:30:56,02:26:27,02:48:54,04:19:50
ironman-70.3-texas-20110409.csv,24,Raul Furtado,36,---,BRA,00:26:37,02:13:33,01:23:35,00:01:52,00:01:01,04:06:38
ironman-70.3-texas-20110409.csv,25,René Göhler,36,---,DEU,00:23:30,02:18:37,01:19:49,00:01:34,00:00:59,04:04:29
ironman-70.3-texas-20110409.csv,26,Romain Guillaume,31,FR,FRA,00:23:05,02:09:43,01:22:34,00:01:29,00:00:49,03:57:40
ironman-70.3-texas-20110409.csv,27,Mathias Hecht,36,Intl State,CHE,00:22:49,02:13:00,---,00:01:33,00:05:03,DNF
ironman-70.3-texas-20110409.csv,28,David Kahn,32,NY,USA,00:22:29,02:16:41,01:14:55,00:01:44,00:00:50,03:56:39
ironman-70.3-texas-20110409.csv,29,Sebastian Kienle,32,---,DEU,00:26:30,02:05:46,01:17:06,00:01:35,00:01:06,03:52:03
ironman-70.3-texas-20110409.csv,30,Stephen Kilshaw,31,BC,CAN,00:25:54,02:18:26,01:32:46,00:01:49,00:01:05,04:20:00
ironman-70.3-texas-20110409.csv,31,Matt Lieto,38,OR,USA,00:25:00,02:07:16,01:21:59,00:01:40,00:01:05,03:57:00
ironman-70.3-texas-20110409.csv,32,Jozsef Major,37,AZ,HUN,00:26:46,02:06:25,01:18:35,00:01:47,00:01:22,03:54:55
ironman-70.3-texas-20110409.csv,33,Paul Matthews,33,CO,USA,00:22:45,02:08:34,01:28:23,00:01:20,00:00:47,04:01:49
ironman-70.3-texas-20110409.csv,34,Joe Mcdaniel,34,OH,USA,00:23:20,02:10:30,01:18:55,00:01:58,00:01:26,03:56:09
ironman-70.3-texas-20110409.csv,35,Jimi Minnema,37,MI,USA,00:29:59,02:16:19,01:18:23,00:01:58,00:01:20,04:07:59
ironman-70.3-texas-20110409.csv,36,Mike Neill,44,BC,CAN,00:26:41,02:17:45,01:30:49,00:01:42,00:01:33,04:18:30
ironman-70.3-texas-20110409.csv,37,Sergio Quezada Ruiz,48,JALISCO,MEX,00:26:27,02:22:41,01:24:59,00:02:02,00:01:21,04:17:30
ironman-70.3-texas-20110409.csv,38,Jan Raphael,36,DE,DEU,00:23:34,---,---,00:01:40,---,DNF
ironman-70.3-texas-20110409.csv,40,Matt Russell,33,FL,USA,00:31:46,02:12:00,01:15:23,00:01:43,00:01:06,04:01:58
ironman-70.3-texas-20110409.csv,41,Nick Saunders,42,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,42,Daniel Schmoll,34,---,DEU,00:22:49,02:12:35,01:23:39,00:01:35,00:01:17,04:01:55
ironman-70.3-texas-20110409.csv,43,Sylvain Sudrie,34,FR,FRA,00:22:47,---,---,00:01:33,---,DNF
ironman-70.3-texas-20110409.csv,44,Jesse Thomas,36,OR,USA,00:26:28,02:11:10,---,00:01:36,00:01:25,DNF
ironman-70.3-texas-20110409.csv,45,Frederik Van Lierde,37,---,BEL,00:22:39,02:05:46,01:19:49,00:01:39,00:01:01,03:50:54
ironman-70.3-texas-20110409.csv,46,Dantley Young,31,UT,USA,00:26:44,02:18:04,01:24:50,00:01:53,00:01:34,04:13:05
ironman-70.3-texas-20110409.csv,47,Axel Zeebroek,38,---,BEL,00:22:22,02:12:36,01:20:42,00:01:30,00:01:02,03:58:12
ironman-70.3-texas-20110409.csv,48,James Duff,39,NC,USA,00:23:35,02:13:59,01:30:11,00:01:41,00:01:10,04:10:36
ironman-70.3-texas-20110409.csv,50,Massimo Cigana,42,Intl State,ITA,00:26:35,02:11:02,01:25:56,00:01:40,00:01:21,04:06:34
ironman-70.3-texas-20110409.csv,51,James Duff,39,NC,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,52,Massimo Cigana,42,Intl State,ITA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,53,Michael Lovato,42,CO,USA,00:23:20,02:06:07,01:34:26,00:01:42,00:00:59,04:06:34
ironman-70.3-texas-20110409.csv,54,Philip Graves,27,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,55,Brent Poulsen,33,TX,CAN,00:23:37,02:22:35,01:18:22,00:01:38,00:01:12,04:07:24
ironman-70.3-texas-20110409.csv,59,Hillary Biscay,38,AZ,USA,00:26:50,02:37:14,01:36:24,00:01:50,00:02:12,04:44:30
ironman-70.3-texas-20110409.csv,61,Kelly Williamson,38,CO,USA,00:25:38,02:28:16,01:18:20,00:01:42,00:00:57,04:14:53
ironman-70.3-texas-20110409.csv,63,Karin Thuerig,44,---,CHE,00:30:52,02:12:24,01:23:46,00:02:10,00:01:18,04:10:30
ironman-70.3-texas-20110409.csv,65,Angela Naeth,34,BC,CAN,00:27:29,02:17:02,01:22:18,00:01:50,00:01:01,04:09:40
ironman-70.3-texas-20110409.csv,66,Dede Griesbauer,45,CO,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,69,Sam Warriner,45,---,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,70,Tyler Stewart,38,CA,USA,00:30:52,02:20:28,01:24:29,00:01:56,00:01:18,04:19:03
ironman-70.3-texas-20110409.csv,71,Catriona Morrison,39,Intl State,GBR,00:26:47,02:18:34,01:18:18,00:01:43,00:01:21,04:06:43
ironman-70.3-texas-20110409.csv,72,Sophie De Groote,33,---,BEL,00:28:30,02:23:45,01:28:05,00:01:55,00:01:19,04:23:34
ironman-70.3-texas-20110409.csv,73,Sonja Tajsich,40,---,DEU,00:29:08,02:26:51,01:21:11,00:01:45,00:01:18,04:20:13
ironman-70.3-texas-20110409.csv,74,Tine Deckers,38,---,BEL,00:28:34,02:19:32,---,00:01:40,00:01:23,DNF
ironman-70.3-texas-20110409.csv,75,Amber Ferreira,34,NH,USA,00:26:51,02:35:05,01:30:40,00:02:04,00:01:38,04:36:18
ironman-70.3-texas-20110409.csv,76,Sofie Goos,36,BE,BEL,00:27:34,02:25:46,01:27:50,00:01:40,00:01:19,04:24:09
ironman-70.3-texas-20110409.csv,78,Meredith Kessler,38,CA,USA,00:25:18,02:24:07,01:25:05,00:02:04,00:01:01,04:17:35
ironman-70.3-texas-20110409.csv,79,Mandy Mclane,37,CO,USA,00:27:23,02:29:41,01:35:04,00:01:55,00:01:00,04:35:03
ironman-70.3-texas-20110409.csv,80,Sarah Schütz,37,---,CHE,00:28:37,02:47:02,01:41:59,00:02:04,00:01:26,05:01:08
ironman-70.3-texas-20110409.csv,81,Margie Shapiro,39,VA,USA,00:26:20,02:22:15,01:25:55,00:01:40,00:00:55,04:17:05
ironman-70.3-texas-20110409.csv,83,Natasha Van Der Merwe,35,TX,ZAF,00:33:24,02:31:52,01:47:04,00:01:45,00:01:35,04:55:40
ironman-70.3-texas-20110409.csv,84,Tenille Hoogland,38,BC,USA,00:25:15,02:21:01,01:45:02,00:01:45,00:01:29,04:34:32
ironman-70.3-texas-20110409.csv,86,Jacqui Gordon,43,NJ,USA,00:30:54,02:26:59,01:29:49,00:01:46,00:01:52,04:31:20
ironman-70.3-texas-20110409.csv,88,Sam Warriner,45,---,NZL,00:26:45,02:23:07,01:30:48,00:01:35,00:01:06,04:23:21
ironman-70.3-texas-20110409.csv,89,Amanda Lovato,44,CO,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,90,Mirjam Weerd,41,---,NLD,00:26:48,02:31:52,01:32:15,00:02:16,00:01:32,04:34:43
ironman-70.3-texas-20110409.csv,91,Ariane Monticeli,34,Intl State,BRA,00:32:33,02:32:29,01:24:51,00:01:49,00:01:10,04:32:52
ironman-70.3-texas-20110409.csv,92,Mary Ellis,---,CO,USA,00:24:29,02:24:10,01:23:04,00:01:34,00:01:22,04:14:39
ironman-70.3-texas-20110409.csv,93,Desiree Berry,39,TX,USA,00:28:31,02:18:14,01:26:21,00:01:51,00:01:19,04:16:16
ironman-70.3-texas-20110409.csv,94,Brandon Adame,33,TX,USA,01:11:33,03:35:02,02:29:14,00:17:40,00:06:05,07:39:34
ironman-70.3-texas-20110409.csv,95,Rodrigo Abascal,22,---,USA,00:32:47,02:52:39,01:47:14,00:02:16,00:01:22,05:16:18
ironman-70.3-texas-20110409.csv,96,Max Archer,24,KS,USA,00:36:32,03:23:21,01:57:02,00:05:27,00:05:40,06:08:02
ironman-70.3-texas-20110409.csv,97,Jonathon Barrera,29,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,98,Sean Benton,29,NY,USA,00:28:35,02:39:22,01:44:28,00:02:25,00:01:45,04:56:35
ironman-70.3-texas-20110409.csv,99,Nicholas Bludau,28,TX,USA,00:38:59,02:54:24,01:57:41,00:02:47,00:02:30,05:36:21
ironman-70.3-texas-20110409.csv,100,Rodolfo Bocanegra,24,---,MEX,00:39:33,03:49:49,03:10:01,00:02:56,00:03:10,07:45:29
ironman-70.3-texas-20110409.csv,101,Andrew Braun,28,WI,USA,00:36:48,02:51:52,00:38:29,00:03:25,01:17:57,05:28:31
ironman-70.3-texas-20110409.csv,102,Paul Cheng,24,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,103,Joon Choi,29,AR,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,104,Mario Cuevas,29,MN,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,105,Curtis Damiani,28,TX,USA,00:37:09,03:27:42,02:30:17,00:03:40,00:02:27,06:41:15
ironman-70.3-texas-20110409.csv,106,Scott Feldman,27,FL,USA,00:31:47,02:32:43,01:55:57,00:02:07,00:01:19,05:03:53
ironman-70.3-texas-20110409.csv,107,Ernesto Fernandez Torres,28,---,PAN,00:32:38,02:32:56,01:42:04,00:01:54,00:01:01,04:50:33
ironman-70.3-texas-20110409.csv,108,Will Flanagan,28,TX,USA,00:39:33,02:38:47,01:39:21,00:02:42,00:01:36,05:01:59
ironman-70.3-texas-20110409.csv,109,Billy Flores,25,TX,USA,00:36:58,02:46:37,02:25:15,00:03:27,00:01:38,05:53:55
ironman-70.3-texas-20110409.csv,110,Sergio Garza,27,TX,USA,00:36:07,02:48:10,02:04:55,00:02:46,00:01:37,05:33:35
ironman-70.3-texas-20110409.csv,111,Aaron Gray,28,TX,USA,00:28:51,02:40:51,01:44:23,00:02:16,00:01:30,04:57:51
ironman-70.3-texas-20110409.csv,112,Jay Lynn Hart,25,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,113,Sebastian Haynes,25,TX,USA,00:28:29,02:43:06,01:32:09,00:02:06,00:01:15,04:47:05
ironman-70.3-texas-20110409.csv,114,Sean Hennigan,25,NY,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,115,Benjamin Landon,26,FL,USA,00:31:41,03:00:43,01:34:55,00:03:34,00:01:26,05:12:19
ironman-70.3-texas-20110409.csv,116,Salomon Lara,26,TX,USA,00:53:09,03:38:46,02:33:59,00:07:24,00:04:21,07:17:39
ironman-70.3-texas-20110409.csv,117,Ricky Lueking,25,TX,USA,00:38:42,03:17:16,02:21:43,00:03:16,00:04:17,06:25:14
ironman-70.3-texas-20110409.csv,118,Hugo Macias,28,---,MEX,00:43:39,02:53:59,02:10:48,00:02:46,00:02:02,05:53:14
ironman-70.3-texas-20110409.csv,119,Luke McKinney,---,TX,USA,00:40:20,03:14:52,02:24:54,00:04:23,00:02:44,06:27:13
ironman-70.3-texas-20110409.csv,120,Gonzalo Medel,28,Intl State,MEX,00:36:39,02:28:34,01:26:26,00:02:11,00:01:05,04:34:55
ironman-70.3-texas-20110409.csv,121,Brent Neill,29,TX,USA,00:36:34,02:30:29,01:49:04,00:02:35,00:02:05,05:00:47
ironman-70.3-texas-20110409.csv,122,Guilherme Piacentini Niece,29,---,BRA,00:30:28,02:49:31,02:06:37,00:02:32,00:01:19,05:30:27
ironman-70.3-texas-20110409.csv,123,Brian Ogrady,29,TN,USA,01:01:28,03:49:21,03:59:28,00:08:10,00:09:43,09:08:10
ironman-70.3-texas-20110409.csv,124,Will Patchell,28,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,125,Justin Prior,27,AL,USA,00:36:54,02:42:59,02:16:43,00:02:23,00:01:25,05:40:24
ironman-70.3-texas-20110409.csv,126,Drew Robinson,28,KS,USA,00:37:08,03:03:45,02:22:18,00:04:28,00:02:49,06:10:28
ironman-70.3-texas-20110409.csv,127,Gentry Robinson,29,TX,USA,00:41:40,03:25:26,02:23:59,00:03:12,00:02:36,06:36:53
ironman-70.3-texas-20110409.csv,128,Brendan Saffer,29,CA,USA,00:42:24,04:01:47,02:10:11,00:02:06,00:03:18,06:59:46
ironman-70.3-texas-20110409.csv,129,Scott Salter,26,TX,USA,00:36:01,02:32:44,01:44:40,00:01:50,00:01:25,04:56:40
ironman-70.3-texas-20110409.csv,130,Pete Saulino,28,TX,USA,00:41:43,02:51:17,01:46:12,00:02:12,00:02:18,05:23:42
ironman-70.3-texas-20110409.csv,131,William Schleisman,29,FL,USA,00:40:16,03:38:03,02:41:00,00:06:22,00:06:29,07:12:10
ironman-70.3-texas-20110409.csv,132,Taylor Schmille,26,TX,USA,00:36:47,03:26:40,02:21:49,00:04:47,00:03:04,06:33:07
ironman-70.3-texas-20110409.csv,133,George Schmitz,28,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,134,Chris Scruggs,29,WA,USA,00:28:34,02:39:34,01:46:51,00:02:41,00:01:31,04:59:11
ironman-70.3-texas-20110409.csv,135,Blake Sills,28,TX,USA,00:36:49,02:49:22,02:05:13,00:02:47,00:01:23,05:35:34
ironman-70.3-texas-20110409.csv,136,Ben Spinks,24,TX,USA,00:50:09,03:13:06,02:21:28,00:04:34,00:02:10,06:31:27
ironman-70.3-texas-20110409.csv,137,Steve Stockall,29,MI,USA,00:36:09,03:46:29,01:58:15,00:05:01,00:02:16,06:28:10
ironman-70.3-texas-20110409.csv,138,Todd Teren,28,TX,USA,00:28:39,02:28:05,01:32:06,00:03:41,00:01:55,04:34:26
ironman-70.3-texas-20110409.csv,139,Trey Van Buskirk,28,CA,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,140,Greg Warnimont,28,IL,USA,00:42:35,03:30:00,02:19:02,00:05:30,00:05:06,06:42:13
ironman-70.3-texas-20110409.csv,141,Jesse Weaver,29,TX,USA,00:41:39,02:45:49,02:16:34,00:02:09,00:01:10,05:47:21
ironman-70.3-texas-20110409.csv,142,Brian Wellman,29,TX,USA,00:36:04,02:59:08,01:47:52,00:04:07,00:02:44,05:29:55
ironman-70.3-texas-20110409.csv,143,Mike Wolski,25,MO,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,144,Ryan Wood,27,TX,USA,00:39:25,02:45:59,02:17:24,00:02:45,00:01:54,05:47:27
ironman-70.3-texas-20110409.csv,145,Carlos Acebo,61,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,146,Cliff Adlerz,62,TN,USA,00:27:49,02:36:26,---,00:02:46,---,DNF
ironman-70.3-texas-20110409.csv,147,Francisco Arriola,60,TX,USA,00:38:39,03:02:11,01:48:20,00:04:13,00:02:28,05:35:51
ironman-70.3-texas-20110409.csv,148,Nelson Bacalao,60,TX,USA,00:57:43,03:11:36,02:20:57,00:09:14,00:06:29,06:45:59
ironman-70.3-texas-20110409.csv,149,Rex Boyland,62,TX,USA,00:50:50,03:11:12,02:43:55,00:05:23,00:06:25,06:57:45
ironman-70.3-texas-20110409.csv,150,Lolly Brasseaux,60,LA,USA,00:42:01,02:48:37,02:26:18,00:03:15,00:03:13,06:03:24
ironman-70.3-texas-20110409.csv,151,Kevin Brennan,63,MO,USA,00:39:51,02:45:15,02:05:02,00:03:18,00:01:40,05:35:06
ironman-70.3-texas-20110409.csv,152,Bryan Brown,62,TX,USA,00:37:54,03:19:53,02:55:52,00:04:56,00:03:11,07:01:46
ironman-70.3-texas-20110409.csv,153,John Case,60,TX,USA,00:40:45,03:09:32,02:17:37,00:04:00,00:02:16,06:14:10
ironman-70.3-texas-20110409.csv,154,Gene Clapp,62,TX,USA,00:43:14,03:31:20,02:34:46,00:05:09,00:03:24,06:57:53
ironman-70.3-texas-20110409.csv,155,Tom Cloud,59,TX,USA,00:55:02,04:00:46,03:08:14,00:08:44,00:04:31,08:17:17
ironman-70.3-texas-20110409.csv,156,Kenneth Denney,62,TX,USA,00:49:55,03:37:08,02:48:35,00:06:28,00:05:46,07:27:52
ironman-70.3-texas-20110409.csv,157,Paul Elliott,59,TX,USA,00:42:09,03:13:01,03:13:05,00:03:54,00:04:03,07:16:12
ironman-70.3-texas-20110409.csv,158,Allen Ellis,61,LA,USA,00:38:57,03:14:52,02:20:16,00:04:22,00:03:32,06:21:59
ironman-70.3-texas-20110409.csv,159,Carter Fairless,59,OK,USA,00:39:24,02:54:45,02:03:35,00:03:02,00:03:05,05:43:51
ironman-70.3-texas-20110409.csv,160,Tom Fassett,60,TX,USA,00:47:59,03:43:13,02:47:03,00:05:09,00:05:15,07:28:39
ironman-70.3-texas-20110409.csv,161,Jeffrey Gill,61,TX,USA,00:44:44,03:12:51,02:07:31,00:03:30,00:01:46,06:10:22
ironman-70.3-texas-20110409.csv,162,Tony Grasso,64,TX,USA,01:02:15,03:40:25,03:40:28,00:06:30,00:05:26,08:35:04
ironman-70.3-texas-20110409.csv,163,David Gude,60,TX,USA,00:32:31,02:57:36,02:18:40,00:03:37,00:01:39,05:54:03
ironman-70.3-texas-20110409.csv,164,John Hammarley,64,OR,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,165,Stephen Heller,61,TX,USA,00:41:19,02:59:22,02:05:33,00:06:00,00:02:12,05:54:26
ironman-70.3-texas-20110409.csv,166,John Hildenbrand,62,OK,USA,00:34:37,02:34:26,02:01:08,00:03:18,00:02:19,05:15:48
ironman-70.3-texas-20110409.csv,167,Bill Horn,63,TX,USA,00:32:27,02:40:17,02:14:39,00:03:30,00:01:58,05:32:51
ironman-70.3-texas-20110409.csv,168,Al Huebner,63,TX,USA,00:34:42,03:06:45,---,00:04:55,00:03:34,DNF
ironman-70.3-texas-20110409.csv,169,Mark Knox,61,TX,USA,00:44:40,02:55:04,02:13:44,00:03:41,00:01:24,05:58:33
ironman-70.3-texas-20110409.csv,170,Lawrence Lee Lane,61,TX,USA,00:42:56,03:03:19,02:17:30,00:03:17,00:03:07,06:10:09
ironman-70.3-texas-20110409.csv,171,Rob Larocque,61,TX,USA,---,---,---,---,---,DNS
ironman-70.3-texas-20110409.csv,172,Reyes Lopez,62,TX,USA,00:40:02,02:50:48,02:32:06,00:02:33,00:01:46,06:07:15
