#ironman-70.3-timberman-20160821.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-timberman-20160821.csv,2,Tim O\'Donnell,35,CO,USA,00:23:58,02:10:41,01:18:53,00:01:24,00:01:10,03:56:06
ironman-70.3-timberman-20160821.csv,3,Leon Griffin,36,CO,AUS,00:24:51,02:12:12,01:24:20,00:01:18,00:01:22,04:04:03
ironman-70.3-timberman-20160821.csv,5,Tyler Butterfield,33,CO,BMU,00:24:51,02:03:22,01:16:51,00:01:40,00:01:20,03:48:04
ironman-70.3-timberman-20160821.csv,6,Taylor Reid,25,ON,CAN,00:25:38,02:11:46,01:17:34,00:01:32,00:01:08,03:57:38
ironman-70.3-timberman-20160821.csv,7,Michi Weiss,---,---,AUT,00:26:20,02:01:44,01:18:11,00:01:44,00:01:23,03:49:22
ironman-70.3-timberman-20160821.csv,9,Thomas Gerlach,35,WI,USA,00:26:26,02:09:16,01:21:22,00:01:30,00:01:04,03:59:38
ironman-70.3-timberman-20160821.csv,10,Jarrod Shoemaker,34,FL,USA,00:24:47,02:29:53,01:23:04,00:01:48,00:01:17,04:20:49
ironman-70.3-timberman-20160821.csv,11,Chris Baird,27,CA,USA,00:27:50,02:08:33,01:14:52,00:01:30,00:01:21,03:54:06
ironman-70.3-timberman-20160821.csv,13,Martin Bedirian,26,Intl State,ARG,00:23:59,02:20:09,01:24:12,00:01:26,00:01:12,04:10:58
ironman-70.3-timberman-20160821.csv,14,Max Biessmann,31,CA,USA,00:24:52,02:22:34,01:26:17,00:01:45,00:01:26,04:16:54
ironman-70.3-timberman-20160821.csv,15,Andrew Bolton,24,ON,CAN,00:30:41,---,---,00:01:52,---,DNF
ironman-70.3-timberman-20160821.csv,16,Raymond Botelho,43,MA,USA,00:28:09,02:14:38,01:32:13,00:01:46,00:01:37,04:18:23
ironman-70.3-timberman-20160821.csv,17,Frederic Bouchard,41,QC,CAN,00:30:41,02:22:46,01:22:38,00:01:31,00:01:21,04:18:57
ironman-70.3-timberman-20160821.csv,19,Sacha Cavelier,27,QC,CAN,00:29:24,02:23:42,01:29:22,00:01:53,00:01:22,04:25:43
ironman-70.3-timberman-20160821.csv,20,Greg Close,33,NY,USA,00:30:33,02:14:34,---,00:01:42,00:01:11,DNF
ironman-70.3-timberman-20160821.csv,22,Nathan Dressel,31,UT,USA,00:31:37,02:26:11,01:38:51,00:01:50,00:01:23,04:39:52
ironman-70.3-timberman-20160821.csv,23,Jonathan Fecik,27,CT,USA,00:27:58,02:17:51,01:28:38,00:01:54,00:01:16,04:17:37
ironman-70.3-timberman-20160821.csv,24,Jeremy Howard,36,CT,USA,00:26:22,02:26:45,01:25:24,00:02:01,00:01:35,04:22:07
ironman-70.3-timberman-20160821.csv,25,Antoine Jolicoeur Desroches,23,QC,CAN,00:23:55,02:10:00,01:23:30,00:01:21,00:01:12,03:59:58
ironman-70.3-timberman-20160821.csv,27,Patrick Mckeon,27,PA,USA,00:27:22,02:25:02,01:22:04,00:02:23,00:01:53,04:18:44
ironman-70.3-timberman-20160821.csv,28,Jordan Monnink,29,ON,CAN,00:26:24,02:10:41,01:23:44,00:01:40,00:01:20,04:03:49
ironman-70.3-timberman-20160821.csv,29,Timothy Nichols,34,NC,USA,00:32:35,02:28:09,01:19:54,00:01:57,00:01:37,04:24:12
ironman-70.3-timberman-20160821.csv,31,Lukas Pozzetta,27,NH,USA,00:24:51,02:11:18,01:22:46,00:01:43,00:01:28,04:02:06
