#File=ironman-70.3-turkey-20161023.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-turkey-20161023.csv,1,Ozgur Aksaman,37,TURKIYE,TUR,00:30:39,02:34:34,01:37:58,00:04:39,00:01:44,04:49:34
ironman-70.3-turkey-20161023.csv,2,Jeremy Morel,25,---,FRA,00:26:53,02:13:09,01:20:54,00:03:28,00:01:24,04:05:48
ironman-70.3-turkey-20161023.csv,3,Jonas Schomburg,22,---,TUR,00:23:31,02:09:56,01:23:04,00:03:14,00:01:25,04:01:10
ironman-70.3-turkey-20161023.csv,11,Estelle-Marie Kieffer,40,Other,FRA,---,---,---,---,---,DNS
ironman-70.3-turkey-20161023.csv,12,Ipek Onaran,31,AT,TUR,00:31:58,02:38:37,01:37:49,00:06:07,00:02:01,04:56:32
ironman-70.3-turkey-20161023.csv,13,Doerte Siebke,49,---,DEU,00:32:32,02:31:19,02:05:16,00:04:38,00:02:38,05:16:23
ironman-70.3-turkey-20161023.csv,14,Oriana Heer,35,---,CHE,00:33:21,02:28:18,01:42:29,00:04:17,00:01:40,04:50:05
ironman-70.3-turkey-20161023.csv,15,Burcu Aslanagi,40,turkey,TUR,---,---,---,---,---,DNS
ironman-70.3-turkey-20161023.csv,16,Francky Favre,39,FR,MTQ,00:29:21,02:15:49,01:25:25,00:04:10,00:01:44,04:16:29
ironman-70.3-turkey-20161023.csv,17,Cinar Goksen,35,Alabama,TUR,00:32:44,02:35:01,02:11:03,00:04:35,00:02:25,05:25:48
ironman-70.3-turkey-20161023.csv,18,Mikhail Lubenets,41,luxembourg,RUS,00:37:18,02:27:28,01:26:40,00:04:43,00:01:59,04:38:08
ironman-70.3-turkey-20161023.csv,19,Gokhan Dogruol,53,Intl State,TUR,00:29:12,02:27:38,01:34:49,00:04:20,00:01:45,04:37:44
ironman-70.3-turkey-20161023.csv,20,Rolf Seiler,52,---,CHE,00:32:19,02:23:39,01:34:45,00:04:07,00:01:48,04:36:38
ironman-70.3-turkey-20161023.csv,21,Muzaffer Kuvvet,41,eyup,TUR,00:30:15,---,---,00:05:27,---,DNF
ironman-70.3-turkey-20161023.csv,22,Oleksandr Dovzhenko,32,Kharkivs'ka,UKR,00:33:59,02:22:34,01:30:45,00:05:31,00:01:59,04:34:48
ironman-70.3-turkey-20161023.csv,23,Sitemkar Bolsoy,40,Seyhan,TUR,00:30:31,02:16:59,01:32:35,00:04:07,00:01:39,04:25:51
ironman-70.3-turkey-20161023.csv,24,Janusz Lew-Mirski,41,mazowieckie,POL,---,---,---,---,---,DNS
ironman-70.3-turkey-20161023.csv,25,Storme Alexander,39,Essex,GBR,00:33:01,02:39:34,01:46:58,00:05:09,00:02:16,05:06:58
ironman-70.3-turkey-20161023.csv,26,Marleen Valk,41,---,NLD,00:37:20,02:47:19,01:54:39,00:05:01,00:02:51,05:27:10
ironman-70.3-turkey-20161023.csv,27,Fabien Besancon,31,---,FRA,00:25:47,02:21:36,01:25:29,00:04:17,00:01:31,04:18:40
ironman-70.3-turkey-20161023.csv,28,Luis Arosemena,42,---,PER,---,---,---,---,---,DNS
ironman-70.3-turkey-20161023.csv,29,Tolga Alpagot,43,---,TUR,00:36:00,02:31:47,01:42:53,00:05:59,00:03:07,04:59:46
