#File=ironman-70.3-uk-20130616.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-uk-20130616.csv,1,Tim Don,35,Intl State,GBR,00:23:56,02:32:45,01:19:42,00:02:19,00:01:25,04:20:07
ironman-70.3-uk-20130616.csv,2,Will Clarke,28,Leicestershire,GBR,00:23:59,02:41:01,01:16:31,00:02:48,00:01:32,04:25:51
ironman-70.3-uk-20130616.csv,3,Fraser Cartmell,31,Intl State,GBR,00:23:57,02:32:47,01:20:04,00:02:15,00:01:27,04:20:30
ironman-70.3-uk-20130616.csv,4,Mikel Elgezabal,33,---,ESP,00:27:10,02:39:46,---,00:03:26,00:01:34,DNF
ironman-70.3-uk-20130616.csv,5,Tom Lowe,35,Other,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,6,Richard Anderson,23,---,GBR,00:27:10,02:51:42,01:21:55,00:03:46,00:02:26,04:46:59
ironman-70.3-uk-20130616.csv,7,Nicholas Baldwin,25,WA,SYC,00:27:04,02:43:29,01:25:54,00:03:09,00:01:52,04:41:28
ironman-70.3-uk-20130616.csv,9,Martin Cain,37,---,GBR,00:30:36,02:55:08,01:31:28,00:04:28,00:02:18,05:03:58
ironman-70.3-uk-20130616.csv,10,Rod De Kanel,31,---,MCO,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,11,Jens Kaiser,34,---,DEU,00:29:27,02:45:24,01:28:06,00:03:08,00:02:13,04:48:18
ironman-70.3-uk-20130616.csv,12,Martin Kleinl,32,Other,AUT,00:33:17,---,---,00:03:28,---,DNF
ironman-70.3-uk-20130616.csv,13,Juha Laitinen,31,Intl State,FIN,00:32:05,02:54:58,01:29:34,00:04:44,00:03:03,05:04:24
ironman-70.3-uk-20130616.csv,14,Teemu Johannes Lemmettylä,30,---,FIN,00:29:04,02:47:54,01:28:45,00:03:12,00:01:52,04:50:47
ironman-70.3-uk-20130616.csv,15,Michael Louys,26,---,BEL,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,16,Philip Mosley,37,WA,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,17,Ritchie Nicholls,25,Derry,GBR,00:24:01,02:32:49,01:14:39,00:02:11,00:01:24,04:15:04
ironman-70.3-uk-20130616.csv,18,Christian Kramer,29,---,DEU,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,19,Ruben Ruzafa Cueto,28,---,ESP,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,20,Gudmund Snilstveit,31,---,NOR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,21,Harry Springall,24,surrey,GBR,00:27:09,02:38:27,---,00:02:45,00:01:23,DNF
ironman-70.3-uk-20130616.csv,22,Mark Threlfall,25,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,23,Pedro Gomes,29,DXB,PRT,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,24,Swen Sundberg,39,Eastern Cape,DEU,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,25,Lawrence Fanous,27,---,JOR,00:24:00,02:51:29,01:22:35,00:02:39,00:01:30,04:42:13
ironman-70.3-uk-20130616.csv,26,Christian Nilsson,23,Eastern Cape,NOR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,27,Pierre-Yves Facomprez,30,---,FRA,00:30:01,02:44:48,01:28:26,00:03:25,00:02:00,04:48:40
ironman-70.3-uk-20130616.csv,28,Uwe Widmann,42,---,DEU,00:25:35,02:42:12,01:22:51,00:03:22,00:01:28,04:35:28
ironman-70.3-uk-20130616.csv,29,Joe Slipper,25,---,GBR,00:27:06,02:38:43,01:23:34,00:02:36,00:01:36,04:33:35
ironman-70.3-uk-20130616.csv,37,Carol Bridge,28,---,GBR,00:27:10,03:03:52,01:38:40,00:02:56,00:02:17,05:14:55
ironman-70.3-uk-20130616.csv,38,Eimear Mullan,31,Intl State,IRL,00:29:00,02:55:08,01:28:19,00:02:52,00:01:40,04:56:59
ironman-70.3-uk-20130616.csv,39,Kristin Moeller,29,---,DEU,00:30:35,03:00:50,01:25:46,00:03:45,00:01:37,05:02:33
ironman-70.3-uk-20130616.csv,40,Catriona Morrison,36,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,41,Kat Baker,26,---,AUS,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,42,Simone Braendli,32,---,CHE,00:27:17,---,---,00:03:57,---,DNF
ironman-70.3-uk-20130616.csv,43,Joanna Carritt,37,Other,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,44,Amy Forshaw,34,Intl State,GBR,00:29:33,03:07:28,01:29:32,00:03:32,00:02:33,05:12:38
ironman-70.3-uk-20130616.csv,45,Lucy Gossage,33,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,46,Susie Cheetham,27,Intl State,GBR,00:27:55,02:58:28,---,00:03:39,00:01:53,DNF
ironman-70.3-uk-20130616.csv,47,Holly Lawrence,23,CA,GBR,00:25:55,02:56:33,01:30:54,00:02:59,00:01:40,04:58:01
ironman-70.3-uk-20130616.csv,48,Tamsin Lewis,34,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,49,Julia Grant,27,CAN,NZL,00:29:25,03:06:02,01:39:36,00:04:26,00:01:39,05:21:08
ironman-70.3-uk-20130616.csv,50,Aimee Backhouse,21,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,51,Hannah Bailey,24,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,52,Vicki Baldwin,22,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,53,Helen Blamey,24,London,GBR,00:38:58,04:21:34,02:08:29,00:08:26,00:05:48,07:23:15
ironman-70.3-uk-20130616.csv,54,Jessica Chamberlain,23,---,GBR,00:38:22,04:35:24,02:26:52,00:07:54,00:16:45,08:05:17
ironman-70.3-uk-20130616.csv,55,Hollie Cradduck,22,Hampshire,GBR,00:38:14,05:14:09,---,00:09:59,00:52:25,DNF
ironman-70.3-uk-20130616.csv,56,Siobhan Gallagher,---,---,IRL,00:29:37,03:44:14,02:07:55,00:05:07,00:03:31,06:30:24
ironman-70.3-uk-20130616.csv,57,Maddison Gronager,19,---,GBR,00:35:18,04:15:38,02:25:17,00:08:41,00:03:43,07:28:37
ironman-70.3-uk-20130616.csv,58,April Hamerston,21,---,GBR,00:50:11,04:25:57,02:21:55,00:13:01,00:12:31,08:03:35
ironman-70.3-uk-20130616.csv,59,Amanda Hibbs,24,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,60,Becky Hoare,23,Wiltshire,GBR,00:34:27,03:21:23,01:46:31,00:06:05,00:03:53,05:52:19
ironman-70.3-uk-20130616.csv,61,Gabriella Lai,22,---,FRA,00:33:37,03:53:00,02:23:03,00:10:02,00:03:10,07:02:52
ironman-70.3-uk-20130616.csv,62,Alana Livesey,---,---,GBR,00:35:24,04:34:04,01:40:25,00:07:48,00:05:19,07:03:00
ironman-70.3-uk-20130616.csv,63,Jenny Millett,24,---,GBR,00:45:26,04:46:45,---,00:09:34,---,DNF
ironman-70.3-uk-20130616.csv,64,Charlotte Mowbray-Pratt,23,---,GBR,00:43:37,03:52:25,01:54:17,00:08:04,00:06:28,06:44:51
ironman-70.3-uk-20130616.csv,65,Alexandra Noonan,22,Merseyside,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,66,Alan Armstrong,20,---,GBR,00:42:09,03:36:35,01:58:05,00:11:11,00:06:13,06:34:13
ironman-70.3-uk-20130616.csv,67,Jack Bass,18,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,68,Jack Bedford,21,---,GBR,00:35:32,04:26:15,02:40:02,00:06:56,00:03:25,07:52:10
ironman-70.3-uk-20130616.csv,69,Nathan Bennett,23,---,GBR,00:40:27,04:18:59,02:06:27,00:07:26,00:05:52,07:19:11
ironman-70.3-uk-20130616.csv,70,Craig Betteridge,21,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,71,Dominic Burns,21,---,GBR,01:04:07,04:58:00,---,00:08:42,00:43:59,DNF
ironman-70.3-uk-20130616.csv,72,Robin Craig,23,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,73,Matthew Davies,22,England,GBR,00:30:11,03:54:20,02:00:09,00:06:06,00:05:26,06:36:12
ironman-70.3-uk-20130616.csv,74,Patrick Davis,23,---,GBR,00:51:05,05:01:20,---,00:08:39,---,DNF
ironman-70.3-uk-20130616.csv,75,Chris Deacon,20,---,GBR,00:45:27,04:23:54,02:32:24,00:08:21,00:04:01,07:54:07
ironman-70.3-uk-20130616.csv,76,Jim Driessen,23,---,NLD,---,---,---,---,---,DQ
ironman-70.3-uk-20130616.csv,77,Craig Dymock,22,Devon,GBR,00:39:28,03:55:08,02:44:58,00:07:36,00:07:02,07:34:12
ironman-70.3-uk-20130616.csv,78,Harry Eaton,22,West Sussex,GBR,00:30:15,02:56:28,01:38:04,00:03:18,00:02:10,05:10:15
ironman-70.3-uk-20130616.csv,79,Jamie Edwards,22,VIC,AUS,00:30:09,02:58:39,01:39:00,00:04:26,00:03:00,05:15:14
ironman-70.3-uk-20130616.csv,80,Thomas Ellam,22,---,GBR,00:28:52,03:38:18,02:16:34,00:05:33,00:03:30,06:32:47
ironman-70.3-uk-20130616.csv,81,James Frome,22,---,GBR,00:37:04,03:45:48,01:59:53,00:06:20,00:05:13,06:34:18
ironman-70.3-uk-20130616.csv,82,Daniela Kolter,31,---,AUT,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,83,Francois Fung,24,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,84,Matt Gaskell,22,---,GBR,00:43:50,04:32:25,02:41:39,00:07:24,00:04:32,08:09:50
ironman-70.3-uk-20130616.csv,85,Luke Gilder,23,berkshire,GBR,00:35:27,03:30:53,02:02:02,00:04:01,00:04:48,06:17:11
ironman-70.3-uk-20130616.csv,86,Peter Gillis,23,---,GBR,00:34:54,03:38:31,02:00:31,00:07:25,00:06:04,06:27:25
ironman-70.3-uk-20130616.csv,87,Joshua Graeme-Wilson,21,---,GBR,00:51:57,04:02:50,02:11:50,00:07:59,00:05:30,07:20:06
ironman-70.3-uk-20130616.csv,88,Jack Grylls,24,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,89,Fred Hacking,22,---,GBR,00:45:12,04:58:41,---,00:09:30,01:01:24,DNF
ironman-70.3-uk-20130616.csv,91,Robert Harris,23,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,92,Daniel Harvey,23,---,GBR,00:38:51,04:07:45,02:29:10,00:08:21,00:04:26,07:28:33
ironman-70.3-uk-20130616.csv,93,Max Hazell,18,BANES,GBR,00:24:59,02:54:08,01:29:07,00:02:54,00:01:27,04:52:35
ironman-70.3-uk-20130616.csv,94,Andrew Heath,22,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,95,Richard Higgs,22,Berks,GBR,00:29:09,03:08:24,01:30:27,00:03:21,00:02:16,05:13:37
ironman-70.3-uk-20130616.csv,96,Freddie Iron,22,---,GBR,00:35:43,03:47:48,01:45:12,00:09:55,00:09:33,06:28:11
ironman-70.3-uk-20130616.csv,97,David Keasey,20,---,GBR,00:33:05,03:04:54,01:33:53,00:03:29,00:02:36,05:17:57
ironman-70.3-uk-20130616.csv,98,George Kirkman,20,derbyshire,GBR,00:36:20,02:58:02,01:45:03,00:06:04,00:02:05,05:27:34
ironman-70.3-uk-20130616.csv,99,Aaron Lavin,23,---,GBR,00:37:59,03:38:58,02:00:50,00:07:58,00:04:23,06:30:08
ironman-70.3-uk-20130616.csv,100,Josh Lee,21,---,GBR,00:35:54,03:49:19,01:56:47,00:05:30,00:02:55,06:30:25
ironman-70.3-uk-20130616.csv,101,James Lindley,23,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,102,Charles Lovell,21,---,GBR,00:45:19,03:24:02,01:47:36,00:09:21,00:04:46,06:11:04
ironman-70.3-uk-20130616.csv,103,Michael Lynch,24,---,GBR,00:30:25,03:31:58,01:54:14,00:05:04,00:03:26,06:05:07
ironman-70.3-uk-20130616.csv,104,Benjamin Macfarlane,20,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,105,Jack Macfarlane,23,---,GBR,00:33:55,03:03:18,01:48:51,00:05:18,00:02:06,05:33:28
ironman-70.3-uk-20130616.csv,106,Avi Mayorcas,21,---,GBR,00:34:45,03:28:19,02:03:40,00:04:54,00:03:30,06:15:08
ironman-70.3-uk-20130616.csv,107,Bernard Mccullagh,22,---,IRL,00:32:05,03:10:15,01:38:27,00:04:05,00:02:40,05:27:32
ironman-70.3-uk-20130616.csv,108,Luke Mcgrath,24,---,GBR,00:45:58,04:50:41,---,00:07:17,---,DNF
ironman-70.3-uk-20130616.csv,109,Alexander Middleton,22,---,GBR,00:38:37,04:03:56,01:43:43,00:08:28,00:02:51,06:37:35
ironman-70.3-uk-20130616.csv,111,Benjamin Myers,23,---,GBR,00:44:03,---,---,00:09:35,---,DNF
ironman-70.3-uk-20130616.csv,112,Moji Neshat,23,---,GBR,00:48:58,03:35:36,02:06:45,00:07:09,00:04:13,06:42:41
ironman-70.3-uk-20130616.csv,113,Markus Orgill,22,---,GBR,00:29:50,03:59:41,02:02:19,00:07:37,00:07:03,06:46:30
ironman-70.3-uk-20130616.csv,114,Lewis Paterson,22,Kent,GBR,00:49:06,04:53:46,---,00:09:58,01:01:58,DNF
ironman-70.3-uk-20130616.csv,115,Jonnie Pheasey,22,---,SLE,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,116,Sam Pictor,22,Wiltshire,GBR,00:35:25,03:22:42,01:55:01,00:04:32,00:06:25,06:04:05
ironman-70.3-uk-20130616.csv,117,Elias Rebeiz,18,---,GBR,00:52:45,03:41:04,02:20:59,00:11:32,00:12:50,07:19:10
ironman-70.3-uk-20130616.csv,118,Kristoffer Saeby,21,---,NOR,00:29:25,---,---,00:03:33,---,DNF
ironman-70.3-uk-20130616.csv,119,Danny Sherbourne,22,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,120,Geoffrey Smart,23,---,GBR,00:46:28,03:40:54,02:00:21,00:08:43,00:05:24,06:41:50
ironman-70.3-uk-20130616.csv,121,Charlie Sutherland,20,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,122,Fred Tallis,20,---,GBR,00:40:08,04:08:22,02:23:22,00:07:52,00:06:30,07:26:14
ironman-70.3-uk-20130616.csv,123,Pete Watson,24,United Kingdom,GBR,00:35:25,03:13:05,01:48:46,00:06:02,00:03:42,05:47:00
ironman-70.3-uk-20130616.csv,124,Tayo Willett,20,---,GBR,00:38:02,04:04:27,03:06:39,00:07:14,00:11:53,08:08:15
ironman-70.3-uk-20130616.csv,125,Jake Woods,20,---,GBR,00:28:44,03:30:54,01:57:29,00:07:08,00:03:48,06:08:03
ironman-70.3-uk-20130616.csv,126,Shonny Ballard,27,Wilts,GBR,00:39:14,03:25:43,01:49:53,00:09:15,00:04:28,06:08:33
ironman-70.3-uk-20130616.csv,127,Jessica Bradley,---,---,GBR,00:39:34,---,---,---,---,DNF
ironman-70.3-uk-20130616.csv,128,Elizabeth Ariens,27,WI,USA,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,129,Lorna Collins,29,---,GBR,00:30:29,03:39:46,01:59:24,00:05:30,00:02:24,06:17:33
ironman-70.3-uk-20130616.csv,130,Laura Colston,29,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,131,Georgina Crane,27,---,GBR,00:48:55,05:08:23,---,00:08:37,00:48:52,DNF
ironman-70.3-uk-20130616.csv,132,Charlotte Cumming,26,---,GBR,00:50:19,03:42:51,02:10:21,00:12:41,00:08:09,07:04:21
ironman-70.3-uk-20130616.csv,133,Sarah Darwin,28,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,134,Alice Davenport,27,---,GBR,00:42:35,04:58:01,---,00:20:24,00:53:47,DNF
ironman-70.3-uk-20130616.csv,135,Malgo Dzierugo,26,---,POL,00:58:03,04:22:54,---,00:15:14,01:18:36,DNF
ironman-70.3-uk-20130616.csv,136,Naomi English,28,---,CAN,00:36:56,03:41:16,02:05:01,00:08:16,00:05:37,06:37:06
ironman-70.3-uk-20130616.csv,137,Samantha Godden,27,---,GBR,00:44:10,04:17:40,02:20:45,00:11:08,00:09:55,07:43:38
ironman-70.3-uk-20130616.csv,138,Ursula Hankinson,25,---,GBR,00:34:33,03:38:34,01:56:39,00:04:28,00:02:21,06:16:35
ironman-70.3-uk-20130616.csv,139,Emma Hayes-Pankhurst,26,---,GBR,00:53:09,04:42:33,---,00:06:39,---,DNF
ironman-70.3-uk-20130616.csv,140,Sarah Hazel,26,Other,GBR,00:35:57,03:25:28,01:36:33,00:06:13,00:02:37,05:46:48
ironman-70.3-uk-20130616.csv,141,Josephine Howell,28,---,GBR,00:35:47,04:01:10,02:12:24,00:05:53,00:04:56,07:00:10
ironman-70.3-uk-20130616.csv,142,Claudia Kelly,26,---,NZL,01:06:59,04:45:37,---,00:17:37,00:44:34,DNF
ironman-70.3-uk-20130616.csv,143,Alexandra Larner,25,---,GBR,00:47:10,04:28:52,02:25:21,00:09:03,00:05:43,07:56:09
ironman-70.3-uk-20130616.csv,144,Rebecca Lund,26,Oxon,GBR,00:44:25,04:43:07,---,00:11:24,00:05:10,DNF
ironman-70.3-uk-20130616.csv,146,Kerry Mulcahy,28,---,GBR,00:41:06,04:08:42,02:04:22,00:09:53,00:05:05,07:09:08
ironman-70.3-uk-20130616.csv,147,Sarah Newey,26,Shropshire,GBR,00:39:08,04:55:56,---,00:06:13,---,DNF
ironman-70.3-uk-20130616.csv,148,Laura Osborn,28,Essex,GBR,00:43:30,04:17:55,02:01:42,00:12:49,00:08:18,07:24:14
ironman-70.3-uk-20130616.csv,149,Cassandra Patten,26,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,150,Barbara Scherrer,26,---,CHE,00:29:49,02:59:35,01:37:44,00:04:52,00:01:53,05:13:53
ironman-70.3-uk-20130616.csv,151,Emily Scott,26,Midlothian,GBR,00:39:31,03:46:01,02:01:05,00:13:11,00:08:57,06:48:45
ironman-70.3-uk-20130616.csv,152,Jennifer Shipley,27,---,GBR,00:39:58,03:53:31,02:26:53,00:07:52,00:07:19,07:15:33
ironman-70.3-uk-20130616.csv,153,Lize Smit,92,Western Cape,ZAF,00:52:09,04:16:45,02:18:26,00:15:34,00:12:59,07:55:53
ironman-70.3-uk-20130616.csv,154,Gemma Stevens,28,---,GBR,00:46:10,04:08:19,02:05:28,00:10:09,00:06:12,07:16:18
ironman-70.3-uk-20130616.csv,155,Kate Stoddard,27,---,GBR,00:39:43,03:32:11,01:52:56,00:06:23,00:02:21,06:13:34
ironman-70.3-uk-20130616.csv,156,Charlotte Tubbs,28,---,GBR,00:29:59,03:37:34,02:00:36,00:07:48,00:03:20,06:19:17
ironman-70.3-uk-20130616.csv,157,Rachel Ward,25,---,GBR,00:31:30,---,---,---,---,DNF
ironman-70.3-uk-20130616.csv,158,Natalie Weir,25,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20130616.csv,159,Anne Whyte,28,---,IRL,00:48:48,04:36:32,---,00:08:58,00:55:18,DNF
ironman-70.3-uk-20130616.csv,160,Victoria Wiltshire,28,WKO,GBR,00:37:00,04:06:19,02:08:36,00:08:59,00:05:55,07:06:49
ironman-70.3-uk-20130616.csv,161,Odette Wood,28,Bedfordshire,GBR,---,---,---,---,---,DQ
ironman-70.3-uk-20130616.csv,162,George Abbatt,---,---,GBR,00:42:50,04:37:28,---,00:13:46,---,DNF
ironman-70.3-uk-20130616.csv,163,Greg Abbott,29,Lancashire,GBR,00:35:18,03:16:12,01:36:41,00:05:55,00:03:16,05:37:22
ironman-70.3-uk-20130616.csv,164,Chris Agnew,25,---,GBR,00:34:39,03:19:02,01:56:32,00:05:55,00:02:12,05:58:20
ironman-70.3-uk-20130616.csv,165,Bader Alsabah,24,WI,KWT,00:49:38,04:20:30,02:41:30,00:09:55,00:06:36,08:08:09
ironman-70.3-uk-20130616.csv,166,Chris Anthony,29,---,GBR,00:28:57,03:24:25,01:53:14,00:06:26,00:03:40,05:56:42
ironman-70.3-uk-20130616.csv,167,Rowan Ardill,25,---,GBR,00:35:19,03:19:19,01:47:21,00:06:43,00:02:50,05:51:32
ironman-70.3-uk-20130616.csv,168,Nick Ariens,27,WI,USA,---,---,---,---,---,DNS
