#ironman-70.3-uk-20150628.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-uk-20150628.csv,10,Josh Arnold,19,---,GBR,00:43:15,04:48:53,---,00:09:41,00:05:11,DNF
ironman-70.3-uk-20150628.csv,11,Romain Aymon,20,FR,CHE,00:28:05,03:02:55,01:36:19,00:03:48,00:02:29,05:13:36
ironman-70.3-uk-20150628.csv,12,Andrew Browning,24,---,GBR,00:26:06,03:08:52,01:56:51,00:03:46,00:02:00,05:37:35
ironman-70.3-uk-20150628.csv,13,Adam Causer,22,---,GBR,00:36:08,04:06:39,02:09:45,00:08:54,00:05:31,07:06:57
ironman-70.3-uk-20150628.csv,14,Rob Collins,---,---,GBR,00:32:25,03:26:09,02:06:27,00:03:39,00:02:19,06:10:59
ironman-70.3-uk-20150628.csv,15,Matthew Collyer,20,---,GBR,00:31:25,03:01:53,01:29:19,00:03:27,00:02:00,05:08:04
ironman-70.3-uk-20150628.csv,16,Lennart De Laere,24,BE,BEL,00:39:30,03:47:00,02:35:43,00:08:41,00:04:07,07:15:01
ironman-70.3-uk-20150628.csv,17,Peter Dennison,23,---,GBR,00:33:48,03:39:48,02:03:01,00:05:04,00:03:06,06:24:47
ironman-70.3-uk-20150628.csv,18,Finlay Denwood,20,---,GBR,00:37:18,04:03:33,02:22:47,00:07:00,00:05:45,07:16:23
ironman-70.3-uk-20150628.csv,19,Josh Downes,21,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20150628.csv,20,Robert Elliott,24,Somerset,GBR,00:31:58,03:33:50,01:58:32,00:06:27,00:05:49,06:16:36
ironman-70.3-uk-20150628.csv,21,Robert Forsythe,24,---,IRL,---,---,---,---,---,DNS
ironman-70.3-uk-20150628.csv,22,Bertrand France,25,---,FRA,---,---,---,---,---,DNS
ironman-70.3-uk-20150628.csv,23,Michael Fryar,24,---,USA,00:36:49,03:44:30,01:49:58,00:05:24,00:05:32,06:22:13
ironman-70.3-uk-20150628.csv,24,Angus Hague,25,Suffolk,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20150628.csv,25,Richard Higgs,25,Berks,GBR,00:28:44,03:07:10,01:31:33,00:03:48,00:01:55,05:13:10
ironman-70.3-uk-20150628.csv,26,George Hone,24,Kent,GBR,---,---,---,---,---,DQ
ironman-70.3-uk-20150628.csv,27,Alex Hughes,21,---,GBR,00:31:39,03:37:01,01:49:49,00:05:39,00:05:22,06:09:30
ironman-70.3-uk-20150628.csv,28,Alexander Jones,22,---,GBR,00:31:05,03:09:32,01:31:46,00:04:41,00:03:13,05:20:17
ironman-70.3-uk-20150628.csv,29,Stephen Kelly,24,---,GBR,00:47:15,---,---,00:06:53,---,DNF
ironman-70.3-uk-20150628.csv,30,Tom Kitchen,24,---,GBR,00:30:32,03:20:29,01:40:27,00:06:13,00:03:21,05:41:02
ironman-70.3-uk-20150628.csv,31,Will Mabbett,25,---,GBR,00:34:25,04:07:44,02:16:49,00:06:55,00:05:29,07:11:22
ironman-70.3-uk-20150628.csv,32,Josh Madge,24,Kent,GBR,00:35:15,03:41:31,02:03:07,00:04:43,00:02:32,06:27:08
ironman-70.3-uk-20150628.csv,33,Ben Marsh,24,---,IRL,00:32:25,03:36:06,01:54:23,00:05:44,00:03:48,06:12:26
ironman-70.3-uk-20150628.csv,34,Jason Mccarthy,25,Angus/Forfarshire - AN,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20150628.csv,35,James Mccartney,23,East Yorkshire,GBR,00:29:30,03:22:14,01:51:17,00:07:27,00:04:32,05:55:00
ironman-70.3-uk-20150628.csv,36,Fred Merrett,25,Suffolk,GBR,00:30:07,03:54:18,01:55:15,00:06:53,00:04:20,06:30:53
ironman-70.3-uk-20150628.csv,37,Christy Moen,25,---,GBR,---,---,---,---,---,DNS
ironman-70.3-uk-20150628.csv,38,Ben Morgan,22,Essex,GBR,---,---,---,---,---,DNS
