#File=ironman-70.3-uruguay-20161127.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-uruguay-20161127.csv,1,Matt Hanson,31,IA,USA,00:26:07,01:53:14,01:13:15,00:12:56,00:00:59,03:46:31
ironman-70.3-uruguay-20161127.csv,2,Santiago Ascenço,35,Goiás,BRA,00:26:14,01:50:36,01:14:58,00:11:45,00:01:00,03:44:33
ironman-70.3-uruguay-20161127.csv,3,Mario De Elias,32,Buenos Aires,ARG,00:26:09,01:57:43,01:16:51,00:11:50,00:00:55,03:53:28
ironman-70.3-uruguay-20161127.csv,4,Sebastian Blanco,28,buenos aires,ARG,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,5,Sergio Carrettoni,48,Intl State,ARG,00:42:55,03:06:36,03:03:29,00:02:23,00:03:11,06:58:34
ironman-70.3-uruguay-20161127.csv,6,Paulo Roberto Maciel Da Silva,26,DF,BRA,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,7,Eduardo Diaz,49,Intl State,ARG,00:29:34,02:14:27,---,00:00:52,---,DNF
ironman-70.3-uruguay-20161127.csv,8,Lautaro Diaz,47,---,ARG,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,9,Gaston Duran,40,Intl State,ARG,00:29:21,02:18:03,01:36:06,00:01:06,00:01:10,04:25:46
ironman-70.3-uruguay-20161127.csv,10,Juan Manuel Lauro,35,montevideo,URY,00:26:11,02:00:49,01:28:23,00:13:51,00:00:54,04:10:08
ironman-70.3-uruguay-20161127.csv,11,Felipe Manente,28,Intl State,BRA,00:26:15,02:01:50,01:26:22,00:12:48,00:00:53,04:08:08
ironman-70.3-uruguay-20161127.csv,12,Benjamin Munizaga,35,---,CHL,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,13,Luis Henrique Ohde,23,Paraná ,BRA,00:25:16,01:54:02,01:19:22,00:12:43,00:00:56,03:52:19
ironman-70.3-uruguay-20161127.csv,14,Rodrigo Sanchez,27,CORDOBA,ARG,00:28:47,02:15:52,01:19:36,00:12:54,00:01:20,04:18:29
ironman-70.3-uruguay-20161127.csv,15,Thiago Vinhal,33,Intl State,BRA,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,16,Marcus Fernandes,29,DF,BRA,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,21,Ariane Monticeli,34,Intl State,BRA,00:29:29,02:21:25,01:23:17,00:00:46,00:00:51,04:15:48
ironman-70.3-uruguay-20161127.csv,22,Pamela Tastets,35,---,CHL,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,23,Erika Simon,39,Intl State,ARG,00:31:20,02:27:11,01:45:45,00:00:46,00:01:03,04:46:05
ironman-70.3-uruguay-20161127.csv,24,Corinne Abraham,39,Intl State,GBR,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,25,Laurel Wassner,41,CA,USA,00:26:38,02:20:00,01:26:59,00:00:41,00:00:49,04:15:07
ironman-70.3-uruguay-20161127.csv,26,Laura Barrena,41,Intl State,ARG,00:40:09,02:43:30,01:52:57,00:01:15,00:01:11,05:19:02
ironman-70.3-uruguay-20161127.csv,27,Mariana Borges De Andrade,29,SC,BRA,---,---,---,---,---,DNS
ironman-70.3-uruguay-20161127.csv,28,Rebeccah Wassner,41,NY,USA,00:26:39,02:18:57,01:30:30,00:00:43,00:00:49,04:17:38
ironman-70.3-uruguay-20161127.csv,29,Flo Chretien,42,NY,USA,00:29:51,02:46:04,01:33:49,00:01:01,00:01:02,04:51:47
ironman-70.3-uruguay-20161127.csv,30,Sylvia Gehnboeck,37,---,AUT,00:32:01,02:18:39,01:36:12,00:00:55,00:01:00,04:28:47
ironman-70.3-uruguay-20161127.csv,31,Kirsty Jahn,32,CO,CAN,00:27:51,02:20:39,01:23:25,00:00:53,00:01:26,04:14:14
