#ironman-70.3-vichy-20160827.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-vichy-20160827.csv,1,Michel Morret,58,---,FRA,00:37:51,02:24:54,01:32:24,00:05:37,00:02:33,04:43:19
ironman-70.3-vichy-20160827.csv,2,J\xc3\xa9r\xc3\xa9mie Berteloot,35,FR,FRA,00:47:29,02:42:28,01:42:09,00:04:08,00:03:49,05:20:03
ironman-70.3-vichy-20160827.csv,3,Jean-Christophe Guinchard,48,---,CHE,00:28:29,02:17:58,---,00:02:53,00:03:01,DNF
ironman-70.3-vichy-20160827.csv,4,Xavier Fanovard,36,---,FRA,00:29:57,02:14:53,02:26:16,00:03:48,00:02:12,05:17:06
ironman-70.3-vichy-20160827.csv,5,Frederic Carencotte,44,---,FRA,00:42:23,02:29:00,01:31:58,00:04:34,00:03:36,04:51:31
ironman-70.3-vichy-20160827.csv,6,Denis Legouge,46,---,FRA,00:30:17,02:23:57,01:27:31,00:03:07,00:02:35,04:27:27
ironman-70.3-vichy-20160827.csv,7,Anthony Adam,36,---,FRA,00:29:50,02:18:44,01:27:14,00:02:40,00:02:39,04:21:07
ironman-70.3-vichy-20160827.csv,8,Antonio Jose Adell Reverter,42,ES,ESP,00:35:24,02:26:59,01:29:22,00:03:16,00:03:06,04:38:07
ironman-70.3-vichy-20160827.csv,9,Melanie Baumann,36,---,CHE,---,---,---,---,---,DQ
ironman-70.3-vichy-20160827.csv,10,Ade Bungay,47,Dorset,GBR,00:44:40,02:41:34,01:48:20,00:04:36,00:04:55,05:24:05
ironman-70.3-vichy-20160827.csv,11,Federica De Nicola,23,---,ITA,00:36:11,---,---,00:03:27,---,DNF
ironman-70.3-vichy-20160827.csv,12,Lucia Erat,31,---,CHE,00:36:15,02:30:06,01:23:28,00:03:22,00:02:59,04:36:10
ironman-70.3-vichy-20160827.csv,13,Pablo Erat,45,---,CHE,00:28:09,---,---,00:03:06,---,DNF
ironman-70.3-vichy-20160827.csv,14,David Harinck,46,---,BEL,00:31:49,02:21:54,01:37:31,00:03:43,00:03:10,04:38:07
ironman-70.3-vichy-20160827.csv,15,Luca Inzirillo,27,CH,CHE,00:35:46,02:33:42,01:57:48,00:05:19,00:04:45,05:17:20
ironman-70.3-vichy-20160827.csv,16,Henrik Israelsson,45,DK,DNK,00:39:07,02:30:15,01:40:27,00:04:12,00:02:36,04:56:37
ironman-70.3-vichy-20160827.csv,17,Quentin Kurc Boucau,28,---,FRA,00:31:23,02:13:52,01:25:39,00:02:50,00:02:29,04:16:13
ironman-70.3-vichy-20160827.csv,18,Olivier Lange,38,---,BEL,---,---,---,---,---,DNS
ironman-70.3-vichy-20160827.csv,19,Fran Malin,51,Northants,GBR,00:43:53,02:42:32,01:43:33,00:04:41,00:02:38,05:17:17
ironman-70.3-vichy-20160827.csv,20,Nancy Obreno,52,BE,BEL,00:33:32,02:50:10,02:14:51,00:03:57,00:04:14,05:46:44
ironman-70.3-vichy-20160827.csv,21,Alain Perroteau,57,---,FRA,00:43:29,02:26:24,01:32:47,00:04:31,00:08:26,04:55:37
ironman-70.3-vichy-20160827.csv,22,Roger Sch\xc3\xa4rli,37,---,CHE,00:36:06,02:26:47,01:36:25,00:03:52,00:02:34,04:45:44
ironman-70.3-vichy-20160827.csv,23,Julien Sola,32,---,FRA,00:30:10,02:18:20,01:20:37,00:03:20,00:02:08,04:14:35
ironman-70.3-vichy-20160827.csv,24,Steffen Stegmann,27,DE,DEU,00:26:44,02:22:17,01:22:58,00:02:58,00:02:52,04:17:49
ironman-70.3-vichy-20160827.csv,25,Bernard Stephane,40,---,FRA,00:32:17,02:22:12,01:23:28,00:03:03,00:08:01,04:29:01
ironman-70.3-vichy-20160827.csv,26,Andrea Sulzer,37,---,CHE,00:36:33,02:37:15,01:56:08,00:04:07,00:02:47,05:16:50
ironman-70.3-vichy-20160827.csv,27,Michal Szatkowski,34,---,POL,00:42:24,02:39:28,01:53:02,00:05:18,00:03:42,05:23:54
