#File=ironman-70.3-vineman-20110717.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-vineman-20110717.csv,1,Chris Lieto,39,CA,USA,00:23:55,02:03:27,01:21:27,00:01:12,00:01:06,03:51:07
ironman-70.3-vineman-20110717.csv,3,Joe Gambles,29,CO,USA,00:23:27,02:08:20,01:13:14,00:01:07,00:00:56,03:47:04
ironman-70.3-vineman-20110717.csv,4,Andy Potts,34,CO,USA,00:21:38,02:08:44,01:13:09,00:01:20,00:01:07,03:45:58
ironman-70.3-vineman-20110717.csv,5,Paul Attard,27,---,AUS,00:25:38,02:18:48,01:22:34,00:01:19,00:01:12,04:09:31
ironman-70.3-vineman-20110717.csv,7,Tim O'Donnell,30,CO,USA,00:21:57,02:09:48,01:16:41,00:01:07,00:00:53,03:50:26
ironman-70.3-vineman-20110717.csv,8,Raynard Tissink,37,---,USA,---,---,---,---,---,DNS
ironman-70.3-vineman-20110717.csv,9,Matt Reed,35,CA,USA,00:22:19,02:09:22,01:18:41,00:01:14,00:00:54,03:52:30
ironman-70.3-vineman-20110717.csv,10,Paul Matthews,28,TX,AUS,00:21:59,02:07:03,01:15:23,00:01:06,00:00:56,03:46:27
ironman-70.3-vineman-20110717.csv,11,Matt Lieto,33,OR,USA,00:24:17,02:06:03,01:19:47,00:01:22,00:01:02,03:52:31
ironman-70.3-vineman-20110717.csv,12,Nicholas Thompson,28,CA,USA,00:25:45,02:14:38,01:17:20,00:01:21,00:00:56,04:00:00
ironman-70.3-vineman-20110717.csv,15,Joshua Rix,32,VIC,USA,00:24:00,02:16:21,01:18:54,00:01:09,00:01:09,04:01:33
ironman-70.3-vineman-20110717.csv,16,Graham O'Grady,29,NJ,NZL,00:21:41,02:10:05,01:14:58,00:01:14,00:00:58,03:48:56
ironman-70.3-vineman-20110717.csv,17,John Dahlz,26,CA,USA,00:21:44,02:22:53,01:40:03,00:01:13,00:01:13,04:27:06
ironman-70.3-vineman-20110717.csv,18,Allan Villanueva,33,DI,MEX,00:26:42,02:20:46,01:22:39,00:01:31,00:07:01,04:18:39
ironman-70.3-vineman-20110717.csv,19,Kyle Leto,25,CO,USA,00:21:45,02:09:51,01:16:17,00:01:15,00:00:57,03:50:05
ironman-70.3-vineman-20110717.csv,21,Bruce Hunter,25,---,NZL,00:24:06,02:14:51,---,00:01:19,00:01:02,DNF
ironman-70.3-vineman-20110717.csv,22,Chris Kemp,30,---,AUS,00:23:43,02:16:39,01:12:28,00:01:11,00:01:06,03:55:07
ironman-70.3-vineman-20110717.csv,23,Chris Boudreaux,31,OR,USA,---,---,---,---,---,DNS
ironman-70.3-vineman-20110717.csv,24,Freddy Lampret,32,---,ZAF,00:23:59,02:20:20,01:18:48,00:01:33,00:01:25,04:06:05
ironman-70.3-vineman-20110717.csv,25,Jesse Thomas,31,OR,USA,00:24:02,02:16:13,01:11:12,00:01:14,00:01:10,03:53:51
ironman-70.3-vineman-20110717.csv,27,Shanon Stallard,31,TKI,NZL,00:26:14,02:21:11,01:19:37,00:01:27,00:01:14,04:09:43
ironman-70.3-vineman-20110717.csv,28,Matt Taylor,26,---,NZL,00:25:47,02:21:51,01:28:08,00:01:17,00:01:02,04:18:05
ironman-70.3-vineman-20110717.csv,29,Jimmy Archer,38,CO,USA,---,---,---,---,---,DNS
ironman-70.3-vineman-20110717.csv,30,Chris Baird,22,CA,USA,00:29:29,---,---,00:01:59,---,DNF
ironman-70.3-vineman-20110717.csv,31,Nathan Killam,24,BC,CAN,00:26:13,02:25:44,01:21:31,00:01:31,00:01:14,04:16:13
ironman-70.3-vineman-20110717.csv,32,Ken Rakestraw,23,CA,USA,00:26:38,02:22:49,01:19:20,00:01:36,00:01:17,04:11:40
ironman-70.3-vineman-20110717.csv,33,Eric Clarkson,29,CA,USA,00:23:55,02:22:42,01:25:24,00:01:50,00:01:05,04:14:56
ironman-70.3-vineman-20110717.csv,34,Arland Macasieb,35,NJ,USA,00:28:40,02:28:00,01:24:40,00:01:38,00:01:55,04:24:53
ironman-70.3-vineman-20110717.csv,35,Lewis Elliot,31,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-vineman-20110717.csv,36,Brice Winkler,22,CA,USA,00:28:53,02:26:47,01:24:34,00:01:46,00:01:22,04:23:22
ironman-70.3-vineman-20110717.csv,38,Mirinda Carfrae,30,CO,USA,00:26:29,02:29:29,01:19:17,00:01:32,00:01:02,04:17:49
ironman-70.3-vineman-20110717.csv,39,Leanda Cave,33,FL,USA,00:24:06,02:23:03,01:24:50,00:02:01,00:01:14,04:15:14
ironman-70.3-vineman-20110717.csv,40,Melanie Mcquaid,38,BC,CAN,00:27:50,02:27:41,01:27:54,00:01:34,00:01:09,04:26:08
ironman-70.3-vineman-20110717.csv,42,Heather Jackson,27,OR,USA,---,---,---,---,---,DNS
ironman-70.3-vineman-20110717.csv,43,Meredith Kessler,33,CA,USA,00:24:08,02:25:36,01:25:33,00:01:58,00:01:09,04:18:24
ironman-70.3-vineman-20110717.csv,44,Charisa Wernick,35,CA,USA,00:27:57,02:30:57,01:25:09,00:01:59,00:01:09,04:27:11
ironman-70.3-vineman-20110717.csv,45,Natasha Van Der Merwe,30,TX,USA,00:32:53,02:36:23,01:33:19,00:01:27,00:01:20,04:45:22
ironman-70.3-vineman-20110717.csv,46,Emily Cocks,34,CA,USA,00:26:16,02:35:36,01:29:39,00:01:37,00:01:07,04:34:15
ironman-70.3-vineman-20110717.csv,47,Kelly O'Mara,26,CA,USA,00:30:23,02:42:05,01:52:03,00:01:44,00:01:27,05:07:42
