#ironman-70.3-vineman-20150712.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-vineman-20150712.csv,2,Craig Alexander,43,NSW,AUS,00:22:50,02:05:13,01:13:43,00:01:21,00:02:17,03:45:24
ironman-70.3-vineman-20150712.csv,3,Matty Reed,40,CA,USA,00:22:52,02:20:42,01:20:56,00:01:27,00:02:17,04:08:14
ironman-70.3-vineman-20150712.csv,4,Luke Bell,37,VIC,AUS,00:22:54,02:05:21,02:35:44,00:01:14,00:02:33,05:07:46
ironman-70.3-vineman-20150712.csv,5,Sam Appleton,26,NSW,AUS,00:22:42,02:03:17,01:13:40,00:01:17,00:02:10,03:43:06
ironman-70.3-vineman-20150712.csv,6,Kevin Collington,31,FL,USA,00:22:47,02:05:26,01:15:28,00:01:18,00:02:19,03:47:18
ironman-70.3-vineman-20150712.csv,7,Tim O'Donnell,35,CO,USA,00:22:44,02:05:22,01:17:40,00:01:15,00:02:15,03:49:16
ironman-70.3-vineman-20150712.csv,8,Ben Collins,33,WA,USA,00:22:45,02:05:22,01:18:15,00:01:11,00:02:18,03:49:51
ironman-70.3-vineman-20150712.csv,10,Mark Bowstead,27,---,NZL,00:22:46,02:05:34,01:17:59,00:01:05,00:02:57,03:50:21
ironman-70.3-vineman-20150712.csv,13,Tj Tollakson,36,IA,USA,00:22:53,02:05:11,01:21:05,00:01:23,00:02:28,03:53:00
ironman-70.3-vineman-20150712.csv,15,Chris Mcdonald,38,CO,USA,00:25:18,02:12:42,01:20:30,00:01:17,00:02:43,04:02:30
ironman-70.3-vineman-20150712.csv,16,Joe Umphenour,47,CO,USA,---,---,---,---,---,DNS
ironman-70.3-vineman-20150712.csv,18,John Dahlz,31,CA,USA,00:22:53,02:17:38,---,00:01:09,---,DNF
ironman-70.3-vineman-20150712.csv,19,Eric Clarkson,34,CA,USA,00:25:14,02:19:47,01:29:20,00:01:23,00:02:53,04:18:37
ironman-70.3-vineman-20150712.csv,20,Chris Berg,31,CA,USA,00:24:11,02:22:11,01:28:02,00:01:25,00:03:01,04:18:50
ironman-70.3-vineman-20150712.csv,22,Dylan Oliva,24,CA,USA,00:25:46,02:15:41,01:28:14,00:01:22,00:02:30,04:13:33
ironman-70.3-vineman-20150712.csv,23,Brian Hrynkow,26,AB,CAN,00:27:56,02:22:04,01:36:22,00:01:35,00:02:25,04:30:22
ironman-70.3-vineman-20150712.csv,24,Reilly Smith,35,CA,USA,00:27:33,02:18:37,01:35:11,00:01:31,00:03:19,04:26:11
ironman-70.3-vineman-20150712.csv,26,Benjamin Williams,32,HI,USA,00:25:06,02:19:34,01:21:13,00:01:48,00:02:55,04:10:36
ironman-70.3-vineman-20150712.csv,27,Jake Montgomery,22,QLD,AUS,00:22:42,02:09:21,01:19:27,00:01:18,00:02:50,03:55:38
ironman-70.3-vineman-20150712.csv,28,Esteban Rosas,34,Jalisco,MEX,00:22:50,02:20:52,01:27:50,00:01:20,00:02:37,04:15:29
ironman-70.3-vineman-20150712.csv,29,Steven Rosinski,31,VA,USA,00:26:59,02:15:45,01:21:49,00:01:41,00:02:50,04:09:04
ironman-70.3-vineman-20150712.csv,30,Chris Baird,27,CA,USA,00:26:54,02:11:05,---,00:01:25,00:03:47,DNF
ironman-70.3-vineman-20150712.csv,31,Yu Hsiao,26,CA,USA,00:26:57,02:11:05,01:21:20,00:01:32,00:02:49,04:03:43
ironman-70.3-vineman-20150712.csv,32,Keith Butsko,29,CA,USA,00:27:00,---,---,00:01:35,---,DNF
ironman-70.3-vineman-20150712.csv,33,Andrew Langfield,29,OR,USA,00:26:58,02:18:38,01:19:30,00:01:43,00:03:11,04:10:00
ironman-70.3-vineman-20150712.csv,36,Jason Watson,37,CA,USA,00:29:15,02:44:22,01:19:17,00:02:06,00:08:02,04:43:02
ironman-70.3-vineman-20150712.csv,37,Kennett Peterson,30,CO,USA,00:32:00,---,---,---,---,DNF
ironman-70.3-vineman-20150712.csv,40,Meredith Kessler,38,CA,USA,00:24:06,02:19:31,01:24:28,00:01:13,00:02:40,04:11:58
ironman-70.3-vineman-20150712.csv,41,Mirinda Carfrae,35,CO,USA,00:27:18,02:25:26,01:21:54,00:01:17,00:02:38,04:18:33
ironman-70.3-vineman-20150712.csv,42,Emma-Kate Lidbury,36,CA,USA,00:26:42,02:30:14,01:29:52,00:01:32,00:03:06,04:31:26
ironman-70.3-vineman-20150712.csv,43,Leanda Cave,38,FL,USA,00:24:09,02:34:58,---,00:01:24,---,DNF
ironman-70.3-vineman-20150712.csv,45,Laura Siddall,35,CA,USA,00:27:16,02:25:15,01:30:41,00:01:22,00:02:07,04:26:41
ironman-70.3-vineman-20150712.csv,46,Emily Cocks,39,CA,USA,00:24:07,02:27:30,01:28:04,00:01:24,00:02:49,04:23:54
ironman-70.3-vineman-20150712.csv,47,Holly Lawrence,26,AL,GBR,00:24:09,02:19:31,---,00:01:11,00:02:41,DNF
ironman-70.3-vineman-20150712.csv,49,Lauren Brandon,31,TX,USA,00:23:03,02:23:13,01:37:32,00:01:24,00:02:42,04:27:54
ironman-70.3-vineman-20150712.csv,50,Bree Wee,36,HI,USA,00:25:53,02:32:09,01:35:11,00:01:35,00:02:59,04:37:47
ironman-70.3-vineman-20150712.csv,51,Kelsey Withrow,33,CA,USA,00:24:46,02:48:31,01:49:03,00:01:58,00:03:18,05:07:36
ironman-70.3-vineman-20150712.csv,52,Magali Tisseyre,34,CA,USA,00:25:48,02:20:07,01:23:26,00:01:21,00:02:27,04:13:09
ironman-70.3-vineman-20150712.csv,55,Elizabeth Noey,31,CA,USA,00:29:16,02:40:48,01:35:37,00:01:39,00:02:46,04:50:06
ironman-70.3-vineman-20150712.csv,56,Tracy Douglas,31,VIC,AUS,---,---,---,---,---,DNS
ironman-70.3-vineman-20150712.csv,58,Bailey Hinz,30,NV,USA,00:28:13,02:30:23,01:33:33,00:01:31,00:03:00,04:36:40
ironman-70.3-vineman-20150712.csv,59,Carly Johann,33,CA,USA,00:28:15,02:27:06,01:35:44,00:01:24,00:02:51,04:35:20
ironman-70.3-vineman-20150712.csv,60,Leslie Lamacchia,37,TX,USA,00:32:01,02:50:15,01:33:05,00:01:41,00:05:17,05:02:19
ironman-70.3-vineman-20150712.csv,61,Mackenzie Madison,30,OR,USA,00:27:23,02:29:44,01:28:04,00:02:28,00:03:06,04:30:45
ironman-70.3-vineman-20150712.csv,62,Brittany Pierce,32,FL,USA,00:28:46,02:33:23,01:32:27,00:01:34,00:02:49,04:38:59
ironman-70.3-vineman-20150712.csv,63,Allison Stewart,30,KY,USA,00:29:07,02:36:45,---,00:01:47,00:02:57,DNF
ironman-70.3-vineman-20150712.csv,64,Christine Avelar,34,WA,USA,00:25:51,02:32:51,01:42:59,00:02:07,00:03:36,04:47:24
ironman-70.3-vineman-20150712.csv,65,Erin Crum,37,ID,USA,00:28:47,02:39:53,01:35:44,00:01:47,00:05:17,04:51:28
ironman-70.3-vineman-20150712.csv,66,Ali Black,40,UT,USA,00:31:50,02:35:51,01:33:04,00:01:43,00:03:13,04:45:41
ironman-70.3-vineman-20150712.csv,100,Faye Moore,41,CA,USA,00:30:13,03:01:30,01:48:14,00:02:41,00:03:28,05:26:06
