#ironman-70.3-wiesbaden-20130811.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-wiesbaden-20130811.csv,1,Michael Raelert,36,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-wiesbaden-20130811.csv,2,Faris Al-Sultan,38,DE,DEU,00:21:45,02:29:25,01:18:23,00:02:07,00:01:08,04:12:48
ironman-70.3-wiesbaden-20130811.csv,3,Jan Frodeno,35,Intl State,DEU,00:20:39,02:24:01,01:08:52,00:01:48,00:02:15,03:57:35
ironman-70.3-wiesbaden-20130811.csv,4,Daniel Unger,38,---,DEU,---,---,---,---,---,DNS
ironman-70.3-wiesbaden-20130811.csv,5,Thomas Hellriegel,45,---,DEU,00:23:08,02:37:31,01:28:00,00:02:30,00:01:34,04:32:43
ironman-70.3-wiesbaden-20130811.csv,6,Alessandro Degasperi,35,Italy,ITA,00:21:38,02:23:13,01:12:20,00:01:55,00:01:08,04:00:14
ironman-70.3-wiesbaden-20130811.csv,8,Uwe Widmann,45,---,DEU,00:21:59,02:43:08,01:25:17,00:02:19,00:01:19,04:34:02
ironman-70.3-wiesbaden-20130811.csv,9,Johann Ackermann,32,DE,DEU,00:21:40,02:34:58,01:24:13,00:02:04,00:01:48,04:24:43
ironman-70.3-wiesbaden-20130811.csv,10,Nicolai Baumann,28,DE,DEU,00:28:26,02:55:40,01:36:36,00:03:02,00:01:14,05:04:58
ironman-70.3-wiesbaden-20130811.csv,13,Andreas Dreitz,27,DE,DEU,00:22:45,02:21:43,01:15:40,00:01:59,00:01:06,04:03:13
ironman-70.3-wiesbaden-20130811.csv,14,Christian Jais,37,---,DEU,00:25:48,02:40:55,01:26:04,00:02:11,00:01:03,04:36:01
ironman-70.3-wiesbaden-20130811.csv,15,Martin Kleinl,35,---,AUT,00:28:42,02:39:52,01:23:52,00:02:18,00:01:12,04:35:56
ironman-70.3-wiesbaden-20130811.csv,16,Tomas Kozel,33,---,CZE,---,---,---,---,---,DNS
