#File=ironman-70.3-xiamen-20161113.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-xiamen-20161113.csv,1,Tim Don,38,Intl State,GBR,00:28:35,02:06:29,01:17:59,00:03:03,00:02:15,03:58:21
ironman-70.3-xiamen-20161113.csv,2,Stuart Hayes,37,---,GBR,00:28:37,02:06:30,01:24:14,00:03:13,00:02:21,04:04:55
ironman-70.3-xiamen-20161113.csv,3,Brad Williams,30,---,USA,00:34:19,02:09:10,01:44:40,00:03:31,00:02:42,04:34:22
ironman-70.3-xiamen-20161113.csv,4,Josh Amberger,27,QLD,AUS,00:26:09,02:03:36,01:21:15,00:03:29,00:02:22,03:56:51
ironman-70.3-xiamen-20161113.csv,5,Dougal Allan,31,OTA,NZL,00:34:19,02:04:57,01:25:24,00:03:27,00:02:26,04:10:33
ironman-70.3-xiamen-20161113.csv,9,Jonathan Fecik,27,CT,USA,00:33:45,02:09:35,01:40:08,00:03:42,00:02:55,04:30:05
ironman-70.3-xiamen-20161113.csv,10,Pieter Heemeryck,27,---,BEL,00:28:46,02:06:34,---,00:02:58,00:02:30,DNF
ironman-70.3-xiamen-20161113.csv,11,Matt Lieto,38,OR,USA,00:28:44,02:11:33,01:40:06,00:03:47,00:03:15,04:27:25
ironman-70.3-xiamen-20161113.csv,12,Justin Metzler,23,CO,USA,00:28:39,02:06:27,01:22:15,00:03:10,00:02:16,04:02:47
ironman-70.3-xiamen-20161113.csv,13,Stuart Marais,31,---,ZAF,00:33:36,02:07:54,01:17:55,00:03:53,00:02:31,04:05:49
ironman-70.3-xiamen-20161113.csv,16,Santiago Abad De Agueda,42,---,ESP,00:38:12,02:27:53,01:58:38,00:03:34,00:03:09,05:11:26
ironman-70.3-xiamen-20161113.csv,20,Zsombor Deak,27,NSW,ROU,00:34:23,02:23:17,01:21:12,00:03:29,00:02:31,04:24:52
ironman-70.3-xiamen-20161113.csv,22,Sebastien Jouffret,34,---,FRA,00:33:54,02:17:29,01:37:56,00:03:23,00:03:20,04:36:02
ironman-70.3-xiamen-20161113.csv,31,Emma Pallant,27,Surrey,GBR,00:32:38,02:22:14,---,00:03:20,00:02:18,DNF
