#File=ironman-70.3-yeppoon-20120819.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-yeppoon-20120819.csv,1,Ollie Whistler,28,---,AUS,---,---,---,---,---,DNS
ironman-70.3-yeppoon-20120819.csv,2,Matty White,39,---,AUS,00:24:17,02:10:41,01:18:27,00:01:13,00:00:40,03:55:18
ironman-70.3-yeppoon-20120819.csv,3,Tim Reed,31,NSW,AUS,00:24:19,02:10:39,01:12:42,00:01:17,00:00:45,03:49:42
ironman-70.3-yeppoon-20120819.csv,4,Mitchell Anderson,41,---,AUS,00:26:06,02:10:26,01:21:31,00:01:39,00:00:57,04:00:39
ironman-70.3-yeppoon-20120819.csv,5,James Hodge,24,---,AUS,---,---,---,---,---,DNS
ironman-70.3-yeppoon-20120819.csv,6,Joseph Lampe,28,---,AUS,00:23:12,---,---,00:01:24,---,DNF
ironman-70.3-yeppoon-20120819.csv,7,Samuel Betten,28,QLD,AUS,00:22:46,02:08:15,01:17:18,00:01:13,00:00:43,03:50:15
ironman-70.3-yeppoon-20120819.csv,8,Johan Borg,27,WA,AUS,00:27:26,02:20:10,01:22:04,00:01:29,00:00:58,04:12:07
ironman-70.3-yeppoon-20120819.csv,9,Ben Hammond,28,---,AUS,00:25:05,02:16:54,01:23:45,00:01:28,00:00:54,04:08:06
ironman-70.3-yeppoon-20120819.csv,10,Adam Gordon,33,QLD,NZL,00:26:24,02:11:23,01:23:51,00:01:42,00:00:55,04:04:15
ironman-70.3-yeppoon-20120819.csv,11,Luke Gillmer,33,NSW,AUS,00:25:32,02:16:01,01:27:13,00:01:51,00:00:55,04:11:32
ironman-70.3-yeppoon-20120819.csv,12,Matt Bailey,27,VIC,AUS,00:23:15,02:11:45,01:22:52,00:01:27,00:00:44,04:00:03
ironman-70.3-yeppoon-20120819.csv,13,Nicholas Hull,29,QLD,AUS,00:24:14,---,---,00:01:19,---,DNF
ironman-70.3-yeppoon-20120819.csv,14,John Polson,29,---,AUS,00:24:20,02:13:14,01:16:46,00:01:22,00:00:48,03:56:30
ironman-70.3-yeppoon-20120819.csv,15,William O'Connor,28,NZ,NZL,00:29:10,02:45:01,01:39:20,00:01:19,00:01:36,04:56:26
ironman-70.3-yeppoon-20120819.csv,16,Lindsey Wall,27,---,AUS,00:24:12,02:19:11,01:27:42,00:01:19,00:00:54,04:13:18
ironman-70.3-yeppoon-20120819.csv,17,Lisa Marangon,36,NSW,AUS,00:25:23,02:24:16,01:25:14,00:01:41,00:00:53,04:17:27
ironman-70.3-yeppoon-20120819.csv,18,Sarah Crowley,33,QLD,AUS,00:29:47,02:23:15,01:29:03,00:01:30,00:00:46,04:24:21
ironman-70.3-yeppoon-20120819.csv,19,Nicole Barry,---,New South Wales,AUS,00:25:19,02:31:57,01:35:24,00:01:22,00:00:43,04:34:45
ironman-70.3-yeppoon-20120819.csv,20,Naomi Fergusson,---,---,NZL,00:29:19,02:28:25,01:34:55,00:01:27,00:01:02,04:35:08
ironman-70.3-yeppoon-20120819.csv,21,Kristy Hallett,43,VIC,ATA,00:31:50,02:28:58,01:27:40,00:01:29,00:00:44,04:30:41
ironman-70.3-yeppoon-20120819.csv,25,Rebecca Jenner,26,QLD,AUS,00:33:46,02:41:34,01:37:25,00:01:57,00:01:12,04:55:54
ironman-70.3-yeppoon-20120819.csv,26,Ashleigh Davis,27,WA,AUS,00:32:34,02:55:58,02:32:54,00:03:01,00:02:25,06:06:52
ironman-70.3-yeppoon-20120819.csv,27,Alexandra Keith,28,---,AUS,00:30:51,02:53:26,01:52:11,00:02:56,00:01:04,05:20:28
ironman-70.3-yeppoon-20120819.csv,28,Philippa Inge,---,Victoria,AUS,00:41:42,03:18:34,01:56:09,00:06:19,00:02:02,06:04:46
ironman-70.3-yeppoon-20120819.csv,29,Holly Ranson,27,---,AUS,00:29:04,02:37:57,01:35:23,00:01:33,00:00:44,04:44:41
ironman-70.3-yeppoon-20120819.csv,30,Helen King,27,---,AUS,00:32:03,02:40:18,01:36:52,00:02:14,00:01:17,04:52:44
ironman-70.3-yeppoon-20120819.csv,31,Krystyna Glavinovic,28,---,CAN,00:31:03,02:57:38,01:47:00,00:02:06,00:00:54,05:18:41
ironman-70.3-yeppoon-20120819.csv,32,Amy Hellings,28,WA,AUS,00:29:18,02:53:02,02:07:08,00:01:42,00:01:19,05:32:29
ironman-70.3-yeppoon-20120819.csv,33,Amy Barnett,25,---,NZL,00:44:13,03:19:16,02:33:22,00:02:59,00:01:36,06:41:26
