#ironman-70.3-yeppoon-20130818.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-yeppoon-20130818.csv,1,Tim Reed,31,NSW,AUS,00:23:59,02:08:12,01:21:27,00:01:04,00:00:45,03:55:27
ironman-70.3-yeppoon-20130818.csv,2,Ollie Whistler,28,---,AUS,00:25:41,---,---,00:01:26,---,DNF
ironman-70.3-yeppoon-20130818.csv,3,Matty White,39,---,AUS,00:25:43,02:19:36,---,00:01:20,---,DNF
ironman-70.3-yeppoon-20130818.csv,4,Tim Van Berkel,32,NSW,AUS,00:24:10,02:11:44,01:17:26,00:01:27,00:05:01,03:59:48
ironman-70.3-yeppoon-20130818.csv,6,Kieran Roche,23,---,AUS,00:24:05,02:15:41,01:27:12,00:01:29,00:00:43,04:09:10
ironman-70.3-yeppoon-20130818.csv,7,Patrick Baldacchino,26,---,AUS,00:24:11,02:20:11,---,00:01:19,00:00:52,DNF
ironman-70.3-yeppoon-20130818.csv,8,Matt Bailey,27,VIC,AUS,00:23:56,02:16:08,---,00:01:13,00:00:55,DNF
ironman-70.3-yeppoon-20130818.csv,9,Matt Burton,28,WA,AUS,00:28:26,02:17:11,01:23:03,00:01:20,00:00:55,04:10:55
ironman-70.3-yeppoon-20130818.csv,10,Adam Gordon,33,QLD,AUS,00:26:22,02:13:16,01:19:30,00:01:30,00:00:56,04:01:34
ironman-70.3-yeppoon-20130818.csv,11,Casey Munro,31,QLD,AUS,00:23:58,02:16:07,01:20:58,00:01:09,00:00:57,04:03:09
ironman-70.3-yeppoon-20130818.csv,12,Brad Wauer,25,SA,AUS,00:24:12,02:15:36,01:33:07,00:01:26,00:01:02,04:15:23
ironman-70.3-yeppoon-20130818.csv,13,Lisa Marangon,36,NSW,AUS,00:25:40,02:26:00,01:35:45,00:01:16,00:00:54,04:29:35
ironman-70.3-yeppoon-20130818.csv,14,Michelle Wu,33,---,AUS,00:28:20,02:30:32,01:34:26,00:01:27,00:01:07,04:35:52
ironman-70.3-yeppoon-20130818.csv,15,Gina Crawford,35,Canterbury,AUS,00:26:02,02:25:33,01:29:08,00:01:26,00:00:57,04:23:06
ironman-70.3-yeppoon-20130818.csv,17,Andrea Forrest,31,NSW,AUS,00:28:18,02:34:10,01:33:47,00:01:29,00:00:59,04:38:43
