#ironman-70.3-zell-am-see-kaprun-20140831.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-zell-am-see-kaprun-20140831.csv,1,Marino Vanhoenacker,40,BE,BEL,00:24:07,02:11:36,01:21:30,00:02:42,00:02:37,04:02:32
ironman-70.3-zell-am-see-kaprun-20140831.csv,2,Jan Raphael,36,DE,DEU,00:24:56,02:32:16,01:20:50,00:03:03,00:02:27,04:23:32

ironman-70.3-zell-am-see-kaprun-20140831.csv,4,Alberto Casadei,30,Intl State,ITA,00:23:31,02:17:48,01:16:45,00:02:51,00:02:27,04:03:22
ironman-70.3-zell-am-see-kaprun-20140831.csv,5,Sean Donnelly,28,---,DEU,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,6,Daniel Niederreiter,37,AT,AUT,00:24:56,02:22:06,01:24:38,00:02:38,00:02:23,04:16:41
ironman-70.3-zell-am-see-kaprun-20140831.csv,7,Johannes Moldan,28,---,DEU,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,8,Christoph Schlagbauer,26,Intl State,AUT,00:29:33,02:21:03,01:32:01,00:02:49,00:02:37,04:28:03
ironman-70.3-zell-am-see-kaprun-20140831.csv,9,Gerald Ratschke,37,AT,AUT,00:29:44,02:35:34,01:30:46,00:04:03,00:03:09,04:43:16
ironman-70.3-zell-am-see-kaprun-20140831.csv,10,Philipp Podsiedlik,28,---,AUT,00:04:01,---,---,---,---,DNF
ironman-70.3-zell-am-see-kaprun-20140831.csv,11,Freddy Lampret,37,---,ZAF,00:25:53,02:32:21,01:41:11,00:02:55,00:03:41,04:46:01

ironman-70.3-zell-am-see-kaprun-20140831.csv,13,Matt Trautman,31,ZA,ZAF,00:24:59,02:18:20,01:15:37,00:02:44,00:02:23,04:04:03
ironman-70.3-zell-am-see-kaprun-20140831.csv,14,Sean Sullivan,31,MD,USA,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,15,Joe Skipper,28,---,GBR,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,16,Roman Krivosheev,35,Intl State,RUS,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,17,Marek Nemcik,40,Intl State,SVK,00:34:02,02:42:03,01:41:57,00:03:39,00:03:48,05:05:29
ironman-70.3-zell-am-see-kaprun-20140831.csv,18,Evgeniy Nikitin,27,---,RUS,00:26:38,02:47:46,01:42:23,00:04:13,00:03:32,05:04:32
ironman-70.3-zell-am-see-kaprun-20140831.csv,19,Leonardo Ballerini,32,---,ITA,00:24:02,---,---,00:03:14,---,DNF

ironman-70.3-zell-am-see-kaprun-20140831.csv,21,Geert Janssens,28,---,BEL,00:24:57,02:25:46,01:23:00,00:02:50,00:02:34,04:19:07
ironman-70.3-zell-am-see-kaprun-20140831.csv,22,David Jilek,28,Intl State,CZE,00:29:30,02:34:13,01:30:25,00:04:09,00:03:15,04:41:32
ironman-70.3-zell-am-see-kaprun-20140831.csv,23,Martin Babusik,42,---,SVK,00:34:15,02:46:45,01:47:28,00:04:22,00:04:05,05:16:55
ironman-70.3-zell-am-see-kaprun-20140831.csv,24,James Third,33,---,GBR,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,25,Peter Wilby,32,---,GBR,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,26,Christian Jais,37,---,DEU,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,27,Matthias Knossalla,32,DE,DEU,00:32:58,02:19:29,01:19:41,00:03:31,00:02:49,04:18:28
ironman-70.3-zell-am-see-kaprun-20140831.csv,28,Christian Peter Funk,48,DE,DEU,00:41:20,02:43:48,01:30:12,00:07:50,00:05:01,05:08:11
ironman-70.3-zell-am-see-kaprun-20140831.csv,29,Fabian Berger,30,DE,DEU,00:26:36,02:29:28,01:24:47,00:03:57,00:02:54,04:27:42
ironman-70.3-zell-am-see-kaprun-20140831.csv,30,Humblet Francois Isabelle E,28,BE,BEL,00:26:29,02:32:22,01:19:41,00:03:03,00:02:26,04:24:01
ironman-70.3-zell-am-see-kaprun-20140831.csv,31,Fabrizio Bartoli,30,Italia,ITA,00:29:08,02:27:56,01:25:22,00:02:55,00:02:51,04:28:12
ironman-70.3-zell-am-see-kaprun-20140831.csv,32,Daniel Mueller,39,---,DEU,00:26:31,02:29:46,01:33:20,00:03:52,00:03:29,04:36:58
ironman-70.3-zell-am-see-kaprun-20140831.csv,33,Tim Meyer,26,---,DEU,00:24:51,02:18:37,01:24:29,00:02:45,00:02:40,04:13:22
ironman-70.3-zell-am-see-kaprun-20140831.csv,34,Evert Scheltinga,28,Intl State,NLD,00:24:09,02:19:14,01:20:58,00:02:41,00:02:14,04:09:16
ironman-70.3-zell-am-see-kaprun-20140831.csv,35,Paul Reitmayr,31,AT,AUT,00:24:03,02:25:31,---,00:02:33,---,DNF
ironman-70.3-zell-am-see-kaprun-20140831.csv,36,Flo Kriegl,35,AT,AUT,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20140831.csv,37,Lukas Polan,27,Czech Republic,CZE,---,---,---,---,---,DNS
