#File=ironman-70.3-zell-am-see-kaprun-20170827.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-zell-am-see-kaprun-20170827.csv,1,Nils Frommhold,30,---,DEU,00:24:14,02:13:13,01:22:51,00:02:43,00:02:40,04:05:41
ironman-70.3-zell-am-see-kaprun-20170827.csv,2,Andreas Dreitz,28,---,DEU,00:24:41,---,---,00:03:06,---,DNF
ironman-70.3-zell-am-see-kaprun-20170827.csv,3,Boris Stein,32,---,DEU,00:26:11,02:12:10,01:19:30,00:02:39,00:02:20,04:02:50
ironman-70.3-zell-am-see-kaprun-20170827.csv,4,Andreas Giglmayr,33,---,AUT,00:24:21,02:17:46,01:16:52,00:02:56,00:02:22,04:04:17
ironman-70.3-zell-am-see-kaprun-20170827.csv,5,Ivan Raña,38,---,ESP,00:24:19,02:23:15,01:15:40,00:02:43,00:02:13,04:08:10
ironman-70.3-zell-am-see-kaprun-20170827.csv,6,Lukas Hollaus,30,---,AUT,00:24:22,02:23:42,01:18:35,00:02:42,00:02:23,04:11:44
ironman-70.3-zell-am-see-kaprun-20170827.csv,7,Alberto Casadei,31,Intl State,ITA,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20170827.csv,8,Michael Van Cleven,28,---,BEL,00:25:56,02:16:01,01:31:58,00:02:59,00:02:23,04:19:17
ironman-70.3-zell-am-see-kaprun-20170827.csv,9,Horst Reichel,35,---,DEU,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20170827.csv,10,Freddy Lampret,38,---,AUT,00:27:09,02:26:13,01:36:30,00:03:03,00:02:28,04:35:23
ironman-70.3-zell-am-see-kaprun-20170827.csv,11,Alexander Gräf,24,---,AUT,00:25:16,02:39:50,01:42:47,00:03:03,00:03:08,04:54:04
ironman-70.3-zell-am-see-kaprun-20170827.csv,12,Markus Mlinar,37,---,AUT,00:28:11,02:30:54,01:35:29,00:03:05,00:03:12,04:40:51
ironman-70.3-zell-am-see-kaprun-20170827.csv,13,Markus Fachbach,34,---,DEU,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20170827.csv,14,Markus Liebelt,27,---,DEU,00:25:12,02:22:13,01:19:11,00:02:47,00:02:09,04:11:32
ironman-70.3-zell-am-see-kaprun-20170827.csv,15,Remmert Wielinga,39,---,NLD,00:33:59,02:17:45,01:34:49,00:05:53,00:03:44,04:36:10
ironman-70.3-zell-am-see-kaprun-20170827.csv,16,Scott Bradley,33,NY,USA,00:29:18,02:22:58,01:31:54,00:03:09,00:02:45,04:30:04
ironman-70.3-zell-am-see-kaprun-20170827.csv,17,Richard Westover,30,---,GBR,00:28:10,02:26:25,01:25:42,00:03:05,00:02:34,04:25:56
ironman-70.3-zell-am-see-kaprun-20170827.csv,18,Lukas Polan,28,Czech Republic,CZE,00:31:26,02:36:27,01:32:41,00:03:38,00:03:23,04:47:35
ironman-70.3-zell-am-see-kaprun-20170827.csv,19,Charles Martin,25,---,FRA,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20170827.csv,20,David Bill,27,---,CHE,00:28:07,02:23:03,01:21:14,00:02:59,00:02:04,04:17:27
ironman-70.3-zell-am-see-kaprun-20170827.csv,21,Sebastian Pedraza,44,Intl State,ITA,00:28:08,02:30:17,01:35:06,00:03:06,00:02:25,04:39:02
ironman-70.3-zell-am-see-kaprun-20170827.csv,22,Nicolas Daimer,27,---,DEU,---,---,---,---,---,DNS
ironman-70.3-zell-am-see-kaprun-20170827.csv,23,Lubo? Truhlá?,30,CZ,CZE,00:31:23,02:22:56,01:25:53,00:03:40,00:02:43,04:26:35
ironman-70.3-zell-am-see-kaprun-20170827.csv,24,Stenn Goetstouwers,25,---,BEL,00:24:17,02:20:12,01:26:15,00:03:06,00:02:43,04:16:33
