#File=ironman-arizona-20091122.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-arizona-20091122.csv,1,Jordan Rapp,29,CA,USA,00:50:49,04:22:30,02:55:45,00:02:43,00:01:48,08:13:35
ironman-arizona-20091122.csv,2,Jozsef Major,30,AZ,HUN,01:00:15,04:41:01,---,00:03:11,00:03:25,DNF
ironman-arizona-20091122.csv,3,Raynard Tissink,36,---,ZAF,00:50:06,04:40:14,---,00:02:32,00:01:39,DNF
ironman-arizona-20091122.csv,4,Paul Ambrose,25,CO,AUS,00:48:15,04:34:43,02:58:06,00:02:42,00:01:08,08:24:54
ironman-arizona-20091122.csv,5,Mathias Hecht,29,Intl State,CHE,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,6,Lewis Elliot,29,AZ,USA,00:55:22,04:39:16,03:22:02,00:02:13,00:01:21,09:00:14
ironman-arizona-20091122.csv,7,René Göhler,29,---,DEU,00:49:58,04:37:28,03:01:33,00:02:39,00:01:03,08:32:41
ironman-arizona-20091122.csv,8,Santiago Ascenço,28,Goiás,BRA,00:54:00,04:47:06,02:49:15,00:02:20,00:00:45,08:33:26
ironman-arizona-20091122.csv,9,Petr Vabrousek,36,Intl State,CZE,00:55:13,04:41:10,02:57:08,00:02:30,00:01:44,08:37:45
ironman-arizona-20091122.csv,10,Axel Zeebroek,31,---,BEL,00:48:11,04:35:22,03:20:57,00:02:39,00:01:05,08:48:14
ironman-arizona-20091122.csv,11,Markus Ressler,33,Intl State,AUT,00:54:08,04:47:00,03:01:49,00:02:19,00:01:31,08:46:47
ironman-arizona-20091122.csv,12,Heinrich Sickl,36,Intl State,AUT,00:55:18,---,---,00:02:56,---,DNF
ironman-arizona-20091122.csv,13,Wolfgang Guembel,30,ON,CAN,00:48:05,04:45:17,03:05:18,00:02:28,00:01:13,08:42:21
ironman-arizona-20091122.csv,14,Richie Cunningham,36,CO,USA,00:48:14,04:35:28,02:56:08,00:02:34,00:00:54,08:23:18
ironman-arizona-20091122.csv,15,Tj Tollakson,29,IA,USA,00:50:04,04:25:28,03:01:18,00:02:33,00:00:59,08:20:22
ironman-arizona-20091122.csv,16,Gernot Seidl,39,---,AUT,01:03:48,04:46:36,03:05:47,00:02:33,00:01:04,08:59:48
ironman-arizona-20091122.csv,17,Trevor Wurtele,30,BC,CAN,00:55:14,04:51:08,---,00:02:54,00:01:30,DNF
ironman-arizona-20091122.csv,18,Torsten Abel,35,AZ,USA,00:50:07,04:33:35,02:53:18,00:02:20,00:01:19,08:20:39
ironman-arizona-20091122.csv,19,Maximilian Longr,28,CA,DEU,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,20,Franãois Chabaud,---,FRAN,FRA,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,21,Jan Raphael,29,DE,DEU,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,22,Herve Faure,33,---,FRA,00:54:09,---,---,00:02:47,---,DNF
ironman-arizona-20091122.csv,23,Marek Nemcik,34,Intl State,SVK,01:18:01,05:51:25,04:51:40,00:07:15,00:04:40,12:13:01
ironman-arizona-20091122.csv,24,Eric Bean,33,WI,USA,00:54:06,04:29:03,03:01:55,00:02:30,00:02:17,08:29:51
ironman-arizona-20091122.csv,25,Toby Radcliffe,31,---,GBR,00:55:27,04:56:22,03:15:50,00:03:11,00:01:54,09:12:44
ironman-arizona-20091122.csv,26,Daniel Avant,37,---,NLD,01:07:33,04:50:09,03:13:31,00:04:11,00:01:45,09:17:09
ironman-arizona-20091122.csv,27,Clemens Coenen,31,---,DEU,00:54:04,04:29:11,03:05:15,00:02:58,00:01:08,08:32:36
ironman-arizona-20091122.csv,28,Rene Vallant,32,Intl State,AUT,00:55:21,04:45:23,03:37:01,00:02:38,00:02:55,09:23:18
ironman-arizona-20091122.csv,29,Terence Kerrigan,41,NJ,USA,01:01:06,---,---,00:04:43,---,DNF
ironman-arizona-20091122.csv,30,Adam O'Meara,27,BC,CAN,00:54:10,04:55:28,03:20:10,00:02:47,00:01:23,09:13:58
ironman-arizona-20091122.csv,31,Jeff Keil,38,CO,USA,00:55:08,05:00:33,03:01:41,00:02:49,00:02:24,09:02:35
ironman-arizona-20091122.csv,32,Richard Armstrong,28,NC,USA,01:00:57,04:56:43,03:55:14,00:03:44,00:02:03,09:58:41
ironman-arizona-20091122.csv,33,Dallas Cain,31,BC,CAN,01:05:42,04:47:14,03:33:00,00:03:55,00:01:38,09:31:29
ironman-arizona-20091122.csv,34,Ted Aas,37,---,SWE,00:55:24,04:46:05,03:24:58,00:02:39,00:01:46,09:10:52
ironman-arizona-20091122.csv,35,Bryan Melnuk,22,AZ,USA,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,36,Andy Gardner,29,TX,USA,00:49:29,05:00:54,03:23:05,00:03:00,00:02:00,09:18:28
ironman-arizona-20091122.csv,38,Jesse Vondracek,28,AZ,USA,00:59:01,05:00:52,03:19:21,00:03:02,00:01:11,09:23:27
ironman-arizona-20091122.csv,39,C Largajolli,---,FRAN,FRA,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,40,Zach Ruble,27,FL,USA,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,41,Leanda Cave,31,FL,USA,00:50:10,05:00:59,03:35:58,00:02:38,00:01:19,09:31:04
ironman-arizona-20091122.csv,42,Linsey Corbin,28,OR,USA,00:59:23,05:05:07,03:04:57,00:03:20,00:00:59,09:13:46
ironman-arizona-20091122.csv,43,Samantha Mcglone,30,AZ,USA,00:58:58,04:56:48,03:10:10,00:02:33,00:00:50,09:09:19
ironman-arizona-20091122.csv,44,Sara Gross,33,BC,CAN,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,45,Janelle Morrison,32,BC,CAN,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,46,Tara Norton,38,---,CAN,01:00:26,---,---,00:04:54,---,DNF
ironman-arizona-20091122.csv,47,Rachel Kiers,29,BC,CAN,01:00:06,05:09:22,03:31:07,00:03:43,00:01:08,09:45:26
ironman-arizona-20091122.csv,48,Lauren Jensen,42,WI,USA,00:55:18,05:14:10,03:44:08,00:03:37,00:01:20,09:58:33
ironman-arizona-20091122.csv,49,Angela Naeth,27,BC,CAN,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,50,Heidi Jesberger,32,Idaho,DEU,00:58:07,05:12:02,03:36:00,00:02:58,00:01:33,09:50:40
ironman-arizona-20091122.csv,51,Heather Wurtele,30,BC,CAN,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,52,Teri Albertazzi,37,AZ,USA,01:08:26,05:11:29,03:51:51,00:03:29,00:04:47,10:20:02
ironman-arizona-20091122.csv,53,Kate Major,31,CA,USA,00:55:14,05:05:39,03:15:03,00:03:21,00:00:55,09:20:12
ironman-arizona-20091122.csv,54,Gina Kehr,40,CA,USA,00:53:39,05:09:17,03:12:24,00:04:11,00:01:41,09:21:12
ironman-arizona-20091122.csv,55,Lianne Evans,40,TX,USA,---,---,---,---,---,DNS
ironman-arizona-20091122.csv,56,Gillian Moody,33,BC,CAN,00:55:20,05:14:37,03:22:59,00:03:11,00:01:05,09:37:12
ironman-arizona-20091122.csv,57,Beatrix Blattmann,36,AZ,USA,00:59:54,05:20:49,03:43:03,00:03:18,00:00:52,10:07:56
ironman-arizona-20091122.csv,58,Molly Hummel,25,NM,USA,01:07:10,05:09:48,04:02:07,00:03:00,00:01:01,10:23:06
ironman-arizona-20091122.csv,59,Miranda Alldritt,32,BC,CAN,01:06:48,05:16:05,03:26:45,00:02:33,00:00:50,09:53:01
ironman-arizona-20091122.csv,60,Katrin Burow,33,---,DEU,01:06:53,06:01:35,---,00:03:19,00:02:55,DNF
ironman-arizona-20091122.csv,61,Terra Castro,29,VA,USA,00:58:57,05:13:36,03:16:56,00:02:35,00:01:15,09:33:19
ironman-arizona-20091122.csv,62,Uli Bromme,28,CO,USA,01:00:45,05:16:44,03:22:39,00:05:11,00:02:25,09:47:44
ironman-arizona-20091122.csv,63,Meredith Kessler,31,CA,USA,00:54:12,05:05:25,03:32:50,00:03:29,00:01:13,09:37:09
ironman-arizona-20091122.csv,64,Sylvie Dansereau,42,ON,CAN,01:07:55,05:05:28,---,00:03:32,00:01:20,DNF
ironman-arizona-20091122.csv,65,Laura Tingle,25,CO,USA,00:57:14,05:19:03,---,00:03:34,00:03:53,DNF
ironman-arizona-20091122.csv,66,Yannick De Ladurantaye,30,QC,CAN,01:00:21,05:07:53,04:22:59,00:04:10,00:02:03,10:37:26
ironman-arizona-20091122.csv,67,Hektor Llanos,37,---,ESP,00:50:07,04:48:29,03:31:51,00:03:01,00:02:12,09:15:40
ironman-arizona-20091122.csv,71,Michael Esposito,51,VA,USA,01:28:36,06:12:34,05:05:46,00:07:14,00:05:32,12:59:42
ironman-arizona-20091122.csv,72,Guneet Bajwa,43,CA,USA,01:26:04,06:16:06,04:59:11,00:06:06,00:07:06,12:54:33
