#ironman-arizona-20101121.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-arizona-20101121.csv,1,Jordan Rapp,36,CA,USA,00:51:57,04:22:38,02:58:02,00:02:29,00:01:39,08:16:45
ironman-arizona-20101121.csv,2,Jozsef Major,37,AZ,USA,00:58:40,04:23:16,02:59:18,00:02:45,00:02:16,08:26:15
ironman-arizona-20101121.csv,3,Chris Lieto,44,CA,USA,00:53:27,04:21:37,04:15:00,00:02:42,00:02:14,09:35:00
ironman-arizona-20101121.csv,5,Maik Twelsiek,35,AZ,USA,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,6,Max Longree,35,KY,USA,00:56:33,04:42:22,02:50:47,00:02:30,00:01:16,08:33:28
ironman-arizona-20101121.csv,7,Jan Raphael,36,DE,DEU,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,8,Rasmus Henning,40,---,DNK,00:47:58,04:30:35,02:48:35,00:02:42,00:01:08,08:10:58
ironman-arizona-20101121.csv,9,Timo Bracht,41,---,DEU,00:51:24,04:23:17,02:48:59,00:02:19,00:01:17,08:07:16
ironman-arizona-20101121.csv,10,Matt Reed,40,CA,USA,00:48:02,04:40:56,02:59:39,00:02:41,00:01:50,08:33:08
ironman-arizona-20101121.csv,11,Sergio Quezeda Ruiz,---,JALI,MEX,00:56:32,05:05:27,03:59:23,00:02:49,00:01:47,10:05:58
ironman-arizona-20101121.csv,12,Tim Snow,40,MA,USA,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,13,Juan Carlos Ramirez,---,WA,USA,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,14,David Kahn,32,NY,USA,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,15,Mike Caiazzo,40,ME,USA,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,16,Sickl Heinrich,---,---,AUT,00:56:41,04:46:38,03:14:22,00:02:37,00:01:13,09:01:31
ironman-arizona-20101121.csv,17,Eric Bean,40,WI,USA,---,---,---,---,---,DNS
ironman-arizona-20101121.csv,18,Kirk Nelson,36,UT,USA,00:56:24,04:41:12,06:59:44,00:02:29,00:01:32,12:41:21
ironman-arizona-20101121.csv,19,Dion Harrison,36,---,GBR,---,---,---,---,---,DNS
