#File=ironman-austria-20170702.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-austria-20170702.csv,1,Jan Frodeno,35,---,DEU,00:46:29,04:19:45,02:46:09,00:02:58,00:01:59,07:57:20
ironman-austria-20170702.csv,2,Ivan Raña,38,---,ESP,00:48:24,05:00:38,03:08:41,00:02:59,00:02:47,09:03:29
ironman-austria-20170702.csv,3,Viktor Zyemtsev,44,FL,UKR,00:53:06,04:31:16,02:47:57,00:02:59,00:01:47,08:17:05
ironman-austria-20170702.csv,4,Paul Reitmayr,32,---,AUT,---,---,---,---,---,DNS
ironman-austria-20170702.csv,5,Michael Weiss,36,---,AUT,00:57:08,04:27:53,02:51:23,00:03:29,00:02:49,08:22:42
ironman-austria-20170702.csv,6,David Plese,33,Intl State,SVN,00:52:56,04:30:49,02:50:04,00:03:23,00:02:01,08:19:13
ironman-austria-20170702.csv,7,Ruedi Wild,35,---,CHE,---,---,---,---,---,DNS
ironman-austria-20170702.csv,8,Stefan Schmid,30,---,DEU,00:53:07,04:34:50,---,00:03:21,00:02:33,DNF
ironman-austria-20170702.csv,9,Eneko Llanos,40,---,ESP,00:50:37,04:28:58,02:47:52,00:03:14,00:02:02,08:12:43
ironman-austria-20170702.csv,10,Jens Petersen-Bach,32,---,DNK,---,---,---,---,---,DNS
ironman-austria-20170702.csv,11,Harry Wiltshire,34,Intl State,GBR,---,---,---,---,---,DNS
ironman-austria-20170702.csv,12,Cyril Viennot,35,---,FRA,---,---,---,---,---,DNS
ironman-austria-20170702.csv,13,Christian Birngruber,34,---,AUT,00:53:04,04:39:25,03:06:07,00:02:56,00:02:07,08:43:39
ironman-austria-20170702.csv,14,Daniel Niederreiter,38,---,AUT,00:53:02,04:44:16,03:03:24,00:02:53,00:02:05,08:45:40
ironman-austria-20170702.csv,15,Paul Ruttmann,31,---,AUT,00:52:57,---,---,00:03:02,---,DNF
ironman-austria-20170702.csv,16,Thomas Meusburger,31,---,AUT,00:56:21,04:54:37,03:22:19,00:03:25,00:02:01,09:18:43
ironman-austria-20170702.csv,17,Antony Costes,27,---,FRA,00:50:33,04:29:20,04:15:38,00:02:57,00:02:06,09:40:34
ironman-austria-20170702.csv,18,Trevor Delsaut,32,---,FRA,---,---,---,---,---,DNS
ironman-austria-20170702.csv,19,Freddy Lampret,38,---,AUT,00:56:46,05:37:41,03:57:07,00:03:22,00:05:16,10:40:12
