#File=ironman-barcelona-20170930.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-barcelona-20170930.csv,1,Clemente Alonso-McKernan,---,---,ESP,---,---,---,---,---,---
ironman-barcelona-20170930.csv,2,Joe Skipper,---,---,GBR,00:50:38,04:17:18,03:02:21,00:02:28,00:02:32,08:15:17
ironman-barcelona-20170930.csv,3,Sven Riederer,---,---,CHE,00:47:59,04:17:59,03:17:54,00:02:27,00:02:47,08:29:06
ironman-barcelona-20170930.csv,4,Viktor Zyemtsev,---,---,UKR,00:48:08,04:17:56,02:47:34,00:02:22,00:02:03,07:58:03
ironman-barcelona-20170930.csv,5,Horst Reichel,---,---,DEU,00:47:56,04:18:02,03:06:01,00:02:22,00:01:49,08:16:10
ironman-barcelona-20170930.csv,6,Miquel Blanchart Tinto,---,---,ESP,00:48:08,04:19:53,02:49:33,00:02:25,00:02:04,08:02:03
ironman-barcelona-20170930.csv,7,Alberto Casadei,---,---,ITA,---,---,---,---,---,---
ironman-barcelona-20170930.csv,8,Anton Blokhin,---,---,BLR,---,---,---,---,---,---
ironman-barcelona-20170930.csv,9,Antony Costes,---,---,FRA,00:48:05,04:09:58,02:46:50,00:02:19,00:02:07,07:49:19
ironman-barcelona-20170930.csv,10,Bas Diederen,---,---,NLD,00:48:05,04:17:52,02:54:17,00:02:28,00:02:09,08:04:51
ironman-barcelona-20170930.csv,11,Ritchie Nicholls,---,---,GBR,---,---,---,---,---,---
ironman-barcelona-20170930.csv,12,Valentin Zasypkin,---,---,RUS,01:04:26,04:55:35,03:41:12,00:02:45,00:02:41,09:46:39
ironman-barcelona-20170930.csv,13,Jeremy Jurkiewicz,---,---,FRA,---,---,---,---,---,---
ironman-barcelona-20170930.csv,14,Bertrand Billard,---,---,FRA,00:48:07,04:17:54,---,00:02:21,00:02:18,---
ironman-barcelona-20170930.csv,15,Lluis Vila Aguilar,---,---,ESP,00:56:18,---,---,00:02:48,---,DNF
ironman-barcelona-20170930.csv,16,Philip Graves,---,---,GBR,00:48:04,04:15:40,03:31:22,00:02:40,00:02:29,08:40:15
ironman-barcelona-20170930.csv,17,John Galindo Rooney,---,---,ESP,00:48:02,04:46:51,03:09:59,00:02:33,00:03:00,08:50:25
ironman-barcelona-20170930.csv,18,Michael Göhner,---,---,DEU,---,---,---,---,---,---
ironman-barcelona-20170930.csv,19,Daniil Sapunov,---,---,UKR,---,---,---,---,---,---
ironman-barcelona-20170930.csv,20,Remmert Wielanga,---,---,NLD,01:04:38,04:20:14,---,00:08:51,00:02:44,---
ironman-barcelona-20170930.csv,21,Herve Faure,---,---,FRA,00:48:09,08:52:13,---,00:02:56,---,---
ironman-barcelona-20170930.csv,22,Andreas Borch,---,---,DNK,00:50:32,04:44:34,03:01:09,00:02:27,00:02:27,08:41:09
ironman-barcelona-20170930.csv,23,Etienne Diemunsch,---,---,FRA,---,---,---,---,---,---
ironman-barcelona-20170930.csv,24,Gwenael Ouilleres,---,---,FRA,---,---,---,---,---,---
ironman-barcelona-20170930.csv,25,Daniel Niederreiter,---,---,AUT,00:50:16,---,---,00:02:30,---,---
ironman-barcelona-20170930.csv,26,Markus Liebelt,---,---,DEU,00:50:32,---,---,00:03:00,---,---
ironman-barcelona-20170930.csv,27,Marek Nemcik,---,---,SVK,01:13:45,04:52:57,04:12:23,00:04:05,00:05:06,---
ironman-barcelona-20170930.csv,28,Mads Bang Jensen,---,---,DNK,00:54:09,04:40:09,03:14:09,00:03:13,00:02:47,08:54:27
ironman-barcelona-20170930.csv,29,Marc Unger,---,---,DEU,00:50:26,04:17:27,03:06:43,00:02:27,00:02:04,08:19:07
ironman-barcelona-20170930.csv,30,Michal Ivanco,---,---,SVK,01:16:33,04:50:37,03:20:17,00:03:49,00:03:18,09:34:34
ironman-barcelona-20170930.csv,31,Philippe Lamberty,---,---,LUX,---,---,---,---,---,---
ironman-barcelona-20170930.csv,32,Andreas Linden,---,---,SWE,---,---,---,---,---,---
ironman-barcelona-20170930.csv,33,Dirk Baelus,---,---,BEL,00:55:56,04:39:23,03:36:38,00:03:16,00:03:16,09:18:29
ironman-barcelona-20170930.csv,34,Michael Ruenz,---,---,DEU,00:53:50,04:29:26,02:57:26,00:02:55,00:02:15,08:25:52
ironman-barcelona-20170930.csv,35,Malte Bruns,---,---,DEU,---,---,---,---,---,---
ironman-barcelona-20170930.csv,36,Sebastian Norberg,---,---,SWE,00:53:42,04:20:47,---,00:02:42,00:01:52,---
ironman-barcelona-20170930.csv,37,Pascal Ramali,---,---,DEU,---,---,---,---,---,---
ironman-barcelona-20170930.csv,38,Erik-Simon Strijk,---,---,NLD,---,---,---,---,---,---
ironman-barcelona-20170930.csv,39,Thomas Bosch,---,---,DEU,00:56:54,04:29:26,03:11:07,00:03:08,00:02:19,08:42:54
ironman-barcelona-20170930.csv,40,Lucas Amirault,---,---,FRA,00:50:35,04:24:39,03:10:08,00:02:27,00:02:34,08:30:23
