#File=ironman-boulder-20140803.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-boulder-20140803.csv,1,Richie Cunningham,40,CO,AUS,00:50:28,04:24:47,03:09:49,00:02:35,00:02:59,08:30:38
ironman-boulder-20140803.csv,2,Justin Daerr,33,CO,USA,00:53:21,04:24:54,02:56:34,00:02:42,00:02:55,08:20:26
ironman-boulder-20140803.csv,4,Scott Defilippis,34,CA,USA,00:57:27,04:47:48,03:02:41,00:03:00,00:03:23,08:54:19
ironman-boulder-20140803.csv,5,Mark Hillers,26,TX,USA,00:58:57,04:56:46,03:12:46,00:02:30,00:03:45,09:14:44
ironman-boulder-20140803.csv,6,Karol Kristov,35,viljandi mk,EST,00:53:24,04:46:14,---,00:03:40,00:04:19,DNF
ironman-boulder-20140803.csv,7,Jared Milam,27,CO,USA,00:57:31,04:53:05,03:42:41,00:03:02,00:03:41,09:40:00
ironman-boulder-20140803.csv,8,Joe Umphenour,45,CO,USA,---,---,---,---,---,DNS
ironman-boulder-20140803.csv,10,Dantley Young,29,UT,USA,01:02:42,04:53:36,---,00:05:31,00:07:24,DNF
ironman-boulder-20140803.csv,11,Steven Zawaski,29,CO,USA,00:58:44,04:43:35,03:12:26,00:02:42,00:04:26,09:01:53
ironman-boulder-20140803.csv,13,Fabio Carvalho,---,SP,BRA,---,---,---,---,---,DNS
ironman-boulder-20140803.csv,18,Uli Bromme,33,CO,USA,01:03:53,04:56:04,04:06:30,00:03:26,00:03:00,10:12:53
ironman-boulder-20140803.csv,19,Carrie Lester,33,QLD,AUS,00:55:37,04:52:29,---,00:03:13,00:03:20,DNF
ironman-boulder-20140803.csv,20,Christine Hammond,32,CO,USA,00:55:38,05:09:33,03:41:35,00:03:01,00:03:17,09:53:04
ironman-boulder-20140803.csv,21,Laura Bennett,39,CO,USA,00:54:02,04:59:29,03:44:23,00:02:58,00:03:07,09:43:59
ironman-boulder-20140803.csv,22,Danielle Mack,27,CO,USA,01:03:53,04:52:56,03:16:34,00:03:27,00:03:04,09:19:54
ironman-boulder-20140803.csv,23,Morgan Chaffin,31,NE,USA,00:57:56,05:05:21,03:46:16,00:03:35,00:04:20,09:57:28
ironman-boulder-20140803.csv,24,Alyssa Godesky,29,VA,USA,01:03:57,05:32:37,04:41:44,00:03:19,00:06:00,11:27:37
ironman-boulder-20140803.csv,25,Olesya Prystayko,29,WA,UKR,01:04:07,05:16:24,03:58:38,00:02:47,00:03:35,10:25:31
