#ironman-boulder-20160807.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-boulder-20160807.csv,12,Kyle Coon,24,FL,USA,01:36:46,06:40:27,07:10:38,00:08:50,00:10:30,15:47:11
ironman-boulder-20160807.csv,13,Mike Melton,40,FL,USA,01:36:45,06:40:26,07:10:37,00:08:51,00:10:31,15:47:10
ironman-boulder-20160807.csv,14,Tony Spineto,41,CA,USA,01:10:48,---,---,00:07:32,---,DNF
ironman-boulder-20160807.csv,15,Cameron Williams,43,CO,USA,02:00:10,06:47:50,06:48:00,00:12:47,00:15:45,16:04:32
ironman-boulder-20160807.csv,16,Richard Madison,42,AR,USA,01:12:36,06:58:22,07:46:37,00:11:18,00:21:07,16:30:00
ironman-boulder-20160807.csv,17,John Mc Allaster,40,CO,USA,01:31:48,08:25:45,---,00:17:17,00:19:53,DNF
ironman-boulder-20160807.csv,18,Michael Stone,48,CO,USA,01:21:46,05:38:56,05:32:12,00:18:52,00:14:04,13:05:50
ironman-boulder-20160807.csv,19,Brad Seng,---,CO,USA,01:21:46,05:38:55,05:32:12,00:18:52,00:14:05,13:05:50
ironman-boulder-20160807.csv,27,Jordan Brandon,32,CO,USA,01:14:09,06:20:45,04:59:12,00:13:39,00:16:00,13:03:45
ironman-boulder-20160807.csv,28,Jonathan Domnitz,43,TX,USA,01:43:23,07:09:37,06:40:16,00:11:41,00:17:48,16:02:45
ironman-boulder-20160807.csv,29,Cassidy Coghlin,23,CO,CAN,01:33:57,08:03:48,---,00:10:02,00:10:08,DNF
ironman-boulder-20160807.csv,30,Zvi Donat,47,Other,ISR,---,---,---,---,---,DQ
ironman-boulder-20160807.csv,31,Sabrina Behrens,37,---,USA,01:20:55,08:39:56,---,00:10:25,00:12:12,DNF
ironman-boulder-20160807.csv,32,Beth Broome,34,CO,USA,01:32:16,05:55:32,04:54:35,00:05:49,00:08:51,12:37:03
ironman-boulder-20160807.csv,33,Brie Chambers,36,---,USA,01:49:32,07:29:01,06:16:57,00:11:26,00:11:45,15:58:41
ironman-boulder-20160807.csv,35,Jason Jala,39,SC,USA,01:23:53,06:52:14,05:09:09,00:08:50,00:13:01,13:47:07
ironman-boulder-20160807.csv,46,Jessica Anderson,27,TX,USA,01:21:57,05:31:10,04:39:54,00:05:41,00:06:34,11:45:16
ironman-boulder-20160807.csv,47,Michelle Hughes,26,CO,USA,01:16:34,05:59:27,04:22:29,00:04:52,00:04:38,11:48:00
ironman-boulder-20160807.csv,48,Katie O'Connor,28,CO,USA,01:07:05,05:21:18,04:12:40,00:05:11,00:06:15,10:52:29
ironman-boulder-20160807.csv,49,Jennifer Hienton,36,IL,USA,01:26:42,05:40:11,04:35:26,00:06:09,00:07:00,11:55:28
ironman-boulder-20160807.csv,50,Elizabeth Larson,38,CA,USA,01:14:34,05:48:04,04:44:11,00:04:48,00:05:17,11:56:54
ironman-boulder-20160807.csv,51,Kathryn Throolin,38,UT,USA,01:05:03,05:11:04,03:45:51,00:03:58,00:04:07,10:10:03
ironman-boulder-20160807.csv,52,Rochelle Arko,44,AZ,USA,01:19:40,05:22:42,03:57:44,00:03:55,00:05:21,10:49:22
ironman-boulder-20160807.csv,53,Orla Bannan,42,CO,USA,01:12:21,06:00:51,04:20:34,00:04:18,00:05:52,11:43:56
ironman-boulder-20160807.csv,54,Indira Murr,42,OK,USA,00:58:47,05:17:05,04:15:17,00:04:17,00:04:58,10:40:24
ironman-boulder-20160807.csv,56,Cynthia Carr,50,OK,USA,01:21:36,06:07:26,07:02:30,00:06:21,00:06:20,14:44:13
ironman-boulder-20160807.csv,57,Andree Miceli,50,CO,USA,01:21:08,05:52:26,04:41:36,00:06:59,00:06:50,12:08:59
ironman-boulder-20160807.csv,58,Ellen Hart,58,CO,USA,01:16:44,05:28:32,---,00:04:46,00:03:59,DNF
ironman-boulder-20160807.csv,59,Sandi Wiebe,66,CO,USA,01:28:21,07:29:57,07:09:00,00:14:07,00:11:23,16:32:48
ironman-boulder-20160807.csv,60,Rudy Kahsar,28,CO,USA,00:52:21,04:35:47,03:17:45,00:03:40,00:03:12,08:52:45
ironman-boulder-20160807.csv,61,Jeffrey Mayhall,26,TX,USA,01:09:38,04:57:57,03:59:53,00:04:29,00:04:00,10:15:57
ironman-boulder-20160807.csv,62,Rodrigo Romero García De La Cadena,24,Puebla,MEX,00:59:11,04:47:56,03:22:39,00:04:00,00:03:18,09:17:04
ironman-boulder-20160807.csv,63,Michael Baba,33,---,USA,01:04:07,05:04:36,04:03:19,00:04:47,00:05:19,10:22:08
ironman-boulder-20160807.csv,65,Michael Kloosterman,32,CO,USA,01:03:09,04:39:21,03:57:00,00:03:47,00:03:07,09:46:24
ironman-boulder-20160807.csv,66,Gregory Lindquist,33,CO,USA,01:00:06,04:35:04,03:24:59,00:03:08,00:03:57,09:07:14
ironman-boulder-20160807.csv,67,Reece Mcgregor,34,CO,USA,00:57:01,05:14:59,04:36:34,00:03:39,00:04:34,10:56:47
ironman-boulder-20160807.csv,69,Marshal Steves,34,CO,USA,01:06:13,04:55:17,03:36:11,00:03:46,00:03:17,09:44:44
ironman-boulder-20160807.csv,70,Matthew Babcock,39,CO,USA,01:09:29,05:12:20,04:04:00,00:05:10,00:04:17,10:35:16
ironman-boulder-20160807.csv,71,Andy Brodziak,38,---,GBR,01:03:59,05:05:33,03:44:15,00:04:31,00:04:23,10:02:41
ironman-boulder-20160807.csv,72,Mikhail Ivanov,37,CO,RUS,01:04:58,04:59:37,03:41:06,00:03:59,00:03:19,09:52:59
ironman-boulder-20160807.csv,74,Edward O'Malley,39,CO,USA,01:05:37,04:59:37,04:07:35,00:03:36,00:03:34,10:19:59
ironman-boulder-20160807.csv,75,Conrad Rodas,35,CO,GTM,00:53:09,04:56:43,04:00:49,00:03:55,00:04:24,09:59:00
ironman-boulder-20160807.csv,76,Nick Stengl,36,---,USA,01:05:41,05:04:25,04:51:28,00:04:07,00:03:35,11:09:16
ironman-boulder-20160807.csv,77,Juan Valencia,37,Antioquia,COL,00:53:25,04:43:18,03:19:19,00:04:02,00:04:27,09:04:31
ironman-boulder-20160807.csv,78,Jose Iturbide,40,Guatemala,GTM,01:02:58,04:54:34,03:25:27,00:03:36,00:03:42,09:30:17
ironman-boulder-20160807.csv,79,Fernando Lopez,43,TX,USA,01:23:31,05:21:12,04:32:47,00:07:00,00:06:13,11:30:43
ironman-boulder-20160807.csv,80,Jorge Ramirez,44,TX,MEX,01:22:44,05:40:34,04:43:09,00:05:31,00:05:51,11:57:49
ironman-boulder-20160807.csv,81,Davide Varoli,43,---,ITA,01:04:49,05:31:16,05:53:03,00:05:41,00:07:32,12:42:21
ironman-boulder-20160807.csv,82,Zach Barber,44,---,USA,01:10:28,05:16:34,04:39:30,00:06:18,00:06:24,11:19:14
ironman-boulder-20160807.csv,84,Mark Cardinale,47,---,USA,01:15:45,04:50:59,---,00:03:50,00:03:24,DNF
ironman-boulder-20160807.csv,85,Matthew Mccutchen,45,CA,USA,01:01:43,05:06:13,05:37:39,00:04:40,00:05:10,11:55:25
ironman-boulder-20160807.csv,86,Bob Mcrae,47,CO,USA,01:07:54,04:34:40,03:21:39,00:03:52,00:03:22,09:11:27
ironman-boulder-20160807.csv,87,Charles Perry,45,CA,USA,01:06:33,05:01:05,04:11:35,00:05:26,00:05:17,10:29:56
ironman-boulder-20160807.csv,88,Brian Stockbrugger,45,NY,CAN,01:11:15,05:18:14,04:34:11,00:03:40,00:05:30,11:12:50
ironman-boulder-20160807.csv,89,Mario Villafana,44,Mexico,MEX,01:11:35,05:39:18,04:39:09,00:04:46,00:04:45,11:39:33
ironman-boulder-20160807.csv,90,Dana Dobbs,50,MD,USA,01:07:54,04:54:34,04:57:47,00:05:03,00:04:00,11:09:18
ironman-boulder-20160807.csv,91,Mark Ford,54,CA,USA,00:59:28,05:08:05,03:57:30,00:05:04,00:06:07,10:16:14
ironman-boulder-20160807.csv,92,Jay Lochhead,52,CA,USA,01:22:23,05:29:49,04:38:49,00:05:36,00:05:09,11:41:46
ironman-boulder-20160807.csv,93,Philip Regnier,50,CO,USA,01:16:46,04:59:17,03:31:33,00:04:06,00:03:45,09:55:27
ironman-boulder-20160807.csv,94,Noah Sandler,50,MN,USA,01:24:17,06:03:54,04:13:28,00:05:08,00:05:12,11:51:59
ironman-boulder-20160807.csv,95,Dan Thomas,54,CA,USA,01:06:47,05:54:38,05:20:17,00:04:48,00:06:48,12:33:18
ironman-boulder-20160807.csv,96,Bryan Vanmeveren,51,CO,USA,01:08:48,04:58:40,04:04:45,00:05:01,00:05:21,10:22:35
ironman-boulder-20160807.csv,97,Parker Wiggin,53,CO,USA,01:15:07,05:40:35,04:47:16,00:06:04,00:10:25,11:59:27
ironman-boulder-20160807.csv,98,Peter Young,51,---,USA,01:05:35,05:21:55,05:12:27,00:05:23,00:07:31,11:52:51
ironman-boulder-20160807.csv,99,John Anhold,57,AZ,USA,01:06:58,05:10:58,04:10:15,00:05:17,00:05:28,10:38:56
ironman-boulder-20160807.csv,100,Michael Boehmer,36,CO,USA,01:02:20,04:53:43,---,00:03:23,00:03:58,DNF
ironman-boulder-20160807.csv,105,Rachael Norfleet,---,MO,USA,01:05:01,05:26:32,---,00:04:25,00:06:06,DNF
ironman-boulder-20160807.csv,106,Talia Rozen,24,CA,USA,01:17:36,05:43:05,04:17:28,00:06:13,00:09:16,11:33:38
ironman-boulder-20160807.csv,107,Brittany Balcar,26,TX,USA,01:09:45,06:01:59,05:15:42,00:07:18,00:07:32,12:42:16
ironman-boulder-20160807.csv,109,Laura Marcoux,28,CO,USA,01:04:05,05:35:25,04:26:10,00:03:58,00:05:12,11:14:50
ironman-boulder-20160807.csv,110,Natalie Stiffler,29,CO,USA,01:04:21,05:55:45,05:10:56,00:03:55,00:04:07,12:19:04
ironman-boulder-20160807.csv,111,Monica Folts,30,CO,USA,01:06:46,05:23:09,04:21:56,00:04:19,00:04:29,11:00:39
ironman-boulder-20160807.csv,113,Amanda Homes,29,NE,USA,01:24:44,06:22:59,05:01:35,00:08:54,00:11:04,13:09:16
ironman-boulder-20160807.csv,114,Tiana Lefmann,33,CA,USA,01:10:37,05:56:11,05:19:57,00:06:16,00:06:22,12:39:23
ironman-boulder-20160807.csv,115,Stephanie Melkonian,31,TX,USA,01:11:00,05:47:40,04:29:52,00:03:46,00:04:44,11:37:02
ironman-boulder-20160807.csv,116,Laura Ordonez,33,DC,COL,01:28:49,05:44:15,04:16:14,00:12:49,00:10:00,11:52:07
ironman-boulder-20160807.csv,117,Crystal Self,31,TX,USA,01:13:05,05:45:57,05:30:11,00:03:52,00:04:52,12:37:57
ironman-boulder-20160807.csv,119,Nichole Vensko,33,CA,USA,01:06:56,05:44:28,05:46:27,00:04:37,00:07:53,12:50:21
ironman-boulder-20160807.csv,120,Liz West,32,CO,USA,00:59:01,05:27:14,04:22:17,00:03:27,00:03:56,10:55:55
ironman-boulder-20160807.csv,121,Megan Andersen,35,UT,USA,01:28:00,05:37:00,04:34:31,00:05:13,00:05:34,11:50:18
ironman-boulder-20160807.csv,122,Holly Beavers,38,KS,USA,01:05:53,05:32:03,03:44:48,00:04:46,00:03:51,10:31:21
ironman-boulder-20160807.csv,123,Suzanne Butler,37,CA,USA,01:23:42,05:40:11,04:16:17,00:05:04,00:06:47,11:32:01
ironman-boulder-20160807.csv,124,Nova Chauvin,37,TX,USA,01:33:42,06:38:54,06:31:44,00:06:10,00:06:47,14:57:17
ironman-boulder-20160807.csv,125,Tamera Finley,38,NV,CAN,01:26:38,05:27:43,04:26:24,00:04:55,00:05:20,11:31:00
ironman-boulder-20160807.csv,126,Valerie Jones,37,OH,USA,01:13:32,05:29:05,04:26:01,00:05:20,00:05:14,11:19:12
ironman-boulder-20160807.csv,129,Ana Maria Naranjo,37,Antioquia,COL,01:07:53,05:24:21,03:41:37,00:04:43,00:04:31,10:23:05
ironman-boulder-20160807.csv,130,Jennifer Sloan,39,OK,USA,01:07:27,05:30:16,---,00:04:17,00:02:56,DNF
ironman-boulder-20160807.csv,131,Morgan Zornes,37,CO,USA,01:14:33,06:20:08,---,00:04:22,00:06:27,DNF
ironman-boulder-20160807.csv,132,Heather Beutel,43,AZ,USA,01:23:37,06:07:57,04:59:25,00:05:12,00:07:15,12:43:26
ironman-boulder-20160807.csv,133,Luisa Fumagalli,44,Intl State,ITA,01:08:37,05:58:33,04:14:47,00:04:48,00:04:38,11:31:23
ironman-boulder-20160807.csv,134,Georgeta Gruescu,43,WA,USA,01:41:06,07:31:09,05:37:02,00:10:02,00:10:45,15:10:04
