#ironman-cairns-20130609.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-cairns-20130609.csv,1,Chris Mccormack,43,---,AUS,00:49:55,04:43:38,02:54:52,00:03:19,00:01:06,08:32:50
ironman-cairns-20130609.csv,2,Cameron Brown,44,NZ,NZL,00:51:15,04:48:37,---,00:03:30,00:01:48,DNF
ironman-cairns-20130609.csv,3,Luke Mckenzie,35,CA,AUS,00:49:47,04:21:52,03:01:32,00:03:24,00:01:08,08:17:43
ironman-cairns-20130609.csv,4,Clayton Fettell,30,NSW,AUS,00:47:53,04:35:36,03:13:16,00:03:36,00:01:21,08:41:42
ironman-cairns-20130609.csv,5,Jason Shortis,46,NSW,AUS,00:58:31,04:38:36,02:55:47,00:03:40,00:01:47,08:38:21
ironman-cairns-20130609.csv,6,Simon Cochrane,32,---,NZL,00:52:26,04:56:55,03:11:38,00:03:32,00:01:17,09:05:48
ironman-cairns-20130609.csv,7,Courtney Ogden,44,WA,AUS,00:51:14,---,---,00:03:48,---,DNF
ironman-cairns-20130609.csv,8,Todd Israel,40,NSW,AUS,00:51:19,04:39:24,03:22:51,00:03:49,00:01:15,08:58:38
ironman-cairns-20130609.csv,9,Brett Carter,35,---,AUS,00:51:09,---,---,00:03:44,---,DNF
ironman-cairns-20130609.csv,10,Johan Borg,27,WA,AUS,00:56:21,04:45:20,03:22:40,00:03:49,00:01:28,09:09:38
ironman-cairns-20130609.csv,11,Dan Brown,40,NSW,PHL,01:04:49,05:28:56,---,00:03:59,00:04:12,DNF
ironman-cairns-20130609.csv,12,Jemani Francis,32,---,AUS,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,13,Yeunsik Ham,37,Intl State,KOR,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,15,Matt Randall,38,STL,NZL,01:05:48,04:50:55,03:46:33,00:04:02,00:01:56,09:49:14
ironman-cairns-20130609.csv,17,Matty White,39,---,AUS,00:51:14,04:42:07,03:12:50,00:03:32,00:01:35,08:51:18
ironman-cairns-20130609.csv,18,Tim Van Berkel,32,NSW,AUS,00:52:25,04:40:57,02:44:24,00:03:27,00:01:03,08:22:16
ironman-cairns-20130609.csv,21,Gina Crawford,35,Canterbury,NZL,00:55:43,05:08:26,03:13:09,00:04:12,00:01:44,09:23:14
ironman-cairns-20130609.csv,22,Michelle Gailey,34,NT,AUS,00:58:06,05:25:13,03:42:14,00:04:01,00:02:18,10:11:52
ironman-cairns-20130609.csv,23,Michelle Bremer,33,NSW,NZL,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,24,Liz Blatchford,36,---,GBR,00:54:13,05:10:23,03:09:38,00:03:45,00:01:52,09:19:51
ironman-cairns-20130609.csv,25,Michelle Wu,33,---,AUS,00:58:10,06:04:43,---,00:03:59,00:17:52,DNF
ironman-cairns-20130609.csv,26,Stephanie Jones,38,VA,USA,01:06:41,05:04:09,03:15:17,00:04:20,00:01:19,09:31:46
ironman-cairns-20130609.csv,27,Anna Russell,33,---,NZL,01:02:25,05:08:56,03:29:06,00:04:28,00:01:33,09:46:28
ironman-cairns-20130609.csv,28,Beth Gerdes,36,CA,USA,01:06:46,05:23:37,03:19:42,00:04:00,00:01:18,09:55:23
ironman-cairns-20130609.csv,51,Matt Baker,25,---,AUS,01:57:44,05:45:52,03:57:21,00:06:25,00:04:17,11:51:39
ironman-cairns-20130609.csv,52,Anton Bredow,24,NSW,AUS,01:37:26,07:07:46,05:55:47,00:08:33,00:04:20,14:53:52
ironman-cairns-20130609.csv,53,Steve Cadell,27,QLD,AUS,01:01:03,05:32:38,04:52:44,00:06:33,00:04:22,11:37:20
ironman-cairns-20130609.csv,54,Adam Denison,25,NSW,AUS,01:28:11,07:12:32,06:03:29,00:05:18,00:03:30,14:53:00
ironman-cairns-20130609.csv,55,Stuart Donaldson,26,---,AUS,01:18:16,06:15:04,05:25:36,00:08:09,00:09:04,13:16:09
ironman-cairns-20130609.csv,56,Mitchell Florance,24,---,AUS,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,57,Amos Gollach,27,---,AUS,00:59:53,04:54:21,03:05:58,00:04:55,00:01:14,09:06:21
ironman-cairns-20130609.csv,58,Lachlan Green,27,---,AUS,00:57:03,05:14:42,05:06:17,00:04:15,00:01:43,11:24:00
ironman-cairns-20130609.csv,59,Joshua Hilliard,26,---,AUS,00:53:38,05:10:10,03:46:12,00:04:04,00:02:28,09:56:32
ironman-cairns-20130609.csv,60,Nicholas Johns,27,QLD,AUS,01:08:02,05:55:48,05:45:39,00:05:19,00:06:16,13:01:04
ironman-cairns-20130609.csv,61,Zak Johnson,27,---,AUS,01:13:30,05:45:31,06:18:33,00:05:25,00:03:54,13:26:53
ironman-cairns-20130609.csv,62,Shinichiro Kikai,24,---,JPN,01:55:13,---,---,00:10:40,---,DNF
ironman-cairns-20130609.csv,63,Akihisha Kimura,24,---,JPN,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,64,Jason Limbert,23,NSW,AUS,01:16:17,07:14:09,07:03:56,00:14:04,00:01:06,15:49:32
ironman-cairns-20130609.csv,65,Max Lye,21,---,AUS,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,66,Dylan Mathiesen,25,---,AUS,01:20:43,06:04:12,05:19:55,00:08:08,00:06:01,12:58:59
ironman-cairns-20130609.csv,67,Kentaro Nishimura,31,Tokyo,JPN,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,68,Thomas Penistone,26,---,GBR,01:18:11,07:40:38,05:24:16,00:08:20,00:08:05,14:39:30
ironman-cairns-20130609.csv,69,Jian Ming Phua,24,SG,SGP,01:55:44,06:13:43,05:27:18,00:07:52,00:07:09,13:51:46
ironman-cairns-20130609.csv,70,Jonathan Platten,27,---,AUS,---,---,---,---,---,DNS
ironman-cairns-20130609.csv,71,James Roberts,26,Wiltshire,GBR,01:19:57,05:49:57,05:19:02,00:06:29,00:05:06,12:40:31
ironman-cairns-20130609.csv,72,Shintaro Sakurai,24,---,USA,01:05:43,06:13:17,04:24:38,00:07:50,00:05:57,11:57:25
ironman-cairns-20130609.csv,73,Terrence Tan,25,---,SGP,01:14:07,05:50:07,05:04:45,00:07:06,00:07:12,12:23:17
ironman-cairns-20130609.csv,74,Rob Taylor,26,---,AUS,01:02:18,05:18:24,03:34:05,00:04:31,00:01:47,10:01:05
ironman-cairns-20130609.csv,75,Andrew Tyack,27,---,AUS,01:00:15,05:01:39,04:09:19,00:03:40,00:01:48,10:16:41
ironman-cairns-20130609.csv,76,Madison Taylor,26,---,AUS,01:15:47,06:19:54,04:42:25,00:04:49,00:02:05,12:25:00
ironman-cairns-20130609.csv,77,Mark Adsett,31,---,AUS,01:22:24,06:17:03,04:51:53,00:08:08,00:08:16,12:47:44
