#File=ironman-cairns-20160612.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-cairns-20160612.csv,1,Luke Mckenzie,34,QLD,---,00:46:28,04:34:08,03:08:41,00:03:15,00:01:18,08:33:50
ironman-cairns-20160612.csv,2,Cameron Brown,43,AUK,---,00:51:30,04:46:20,---,00:03:16,00:03:08,DNF
ironman-cairns-20160612.csv,3,Tim Van Berkel,31,NSW,---,00:47:26,04:36:58,02:46:31,00:03:01,00:01:07,08:15:03
ironman-cairns-20160612.csv,4,David Dellow,37,QLD,---,00:46:34,04:37:59,02:50:13,00:03:00,00:01:27,08:19:13
ironman-cairns-20160612.csv,5,Romain Guillaume,31,---,---,00:50:59,04:42:55,03:02:31,00:03:25,00:01:45,08:41:35
ironman-cairns-20160612.csv,6,Matt Hanson,31,IA,---,00:55:13,04:52:03,---,00:03:10,---,DNF
ironman-cairns-20160612.csv,7,Jordan Rapp,35,CA,---,00:55:48,04:46:28,02:50:38,00:04:15,00:01:40,08:38:49
ironman-cairns-20160612.csv,8,Clayton Fettell,30,NSW,---,00:46:30,04:23:53,---,00:02:48,00:01:19,DNF
ironman-cairns-20160612.csv,9,Pete Jacobs,34,QLD,---,00:46:32,04:35:11,03:02:14,00:02:51,00:01:40,08:28:28
ironman-cairns-20160612.csv,10,Luke Bell,37,VIC,---,00:46:58,04:37:27,05:05:10,00:03:06,00:01:31,10:34:12
ironman-cairns-20160612.csv,12,Johan Borg,27,WA,---,00:59:07,---,---,00:03:20,---,DNF
ironman-cairns-20160612.csv,13,Matt Burton,28,WA,---,00:58:00,---,---,00:03:28,---,DNF
ironman-cairns-20160612.csv,20,Adam Gordon,33,QLD,---,00:58:01,04:57:28,03:21:30,00:03:14,00:02:32,09:22:45
ironman-cairns-20160612.csv,21,Tim Green,32,QLD,---,00:48:01,05:32:31,03:35:21,00:03:54,00:02:53,10:02:40
ironman-cairns-20160612.csv,22,Jarmo Hast,39,QLD,---,00:51:21,04:51:14,03:09:53,00:03:34,00:02:22,08:58:24
ironman-cairns-20160612.csv,23,Brad Kahlefeldt,36,NSW,---,00:46:38,04:42:27,02:56:31,00:03:00,00:02:30,08:31:06
ironman-cairns-20160612.csv,25,Daniel Mcguigan,38,NSW,---,01:09:14,05:20:30,04:18:14,00:05:49,00:12:26,11:06:13
ironman-cairns-20160612.csv,26,Casey Munro,31,QLD,---,00:46:36,---,---,00:03:00,---,DNF
ironman-cairns-20160612.csv,27,Samuel Murphy,29,QLD,---,01:00:08,05:18:24,03:53:56,00:04:06,00:01:25,10:17:59
ironman-cairns-20160612.csv,28,Ryan Palazzi,35,QLD,---,00:51:18,04:56:29,03:38:50,00:04:09,00:01:58,09:32:44
ironman-cairns-20160612.csv,29,Matthew Pellow,26,NSW,---,00:47:09,04:51:09,03:31:48,00:03:15,00:01:30,09:14:51
ironman-cairns-20160612.csv,30,Jens Petersen-Bach,31,---,---,00:51:24,04:45:43,02:50:03,00:03:06,00:01:25,08:31:41
ironman-cairns-20160612.csv,31,Matt Randall,38,STL,---,---,---,---,---,---,DNS
ironman-cairns-20160612.csv,32,Michael Ruenz,29,---,---,00:57:48,04:52:17,02:53:18,00:03:51,00:01:47,08:49:01
ironman-cairns-20160612.csv,33,Todd Skipworth,31,WA,---,00:46:37,---,---,00:03:03,---,DNF
ironman-cairns-20160612.csv,34,Leigh Stabryla,28,VIC,---,00:52:24,05:18:14,03:02:14,00:03:48,00:01:31,09:18:11
ironman-cairns-20160612.csv,35,Cameron Wurf,32,TAS,---,00:51:23,04:23:59,04:03:38,00:03:50,00:01:22,09:24:12
ironman-cairns-20160612.csv,42,Jodie Cunnama,34,Western Cape,---,00:49:06,04:50:40,03:21:28,00:03:35,00:01:29,09:06:18
ironman-cairns-20160612.csv,43,Linsey Corbin,35,OR,---,00:57:26,05:08:26,03:02:01,00:03:42,00:01:15,09:12:50
ironman-cairns-20160612.csv,44,Michelle Bremer,32,Other,---,00:57:24,05:03:51,03:19:37,00:03:23,00:01:29,09:25:44
ironman-cairns-20160612.csv,45,Rebekah Keat,38,CO,---,00:52:13,05:09:52,03:36:06,00:03:48,00:01:57,09:43:56
ironman-cairns-20160612.csv,46,Sarah Crowley,33,QLD,---,00:57:28,05:03:50,03:14:02,00:03:21,00:01:15,09:19:56
ironman-cairns-20160612.csv,49,Ali Fitch,43,NT,---,00:59:30,---,---,---,---,DNF
ironman-cairns-20160612.csv,51,Kym Coogan,39,QLD,---,00:57:25,05:26:04,03:49:52,00:03:23,00:01:55,10:18:39
ironman-cairns-20160612.csv,52,Kristy Hallett,42,VIC,---,01:03:21,05:35:31,04:02:47,00:03:43,00:04:50,10:50:12
ironman-cairns-20160612.csv,53,Tamsyn Hayes,31,OTA,---,01:06:37,05:20:29,04:10:01,00:04:41,00:02:34,10:44:22
ironman-cairns-20160612.csv,54,Tracy Morrison,33,VIC,---,01:03:18,05:40:32,03:32:40,00:04:00,00:01:31,10:22:01
ironman-cairns-20160612.csv,102,Richard Ford,24,AP,---,01:06:31,05:51:03,05:23:24,00:05:34,00:03:10,12:29:42
ironman-cairns-20160612.csv,106,Joel Macallister,24,WA,---,01:07:38,05:15:04,03:21:13,00:04:16,00:01:27,09:49:38
ironman-cairns-20160612.csv,107,Mark Morgan,36,HI,---,01:11:04,06:16:37,04:06:08,00:08:22,00:06:49,11:49:00
ironman-cairns-20160612.csv,108,James Roberts,25,Wiltshire,---,01:17:23,05:31:08,04:51:23,00:05:24,00:04:20,11:49:38
ironman-cairns-20160612.csv,109,Benjamin Shepherd,28,SA,---,01:07:04,05:34:34,03:47:44,00:04:20,00:01:44,10:35:26
ironman-cairns-20160612.csv,110,Garry Bateman,35,NSW,---,01:36:45,07:00:53,05:27:54,00:10:32,00:08:12,14:24:16
ironman-cairns-20160612.csv,111,Nath Dwyer,39,NSW,---,01:18:14,06:25:38,---,00:06:10,---,DNF
ironman-cairns-20160612.csv,113,Tristan Freitag,34,NSW,---,01:20:04,05:59:31,04:34:55,00:11:13,00:07:42,12:13:25
ironman-cairns-20160612.csv,114,Aaron Hannam,35,---,---,01:13:34,06:15:25,06:05:39,00:07:22,00:05:37,13:47:37
ironman-cairns-20160612.csv,115,Dean Helm,34,NSW,---,01:25:47,05:56:50,05:21:16,00:09:29,00:09:06,13:02:28
ironman-cairns-20160612.csv,116,Nanda Holyoak,35,ACT,---,01:11:39,04:53:50,03:31:08,00:04:39,00:03:16,09:44:32
ironman-cairns-20160612.csv,117,Joshy Horsager,37,AP,---,00:58:40,05:13:39,03:46:06,00:04:53,00:02:15,10:05:33
ironman-cairns-20160612.csv,118,Laurie Iljazov,38,NT,---,01:22:39,06:07:53,05:09:42,00:06:45,00:07:43,12:54:42
ironman-cairns-20160612.csv,119,Paul Jaeschke,36,SA,---,01:21:18,06:59:01,04:34:16,00:06:45,00:07:23,13:08:43
ironman-cairns-20160612.csv,120,Michael Jones,33,QLD,---,01:13:51,06:03:36,04:58:40,00:08:13,00:06:27,12:30:47
ironman-cairns-20160612.csv,121,Dominic Lopez,34,ACT,---,01:21:38,05:08:40,03:41:41,00:07:53,00:03:06,10:22:58
ironman-cairns-20160612.csv,122,Iain Macdonald,37,QLD,---,01:31:34,05:31:05,06:56:27,00:06:18,00:03:04,14:08:28
ironman-cairns-20160612.csv,123,Andrew Smith,34,---,---,01:41:36,07:37:45,05:44:54,00:09:25,00:10:55,15:24:35
ironman-cairns-20160612.csv,124,Ashley Smith,36,---,---,01:17:45,06:21:58,05:23:25,00:10:13,00:04:31,13:17:52
ironman-cairns-20160612.csv,125,Luke Teong,30,WA,---,01:08:13,05:24:24,04:25:19,00:05:32,00:02:33,11:06:01
ironman-cairns-20160612.csv,127,Luke Woodland,34,NSW,---,00:55:01,05:01:53,03:45:25,00:05:00,00:01:33,09:48:52
ironman-cairns-20160612.csv,129,Marion Hamilton,36,VIC,---,01:37:32,06:58:11,06:18:40,00:09:04,00:03:35,15:07:02
ironman-cairns-20160612.csv,130,Simone Marks,31,WA,---,01:09:07,06:46:03,05:38:02,00:05:51,00:05:24,13:44:27
ironman-cairns-20160612.csv,131,Courtney Sypott,33,QLD,---,01:24:29,06:40:33,04:25:27,00:07:14,00:02:05,12:39:48
ironman-cairns-20160612.csv,132,Megan Webber,38,NSW,---,01:06:20,05:54:29,03:59:51,00:04:34,00:01:35,11:06:49
ironman-cairns-20160612.csv,133,David Mark Carroll,45,SA,---,01:27:25,07:07:10,05:41:03,00:11:36,00:13:22,14:40:36
ironman-cairns-20160612.csv,134,Leigh Coop,42,QLD,---,01:11:17,---,---,00:05:33,---,DNF
ironman-cairns-20160612.csv,135,Brett Flynn,41,WA,---,01:13:00,05:47:54,04:42:14,00:07:19,00:05:12,11:55:39
ironman-cairns-20160612.csv,136,Simon Glastonbury,53,NSW,---,01:11:51,06:10:14,04:39:26,00:06:23,00:04:27,12:12:21
ironman-cairns-20160612.csv,138,Peter Howden,55,QLD,---,01:04:27,05:49:05,05:21:37,00:09:32,00:06:34,12:31:15
ironman-cairns-20160612.csv,139,Michael Jones,41,QLD,---,01:06:11,05:27:23,04:57:58,00:05:33,00:04:00,11:41:05
ironman-cairns-20160612.csv,140,Stephen Jones,51,SA,---,01:05:13,05:59:16,04:09:40,00:07:08,00:03:54,11:25:11
ironman-cairns-20160612.csv,141,Daniel Judd,41,NSW,---,00:57:27,05:15:08,06:19:35,00:05:33,00:03:10,12:40:53
ironman-cairns-20160612.csv,142,James Lenard,41,AP,---,01:09:41,05:59:44,04:44:09,00:06:51,00:06:40,12:07:05
ironman-cairns-20160612.csv,144,Chung Kiat Poon,42,---,---,01:09:49,05:25:54,04:17:33,00:04:57,00:02:10,11:00:23
ironman-cairns-20160612.csv,146,Cameron Stephenson,44,QLD,---,01:23:22,06:27:44,05:55:11,00:10:44,00:07:16,14:04:17
ironman-cairns-20160612.csv,147,David Bruce Thomson,44,QLD,---,01:10:15,06:13:45,05:10:01,00:13:10,00:22:16,13:09:27
ironman-cairns-20160612.csv,148,Emma Cairns,41,WKO,---,01:26:42,06:58:10,05:33:45,00:08:44,00:08:28,14:15:49
ironman-cairns-20160612.csv,149,Emma Griffiths,45,ACT,---,01:29:58,06:54:45,06:21:08,00:10:15,00:04:42,15:00:48
