#File=ironman-canada-20080824.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-canada-20080824.csv,1,Results Up Soon,34,BC,CAN,00:53:04,04:44:51,02:55:10,00:01:30,00:01:33,08:36:08
ironman-canada-20080824.csv,2,Results Up Soon,30,BC,CAN,00:49:40,04:47:39,---,00:01:51,00:01:30,DNF
ironman-canada-20080824.csv,3,Results Up Soon,---,BC,CAN,00:53:02,05:01:50,---,00:01:16,---,DNF
ironman-canada-20080824.csv,4,Results Up Soon,---,---,UKR,00:54:39,04:43:24,02:56:11,00:01:24,00:01:33,08:37:11
ironman-canada-20080824.csv,5,Results Up Soon,31,AB,CAN,00:53:25,04:44:55,03:02:06,00:02:13,00:01:51,08:44:30
ironman-canada-20080824.csv,6,Results Up Soon,39,CO,USA,00:54:25,05:08:43,03:06:17,00:01:42,00:02:12,09:13:19
ironman-canada-20080824.csv,7,Results Up Soon,38,NSW,AUS,00:54:58,---,---,00:01:57,---,DNF
ironman-canada-20080824.csv,8,Results Up Soon,33,Intl State,DEU,00:45:57,05:13:28,04:29:53,00:01:20,00:04:49,10:35:27
ironman-canada-20080824.csv,9,Results Up Soon,35,CAN,NZL,00:49:22,04:41:43,02:55:44,00:01:24,00:01:59,08:30:12
ironman-canada-20080824.csv,10,Results Up Soon,30,OR,USA,00:53:16,04:41:50,03:06:01,00:02:34,00:02:01,08:45:42
ironman-canada-20080824.csv,11,Results Up Soon,30,WA,USA,00:58:29,04:58:02,03:04:17,00:01:40,00:02:38,09:05:06
ironman-canada-20080824.csv,12,Results Up Soon,27,MI,USA,01:03:48,05:23:19,04:48:36,00:02:10,00:02:04,11:19:57
ironman-canada-20080824.csv,13,Results Up Soon,35,Intl State,AUT,00:55:01,04:54:58,03:23:18,00:02:02,00:01:34,09:16:53
ironman-canada-20080824.csv,14,Results Up Soon,27,CO,USA,00:54:50,04:43:18,02:55:40,00:01:47,00:01:59,08:37:34
ironman-canada-20080824.csv,15,Results Up Soon,28,TX,USA,00:54:15,04:41:12,03:47:48,00:02:51,00:02:54,09:29:00
ironman-canada-20080824.csv,16,Results Up Soon,34,---,USA,01:08:03,05:14:30,03:19:03,00:02:19,00:02:05,09:46:00
ironman-canada-20080824.csv,17,Results Up Soon,36,WA,AUS,00:53:26,04:44:15,03:05:21,00:01:57,00:02:05,08:47:04
ironman-canada-20080824.csv,18,Results Up Soon,29,BC,CAN,00:54:34,04:47:07,03:15:58,00:01:46,00:02:09,09:01:34
ironman-canada-20080824.csv,19,Results Up Soon,29,ON,CAN,00:50:28,04:50:13,03:10:10,00:01:46,00:01:49,08:54:26
ironman-canada-20080824.csv,20,Results Up Soon,32,Hyogo,JPN,00:49:42,05:19:50,02:59:52,00:02:04,00:02:28,09:13:56
ironman-canada-20080824.csv,21,Results Up Soon,39,---,DEU,---,---,---,---,---,DNS
ironman-canada-20080824.csv,22,Results Up Soon,37,MT,USA,00:54:34,04:48:12,03:03:31,00:03:05,00:01:55,08:51:17
ironman-canada-20080824.csv,23,Results Up Soon,28,MT,USA,00:58:58,04:45:20,04:48:34,00:01:36,00:01:53,10:36:21
ironman-canada-20080824.csv,24,Results Up Soon,33,---,JPN,00:55:45,04:52:53,03:12:53,00:01:50,00:02:14,09:05:35
ironman-canada-20080824.csv,25,Results Up Soon,33,AB,CAN,00:53:21,04:39:11,03:15:20,00:02:14,00:02:30,08:52:36
ironman-canada-20080824.csv,26,Results Up Soon,37,ON,CAN,00:55:13,04:43:30,03:07:58,00:01:51,00:02:03,08:50:35
ironman-canada-20080824.csv,27,Results Up Soon,37,ON,CAN,---,---,---,---,---,DNS
ironman-canada-20080824.csv,28,Results Up Soon,25,---,ESP,---,---,---,---,---,DNS
ironman-canada-20080824.csv,29,Results Up Soon,23,UT,USA,01:02:06,04:52:28,03:18:59,00:02:22,00:03:36,09:19:31
ironman-canada-20080824.csv,30,Results Up Soon,28,CO,USA,00:46:11,04:40:38,03:35:36,00:01:39,00:01:36,09:05:40
ironman-canada-20080824.csv,31,Results Up Soon,31,CO,USA,00:55:10,05:00:59,03:33:22,00:02:01,00:02:16,09:33:48
ironman-canada-20080824.csv,32,Results Up Soon,32,ME,AUS,00:49:46,04:51:59,03:52:33,00:01:49,00:02:50,09:38:57
ironman-canada-20080824.csv,33,Results Up Soon,27,BC,CAN,00:59:10,05:02:25,03:22:06,00:02:20,00:02:21,09:28:22
