#ironman-canada-20160724.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-canada-20160724.csv,1,Viktor Zyemtsev,43,FL,UKR,---,---,---,---,---,DNS
ironman-canada-20160724.csv,2,Trevor Wurtele,37,BC,CAN,00:49:50,04:41:17,02:55:53,00:02:12,00:01:13,08:30:25
ironman-canada-20160724.csv,3,Andy Potts,39,CO,USA,00:47:03,04:31:07,02:58:19,00:02:26,00:01:28,08:20:23
ironman-canada-20160724.csv,4,Justin Daerr,35,CO,USA,00:50:25,04:48:07,02:56:16,00:02:22,00:01:02,08:38:12
ironman-canada-20160724.csv,5,Paul Ambrose,32,NSW,AUS,---,---,---,---,---,DNS
ironman-canada-20160724.csv,6,Maik Twelsiek,35,AZ,DEU,00:50:07,04:44:00,03:24:32,00:02:08,00:01:35,09:02:22
ironman-canada-20160724.csv,7,Michael Weiss,35,---,AUT,---,---,---,---,---,DNS
ironman-canada-20160724.csv,8,Swen Sundberg,42,DE,DEU,---,---,---,---,---,DNS
ironman-canada-20160724.csv,9,Callum Millward,33,QLD,NZL,00:50:03,04:46:54,10:12:56,00:02:16,00:01:24,DNF
ironman-canada-20160724.csv,10,Ben Collins,33,WA,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,11,Stephen Kilshaw,31,BC,CAN,---,---,---,---,---,DNS
ironman-canada-20160724.csv,12,Elliot Holtham,32,BC,CAN,00:50:08,04:48:51,03:04:10,00:02:40,00:00:59,08:46:48
ironman-canada-20160724.csv,13,Pedro Gomes,32,AZ,PRT,00:49:52,04:40:55,02:53:18,00:02:35,00:00:51,08:27:31
ironman-canada-20160724.csv,14,Mike Aigroz,38,---,CHE,00:50:05,04:42:51,03:04:01,00:02:24,00:01:03,08:40:24
ironman-canada-20160724.csv,15,Daniel Bretscher,33,MN,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,16,Simon Billeau,34,WA,FRA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,17,Scott Bradley,32,NY,USA,01:01:37,05:02:39,03:23:37,00:03:23,00:01:01,09:32:17
ironman-canada-20160724.csv,18,Andrew Fast,31,WA,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,19,Derek Garcia,32,ID,USA,00:52:47,04:44:40,03:10:25,00:02:04,00:01:14,08:51:10
ironman-canada-20160724.csv,20,Dylan Gleeson,32,BC,CAN,00:54:30,04:49:47,03:15:22,00:02:12,00:01:00,09:02:51
ironman-canada-20160724.csv,21,Elmar Heger,36,AB,DEU,00:55:09,05:17:13,09:35:20,00:02:10,00:03:42,DNF
ironman-canada-20160724.csv,22,Andrew Langfield,29,OR,USA,00:55:07,05:00:39,03:04:51,00:02:20,00:03:17,09:06:14
ironman-canada-20160724.csv,23,Jeff Manson,32,BC,CAN,00:52:58,04:53:11,---,00:02:10,00:01:01,DNF
ironman-canada-20160724.csv,24,Adam O'Meara,34,BC,CAN,---,---,---,---,---,DNS
ironman-canada-20160724.csv,25,Matthew Shanks,27,MD,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,26,Matthew Sheeks,32,WA,USA,01:01:27,05:06:16,03:29:24,00:03:06,00:00:56,09:41:09
ironman-canada-20160724.csv,27,Anthony Toth,35,BC,CAN,00:55:07,05:07:27,---,00:02:18,00:01:56,DNF
ironman-canada-20160724.csv,28,Jonathan Shearon,36,AZ,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,29,Nathan Champness,32,BC,CAN,00:54:36,05:12:43,04:00:46,00:03:16,00:02:39,10:14:00
ironman-canada-20160724.csv,100,Douglas Shannon,48,AB,CAN,01:48:53,---,15:12:27,00:09:59,---,DNF
ironman-canada-20160724.csv,105,Steph Corker,32,---,CAN,00:56:20,05:38:33,03:33:44,00:02:25,00:01:26,10:12:28
ironman-canada-20160724.csv,106,Tiana Rockwell,36,---,USA,01:07:45,06:07:22,04:30:43,00:04:33,00:03:18,11:53:41
ironman-canada-20160724.csv,107,Jennifer Hienton,36,IL,USA,01:27:37,07:17:57,04:55:55,00:06:48,00:05:57,13:54:14
ironman-canada-20160724.csv,108,Carolyn Barry,43,AK,USA,01:01:41,05:52:18,04:04:57,00:03:28,00:01:07,11:03:31
ironman-canada-20160724.csv,109,Nancy Clarke,43,WA,USA,01:05:31,06:31:11,04:28:53,00:03:15,00:02:25,12:11:15
ironman-canada-20160724.csv,110,Miriam Cole,48,IL,USA,01:16:44,05:53:46,04:30:44,00:06:04,00:07:12,11:54:30
ironman-canada-20160724.csv,111,Britni Bakk,49,---,USA,01:01:28,05:55:55,03:57:48,00:02:52,00:01:14,10:59:17
ironman-canada-20160724.csv,113,Kate Stebbings,52,BC,CAN,01:20:53,05:49:48,03:48:04,00:03:36,00:01:33,11:03:54
ironman-canada-20160724.csv,114,Margaret Hepworth,54,ID,USA,01:04:44,06:12:52,04:26:40,00:04:37,00:03:17,11:52:10
ironman-canada-20160724.csv,115,Linda Hayes,55,NV,USA,01:29:36,07:34:27,06:30:56,00:12:08,00:06:14,15:53:21
ironman-canada-20160724.csv,116,Luke Kurey,24,WI,USA,00:58:01,05:16:13,04:11:00,00:03:12,00:02:27,10:30:53
ironman-canada-20160724.csv,117,Tim Rea,27,NSW,AUS,00:54:38,05:01:02,03:19:45,00:03:22,00:01:59,09:20:46
ironman-canada-20160724.csv,118,Malcolm Mcguire,27,---,USA,01:01:58,05:21:07,04:03:25,00:03:09,00:02:07,10:31:46
ironman-canada-20160724.csv,119,Michael Stobart,29,BC,CAN,01:03:43,05:35:44,03:54:00,00:03:49,00:03:51,10:41:07
ironman-canada-20160724.csv,120,Kellan Scheiris,29,AB,CAN,---,---,---,---,---,DNS
ironman-canada-20160724.csv,121,Kevin Portmann,29,CA,USA,00:55:00,05:03:23,---,00:03:09,00:01:41,DNF
ironman-canada-20160724.csv,122,Niels Vande Casteele,29,CA,BEL,00:59:17,---,15:20:04,---,---,DNF
ironman-canada-20160724.csv,123,Jacco Langerak,30,NL,NLD,01:04:41,05:16:57,03:15:11,00:03:43,00:01:31,09:42:03
ironman-canada-20160724.csv,124,Matthew Malone,30,---,USA,00:55:24,05:13:45,03:12:37,00:03:10,00:01:33,09:26:29
ironman-canada-20160724.csv,125,Dane Roberts,30,NSW,AUS,00:51:41,05:16:06,03:40:51,00:02:50,00:01:49,09:53:17
ironman-canada-20160724.csv,126,Rory Duckworth,31,UT,USA,01:05:53,05:02:37,03:40:51,00:02:54,00:00:59,09:53:14
ironman-canada-20160724.csv,127,Bastian Bartels,32,CA,DEU,01:07:34,05:43:32,05:01:22,00:03:52,00:02:13,11:58:33
ironman-canada-20160724.csv,128,Jeremy Bebiak,33,MI,USA,01:02:19,05:33:57,04:35:24,00:03:50,00:02:18,11:17:48
ironman-canada-20160724.csv,129,Nathan Murray,36,BC,CAN,01:06:20,05:11:59,03:33:54,00:02:38,00:02:13,09:57:04
ironman-canada-20160724.csv,130,Craig Schmitt,37,AB,CAN,01:12:59,05:17:37,03:15:48,00:03:49,00:02:23,09:52:36
ironman-canada-20160724.csv,131,Justin Davis,40,OR,USA,01:02:34,05:30:53,04:12:32,00:03:54,00:01:19,10:51:12
ironman-canada-20160724.csv,132,Michael Daily,41,CA,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,133,Rodney Scott,42,NC,USA,01:07:03,05:05:24,03:24:58,00:03:05,00:01:09,09:41:39
ironman-canada-20160724.csv,134,Eric Perron,41,VT,USA,01:15:28,05:22:46,04:05:11,00:04:29,00:01:56,10:49:50
ironman-canada-20160724.csv,135,Jack Cartwright,43,---,USA,01:05:29,05:03:22,03:42:58,00:05:13,00:00:38,09:57:40
ironman-canada-20160724.csv,136,Ted Cochrane,43,---,CAN,00:54:39,05:31:34,03:16:40,00:03:14,00:02:14,09:48:21
ironman-canada-20160724.csv,137,Roger Thompson,44,---,USA,00:55:31,05:18:40,03:30:30,00:03:26,00:01:26,09:49:33
ironman-canada-20160724.csv,138,Richard Byyny,45,CO,USA,00:57:02,05:42:42,03:30:32,00:03:40,00:01:50,10:15:46
ironman-canada-20160724.csv,139,David Orchard,45,ON,CAN,00:56:27,05:24:01,04:12:02,00:03:32,00:01:12,10:37:14
ironman-canada-20160724.csv,140,Robert Shypitka,45,AB,CAN,01:03:57,05:15:46,03:29:44,00:02:55,00:01:45,09:54:07
ironman-canada-20160724.csv,141,David Tindall,45,AZ,USA,01:05:49,05:27:47,03:35:53,00:05:29,00:02:01,10:16:59
ironman-canada-20160724.csv,142,Ross Plumpton,45,NZ,NZL,01:06:02,05:50:42,04:03:27,00:04:20,00:03:01,11:07:32
ironman-canada-20160724.csv,143,Barry Berg,49,BC,CAN,00:53:18,05:33:06,04:24:02,00:02:53,00:01:09,10:54:28
ironman-canada-20160724.csv,144,Stephen Lynch,49,IL,USA,---,---,---,---,---,DNS
ironman-canada-20160724.csv,145,Daniel Rogers,50,IL,USA,01:09:35,05:39:20,03:58:54,00:04:20,00:01:27,10:53:36
ironman-canada-20160724.csv,146,Paul Borlinha,52,ON,CAN,01:18:00,05:56:19,04:32:43,00:06:13,00:03:58,11:57:13
ironman-canada-20160724.csv,147,John Van Heyst,54,AB,CAN,01:07:36,05:24:08,04:06:02,00:04:38,00:03:11,10:45:35
ironman-canada-20160724.csv,148,Elliot Block,55,CA,USA,01:14:13,06:11:32,04:48:37,00:07:00,00:03:46,12:25:08
ironman-canada-20160724.csv,149,Jeff Hager,60,CA,USA,01:08:29,06:02:57,04:28:16,00:04:51,00:06:42,11:51:15
ironman-canada-20160724.csv,150,Len Ireland,63,ON,CAN,01:15:58,05:42:02,04:26:57,00:03:58,00:02:17,11:31:12
ironman-canada-20160724.csv,151,Richard Nordquest,69,CA,USA,01:15:40,07:24:57,07:31:51,00:06:32,00:06:28,16:25:28
ironman-canada-20160724.csv,152,Milos Kostic,75,---,CAN,01:58:23,07:00:56,04:25:46,00:14:50,00:06:22,13:46:17
ironman-canada-20160724.csv,153,Sarah Latonas,26,AB,CAN,01:08:40,06:10:30,03:50:26,00:08:04,00:03:15,11:20:55
ironman-canada-20160724.csv,154,Meaghan Praznik,28,CA,USA,01:02:04,06:18:49,04:30:07,00:06:33,00:03:21,12:00:54
ironman-canada-20160724.csv,155,Karen Forsman,30,BC,CAN,01:07:30,05:51:27,04:21:49,00:03:41,00:01:16,11:25:43
ironman-canada-20160724.csv,156,Jaclyn Engstrom,30,CO,USA,01:09:58,06:09:38,05:02:35,00:04:35,00:02:18,12:29:04
ironman-canada-20160724.csv,157,Laurel Richardson,30,---,CAN,01:01:59,06:05:29,03:53:43,00:03:19,00:01:57,11:06:27
