#File=ironman-chattanooga-20170924.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-chattanooga-20170924.csv,2,Liz Lyles,39,NV,USA,00:45:13,05:04:35,03:10:33,00:02:58,00:02:14,09:05:33
ironman-chattanooga-20170924.csv,3,Kelly Williamson,39,CO,USA,00:42:15,05:37:00,03:09:06,00:03:03,00:02:17,09:33:41
ironman-chattanooga-20170924.csv,5,Kim Schwabenbauer,38,PA,USA,00:48:51,05:15:01,03:19:11,00:02:59,00:02:44,09:28:46
ironman-chattanooga-20170924.csv,7,Leslie Miller,32,VA,USA,00:45:14,05:28:05,03:29:01,00:03:11,00:02:26,09:47:57
ironman-chattanooga-20170924.csv,11,Jessica Donavan,41,VT,USA,00:50:33,05:04:50,03:30:09,00:03:31,00:02:46,09:31:49
ironman-chattanooga-20170924.csv,12,Kelly Fillnow,34,NC,USA,00:49:47,05:19:23,03:25:03,00:03:02,00:02:50,09:40:05
ironman-chattanooga-20170924.csv,13,Alyssa Godesky,32,VA,USA,00:46:40,05:32:07,03:41:17,00:03:27,00:02:26,10:05:57
ironman-chattanooga-20170924.csv,14,Skye Moench,28,UT,USA,00:45:13,05:16:50,04:43:11,00:03:07,00:02:50,10:51:11
ironman-chattanooga-20170924.csv,15,Ashley Paulson,36,UT,USA,00:55:32,05:32:34,03:16:30,00:03:08,00:02:07,09:49:51
ironman-chattanooga-20170924.csv,17,Fawn Whiting,31,BC,CAN,00:49:54,05:23:28,03:23:48,00:03:08,00:02:26,09:42:44
