#File=ironman-coeur-dalene-20170827.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-coeur-dalene-20170827.csv,10,Patrick Mourar,51,WA,USA,01:18:52,06:27:52,05:48:52,00:06:14,00:06:48,13:48:38
ironman-coeur-dalene-20170827.csv,11,Edward Sproull,63,WA,USA,01:28:21,07:56:01,06:27:03,00:05:10,00:06:46,16:03:21
ironman-coeur-dalene-20170827.csv,12,Rick Vogel,55,AB,CAN,01:12:12,07:19:43,06:46:02,00:08:29,00:12:55,15:39:21
ironman-coeur-dalene-20170827.csv,15,Alex Demien,26,WA,USA,01:09:21,06:38:17,04:43:41,00:05:54,00:05:11,12:42:24
ironman-coeur-dalene-20170827.csv,16,Nicolle Fisher,28,MN,USA,01:45:32,08:01:52,05:14:20,00:10:06,00:11:02,15:22:52
ironman-coeur-dalene-20170827.csv,17,Joey Gotowko,37,PA,USA,01:24:44,07:47:47,05:49:22,00:12:24,00:13:36,15:27:53
ironman-coeur-dalene-20170827.csv,18,Aubrey Wall,24,MT,USA,01:00:05,05:59:49,04:11:48,00:04:01,00:04:25,11:20:08
ironman-coeur-dalene-20170827.csv,19,Cristina Mata,31,PANAMA,PAN,01:08:29,05:34:49,03:35:17,00:04:03,00:02:24,10:25:02
ironman-coeur-dalene-20170827.csv,20,Emma Briggs,39,CA,GBR,01:07:42,06:05:07,03:54:15,00:03:10,00:05:32,11:15:46
ironman-coeur-dalene-20170827.csv,21,Orla Bannan,43,CO,USA,01:14:58,06:44:25,05:07:30,00:04:06,00:06:05,13:17:04
ironman-coeur-dalene-20170827.csv,22,Cailla Patterson,44,BC,CAN,01:11:48,06:01:48,03:41:09,00:03:51,00:04:29,11:03:05
ironman-coeur-dalene-20170827.csv,23,Amanda Rossolimo,41,CT,ALB,01:04:39,05:42:41,---,00:03:40,00:04:10,DNF
ironman-coeur-dalene-20170827.csv,24,Kim Bramblett,47,GA,USA,01:21:13,06:13:52,04:27:24,00:05:35,00:05:35,12:13:39
ironman-coeur-dalene-20170827.csv,25,Megan Hoefer Zylak,49,WA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,26,Marla Moncrieff,55,AB,CAN,01:21:16,06:01:11,04:18:23,00:05:42,00:04:09,11:50:41
ironman-coeur-dalene-20170827.csv,27,Matthew Appleby,24,CA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,28,Dan Alldridge,34,CA,USA,01:05:37,05:21:49,04:19:15,00:03:50,00:03:30,10:54:01
ironman-coeur-dalene-20170827.csv,29,Scott Voyles,33,ID,USA,01:21:05,05:46:36,05:20:40,00:03:48,00:05:38,12:37:47
ironman-coeur-dalene-20170827.csv,30,Leonardo Brea,38,FL,VEN,00:58:52,05:34:48,05:44:01,00:05:01,00:07:14,12:29:56
ironman-coeur-dalene-20170827.csv,31,Andrew Cross,35,HI,USA,01:05:48,05:13:38,03:31:35,00:02:47,00:03:10,09:56:58
ironman-coeur-dalene-20170827.csv,32,Ted Cochrane,44,AB,CAN,00:56:32,05:21:58,03:21:59,00:04:26,00:03:58,09:48:53
ironman-coeur-dalene-20170827.csv,33,Jose Graca,42,HI,BRA,00:59:03,05:09:05,03:18:01,00:03:26,00:03:37,09:33:12
ironman-coeur-dalene-20170827.csv,34,Peter Viscardo,40,PA,USA,01:14:22,05:28:49,03:20:45,00:03:36,00:03:55,10:11:27
ironman-coeur-dalene-20170827.csv,35,Chad Albright,47,VA,USA,01:07:01,05:32:33,03:42:20,00:03:33,00:04:19,10:29:46
ironman-coeur-dalene-20170827.csv,36,Paul Henry,47,OR,USA,01:17:46,05:35:03,03:41:28,00:05:11,00:03:10,10:42:38
ironman-coeur-dalene-20170827.csv,37,Dawes Marlatt,45,FL,USA,01:23:34,06:14:37,04:44:24,00:05:27,00:06:50,12:34:52
ironman-coeur-dalene-20170827.csv,38,Francisco Maya,45,OR,USA,01:02:03,05:23:19,03:32:00,00:04:03,00:02:26,10:03:51
ironman-coeur-dalene-20170827.csv,39,Roger Thompson,45,WA,USA,00:58:44,04:59:49,03:49:09,00:03:23,00:02:35,09:53:40
ironman-coeur-dalene-20170827.csv,40,Jimi Young,47,MI,USA,01:15:12,05:32:31,04:08:21,00:04:15,00:03:32,11:03:51
ironman-coeur-dalene-20170827.csv,41,Christopher Zylak,48,WA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,42,Robin Sarner,51,WA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,43,Pablo Testa,49,Panama,PAN,01:00:49,05:38:58,04:11:45,00:04:30,00:06:18,11:02:20
ironman-coeur-dalene-20170827.csv,44,Chuck Donnelly,56,NV,USA,01:13:16,05:52:51,04:44:52,00:05:05,00:06:46,12:02:50
ironman-coeur-dalene-20170827.csv,45,Charlie Brockus,65,NV,USA,01:04:52,06:16:50,---,00:05:46,00:05:48,DNF
ironman-coeur-dalene-20170827.csv,46,Rob Ladewig,68,CO,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,47,Samantha Morse,24,CA,USA,01:10:13,06:11:17,04:54:18,00:04:58,00:05:32,12:26:18
ironman-coeur-dalene-20170827.csv,48,Katherine Thompson,26,WA,USA,01:11:57,05:42:08,03:55:18,00:03:44,00:03:53,10:57:00
ironman-coeur-dalene-20170827.csv,49,Stephanie Thompson,28,TX,USA,01:08:40,06:00:47,04:17:26,00:04:11,00:04:03,11:35:07
ironman-coeur-dalene-20170827.csv,50,Briana Frank,31,HI,USA,01:04:39,06:07:03,04:18:11,00:04:52,00:05:05,11:39:50
ironman-coeur-dalene-20170827.csv,51,Samantha Knapp,31,WA,USA,---,---,---,---,---,DNF
ironman-coeur-dalene-20170827.csv,52,Courtney Schwagler,31,ID,USA,01:06:53,06:43:43,04:10:31,00:05:45,00:04:03,12:10:55
ironman-coeur-dalene-20170827.csv,53,Elizabeth Abbett,36,CA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,54,Sara Bennett,37,WA,USA,01:02:03,06:19:14,05:16:40,00:04:36,00:05:25,12:47:58
ironman-coeur-dalene-20170827.csv,55,Heather Glynn,38,IL,USA,01:08:54,06:04:01,04:00:03,00:02:54,00:03:07,11:18:59
ironman-coeur-dalene-20170827.csv,56,Allison Gomez,34,CA,USA,01:12:16,05:47:20,04:09:25,00:03:45,00:03:17,11:16:03
ironman-coeur-dalene-20170827.csv,57,Ivy Kasallis,37,NY,USA,01:11:57,07:03:08,05:29:09,00:04:06,00:05:50,13:54:10
ironman-coeur-dalene-20170827.csv,58,Loreen Mazur,36,AB,CAN,01:16:01,06:11:31,04:32:27,00:04:30,00:04:35,12:09:04
ironman-coeur-dalene-20170827.csv,59,Amanda Singh,37,MD,USA,01:36:06,06:54:20,05:00:32,00:06:51,00:10:43,13:48:32
ironman-coeur-dalene-20170827.csv,60,Linda Tivorsak,37,AZ,USA,01:02:13,06:13:01,04:01:03,00:05:13,00:06:42,11:28:12
ironman-coeur-dalene-20170827.csv,61,Julie Anderson,42,AB,CAN,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,62,Victoria Chia,44,CA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,63,Sarah Day,43,FL,USA,01:42:41,07:20:20,06:20:48,00:06:33,00:11:47,15:42:09
ironman-coeur-dalene-20170827.csv,64,Krista Lapan,39,AZ,USA,01:06:51,06:06:20,04:11:26,00:04:41,00:03:06,11:32:24
ironman-coeur-dalene-20170827.csv,65,Robin Soares,43,CA,USA,01:08:38,06:21:53,04:02:29,00:06:52,00:06:59,11:46:51
ironman-coeur-dalene-20170827.csv,66,Pamela Estill,46,MT,USA,01:17:16,06:01:13,04:31:20,00:04:27,00:04:06,11:58:22
ironman-coeur-dalene-20170827.csv,67,Georgeta Gruescu,44,WA,USA,01:35:36,07:02:45,05:35:03,00:07:25,00:06:03,14:26:52
ironman-coeur-dalene-20170827.csv,68,Diane Haensel,46,WA,USA,01:17:14,07:01:58,05:07:28,00:06:35,00:06:00,13:39:15
ironman-coeur-dalene-20170827.csv,69,Shayna Weitzman,47,AZ,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,70,Cynthia Newton,50,FL,USA,01:13:53,06:47:05,04:59:08,00:07:27,00:04:56,13:12:29
ironman-coeur-dalene-20170827.csv,71,Christine Stotler,52,PA,USA,01:40:28,08:11:34,---,00:11:53,00:13:40,DNF
ironman-coeur-dalene-20170827.csv,72,Ann Williams,53,CT,USA,01:22:50,06:14:51,04:19:06,00:06:03,00:06:33,12:09:23
ironman-coeur-dalene-20170827.csv,73,Dexter Yeats,72,ID,USA,01:40:30,07:57:39,06:58:30,00:10:44,00:09:23,16:56:46
ironman-coeur-dalene-20170827.csv,74,John Brenteson,26,OR,USA,00:56:24,05:29:19,03:19:04,00:03:36,00:03:17,09:51:40
ironman-coeur-dalene-20170827.csv,75,Dmitry Chernov,27,WA,RUS,01:15:44,05:26:18,03:30:26,00:05:21,00:03:33,10:21:22
ironman-coeur-dalene-20170827.csv,76,Tobias Kamlage,29,---,DEU,01:08:38,05:39:19,03:53:59,00:04:25,00:04:11,10:50:32
ironman-coeur-dalene-20170827.csv,77,Kory Gray,31,OR,USA,01:01:16,05:41:10,03:44:55,00:04:04,00:03:14,10:34:39
ironman-coeur-dalene-20170827.csv,78,Lee Albrecht,36,WA,DEU,01:39:10,05:44:16,04:07:44,00:03:59,00:04:17,11:39:26
ironman-coeur-dalene-20170827.csv,79,Bradley Dartez,35,TX,USA,01:09:40,05:24:56,04:14:05,00:06:17,00:04:40,10:59:38
ironman-coeur-dalene-20170827.csv,80,Jeffrey Dwight,39,CA,USA,01:00:10,05:58:25,04:35:36,00:06:46,00:04:36,11:45:33
ironman-coeur-dalene-20170827.csv,81,Ryan Flatt,38,BC,CAN,01:10:52,05:25:37,04:10:58,00:03:36,00:03:32,10:54:35
ironman-coeur-dalene-20170827.csv,82,Russell Gustafson,37,CA,USA,01:12:10,06:45:23,05:13:52,00:20:07,00:09:42,13:41:14
ironman-coeur-dalene-20170827.csv,83,Clayton Hogan,36,CA,USA,01:06:25,05:41:45,04:17:40,00:05:58,00:05:56,11:17:44
ironman-coeur-dalene-20170827.csv,84,Adam Knapp,36,WA,USA,01:04:55,06:02:38,06:07:29,00:06:15,00:06:00,13:27:17
ironman-coeur-dalene-20170827.csv,85,Geoff Lheureux,35,OR,USA,00:58:31,05:26:37,04:59:04,00:03:19,00:05:56,11:33:27
ironman-coeur-dalene-20170827.csv,86,Tom Walters,38,FL,USA,01:25:43,06:07:32,04:46:11,00:05:13,00:06:08,12:30:47
ironman-coeur-dalene-20170827.csv,87,Dan Bronstein,40,---,RUS,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,88,Alan Charness,39,FL,CAN,01:13:58,05:22:27,03:33:17,00:04:24,00:02:49,10:16:55
ironman-coeur-dalene-20170827.csv,89,Brian Cohrs,41,TX,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,90,Justin Davis,41,OR,USA,01:03:32,05:33:40,---,00:03:59,00:03:09,DNF
ironman-coeur-dalene-20170827.csv,91,Travis Jensen,41,UT,USA,01:17:22,06:32:03,05:02:55,00:08:15,00:09:26,13:10:01
ironman-coeur-dalene-20170827.csv,92,Torsten Lippoldt,39,WA,USA,01:17:16,05:37:16,04:01:56,00:05:31,00:04:25,11:06:24
ironman-coeur-dalene-20170827.csv,93,Jan Mazur,42,AB,CAN,01:20:05,06:03:56,04:06:08,00:04:39,00:04:22,11:39:10
ironman-coeur-dalene-20170827.csv,94,Brent Mecham,39,WA,USA,01:21:51,06:09:06,04:10:05,00:05:28,00:03:45,11:50:15
ironman-coeur-dalene-20170827.csv,95,Kevin Oldknow,44,BC,CAN,01:18:32,05:30:58,03:54:05,00:04:31,00:03:40,10:51:46
ironman-coeur-dalene-20170827.csv,96,Michael Gay,45,FL,USA,01:28:04,06:02:48,05:37:40,00:06:10,00:06:53,13:21:35
ironman-coeur-dalene-20170827.csv,97,Andy Lowe,46,OH,USA,01:08:06,05:32:43,03:55:09,00:07:48,00:04:08,10:47:54
ironman-coeur-dalene-20170827.csv,98,J. Christian Mccarter,48,CO,USA,01:33:56,06:29:58,05:45:19,00:08:31,00:07:09,14:04:53
ironman-coeur-dalene-20170827.csv,99,Matt Pahnke,44,IL,USA,01:14:21,05:16:38,03:31:00,00:05:00,00:03:45,10:10:44
ironman-coeur-dalene-20170827.csv,100,Jonah Popoff,47,AB,CAN,01:20:26,05:59:11,04:53:13,00:03:46,00:04:10,12:20:46
ironman-coeur-dalene-20170827.csv,101,Jr Richert,46,AB,CAN,01:03:33,06:24:45,05:02:53,00:05:03,00:06:07,12:42:21
ironman-coeur-dalene-20170827.csv,102,John Ryan,46,NY,USA,01:12:36,05:40:41,03:52:41,00:04:00,00:03:57,10:53:55
ironman-coeur-dalene-20170827.csv,103,Scott Sporer,46,IL,USA,01:41:29,---,---,00:08:33,---,DNF
ironman-coeur-dalene-20170827.csv,104,Dj Deaustria,49,OR,USA,01:11:22,05:51:31,04:21:35,00:04:38,00:04:44,11:33:50
ironman-coeur-dalene-20170827.csv,105,Shea Mcmanus,51,WA,USA,01:13:48,06:33:26,05:42:25,00:05:37,00:07:04,13:42:20
ironman-coeur-dalene-20170827.csv,106,Jim Rooney,50,Alberta,CAN,01:13:07,06:24:57,04:08:22,00:05:14,00:04:13,11:55:53
ironman-coeur-dalene-20170827.csv,107,Matthew Ernst,56,KY,USA,01:04:29,05:58:31,05:01:17,00:03:52,00:04:03,12:12:12
ironman-coeur-dalene-20170827.csv,108,Bob Morris,56,WA,USA,01:07:29,06:09:16,03:59:10,00:05:26,00:04:24,11:25:45
ironman-coeur-dalene-20170827.csv,109,Stuart Porter,58,UT,USA,01:34:48,05:50:40,04:04:40,00:05:25,00:05:00,11:40:33
ironman-coeur-dalene-20170827.csv,110,John Wilson,59,CT,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,111,John Mozena,61,OR,USA,01:14:29,06:32:52,---,00:07:06,00:21:12,DNF
ironman-coeur-dalene-20170827.csv,113,Patrick Decoster,66,IL,USA,01:38:46,07:23:51,---,00:07:43,00:23:47,DNF
ironman-coeur-dalene-20170827.csv,114,Brian Luce,40,ID,USA,01:15:48,06:03:13,05:09:51,00:07:04,00:07:45,12:43:41
ironman-coeur-dalene-20170827.csv,115,Robert Flint,65,OK,USA,01:19:04,07:33:52,06:35:08,00:07:00,00:15:16,15:50:20
ironman-coeur-dalene-20170827.csv,116,Greg Rosin,65,TX,USA,01:17:14,06:19:39,05:58:08,00:05:29,00:04:51,13:45:21
ironman-coeur-dalene-20170827.csv,117,Julianna Lamb,24,CA,USA,01:36:10,06:56:14,05:22:55,00:07:44,00:06:22,14:09:25
ironman-coeur-dalene-20170827.csv,118,Liz Beck,28,CO,USA,01:13:10,06:56:34,05:12:52,00:06:08,00:06:10,13:34:54
ironman-coeur-dalene-20170827.csv,119,Alex Demien,26,WA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,120,Sandra Ebbesen,30,---,DNK,01:16:15,06:24:28,04:44:19,00:04:58,00:04:45,12:34:45
ironman-coeur-dalene-20170827.csv,121,Lisa Newton,30,CA,AUS,00:54:34,06:02:22,04:21:55,00:05:52,00:06:02,11:30:45
ironman-coeur-dalene-20170827.csv,122,Sandi Hogan,36,CA,USA,01:35:17,06:50:52,05:06:08,00:06:20,00:07:46,13:46:23
ironman-coeur-dalene-20170827.csv,124,Andrea L'Heureux,34,OR,USA,01:18:52,06:16:13,04:44:28,00:04:45,00:06:37,12:30:55
ironman-coeur-dalene-20170827.csv,125,Jan Lohman,36,AZ,USA,01:08:01,07:03:11,06:25:52,00:04:47,00:09:33,14:51:24
ironman-coeur-dalene-20170827.csv,126,Becky Matro,35,OR,USA,01:14:28,06:45:58,05:19:35,00:07:13,00:07:15,13:34:29
ironman-coeur-dalene-20170827.csv,127,Caitlin Nicholas,34,CA,USA,01:16:23,06:50:34,05:16:28,00:07:52,00:08:23,13:39:40
ironman-coeur-dalene-20170827.csv,128,Lauren Soutiea,35,MA,USA,01:17:20,07:16:36,04:51:00,00:05:06,00:08:31,13:38:33
ironman-coeur-dalene-20170827.csv,129,Angela Yang,38,CA,USA,01:26:07,06:56:59,05:49:14,00:07:36,00:06:58,14:26:54
ironman-coeur-dalene-20170827.csv,130,Karen Guilmet,39,MA,USA,01:27:40,07:03:23,05:13:14,00:06:54,00:09:19,14:00:30
ironman-coeur-dalene-20170827.csv,131,Michelle King,40,ID,USA,01:14:37,06:27:11,05:11:03,00:06:18,00:06:50,13:05:59
ironman-coeur-dalene-20170827.csv,132,Nomi Martinson,43,WA,USA,01:48:10,07:06:54,06:21:27,00:06:56,00:09:40,15:33:07
ironman-coeur-dalene-20170827.csv,133,Shannon Callies,48,WA,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,134,Veronica Golub,48,CA,USA,01:31:01,07:06:35,04:34:02,00:05:42,00:09:34,13:26:54
ironman-coeur-dalene-20170827.csv,135,Mette Harrison,46,UT,USA,01:19:45,06:52:32,06:14:11,00:05:03,00:07:06,14:38:37
ironman-coeur-dalene-20170827.csv,136,Lana Ledene,45,AB,CAN,01:33:10,07:05:05,06:09:27,00:10:57,00:11:05,15:09:44
ironman-coeur-dalene-20170827.csv,137,Jeanette Mucha,46,CA,USA,01:07:08,06:14:16,05:12:30,00:04:19,00:04:42,12:42:55
ironman-coeur-dalene-20170827.csv,138,Paige Swenson,45,CO,USA,01:10:34,06:58:41,05:59:15,00:08:06,00:09:17,14:25:53
ironman-coeur-dalene-20170827.csv,139,Jennifer Thompson,45,OR,USA,01:22:05,07:11:57,05:26:52,00:05:31,00:08:06,14:14:31
ironman-coeur-dalene-20170827.csv,140,Robin Deruwe,53,WA,USA,01:46:31,08:14:26,05:42:36,00:06:42,00:08:26,15:58:41
ironman-coeur-dalene-20170827.csv,141,Barbara Ludwig,50,UT,USA,01:32:03,06:59:15,06:48:37,00:08:46,00:11:37,15:40:18
ironman-coeur-dalene-20170827.csv,142,Della Irby,55,TX,USA,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,143,Chacha Ramon,56,CA,USA,01:23:58,06:35:36,04:57:57,00:06:01,00:06:09,13:09:41
ironman-coeur-dalene-20170827.csv,144,Nathan Last,27,UT,USA,01:10:34,06:06:50,04:50:03,00:04:04,00:05:20,12:16:51
ironman-coeur-dalene-20170827.csv,145,Robert Crews,31,NC,USA,01:33:25,06:51:49,05:18:03,00:07:24,00:05:30,13:56:11
ironman-coeur-dalene-20170827.csv,146,Peter Jones,32,BC,CAN,01:05:00,05:39:07,03:51:57,00:04:21,00:04:56,10:45:21
ironman-coeur-dalene-20170827.csv,147,Thomas Marin,32,---,FRA,00:55:31,05:17:52,03:16:35,00:03:26,00:02:10,09:35:34
ironman-coeur-dalene-20170827.csv,148,Beau Mcdougall,30,NV,USA,01:16:18,06:04:38,04:04:42,00:04:37,00:04:27,11:34:42
ironman-coeur-dalene-20170827.csv,149,James Pipes,34,TX,USA,01:11:37,05:45:15,03:57:42,00:03:46,00:04:28,11:02:48
ironman-coeur-dalene-20170827.csv,150,Peter Celler,38,BC,CAN,---,---,---,---,---,DNS
ironman-coeur-dalene-20170827.csv,151,Russell Currie,37,GA,USA,01:14:12,06:45:02,04:25:32,00:04:48,00:05:53,12:35:27
ironman-coeur-dalene-20170827.csv,152,Scott Dingus,37,MA,USA,01:14:42,06:40:24,05:19:53,00:05:11,00:08:05,13:28:15
