#ironman-copenhagen-20160821.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-copenhagen-20160821.csv,1,Andreas Raelert,40,---,DEU,00:47:42,04:13:57,03:21:24,00:02:40,00:03:56,08:29:39
ironman-copenhagen-20160821.csv,2,Cameron Brown,44,NZ,NZL,00:50:04,04:30:19,02:52:07,00:02:49,00:01:58,08:17:17
ironman-copenhagen-20160821.csv,3,Jens Petersen-Bach,32,---,DNK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,4,Igor Amorelli,31,Santa Catarina,BRA,00:47:38,04:19:04,03:01:49,00:02:15,00:02:16,08:13:02
ironman-copenhagen-20160821.csv,5,Harry Wiltshire,33,Intl State,GBR,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,6,Will Clarke,31,Leicestershire,GBR,00:47:46,04:24:33,02:43:16,00:02:08,00:01:48,07:59:31
ironman-copenhagen-20160821.csv,7,Antony Costes,26,---,FRA,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,8,Alberto Casadei,30,Intl State,ITA,00:47:47,04:27:41,02:52:22,00:02:38,00:02:25,08:12:53
ironman-copenhagen-20160821.csv,9,Per Bittner,31,---,DEU,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,10,Patrick Nilsson,25,---,SWE,00:47:53,04:14:15,02:43:14,00:02:14,00:01:42,07:49:18
ironman-copenhagen-20160821.csv,11,Michael Louys,30,---,BEL,01:00:48,---,---,00:03:01,---,DNF
ironman-copenhagen-20160821.csv,12,Rasmus Fitzner,28,DK,DNK,00:56:46,---,---,00:02:33,---,DNF
ironman-copenhagen-20160821.csv,13,Esben Hovgaard,33,---,DNK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,14,Markus Liebelt,26,Intl State,DEU,00:54:21,04:27:31,03:15:03,00:02:29,00:03:13,08:42:37
ironman-copenhagen-20160821.csv,15,Freddy Lampret,37,---,ZAF,---,---,---,---,---,DNS

ironman-copenhagen-20160821.csv,17,Peter Kern,41,leinster,IRL,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,18,Vincent Depuiset,40,Intl State,FRA,01:04:54,04:45:18,03:14:26,00:03:06,00:03:13,09:10:57
ironman-copenhagen-20160821.csv,19,Horst Reichel,34,---,DEU,00:49:35,---,---,00:02:31,---,DNF
ironman-copenhagen-20160821.csv,20,Marek Nemcik,40,Intl State,SVK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,21,Michael Smith Larsen,35,DK,DNK,00:57:28,04:32:23,03:09:24,00:03:01,00:01:43,08:43:59
ironman-copenhagen-20160821.csv,22,Remmert Wielanga,38,FR,NLD,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,23,Jan Hron,35,Intl State,CZE,00:59:13,05:06:39,03:22:15,00:03:35,00:02:39,09:34:21
ironman-copenhagen-20160821.csv,24,Lukas Polan,27,Czech Republic,CZE,01:03:18,05:06:08,03:33:10,00:03:01,00:03:27,09:49:04
ironman-copenhagen-20160821.csv,25,Matic Modic,29,Intl State,SVN,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,26,Gudmunt Snilstveit,34,---,NOR,00:54:50,04:25:16,---,00:03:17,00:01:46,DNF
ironman-copenhagen-20160821.csv,27,David Nasvik,37,SE,SWE,00:54:57,04:26:50,03:14:37,00:02:36,00:01:53,08:40:53
ironman-copenhagen-20160821.csv,28,Nis Lind,32,---,DNK,01:00:22,04:42:36,03:55:43,00:02:22,00:02:17,09:43:20
ironman-copenhagen-20160821.csv,29,Dejan Patrcevic,41,Intl State,HRV,00:54:25,04:35:30,---,00:02:50,00:02:00,DNF
ironman-copenhagen-20160821.csv,30,Gilian Oriet,32,---,CHE,00:58:40,04:58:14,---,00:03:31,00:04:08,DNF
ironman-copenhagen-20160821.csv,31,Andreas Borch,33,---,DNK,00:48:20,04:40:15,03:30:25,00:02:16,00:02:18,09:03:34
ironman-copenhagen-20160821.csv,32,Mike Schifferle,43,---,CHE,00:59:23,04:30:02,03:21:51,00:04:36,00:04:25,09:00:17
ironman-copenhagen-20160821.csv,33,Rene Boege Jensen,33,DK,DNK,00:54:52,04:45:28,03:34:03,00:02:24,00:02:43,09:19:30
ironman-copenhagen-20160821.csv,34,Sam Millar Clark,26,BOP,NZL,00:54:48,04:37:23,03:08:42,00:02:44,00:02:01,08:45:38
ironman-copenhagen-20160821.csv,35,Robert Brundish,34,West Sussex,GBR,00:54:27,04:26:47,04:16:15,00:03:11,00:02:17,09:42:57
ironman-copenhagen-20160821.csv,36,Kasper Ougaard,29,---,DNK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,37,Olivier Esser,35,Intl State,BEL,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,38,Michal Jalovecky,39,Intl State,CZE,01:02:19,05:35:15,03:47:29,00:03:11,00:02:20,10:30:34
ironman-copenhagen-20160821.csv,39,Anton Blokin,30,Minskaya oblast\nMinsk,BLR,00:50:05,04:40:27,03:02:45,00:02:22,00:01:49,08:37:28
ironman-copenhagen-20160821.csv,40,Fabio Carvalho,37,Intl State,BRA,00:47:51,04:14:50,02:59:35,00:02:24,00:02:30,08:07:10
ironman-copenhagen-20160821.csv,41,Mike Aigroz,38,CH,CHE,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,42,Mikolaj Luft,31,Intl State,POL,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,43,Patrick Hansen,30,---,DNK,00:54:55,04:54:14,---,00:02:23,00:02:07,DNF






ironman-copenhagen-20160821.csv,50,Christoffer Salmon,24,---,DNK,01:01:05,04:54:51,03:25:59,00:02:39,00:01:55,09:26:29
ironman-copenhagen-20160821.csv,51,Jonathan Lawaetz Rasmussen,---,DEN,DNK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,52,Anders Lawaetz,28,---,DNK,01:03:56,04:44:58,03:36:50,00:03:13,00:02:59,09:31:56
ironman-copenhagen-20160821.csv,53,Gregory Jousset,31,FR,FRA,01:02:12,05:05:55,03:29:43,00:04:14,00:02:45,09:44:49
ironman-copenhagen-20160821.csv,54,Lars Dyrholm Hansen,32,---,DNK,00:57:08,04:35:38,03:03:12,00:02:35,00:02:01,08:40:34
ironman-copenhagen-20160821.csv,55,Mikkel Larsen,33,DK,DNK,01:04:36,04:34:45,03:14:38,00:02:51,00:02:27,08:59:17
ironman-copenhagen-20160821.csv,56,Thomas Berger,33,DE,DEU,01:01:28,04:57:39,04:43:18,00:04:03,00:04:03,10:50:31

ironman-copenhagen-20160821.csv,58,Ulrik Oldenburg,35,DK,DNK,01:10:01,04:55:28,04:25:46,00:11:08,00:04:36,10:46:59
ironman-copenhagen-20160821.csv,59,J\xc3\xb6rg Brassel,37,CH,CHE,01:10:14,04:45:47,03:45:33,00:04:01,00:02:45,09:48:20
ironman-copenhagen-20160821.csv,60,Ole-Morten Munz,37,---,NOR,01:03:33,04:45:14,03:18:18,00:02:50,00:02:06,09:12:01
ironman-copenhagen-20160821.csv,61,Marc Brinkmann,38,---,DEU,00:59:32,04:44:41,03:17:15,00:03:20,00:02:55,09:07:43
ironman-copenhagen-20160821.csv,62,Klaus S\xc3\xb8e Rylov,38,DK,DNK,01:15:06,05:06:17,04:04:59,00:04:34,00:03:06,10:34:02
ironman-copenhagen-20160821.csv,63,Thomas Nielsen,39,DK,DNK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,64,Carsten Demant S\xc3\xb8rensen,39,DK,DNK,00:52:02,05:01:32,03:47:49,00:03:34,00:01:51,09:46:48
ironman-copenhagen-20160821.csv,65,Mattia Bionda,39,CH,CHE,01:09:11,04:58:49,03:48:00,00:04:54,00:05:27,10:06:21
ironman-copenhagen-20160821.csv,66,Carsten Dyhrberg S\xc3\xb8rensen,40,DK,DNK,01:08:04,05:06:57,04:09:26,00:05:30,00:03:05,10:33:02

ironman-copenhagen-20160821.csv,68,Jan-Peter Simons,42,NL,NLD,01:06:35,05:00:53,03:59:39,00:05:50,00:02:33,10:15:30
ironman-copenhagen-20160821.csv,69,John Enevoldsen,44,DK,DNK,00:54:46,04:30:48,03:10:28,00:03:53,00:02:10,08:42:05
ironman-copenhagen-20160821.csv,70,Tomas Pritasil,43,Czech republic,CZE,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,71,Thomas Muhr,45,---,AUT,01:13:46,05:03:25,03:58:18,00:05:27,00:03:25,10:24:21
ironman-copenhagen-20160821.csv,72,Matthias Elskamp,46,DE,DEU,00:56:21,04:51:18,03:42:14,00:04:33,00:03:36,09:38:02
ironman-copenhagen-20160821.csv,73,Jens Gydesen,46,---,DNK,00:56:49,04:47:29,03:38:27,00:02:52,00:03:00,09:28:37
ironman-copenhagen-20160821.csv,74,Hank Mees,45,BE,BEL,01:19:59,04:52:37,04:27:26,00:06:56,00:03:23,10:50:21
ironman-copenhagen-20160821.csv,75,Ortwin Strolz,46,---,AUT,01:12:50,05:15:23,04:57:57,00:03:57,00:03:20,11:33:27
ironman-copenhagen-20160821.csv,76,Morten Kristensen,47,---,DNK,01:20:04,05:50:16,04:32:42,00:07:11,00:03:13,11:53:26
ironman-copenhagen-20160821.csv,77,David Vilanna Riera,48,ES,AND,01:09:29,05:02:59,03:35:49,00:04:11,00:02:38,09:55:06
ironman-copenhagen-20160821.csv,78,Jan Sunesen,48,DK,DNK,01:06:18,04:52:09,---,00:03:53,00:02:46,DNF
ironman-copenhagen-20160821.csv,79,James Mcdiarmid,49,Devon,GBR,01:16:07,05:01:04,04:23:39,00:06:12,00:05:38,10:52:40
ironman-copenhagen-20160821.csv,80,Kris Govers,54,---,BEL,01:11:33,05:05:57,---,00:04:38,00:06:20,DNF
ironman-copenhagen-20160821.csv,81,Juan Carlos Galindo Villegas,55,---,ESP,01:12:31,05:12:37,03:54:19,00:06:42,00:03:52,10:30:01
ironman-copenhagen-20160821.csv,82,Daniela Kolter,34,AT,AUT,01:29:29,06:29:49,06:25:08,00:07:31,00:06:08,14:38:05
ironman-copenhagen-20160821.csv,83,Ulrich Dr.Pr\xc3\xa4tsch,69,---,DEU,01:34:12,06:05:33,04:54:46,00:09:06,00:11:02,12:54:39
ironman-copenhagen-20160821.csv,84,Christian Fennert Madsen,23,DK,DNK,01:04:09,05:04:22,03:42:13,00:04:06,00:02:02,09:56:52
ironman-copenhagen-20160821.csv,85,Nikolaj Jall,23,---,DNK,01:17:50,05:18:15,04:16:11,00:04:13,00:04:27,11:00:56
ironman-copenhagen-20160821.csv,86,Jacob Lemholt,22,DK,DNK,01:01:57,04:55:06,03:30:25,00:03:07,00:02:51,09:33:26
ironman-copenhagen-20160821.csv,87,Chris Linde,22,---,DNK,---,---,---,---,---,DNS
ironman-copenhagen-20160821.csv,88,Stefan Pedersen,---,DK,DNK,01:12:21,04:59:39,04:03:56,00:07:58,00:03:49,10:27:43
ironman-copenhagen-20160821.csv,89,Alexander Karlsson,25,DK,DNK,01:13:50,04:50:23,03:34:31,00:03:12,00:02:15,09:44:11
ironman-copenhagen-20160821.csv,90,Mads Petersen,25,---,DNK,01:07:20,05:05:38,03:57:24,00:03:30,00:01:30,10:15:22
ironman-copenhagen-20160821.csv,91,Jonas Madsen,26,DK,DNK,---,---,---,---,---,DNS
