#File=ironman-cozumel-20121125.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-cozumel-20121125.csv,3,Grigoryev Alexander,---,PSKOV,RUS,00:52:18,04:43:34,03:18:24,00:02:44,00:01:03,08:58:03
ironman-cozumel-20121125.csv,5,Paolina Allan,---,AURORA,CAN,01:13:50,05:13:46,03:28:20,00:02:57,00:01:28,10:00:21
ironman-cozumel-20121125.csv,6,Igor Amorelli,---,BALNEçRIO CAMBORIò,BRA,00:50:19,---,---,02:01:07,---,DNF
ironman-cozumel-20121125.csv,7,Anne Basso,29,NC,FRA,01:04:51,05:21:02,03:17:00,00:04:05,---,09:46:58
ironman-cozumel-20121125.csv,8,Blake Becker,---,FITCHBURG,USA,---,---,---,---,---,DNS
ironman-cozumel-20121125.csv,9,Dirk Bockel,---,MUNSBACH,LUX,00:50:15,04:28:39,04:30:21,00:02:07,00:00:56,09:52:18
ironman-cozumel-20121125.csv,10,Edo Van Der Meer,---,SITTARD,NLD,00:50:15,04:38:10,03:57:59,00:02:11,00:01:01,09:29:36
ironman-cozumel-20121125.csv,11,Sylvain Rota,---,CHAMBƒRY,FRA,00:52:36,04:35:03,03:27:32,00:02:22,00:01:12,08:58:45
ironman-cozumel-20121125.csv,12,Anton Blokhin,---,KHARKOV,UKR,00:52:10,04:35:59,02:55:19,00:01:58,00:01:12,08:26:38
ironman-cozumel-20121125.csv,13,Luke Mckenzie,---,SUNSHINE BEACH,AUS,00:50:19,04:35:12,03:16:58,00:02:19,00:01:09,08:45:57
ironman-cozumel-20121125.csv,14,Amanda Balding,---,SUNSHINE BEACH,AUS,---,---,---,---,---,DNS
ironman-cozumel-20121125.csv,15,Jessie Donavan,---,SHELBURNE,USA,---,---,---,---,---,DNS
ironman-cozumel-20121125.csv,16,Nikolaus Wihlidal,---,WOLFSGRABEN,AUT,---,---,---,---,---,DNS
ironman-cozumel-20121125.csv,17,Logan Franks,---,SYRACUSE,USA,---,---,---,---,---,DNS
ironman-cozumel-20121125.csv,18,Rene Vallant,---,KLAGENFURT,AUT,00:57:38,04:40:47,03:34:40,00:02:33,00:01:49,09:17:27
ironman-cozumel-20121125.csv,19,Leslie Lamacchia,---,HOUSTON,USA,---,---,---,---,---,DNS
ironman-cozumel-20121125.csv,20,Stefan Schmid,---,PEISSENBERG,DEU,00:57:48,04:40:19,02:58:09,00:02:52,00:02:01,08:41:09
ironman-cozumel-20121125.csv,21,Olivier Cardoen,37,---,BEL,00:58:49,04:46:16,03:18:35,00:03:01,00:01:07,09:07:48
ironman-cozumel-20121125.csv,22,Stephanie Jones,---,DULLES,USA,01:20:39,05:11:24,03:14:54,00:03:27,00:01:35,09:51:59
