#ironman-cozumel-20151129.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-cozumel-20151129.csv,1,Michael Weiss,35,---,AUS,00:49:40,04:29:41,03:00:13,00:02:41,00:02:09,08:24:24
ironman-cozumel-20151129.csv,3,Chris Mcdonald,38,CO,AUS,00:49:45,04:50:31,03:04:08,00:02:24,00:01:42,08:48:30
ironman-cozumel-20151129.csv,4,Matt Hanson,31,IA,USA,00:49:49,04:53:05,03:17:09,00:02:18,00:01:35,09:03:56
ironman-cozumel-20151129.csv,5,Trevor Wurtele,37,BC,CAN,00:46:57,04:38:40,---,00:02:24,00:01:24,DNF
ironman-cozumel-20151129.csv,6,Matt Russell,33,FL,USA,00:49:41,04:32:17,02:47:49,00:02:28,00:01:55,08:14:10
ironman-cozumel-20151129.csv,7,Tyler Butterfield,33,CO,BMU,00:43:59,04:58:58,03:13:40,00:02:42,00:06:16,09:05:35
ironman-cozumel-20151129.csv,8,Justin Daerr,35,CO,USA,00:47:03,---,---,00:02:37,---,DNF
ironman-cozumel-20151129.csv,9,Trevor Delsaut,31,---,FRA,00:47:00,---,---,00:02:34,---,DNF
ironman-cozumel-20151129.csv,11,Barrett Brandon,34,TX,USA,00:43:18,04:44:16,03:02:47,00:02:21,00:02:29,08:35:11
ironman-cozumel-20151129.csv,12,Vinicius Canhedo,32,FL,BRA,---,---,---,---,---,DNS
ironman-cozumel-20151129.csv,13,Eduardo Chong,28,Oaxaca,MEX,00:56:17,05:21:31,03:38:17,00:02:23,00:03:24,10:01:52
ironman-cozumel-20151129.csv,16,Matthew Curbeau,30,MA,USA,00:49:47,05:26:19,03:38:27,00:02:47,00:02:41,10:00:01
ironman-cozumel-20151129.csv,17,Rod De Kanel,35,---,FRA,00:46:53,05:10:06,---,00:02:50,---,DNF
ironman-cozumel-20151129.csv,19,Alessandro Degasperi,35,Italy,ITA,00:46:56,---,---,00:02:31,---,DNF
ironman-cozumel-20151129.csv,24,Oliver Gonzalez,38,Intl State,MEX,00:46:53,05:17:39,03:12:30,00:02:54,00:01:50,09:21:46
ironman-cozumel-20151129.csv,25,Nicolas Hemet,38,---,FRA,00:49:53,05:09:12,03:14:58,00:03:01,00:01:20,09:18:24
ironman-cozumel-20151129.csv,26,Tyler Jordan,28,AZ,USA,00:53:25,05:21:53,05:31:55,00:03:22,00:03:39,11:54:14
ironman-cozumel-20151129.csv,27,Peter Kotland,44,SC,CZE,00:56:26,05:10:46,03:25:22,00:03:10,00:01:43,09:37:27
ironman-cozumel-20151129.csv,28,Frederic Limousin,35,FR,---,00:49:38,05:12:14,03:28:18,00:02:42,00:02:58,09:35:50
ironman-cozumel-20151129.csv,30,Andrey Lyatskiy,29,---,RUS,00:46:51,05:04:34,03:02:23,00:02:25,00:02:34,08:58:47
ironman-cozumel-20151129.csv,35,Patrick Nilsson,25,---,SWE,00:43:57,04:31:08,---,00:02:25,00:01:16,DNF
ironman-cozumel-20151129.csv,36,Sergio Quezada Ruiz,48,JALISCO,MEX,00:48:56,05:10:28,03:56:03,00:03:15,00:01:48,10:00:30
ironman-cozumel-20151129.csv,38,Vincent Riess,30,AT,AUT,00:49:41,---,---,00:02:30,---,DNF
ironman-cozumel-20151129.csv,39,Ivan Risti,36,MI,ITA,00:43:52,---,---,00:02:20,---,DNF
ironman-cozumel-20151129.csv,41,Stefan Schmid,29,---,DEU,00:47:02,04:26:55,02:53:44,00:02:54,00:01:52,08:12:27
ironman-cozumel-20151129.csv,42,Jonathan Shearon,36,AZ,USA,00:49:42,04:42:24,03:14:25,00:02:32,00:02:18,08:51:21
ironman-cozumel-20151129.csv,43,Raul Tejada,27,GTM,GTM,00:48:56,04:50:39,02:56:12,00:02:01,00:01:26,08:39:14
ironman-cozumel-20151129.csv,44,Jorge Vazquez,35,Intl State,MEX,00:49:42,05:10:13,03:49:16,00:02:20,00:03:14,09:54:45
ironman-cozumel-20151129.csv,45,Rich Wygand,---,FL,USA,00:58:00,---,---,00:03:47,---,DNF
ironman-cozumel-20151129.csv,47,Gilian Oriet,---,---,CHE,00:53:23,---,---,00:04:10,---,DNF
ironman-cozumel-20151129.csv,55,Leanda Cave,38,FL,---,00:47:21,05:05:22,03:16:17,00:02:53,00:01:36,09:13:29
ironman-cozumel-20151129.csv,57,Heather Wurtele,37,BC,CAN,00:48:58,05:04:08,03:23:58,00:02:43,00:02:05,09:21:52
ironman-cozumel-20151129.csv,59,Corinne Abraham,38,Intl State,---,00:53:49,05:01:15,03:07:38,00:02:41,00:01:17,09:06:40
ironman-cozumel-20151129.csv,60,Camilla Pedersen,---,---,---,00:48:50,05:06:25,03:14:14,00:02:51,00:01:48,09:14:08
ironman-cozumel-20151129.csv,64,Celine Schaerer,26,---,CHE,00:47:18,---,---,00:02:41,---,DNF
ironman-cozumel-20151129.csv,65,Emma-Kate Lidbury,36,CA,---,00:48:52,05:02:43,03:32:55,00:03:01,00:01:47,09:29:18
ironman-cozumel-20151129.csv,66,Danielle Mack,29,CO,USA,00:53:54,05:18:28,---,00:03:03,00:01:16,DNF
ironman-cozumel-20151129.csv,67,Dede Griesbauer,45,CO,USA,00:48:50,05:19:44,---,00:03:03,---,DNF
ironman-cozumel-20151129.csv,68,Christine Avelar,34,WA,USA,00:52:01,05:31:24,04:03:33,00:04:01,00:04:16,10:35:15
ironman-cozumel-20151129.csv,69,Anne Basso,32,FR,---,00:53:44,05:24:49,03:49:07,00:02:51,00:02:38,10:13:09
ironman-cozumel-20151129.csv,70,Brooke Brown,36,ON,CAN,00:56:49,05:19:40,03:21:18,00:02:55,00:02:52,09:43:34
ironman-cozumel-20151129.csv,72,Caroline Gregory,37,CA,USA,00:52:13,05:33:53,03:27:24,00:02:58,00:01:23,09:57:51
ironman-cozumel-20151129.csv,76,Marina Jujevic,35,VIC,AUS,01:02:32,05:25:40,03:31:57,00:03:14,00:01:50,10:05:13
ironman-cozumel-20151129.csv,78,Caroline Lehrieder,27,DE,DEU,00:48:57,05:13:45,03:23:15,00:02:44,00:01:04,09:29:45
ironman-cozumel-20151129.csv,79,Maria Lopez,33,FL,USA,01:08:31,05:54:07,04:14:54,00:05:24,00:02:49,11:25:45
ironman-cozumel-20151129.csv,81,Karina Ottosen,35,---,---,00:53:47,05:13:33,03:21:22,00:02:50,00:01:34,09:33:06
ironman-cozumel-20151129.csv,84,Maggie Rusch,28,NC,USA,00:58:39,05:29:29,---,00:03:04,00:01:25,DNF
ironman-cozumel-20151129.csv,85,Erin Spitler,37,MT,USA,01:01:33,05:11:26,03:19:14,00:02:24,00:01:09,09:35:46
ironman-cozumel-20151129.csv,86,Karen Thibodeau,37,BC,CAN,00:48:54,05:30:41,03:38:50,00:02:51,00:01:49,10:03:05
ironman-cozumel-20151129.csv,87,Amanda Wendorff,36,IL,USA,00:53:56,05:55:59,---,00:03:31,00:02:25,DNF
ironman-cozumel-20151129.csv,91,Melissa Phillips,---,FL,USA,01:17:55,07:58:11,06:31:06,00:12:03,00:10:56,16:10:11
ironman-cozumel-20151129.csv,92,Nelly Becerra,51,Intl State,MEX,01:03:36,06:32:46,04:01:29,00:03:09,00:02:47,11:43:47
ironman-cozumel-20151129.csv,93,Garrett D'Alessandro,58,NJ,USA,01:14:24,05:54:40,03:57:31,00:05:57,00:05:00,11:17:32
ironman-cozumel-20151129.csv,94,Michele Potter,50,MD,USA,01:15:49,06:58:14,04:59:52,00:06:23,00:14:38,13:34:56
ironman-cozumel-20151129.csv,98,Luis Humberto Gomez Terrazas,46,DF,---,01:40:26,06:34:17,06:30:17,00:09:57,00:10:39,15:05:36
ironman-cozumel-20151129.csv,99,Peggy Mcdowell-Cramer,75,---,USA,01:20:20,07:52:10,07:26:22,00:06:02,00:02:56,16:47:50
ironman-cozumel-20151129.csv,101,Gillian Blake,48,NY,GBR,00:57:51,06:38:24,04:10:37,00:05:11,00:03:31,11:55:34
ironman-cozumel-20151129.csv,102,Dana Bullard,38,UT,USA,01:07:17,06:01:14,03:37:37,00:05:01,00:02:15,10:53:24
ironman-cozumel-20151129.csv,103,Pierangela Dezerega,29,---,CHL,01:01:03,05:38:22,03:36:44,00:04:34,00:02:23,10:23:06
ironman-cozumel-20151129.csv,104,Shawna Glazier,33,---,USA,01:08:38,05:30:39,04:00:59,00:03:08,00:01:25,10:44:49
ironman-cozumel-20151129.csv,106,patty infusino,50,AB,CAN,01:15:15,06:45:11,04:59:08,00:06:29,00:07:30,13:13:33
ironman-cozumel-20151129.csv,107,Missy Lestrange,64,---,USA,01:01:58,06:13:32,05:25:22,00:05:09,00:05:38,12:51:39
ironman-cozumel-20151129.csv,108,Courtney Livaudais,33,TX,USA,00:58:26,---,---,00:05:22,---,DNF
ironman-cozumel-20151129.csv,109,Elena Massa-Musiak,34,MA,USA,01:01:13,06:02:43,04:32:39,00:06:15,00:02:15,11:45:05
ironman-cozumel-20151129.csv,110,Elizabeth Model,57,Other,CAN,01:18:12,07:05:04,06:05:41,00:07:11,00:06:17,14:42:25
ironman-cozumel-20151129.csv,111,Becky Paige,45,---,USA,00:54:24,05:48:25,03:38:59,00:03:47,00:02:20,10:27:55
ironman-cozumel-20151129.csv,112,Kristine Plant,50,ON,CAN,01:06:13,06:37:02,04:41:58,00:06:36,00:03:51,12:35:40
ironman-cozumel-20151129.csv,113,Liza Rachetto,42,---,USA,00:54:36,05:35:40,03:33:02,00:03:32,00:02:10,10:09:00
ironman-cozumel-20151129.csv,115,Fiona Siemelink,50,TX,ZAF,01:23:33,06:06:05,04:15:51,00:05:42,00:05:14,11:56:25
ironman-cozumel-20151129.csv,116,James Stephenson,46,NY,USA,00:54:15,05:35:47,04:21:31,00:05:46,00:03:53,11:01:12
ironman-cozumel-20151129.csv,117,Leslie Zavala,36,MEXICO,MEX,01:05:58,05:52:58,04:26:11,00:04:09,00:01:48,11:31:04
ironman-cozumel-20151129.csv,118,Michael Baba,51,MD,USA,01:23:08,06:24:35,---,00:06:39,00:07:27,DNF
ironman-cozumel-20151129.csv,119,Patrick Bourdillon,70,---,USA,01:18:50,06:33:43,05:45:46,00:09:22,00:06:52,13:54:33
ironman-cozumel-20151129.csv,120,Patrick Cote,47,QC,CAN,01:17:27,05:49:44,03:36:36,00:06:36,00:03:08,10:53:31
ironman-cozumel-20151129.csv,121,Jose De La Garza Elizondo,37,TX,MEX,01:09:48,05:48:08,04:25:53,00:06:40,00:02:48,11:33:17
ironman-cozumel-20151129.csv,122,Cassio Debiasi,37,CA,BRA,00:57:14,05:18:34,03:19:51,00:03:39,00:01:19,09:40:37
