#ironman-florida-20021109.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-florida-20021109.csv,1,Jamie Cleveland,44,TX,USA,00:53:38,06:06:08,04:07:33,00:02:02,00:32:29,11:41:50
ironman-florida-20021109.csv,2,Chris P. Legh,---,CA,USA,00:54:58,04:49:08,02:53:14,00:02:06,00:02:06,08:41:32
ironman-florida-20021109.csv,3,Peter Kotland,---,SC,USA,01:00:50,05:00:50,03:00:19,00:03:35,00:02:01,09:07:35
ironman-florida-20021109.csv,4,Mitch Fraser,---,ON,CAN,01:22:30,05:58:23,05:18:27,00:05:57,00:07:27,12:52:44
ironman-florida-20021109.csv,5,Ben Debray,---,ON,CAN,00:57:23,04:55:09,03:59:46,00:02:50,00:02:27,09:57:35
ironman-florida-20021109.csv,6,Ain-Alar Juhanson,---,---,EST,00:59:11,04:45:29,03:08:27,00:03:01,00:04:45,09:00:53
ironman-florida-20021109.csv,7,Sebastian Hauer,40,---,DEU,01:03:12,05:02:29,03:16:50,00:02:41,00:01:40,09:26:52
ironman-florida-20021109.csv,8,Andreas Niedrig,---,---,DEU,00:51:34,04:40:16,02:56:31,00:02:05,00:01:40,08:32:06
ironman-florida-20021109.csv,9,Rutger Beke,---,---,BEL,00:54:44,04:41:45,02:54:03,00:02:27,00:02:07,08:35:06
ironman-florida-20021109.csv,10,Ronnie Schildknecht,36,---,CHE,00:59:50,04:44:13,03:06:12,00:01:54,00:01:50,08:53:59
ironman-florida-20021109.csv,11,Tim Sheeper,53,CA,USA,00:56:01,04:59:20,03:20:01,00:02:36,00:02:42,09:20:40
ironman-florida-20021109.csv,12,R.L. Smith,51,CO,USA,01:20:15,06:02:12,06:29:05,00:06:04,00:04:49,14:02:25
ironman-florida-20021109.csv,13,Kevin F. Cutjar,---,BC,CAN,01:00:47,04:54:08,03:10:24,00:02:04,00:03:26,09:10:49
ironman-florida-20021109.csv,14,Martin Mayer,---,Aust,AUT,00:58:38,04:59:50,03:24:49,00:02:22,00:01:59,09:27:38
ironman-florida-20021109.csv,15,Rodrigo Bascunan,---,VA,USA,01:01:50,05:08:29,04:28:47,00:03:14,00:02:20,10:44:40
ironman-florida-20021109.csv,16,Scott Duprex Duprex,48,NJ,USA,00:57:14,05:17:06,---,00:03:40,00:03:07,DNF
ironman-florida-20021109.csv,17,Tom Evans,---,BC,CAN,---,04:53:32,03:15:06,00:52:16,00:01:54,09:02:48
ironman-florida-20021109.csv,18,Shawn M. Reeder,---,ON,CAN,01:04:41,05:23:59,---,00:02:52,00:04:26,DNF
ironman-florida-20021109.csv,19,Glen Gore,---,---,ZAF,00:54:02,---,---,00:02:41,---,DNF
ironman-florida-20021109.csv,20,Henry J. Sacre,---,CA,USA,01:02:05,05:08:13,---,00:03:58,00:12:39,DNF
