#File=ironman-florida-20041106.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-florida-20041106.csv,1,Bella Comerford,---,CO,USA,01:03:41,05:15:54,03:10:39,00:02:50,00:01:50,09:34:54
ironman-florida-20041106.csv,2,Lynley Allison,---,---,NZL,00:54:38,05:20:47,04:02:27,00:02:54,00:01:38,10:22:24
ironman-florida-20041106.csv,3,Andrea Fisher,---,TX,USA,00:49:44,05:11:31,03:36:58,00:02:56,00:02:28,09:43:37
ironman-florida-20041106.csv,4,Marie Danais,---,QC,CAN,00:53:44,05:24:08,03:40:45,00:02:43,00:02:58,10:04:18
ironman-florida-20041106.csv,5,Katia  Farisa Ruschel,---,PR,BRA,00:54:30,05:36:30,---,00:02:55,00:02:26,DNF
ironman-florida-20041106.csv,6,Wendy Ingraham,---,CA,USA,---,---,---,---,---,DNS
ironman-florida-20041106.csv,7,Kristina Hentschel,31,CA,USA,01:01:23,05:47:40,04:18:59,00:05:13,00:03:56,11:17:11
ironman-florida-20041106.csv,8,Natasha Filliol,---,BC,CAN,00:54:30,05:23:38,03:11:07,00:04:24,00:03:45,09:37:24
ironman-florida-20041106.csv,9,Rita Correia,---,RJ,BRA,01:01:14,05:40:18,03:42:16,00:02:53,00:02:04,10:28:45
ironman-florida-20041106.csv,10,Conny Dauben,---,---,DEU,01:09:26,05:19:39,03:49:02,00:02:43,00:02:09,10:22:59
ironman-florida-20041106.csv,11,Heidi Jesberger,---,---,DEU,00:57:11,05:21:10,03:39:32,00:02:32,00:02:21,10:02:46
ironman-florida-20041106.csv,12,Charlene Waldner,---,BC,CAN,01:03:47,05:15:54,03:24:25,00:03:46,00:02:43,09:50:35
ironman-florida-20041106.csv,13,Barbara Buenahora,---,BA,ARG,01:01:22,05:11:19,03:17:55,00:03:33,00:02:18,09:36:27
ironman-florida-20041106.csv,14,Michellie Jones,35,---,USA,00:49:48,05:04:27,03:28:47,00:02:34,00:03:18,09:28:54
ironman-florida-20041106.csv,15,Hillary Biscay,---,CA,USA,00:52:28,05:32:18,03:37:28,00:02:58,00:03:16,10:08:28
ironman-florida-20041106.csv,16,Patrick Lafontaine,---,NY,USA,01:29:37,06:30:10,04:39:55,00:13:16,00:13:41,13:06:39
ironman-florida-20041106.csv,17,Tamara Kozulina,---,---,GBR,---,---,---,---,---,DNS
ironman-florida-20041106.csv,18,Lara Shaw,32,SC,USA,01:05:36,05:41:55,---,00:03:11,00:23:40,DNF
ironman-florida-20041106.csv,19,Natalie Wood,---,ACT,AUS,01:03:45,05:33:39,03:50:47,00:03:15,00:02:04,10:33:30
ironman-florida-20041106.csv,20,Alison Hayden,32,FL,USA,00:54:31,05:21:03,04:03:47,00:02:47,00:02:12,10:24:20
ironman-florida-20041106.csv,21,Deanna Frank,34,AL,USA,01:03:54,05:21:48,03:38:21,00:03:49,00:01:56,10:09:48
ironman-florida-20041106.csv,22,Jacqueline Uebelchart,---,---,CHE,01:08:55,05:21:58,03:49:55,00:03:25,00:02:52,10:27:05
ironman-florida-20041106.csv,23,Heather Haviland,31,WI,USA,01:09:09,05:09:13,03:24:17,00:03:44,00:03:01,09:49:24
ironman-florida-20041106.csv,24,Monika Stadlmann,26,---,AUT,00:58:56,05:50:43,03:36:00,00:02:54,00:03:05,10:31:38
ironman-florida-20041106.csv,26,Peter Kotland,---,SC,USA,00:55:21,05:01:37,03:12:22,00:03:42,00:02:40,09:15:42
ironman-florida-20041106.csv,31,Simon Lessing,33,CO,USA,---,---,---,---,---,DNS
