#File=ironman-frankfurt-20170709.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-frankfurt-20170709.csv,1,Sebastian Kienle,33,---,DEU,00:50:11,04:02:22,02:45:09,00:02:55,00:01:05,07:41:42
ironman-frankfurt-20170709.csv,2,Andi Boecherer,34,---,DEU,00:47:21,04:04:56,02:49:48,00:03:02,00:01:00,07:46:07
ironman-frankfurt-20170709.csv,3,Patrick Lange,30,---,DEU,00:47:12,04:11:31,02:49:39,00:02:33,00:01:11,07:52:06
ironman-frankfurt-20170709.csv,4,Andreas Raelert,40,---,DEU,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,5,Cyril Viennot,35,---,FRA,00:51:53,04:23:29,02:59:13,00:03:28,00:01:11,08:19:14
ironman-frankfurt-20170709.csv,6,Bas Diederen,37,---,NLD,00:48:59,04:39:39,03:01:32,00:03:11,00:01:32,08:34:53
ironman-frankfurt-20170709.csv,7,Michael Raelert,36,---,DEU,00:47:31,---,---,00:02:58,---,DNF
ironman-frankfurt-20170709.csv,8,Horst Reichel,35,---,DEU,00:49:32,---,---,00:02:56,---,DNF
ironman-frankfurt-20170709.csv,9,Mike Schifferle,43,---,CHE,01:01:59,04:33:26,03:15:24,00:05:40,00:03:21,08:59:50
ironman-frankfurt-20170709.csv,10,Giulio Molinari,29,Intl State,ITA,00:48:56,04:16:08,03:03:22,00:03:06,00:01:21,08:12:53
ironman-frankfurt-20170709.csv,11,Patrik Nilsson,25,---,SWE,00:47:15,04:17:40,02:40:58,00:03:16,00:01:07,07:50:16
ironman-frankfurt-20170709.csv,12,Josh Amberger,28,QLD,AUS,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,13,Marko Albert,38,Intl State,EST,00:47:08,04:17:59,02:55:06,00:03:00,00:00:55,08:04:08
ironman-frankfurt-20170709.csv,14,Peru Alfaro,31,---,ESP,00:47:13,04:19:38,---,00:03:21,00:01:28,DNF
ironman-frankfurt-20170709.csv,15,Michael Patrick Alonso Mckernan,34,---,ESP,00:57:04,04:24:44,03:13:42,00:03:27,00:01:59,08:40:56
ironman-frankfurt-20170709.csv,16,Clemente Alonso-Mckernan,39,---,ESP,00:47:41,---,---,00:03:52,---,DNF
ironman-frankfurt-20170709.csv,17,Lucas Amirault,22,---,FRA,00:51:50,04:38:27,03:16:04,00:03:43,00:01:57,08:52:01
ironman-frankfurt-20170709.csv,18,Nick Baldwin,29,WA,SYC,00:52:44,---,---,00:03:39,---,DNF
ironman-frankfurt-20170709.csv,19,Rob Bobbaers,30,---,BEL,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,20,Mark Bowstead,27,AUK,NZL,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,21,Ivan Caceres Lopez,30,---,ESP,00:53:42,04:51:06,03:03:18,00:03:47,00:01:23,08:53:16
ironman-frankfurt-20170709.csv,22,Alberto Casadei,31,Intl State,ITA,00:48:58,04:59:13,---,00:03:05,---,DNF
ironman-frankfurt-20170709.csv,23,Bekim Christensen,43,---,DNK,01:05:15,04:26:07,---,00:04:38,00:01:27,DNF
ironman-frankfurt-20170709.csv,24,Andres Darricau,41,Intl State,ARG,00:54:39,04:47:41,03:12:59,00:04:04,00:03:10,09:02:33
ironman-frankfurt-20170709.csv,25,Roman Deisenhofer,32,---,---,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,26,Trevor Delsaut,32,---,FRA,00:54:47,---,---,00:03:31,---,DNF
ironman-frankfurt-20170709.csv,27,Sean Donnelly,29,---,POL,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,28,Olivier Esser,36,---,BEL,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,29,Philip Graves,28,Intl State,GBR,00:48:57,04:16:13,03:34:40,00:03:04,00:01:53,08:44:47
ironman-frankfurt-20170709.csv,30,Esben Hovgaard,34,---,DNK,00:54:42,04:27:12,02:59:47,00:03:28,00:01:11,08:26:20
ironman-frankfurt-20170709.csv,31,Michal Ivanco,39,Slovakia,SVK,01:27:59,05:01:47,03:43:36,00:05:35,00:02:33,10:21:30
ironman-frankfurt-20170709.csv,32,Alfonso Jiménez Hernández,35,---,ESP,00:54:42,05:01:31,04:04:33,00:04:46,00:02:26,10:07:58
ironman-frankfurt-20170709.csv,33,Philipp Koutny,34,---,CHE,00:50:10,04:15:09,03:07:09,00:02:57,00:01:18,08:16:43
ironman-frankfurt-20170709.csv,34,Frédéric Limousin,36,---,FRA,00:54:39,04:38:52,03:13:54,00:03:29,00:01:54,08:52:48
ironman-frankfurt-20170709.csv,35,Andreas Linden,27,---,SWE,00:56:58,04:38:26,---,00:04:17,---,DNF
ironman-frankfurt-20170709.csv,36,Carlos Lopez Diaz,34,---,ESP,00:47:10,04:35:16,02:59:27,00:02:57,00:02:04,08:26:54
ironman-frankfurt-20170709.csv,37,Charles Martin,25,---,FRA,00:53:16,04:57:28,04:15:10,00:04:19,00:02:06,10:12:19
ironman-frankfurt-20170709.csv,38,Matic Modic,30,Intl State,SVN,00:56:55,04:28:07,02:53:17,00:03:24,00:01:13,08:22:56
ironman-frankfurt-20170709.csv,39,Marek Nemcik,41,Intl State,SVK,01:11:22,---,---,00:04:47,---,DNF
ironman-frankfurt-20170709.csv,40,Ritchie Nicholls,29,Derry,GBR,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,41,Yuri Novikau,39,"Minskaya Oblast
Minsk",BLR,01:03:34,05:32:12,---,00:04:41,00:05:05,DNF
ironman-frankfurt-20170709.csv,42,Lukas Polan,28,Czech Republic,CZE,01:02:28,04:48:51,03:12:46,00:03:37,00:02:22,09:10:04
ironman-frankfurt-20170709.csv,43,Ivan Risti,37,Intl State,ITA,00:47:17,04:40:12,03:05:19,00:03:01,00:01:50,08:37:39
ironman-frankfurt-20170709.csv,44,Michael Ruenz,30,---,DEU,00:57:09,---,---,00:03:47,---,DNF
ironman-frankfurt-20170709.csv,45,Daniil Sapunov,35,Kiev,UKR,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,46,Frédéric Schaffner,37,---,FRA,01:00:31,---,---,00:03:33,---,DNF
ironman-frankfurt-20170709.csv,47,Evert Scheltinga,29,---,NLD,00:50:03,04:15:20,02:55:46,00:02:47,00:01:17,08:05:13
ironman-frankfurt-20170709.csv,48,Youri Severin,33,---,NLD,00:50:07,04:41:02,03:05:43,00:02:56,00:01:20,08:41:08
ironman-frankfurt-20170709.csv,49,Yu Shinozaki,33,Intl State,JPN,00:56:59,04:52:02,---,00:03:14,00:03:03,DNF
ironman-frankfurt-20170709.csv,50,Ohad Sinai,26,Intl State,ISR,01:02:36,04:51:01,03:58:46,00:03:34,00:01:26,09:57:23
ironman-frankfurt-20170709.csv,51,Erik-Simon Strijk,31,---,NLD,00:54:43,04:28:07,03:02:02,00:03:08,00:01:35,08:29:35
ironman-frankfurt-20170709.csv,52,Kevin Thewes,26,---,DEU,01:11:13,05:13:44,04:21:07,00:04:24,00:01:29,10:51:57
ironman-frankfurt-20170709.csv,53,Xavier Torrades,33,---,ESP,00:50:11,04:40:46,03:37:34,00:03:06,00:01:25,09:13:02
ironman-frankfurt-20170709.csv,54,Felipe Van De Wyngard,36,---,CHL,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,55,Thiago Vinhal,33,Intl State,BRA,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,56,Lukasz Wojt,35,---,DEU,00:45:44,04:26:41,03:11:28,00:02:56,00:01:55,08:28:44
ironman-frankfurt-20170709.csv,57,Ivan Tutukin,31,---,RUS,00:48:58,04:15:40,02:42:39,00:03:34,00:01:05,07:51:56
ironman-frankfurt-20170709.csv,58,Peter Seidel,27,---,DEU,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,59,James Cunnama,34,---,ZAF,00:48:54,04:09:24,02:48:48,00:02:59,00:00:57,07:51:02
ironman-frankfurt-20170709.csv,60,Markus Fachbach,34,---,DEU,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,61,David Jilek,29,Intl State,CZE,00:58:45,04:43:24,03:32:55,00:03:31,00:02:08,09:20:43
ironman-frankfurt-20170709.csv,62,Alfred Rahm,41,---,DEU,01:03:00,05:03:13,03:34:35,00:04:37,00:05:58,09:51:23
ironman-frankfurt-20170709.csv,63,Sylvain Sudrie,35,---,FRA,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,64,Cameron Wurf,33,TAS,AUS,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,65,Jeff Symonds,31,BC,CAN,00:50:13,04:38:59,---,00:02:47,00:01:39,DNF
ironman-frankfurt-20170709.csv,101,Anja Beranek,32,---,DEU,00:53:10,04:49:16,03:40:48,00:03:07,00:01:22,09:27:43
ironman-frankfurt-20170709.csv,102,Natascha Schmitt,31,---,DEU,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,103,Sarah Crowley,34,QLD,AUS,00:56:17,04:40:32,03:05:12,00:04:02,00:01:55,08:47:58
ironman-frankfurt-20170709.csv,104,Sonja Tajsich,42,---,DEU,01:05:31,04:49:48,03:07:05,00:03:41,00:01:46,09:07:51
ironman-frankfurt-20170709.csv,105,Corinne Abraham,39,Intl State,GBR,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,106,Rachel Joyce,39,CO,GBR,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,107,Angela Naeth,35,BC,CAN,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,108,Franziska Bossow,29,---,DEU,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,109,Camille Deligny,26,---,FRA,---,---,---,---,---,DNS
ironman-frankfurt-20170709.csv,110,Annabel Diawuoh,27,---,DEU,01:28:51,05:30:10,04:16:13,00:05:34,00:01:28,11:22:16
ironman-frankfurt-20170709.csv,111,Dimity Lee Duke,33,WA,AUS,00:59:48,04:48:56,03:14:36,00:04:19,00:01:15,09:08:54
