#File=ironman-japan-20140824.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-japan-20140824.csv,1,Wiltshire Harry,---,United Kingdom,GBR,00:49:23,05:04:26,03:08:17,00:02:54,00:01:34,09:06:34
ironman-japan-20140824.csv,2,Beardall Timothy,---,Australia,AUS,01:05:32,04:40:07,03:46:57,00:04:05,00:01:51,09:38:32
ironman-japan-20140824.csv,3,Michael Rünz,27,---,---,00:54:22,05:01:23,02:52:36,00:03:05,00:02:14,08:53:40
ironman-japan-20140824.csv,5,Kaito Tohara,---,Kanagawa,JPN,00:55:45,05:12:42,03:03:16,00:03:17,00:01:48,09:16:48
ironman-japan-20140824.csv,6,Yu Shinozaki,30,Intl State,JPN,00:56:54,04:57:09,03:17:04,00:02:36,00:01:52,09:15:35
ironman-japan-20140824.csv,7,Fuller Brian,---,Australia,AUS,00:53:23,05:01:49,03:12:55,00:03:42,00:02:00,09:13:49
ironman-japan-20140824.csv,8,Daiki Masuda,34,KANAGAWA,JPN,00:54:16,---,---,00:03:00,---,DNF
ironman-japan-20140824.csv,9,Kuniaki Takahama,35,福岡県,JPN,00:49:20,05:32:30,02:56:32,00:03:41,00:02:49,09:24:52
ironman-japan-20140824.csv,10,Lassonde Cedric,---,France,FRA,00:54:24,05:01:00,03:06:40,00:03:27,00:02:13,09:07:44
ironman-japan-20140824.csv,11,Tadashi Iida,---,---,JPN,00:56:52,05:42:56,03:19:53,00:03:21,00:02:47,10:05:49
ironman-japan-20140824.csv,12,Woods Jon,---,Australia,NZL,00:56:55,05:30:39,03:41:35,00:03:24,00:02:19,10:14:52
ironman-japan-20140824.csv,13,Masayuki Matsumaru,---,Ibaraki,JPN,00:55:48,05:23:51,03:38:14,00:03:49,00:02:28,10:04:10
ironman-japan-20140824.csv,14,Jeauland Jose,---,United States,AUS,00:54:18,05:22:03,03:34:37,00:03:06,00:04:21,09:58:25
ironman-japan-20140824.csv,17,Byunghoon Park,43,"Korea, Republic of",KOR,---,---,---,---,---,DNS
ironman-japan-20140824.csv,21,Keiko Tanaka,29,Intl State,JPN,00:56:42,05:44:39,03:22:43,00:03:14,00:02:06,10:09:24
ironman-japan-20140824.csv,22,Mami Ishii,25,OSA,JPN,01:04:35,---,---,00:03:13,---,DNF
ironman-japan-20140824.csv,23,Emi Sakai,34,Tokyo,JPN,01:06:50,05:43:56,03:42:06,00:03:38,00:03:12,10:39:42
ironman-japan-20140824.csv,24,Yoriko Obayashi,33,---,JPN,00:59:58,06:31:54,03:26:28,00:04:39,00:03:22,11:06:21
ironman-japan-20140824.csv,25,Lamacchia Leslie,---,United States,USA,01:05:37,06:23:19,04:40:33,00:03:53,00:03:12,12:16:34
ironman-japan-20140824.csv,26,Fleming Jessica,---,Australia,AUS,01:00:19,05:33:54,03:26:32,00:04:09,00:01:55,10:06:49
ironman-japan-20140824.csv,27,Megumi Shigaki,40,---,JPN,01:01:51,---,---,00:03:38,---,DNF
ironman-japan-20140824.csv,28,Hiromi Matsumaru,41,---,JPN,01:07:25,06:00:08,03:41:32,00:03:07,00:02:17,10:54:29
ironman-japan-20140824.csv,29,Shiao-Yu Li,37,---,TWN,01:04:34,05:31:05,03:17:05,00:03:58,00:01:48,09:58:30
ironman-japan-20140824.csv,36,Takuro Oyama,---,Saitama,JPN,01:17:10,07:31:32,06:57:17,00:15:10,00:12:56,16:14:05
ironman-japan-20140824.csv,37,Yuki Sorimachi,---,Kanagawa,JPN,---,---,---,---,---,DNS
ironman-japan-20140824.csv,38,Shunsuke Sasaki,---,Tokyo,JPN,01:10:53,06:27:47,04:11:56,00:06:22,00:04:52,12:01:50
ironman-japan-20140824.csv,39,Kenta Kosugi,---,Miyagi,JPN,01:07:07,06:24:59,04:44:34,00:08:11,00:03:16,12:28:07
ironman-japan-20140824.csv,40,Yuya Okai,---,Tokyo,JPN,01:23:38,06:46:55,06:05:37,00:09:40,00:07:37,14:33:27
ironman-japan-20140824.csv,41,Becker Adam,---,Australia,AUS,00:58:59,05:23:29,03:41:48,00:04:27,00:03:57,10:12:40
ironman-japan-20140824.csv,42,Yusuke Kobayashi,---,Tokyo,JPN,01:08:53,05:57:34,03:45:18,00:06:59,00:02:38,11:01:22
ironman-japan-20140824.csv,43,Daisuke Akatsuka,---,Hokkaido,JPN,01:20:08,07:14:06,06:05:08,00:10:49,00:07:09,14:57:20
ironman-japan-20140824.csv,44,Hayato Osaka,23,東京都,JPN,01:11:39,06:40:55,04:27:04,00:06:03,00:05:04,12:30:45
ironman-japan-20140824.csv,45,Jin Yunan,---,United States,CHN,---,---,---,---,---,DNS
ironman-japan-20140824.csv,46,Shumpei Yokota,---,Osaka,JPN,00:54:16,08:07:15,---,00:12:05,00:10:47,DNF
ironman-japan-20140824.csv,50,Yuki Tanaka,24,---,JPN,01:21:49,06:27:41,04:13:10,00:06:45,00:03:10,12:12:35
ironman-japan-20140824.csv,51,Naoyuki Fukumoto,---,Chiba,JPN,01:09:49,06:06:10,03:44:24,00:03:50,00:05:10,11:09:23
ironman-japan-20140824.csv,52,Masaya Horie,---,Gunma,JPN,---,---,---,---,---,DNS
ironman-japan-20140824.csv,53,Shota Kawahara,24,-,JPN,01:27:04,08:36:04,05:34:10,00:15:27,00:09:27,16:02:12
ironman-japan-20140824.csv,54,Shohei Numata,---,Saitama,JPN,01:32:26,07:43:05,05:46:37,00:15:28,00:13:37,15:31:13
ironman-japan-20140824.csv,55,Yuta Sugiura,26,aiti,JPN,01:05:40,05:51:24,04:02:33,00:04:23,00:02:55,11:06:55
ironman-japan-20140824.csv,56,Iwabuchi Takashi,26,Tokyo,JPN,01:05:44,05:36:48,03:46:27,00:04:29,00:03:16,10:36:44
ironman-japan-20140824.csv,57,Ryosuke Sogi,---,Osaka,JPN,00:54:17,07:00:00,05:04:39,00:10:21,00:06:22,13:15:39
ironman-japan-20140824.csv,58,Shotaro Uehara,---,Tokyo,JPN,01:24:13,06:43:43,04:28:34,00:11:07,00:10:37,12:58:14
ironman-japan-20140824.csv,59,Galan Tavares Daniel,---,Spain,ESP,01:18:59,06:32:45,04:41:41,00:06:35,00:06:44,12:46:44
ironman-japan-20140824.csv,60,Kossenas Ioannis,---,Greece,GRC,00:59:04,06:00:34,04:13:28,00:07:34,00:03:19,11:23:59
ironman-japan-20140824.csv,61,Hiroyuki Uchida,---,Tokyo,JPN,01:42:58,06:40:28,04:29:52,00:14:48,00:06:22,13:14:28
ironman-japan-20140824.csv,62,Yuta Hamada,---,Chiba,JPN,01:16:04,07:24:09,06:16:10,00:10:44,00:10:43,15:17:50
ironman-japan-20140824.csv,63,Daisuke Hasegawa,---,Tokyo,JPN,01:12:38,07:11:48,04:28:17,00:11:38,00:05:23,13:09:44
ironman-japan-20140824.csv,64,Chiharu Takayanagi,---,Ibaraki,JPN,01:25:37,06:45:38,04:09:43,00:10:41,00:08:27,12:40:06
ironman-japan-20140824.csv,65,Masanori Hashimoto,---,Aichi,JPN,01:19:21,06:36:40,03:44:10,00:12:38,00:05:58,11:58:47
ironman-japan-20140824.csv,66,Yuta Saito,---,Chiba,JPN,01:37:56,07:21:05,06:48:40,00:14:47,00:10:45,16:13:13
ironman-japan-20140824.csv,67,Tomohiro Nakayama,26,Gumma,JPN,02:13:52,08:15:15,---,00:11:17,00:05:19,DNF
ironman-japan-20140824.csv,68,Koji Mizutani,---,Hyogo,JPN,---,---,---,---,---,DNS
ironman-japan-20140824.csv,69,Naoaki Kashitani,---,Kanagawa,JPN,01:16:05,05:41:32,03:50:35,00:15:50,00:05:37,11:09:39
ironman-japan-20140824.csv,70,Junichi Usuki,---,Osaka,JPN,01:27:39,07:05:26,04:47:43,00:16:59,00:10:03,13:47:50
ironman-japan-20140824.csv,71,Yuichi Kariya,---,Tokyo,JPN,01:03:11,07:25:37,05:47:59,00:10:36,00:12:08,14:39:31
ironman-japan-20140824.csv,72,Tomoya Abe,---,Aichi,JPN,01:48:23,06:32:25,06:51:34,00:15:33,00:09:21,15:37:16
ironman-japan-20140824.csv,73,Yudai Tashiro,---,Chiba,JPN,01:30:05,07:14:10,06:20:52,00:10:40,00:14:23,15:30:10
ironman-japan-20140824.csv,74,Anton Samokhvalov,28,no,RUS,01:06:59,05:50:54,03:26:47,00:04:25,00:03:22,10:32:27
ironman-japan-20140824.csv,75,Kazuaki Nagao,---,Osaka,JPN,01:03:06,07:09:14,05:08:23,00:12:23,00:15:44,13:48:50
ironman-japan-20140824.csv,76,Daichi Konno,---,---,JPN,01:12:59,06:34:47,05:06:38,00:05:40,00:03:14,13:03:18
ironman-japan-20140824.csv,77,Takuro Nakamura,---,Chiba,JPN,01:25:18,07:29:40,04:06:49,00:18:50,00:12:50,13:33:27
ironman-japan-20140824.csv,78,Hoje Lee,---,Kanagawa,KOR,01:33:53,08:03:48,05:04:55,00:09:46,00:10:37,15:02:59
ironman-japan-20140824.csv,79,Yuki Matsumoto,---,Kanagawa,JPN,---,---,---,---,---,DNS
ironman-japan-20140824.csv,80,Toshikazu Terashima,---,Mie,JPN,01:32:00,07:15:07,05:07:59,00:09:07,00:05:19,14:09:32
ironman-japan-20140824.csv,81,Yoshihiko Suga,---,---,JPN,01:16:18,07:18:30,05:45:25,00:10:32,00:06:11,14:36:56
ironman-japan-20140824.csv,82,Kunihiko Ueno,28,BC,JPN,01:17:52,06:36:00,06:39:41,00:18:20,00:13:31,15:05:24
ironman-japan-20140824.csv,83,Masashi Matsuyama,---,Tokyo,JPN,01:24:54,06:34:24,04:10:25,00:12:36,00:10:37,12:32:56
ironman-japan-20140824.csv,84,Honjou Tsutomu,29,千葉県,JPN,01:13:40,07:30:48,05:03:01,00:11:52,00:04:03,14:03:24
ironman-japan-20140824.csv,85,Cheng Lung Hsieh,---,Taiwan,TWN,---,---,---,---,---,DNS
ironman-japan-20140824.csv,86,Chillcott Oliver,---,United Kingdom,GBR,01:27:21,07:15:36,04:21:32,00:07:52,00:05:27,13:17:48
ironman-japan-20140824.csv,87,Taylor Jaxon,---,Australia,AUS,---,---,---,---,---,DNS
ironman-japan-20140824.csv,88,Taichi Okano,28,Chiba,JPN,01:02:39,05:33:14,03:17:45,00:03:58,00:03:11,10:00:47
ironman-japan-20140824.csv,89,Shiniti Numata,---,Gunma,JPN,01:26:08,07:31:56,05:16:05,00:19:44,00:07:27,14:41:20
ironman-japan-20140824.csv,90,Azusa Hishinuma,28,Tokyo,JPN,01:05:47,06:12:07,07:22:08,00:05:27,00:04:04,14:49:33
ironman-japan-20140824.csv,91,Harada Yoshihiro,29,ISH,JPN,01:23:49,06:25:16,03:50:21,00:07:40,00:04:22,11:51:28
ironman-japan-20140824.csv,92,Yuu Asari,---,Chiba,JPN,01:11:41,07:31:27,05:47:12,00:06:15,00:11:49,14:48:24
ironman-japan-20140824.csv,93,Takashi Shinzato,---,Okinawa,JPN,01:04:01,06:03:35,03:26:37,00:06:00,00:03:22,10:43:35
ironman-japan-20140824.csv,94,Keisuke Suga,---,Osaka,JPN,01:19:01,06:19:13,03:49:03,00:06:38,00:05:07,11:39:02
