#File=ironman-kalmar-20170819.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-kalmar-20170819.csv,1,Karl-Johan Danielsson,32,---,SWE,00:50:13,04:23:12,03:12:04,00:01:16,00:01:47,08:28:32
ironman-kalmar-20170819.csv,2,Michael Smith Larsen,36,---,DNK,00:55:25,04:37:29,03:09:59,00:01:30,00:01:46,08:46:09
ironman-kalmar-20170819.csv,3,Antony Costes,27,---,FRA,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,4,Justin Daerr,36,CO,USA,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,5,Olivier Esser,36,---,BEL,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,6,Vincent Morizot,25,---,FRA,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,7,Lukas Polan,28,Czech Republic,CZE,00:59:03,05:10:11,03:24:14,00:02:08,00:03:34,09:39:10
ironman-kalmar-20170819.csv,8,Markus Liebelt,27,---,DEU,00:50:15,---,---,00:01:54,---,DNF
ironman-kalmar-20170819.csv,9,Emanuele Ciotti,37,italia,ITA,00:51:23,04:55:25,03:06:42,00:02:40,00:02:37,08:58:47
ironman-kalmar-20170819.csv,10,Andreas Linden,27,---,SWE,00:51:20,04:32:40,---,00:01:33,00:03:05,DNF
ironman-kalmar-20170819.csv,11,Erik Holmberg,29,---,SWE,00:51:21,04:32:42,03:29:26,00:01:23,00:01:24,08:56:16
ironman-kalmar-20170819.csv,12,Rasmus Fitzner,29,---,DNK,00:55:19,---,---,00:01:28,---,DNF
ironman-kalmar-20170819.csv,13,Jonas Örarbäck,26,---,SWE,00:58:43,04:44:01,03:03:01,00:01:35,00:02:01,08:49:21
ironman-kalmar-20170819.csv,14,Luiz Feliz,38,---,ESP,01:01:11,04:38:15,03:09:32,00:01:54,00:02:08,08:53:00
ironman-kalmar-20170819.csv,15,Michael Weiss,36,---,AUT,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,16,Mike Schifferle,44,---,CHE,00:58:59,04:41:00,03:09:43,00:01:55,00:03:39,08:55:16
ironman-kalmar-20170819.csv,17,Esben Hovgaard,34,---,DNK,00:51:25,04:32:36,02:58:03,00:01:29,00:01:45,08:25:18
ironman-kalmar-20170819.csv,18,Clemente Alonso-Mckernan,39,---,ESP,00:47:29,04:24:54,02:50:23,00:02:15,00:02:47,08:07:48
ironman-kalmar-20170819.csv,19,Andrey Lyatskiy,30,APO,RUS,00:51:26,04:50:30,02:58:51,00:01:31,00:01:58,08:44:16
ironman-kalmar-20170819.csv,20,David Plese,34,Intl State,---,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,21,Daniil Sapunov,35,Kiev,UKR,00:47:33,04:41:24,03:01:23,00:01:39,00:02:03,08:34:02
ironman-kalmar-20170819.csv,22,Alberto Casadei,31,Intl State,---,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,23,Bekim Christensen,43,---,DNK,00:58:53,04:29:24,---,00:02:43,00:02:17,DNF
ironman-kalmar-20170819.csv,24,Thiago Vinhal,34,Intl State,---,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,25,Markus Fachbach,34,---,DEU,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,26,Cameron Wurf,34,TAS,AUS,00:50:20,04:14:26,03:00:37,00:01:56,00:01:39,08:08:58
ironman-kalmar-20170819.csv,27,Denis Chevrot,29,---,FRA,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,28,Martin Olsson,27,---,SWE,01:01:04,04:41:05,---,00:01:27,00:02:30,DNF
ironman-kalmar-20170819.csv,29,Fredrik Bäckson,30,---,SWE,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,30,Daniel Fontana,41,Milano,ITA,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,31,Cedric Lassonde,40,---,FRA,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,32,Harry Wiltshire,34,Intl State,---,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,33,Pascal Ramali,31,---,DEU,00:58:49,04:30:30,03:16:05,00:02:02,00:02:18,08:49:44
ironman-kalmar-20170819.csv,34,Michal Ivanco,39,Slovakia,SVK,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,35,Marek Nemcik,41,Intl State,---,01:08:45,05:31:20,04:38:43,00:03:54,00:05:15,11:27:57
ironman-kalmar-20170819.csv,36,Giulio Molinari,29,Intl State,---,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,37,Marcus Hultgren,37,---,SWE,00:54:06,04:38:39,03:14:29,00:02:09,00:01:56,08:51:19
ironman-kalmar-20170819.csv,38,Marc Duelsen,32,---,DEU,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,39,Nick Baldwin,29,WA,SYC,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,100,Simone Boehm,43,DE,DEU,01:09:25,05:55:57,03:43:26,00:02:59,00:03:00,10:54:47
ironman-kalmar-20170819.csv,101,Claudia Glättli,44,---,CHE,01:13:39,05:24:07,04:15:04,00:02:50,00:02:58,10:58:38
ironman-kalmar-20170819.csv,102,Maryanne Octave,43,---,BEL,01:13:42,05:26:31,03:40:01,00:03:25,00:02:46,10:26:25
ironman-kalmar-20170819.csv,103,Viktoria Johnsson,47,---,SWE,01:10:14,05:13:19,03:53:45,00:03:15,00:02:48,10:23:21
ironman-kalmar-20170819.csv,104,Jona Dahlquist,50,---,SWE,01:04:49,05:44:31,04:11:18,00:01:56,00:02:40,11:05:14
ironman-kalmar-20170819.csv,105,Charlotte Verhaegen,24,---,BEL,00:53:10,05:22:25,04:19:30,00:01:30,00:04:15,10:40:50
ironman-kalmar-20170819.csv,106,Sophie Berg,29,SE,SWE,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,107,Bibben Nordblom,25,---,SWE,01:04:03,05:50:57,04:18:46,00:01:51,00:01:41,11:17:18
ironman-kalmar-20170819.csv,108,Maria Pettersson,27,---,SWE,---,---,---,---,---,DNS
ironman-kalmar-20170819.csv,109,Natalie Rec,29,---,SWE,01:04:53,05:33:52,03:57:56,00:03:23,00:04:10,10:44:14
ironman-kalmar-20170819.csv,110,Catharina Rutgersson,27,---,SWE,01:25:15,05:43:00,04:04:57,00:03:52,00:03:43,11:20:47
ironman-kalmar-20170819.csv,111,Lina Byman,30,SE,SWE,00:56:55,06:03:50,04:36:18,00:03:06,00:03:58,11:44:07
ironman-kalmar-20170819.csv,112,Inge Keymolen,30,---,BEL,01:06:01,06:13:39,04:39:52,00:03:01,00:06:27,12:09:00
ironman-kalmar-20170819.csv,113,Marlise Robbertze,38,---,ZAF,01:16:58,06:52:34,03:48:26,00:05:00,00:06:34,12:09:32
ironman-kalmar-20170819.csv,114,Sara Lindström,39,---,SWE,01:23:42,05:47:59,05:21:27,00:05:21,00:05:27,12:43:56
ironman-kalmar-20170819.csv,115,Jane Nilsson,40,---,SWE,01:15:22,05:40:32,03:34:04,00:03:40,00:02:18,10:35:56
