#ironman-lake-placid-20050724.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-lake-placid-20050724.csv,1,Heather Fuhr,---,CA,USA,00:59:19,05:31:05,03:09:10,00:03:23,00:02:09,09:45:06
ironman-lake-placid-20050724.csv,2,Karen Smyers,---,MA,USA,00:56:06,05:35:20,03:26:39,00:03:32,00:02:40,10:04:17
ironman-lake-placid-20050724.csv,3,Heather Gollnick,---,FL,USA,00:52:30,05:36:34,03:27:16,00:03:38,00:01:49,10:01:47
ironman-lake-placid-20050724.csv,4,Desiree Ficker,---,TX,USA,00:55:10,05:49:19,07:09:55,00:03:50,00:03:41,14:01:55
ironman-lake-placid-20050724.csv,5,Andrea Fisher,---,TX,USA,00:51:00,05:43:04,07:22:01,00:03:45,00:02:05,14:01:55
ironman-lake-placid-20050724.csv,6,Marie Danais,---,QC,CAN,00:55:10,05:39:22,03:30:29,00:03:52,00:02:50,10:11:43
ironman-lake-placid-20050724.csv,7,Tereza Macel,---,---,CZE,00:51:02,05:34:41,04:15:29,00:03:32,00:02:03,10:46:47
ironman-lake-placid-20050724.csv,8,Alexis Waddel,---,CA,USA,00:56:05,05:46:22,03:23:09,00:03:18,00:01:22,10:10:16
ironman-lake-placid-20050724.csv,9,Catherine Phillips,---,VA,USA,01:07:31,06:19:03,03:40:09,00:03:42,00:02:33,11:12:58
ironman-lake-placid-20050724.csv,10,Charlene Waldner,---,BC,CAN,01:04:51,05:37:07,03:29:07,00:04:24,00:02:50,10:18:19
ironman-lake-placid-20050724.csv,11,Deborah Leyh,---,CA,USA,01:07:16,06:08:13,03:36:13,00:03:42,00:02:51,10:58:15
ironman-lake-placid-20050724.csv,12,Dede Griesbauer,45,CO,USA,00:51:09,05:44:45,03:38:52,00:03:58,00:02:00,10:20:44
ironman-lake-placid-20050724.csv,13,Fiona Docherty,---,PA,USA,01:00:55,05:45:53,---,00:03:49,00:01:49,DNF
ironman-lake-placid-20050724.csv,14,Hillary Biscay,---,CA,USA,00:51:04,06:01:07,03:32:42,00:04:24,00:02:16,10:31:33
ironman-lake-placid-20050724.csv,15,Karyn Ballance,---,---,NZL,01:01:07,05:50:40,03:31:23,00:04:10,00:02:06,10:29:26
ironman-lake-placid-20050724.csv,16,Patrick Lafontaine,---,NY,USA,01:22:59,07:09:54,04:52:05,00:11:59,00:08:07,13:45:04
ironman-lake-placid-20050724.csv,17,Kathleen Malone,---,NC,USA,01:05:07,06:25:58,04:45:29,00:04:02,00:04:13,12:24:49
ironman-lake-placid-20050724.csv,18,Kim Loeffler,---,VT,USA,00:59:20,05:30:11,03:15:16,00:03:22,00:01:35,09:49:44
ironman-lake-placid-20050724.csv,19,Kristina Hentschel,---,CA,USA,00:59:51,06:17:23,04:37:46,00:04:55,00:03:24,12:03:19
ironman-lake-placid-20050724.csv,20,Laura Fluit,---,ON,CAN,01:03:10,06:12:35,04:29:56,00:04:01,00:01:52,11:51:34
ironman-lake-placid-20050724.csv,21,Laura Drake,---,FL,USA,---,---,---,---,---,DNS
ironman-lake-placid-20050724.csv,22,Lianne Paster-Evans,---,CO,USA,---,---,---,---,---,DNS
ironman-lake-placid-20050724.csv,23,Melanie Holloway,---,GA,USA,00:56:10,05:56:24,---,00:04:32,---,DNF
