#File=ironman-lake-tahoe-20130922.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-lake-tahoe-20130922.csv,1,Joe Gambles,31,CO,USA,00:51:39,05:02:43,03:02:24,00:04:24,00:01:45,09:02:55
ironman-lake-tahoe-20130922.csv,2,Matthew Russell,30,FL,USA,00:59:07,05:08:24,02:58:46,00:07:11,00:01:48,09:15:16
ironman-lake-tahoe-20130922.csv,3,Maik Twelsiek,32,AZ,USA,00:51:47,04:55:55,03:03:33,00:04:40,00:01:58,08:57:53
ironman-lake-tahoe-20130922.csv,4,Chris Mcdonald,35,CO,USA,00:54:54,04:55:42,02:59:40,00:03:15,00:01:43,08:55:14
ironman-lake-tahoe-20130922.csv,5,Justin Daerr,32,CO,USA,00:56:50,---,---,00:04:15,---,DNF
ironman-lake-tahoe-20130922.csv,7,Arland Macasieb,38,NJ,PHL,01:06:03,06:33:40,04:12:47,00:18:01,00:06:18,12:16:49
ironman-lake-tahoe-20130922.csv,8,Christian Brader,33,---,DEU,00:56:45,05:33:40,---,00:06:16,00:02:55,DNF
ironman-lake-tahoe-20130922.csv,9,Christophe Bastie,44,---,FRA,00:55:00,05:12:27,---,00:04:45,00:02:18,DNF
ironman-lake-tahoe-20130922.csv,10,Alejandro Santamaria Perez,36,---,ESP,00:58:01,05:27:13,03:32:25,00:05:46,00:01:46,10:05:11
ironman-lake-tahoe-20130922.csv,11,Petr Vabrousek,39,Intl State,CZE,00:56:52,05:21:52,03:58:35,00:05:39,00:02:39,10:25:37
ironman-lake-tahoe-20130922.csv,12,Ernst Moser,33,---,AUT,01:00:40,05:37:13,03:30:10,00:04:40,00:01:45,10:14:28
ironman-lake-tahoe-20130922.csv,13,Aubrey Aldy,33,FL,USA,01:06:17,05:58:33,03:10:13,00:11:00,00:01:53,10:27:56
ironman-lake-tahoe-20130922.csv,15,Matthew Sheeks,29,WA,USA,01:06:36,05:11:19,02:58:08,00:07:48,00:02:35,09:26:26
ironman-lake-tahoe-20130922.csv,17,Doug Maclean,33,MA,USA,01:01:54,05:20:50,03:04:39,00:08:24,00:02:03,09:37:50
ironman-lake-tahoe-20130922.csv,18,Nicolas Hemet,35,---,FRA,00:54:48,05:19:09,03:25:24,00:05:51,00:01:53,09:47:05
ironman-lake-tahoe-20130922.csv,19,Matt Lieto,35,OR,USA,00:51:49,05:09:35,---,00:04:35,00:03:05,DNF
ironman-lake-tahoe-20130922.csv,20,Kevin Taddonio,31,CA,USA,01:01:26,05:05:30,02:52:59,00:07:40,00:01:34,09:09:09
ironman-lake-tahoe-20130922.csv,21,Aj Baucco,27,OH,USA,00:54:44,05:13:20,03:04:59,00:06:54,00:01:53,09:21:50
ironman-lake-tahoe-20130922.csv,22,Boris Stein,28,---,DEU,00:59:27,05:01:08,03:05:23,00:05:27,00:01:37,09:13:02
ironman-lake-tahoe-20130922.csv,23,Patrick Jaberg,33,---,CHE,00:54:45,05:15:39,03:10:11,00:05:43,00:02:24,09:28:42
ironman-lake-tahoe-20130922.csv,25,Evgeniy Nikitin,24,"Intl State
",RUS,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,26,Peter Kotland,41,SC,USA,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,28,Jim Lubinski,34,CA,USA,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,29,Martin Lacasse,39,QC,CAN,00:59:25,05:37:56,03:34:50,00:05:30,00:02:25,10:20:06
ironman-lake-tahoe-20130922.csv,31,Derek Garcia,29,ID,USA,00:56:41,05:08:26,03:07:06,00:04:18,00:01:22,09:17:53
ironman-lake-tahoe-20130922.csv,32,Rob Woestenborghs,37,Intl State,BEL,01:05:07,05:05:28,03:07:00,00:04:21,00:01:49,09:23:45
ironman-lake-tahoe-20130922.csv,35,Wes Anderson,31,IA,USA,00:56:41,06:00:32,03:57:37,00:06:24,00:03:21,11:04:35
ironman-lake-tahoe-20130922.csv,36,Romain Guillaume,28,---,FRA,00:51:36,05:03:20,03:09:58,00:04:25,00:01:56,09:11:15
ironman-lake-tahoe-20130922.csv,37,Paul Ambrose,29,CO,AUS,00:51:45,---,---,00:04:36,---,DNF
ironman-lake-tahoe-20130922.csv,38,Kirill Kotsegarov,27,Harjumaa,EST,00:54:57,04:59:36,02:59:23,00:06:41,00:04:02,09:04:39
ironman-lake-tahoe-20130922.csv,39,Michael Davidson,35,Gauteng,ZAF,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,40,Henrik Oftedal,37,---,NOR,01:06:45,05:12:13,03:23:28,00:04:53,00:02:41,09:50:00
ironman-lake-tahoe-20130922.csv,41,Dan Mcintosh,29,CO,USA,00:52:10,05:12:22,02:56:55,00:07:36,00:02:50,09:11:53
ironman-lake-tahoe-20130922.csv,45,Jessica Jacobs,36,AP,USA,01:08:49,05:49:50,03:27:02,00:04:19,00:03:39,10:33:39
ironman-lake-tahoe-20130922.csv,46,Catriona Morrison,36,Intl State,GBR,01:00:02,05:44:27,03:10:57,00:05:50,00:02:22,10:03:38
ironman-lake-tahoe-20130922.csv,47,Angela Naeth,31,BC,USA,01:00:42,05:35:57,03:24:18,00:07:56,00:01:54,10:10:47
ironman-lake-tahoe-20130922.csv,48,Dede Griesbauer,43,CO,USA,00:55:12,05:55:01,03:40:48,00:05:47,00:02:40,10:39:28
ironman-lake-tahoe-20130922.csv,50,Liz Lyles,35,NV,USA,01:01:18,05:51:12,03:09:05,00:05:49,00:01:17,10:08:41
ironman-lake-tahoe-20130922.csv,51,Kat Baker,26,---,AUS,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,52,Asa Lundstrom,29,---,SWE,01:01:27,05:34:39,03:16:54,00:04:17,00:01:36,09:58:53
ironman-lake-tahoe-20130922.csv,53,Julia Bohn,33,---,DEU,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,54,Kate Bruck,38,RI,USA,01:08:59,06:22:20,---,00:11:26,---,DNF
ironman-lake-tahoe-20130922.csv,55,Heidi Sessner,35,---,DEU,01:01:19,06:14:47,03:37:45,00:05:08,00:02:11,11:01:10
ironman-lake-tahoe-20130922.csv,56,Natasha Van Der Merwe,32,TX,USA,01:05:04,06:00:15,04:01:16,00:05:17,00:01:33,11:13:25
ironman-lake-tahoe-20130922.csv,58,Jenni Plane,34,CA,USA,01:05:32,06:56:54,04:42:18,00:15:33,00:04:21,13:04:38
ironman-lake-tahoe-20130922.csv,59,Ann Ciaverella,42,OR,USA,---,---,---,---,---,DNS
ironman-lake-tahoe-20130922.csv,60,Monique Grossrieder,37,---,CHE,01:08:50,06:17:39,03:24:36,00:10:25,00:03:53,11:05:23
