#ironman-los-cabos-20130317.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-los-cabos-20130317.csv,1,Leslie Lamacchia,37,TX,USA,01:13:57,05:51:10,---,00:03:28,00:02:16,DNF
ironman-los-cabos-20130317.csv,3,Doug Maclean,36,NY,USA,01:04:00,05:12:10,03:16:23,00:03:13,00:01:40,09:37:26
ironman-los-cabos-20130317.csv,4,Jessie Donavan,40,VT,USA,01:09:08,05:49:40,---,00:02:54,---,DNF
ironman-los-cabos-20130317.csv,5,Heidi Sessner,38,---,DEU,00:56:50,05:33:59,---,00:03:07,00:02:06,DNF
ironman-los-cabos-20130317.csv,6,Rinalds Sluckis,35,---,LVA,00:57:49,04:59:06,03:19:57,00:02:43,00:01:36,09:21:11
ironman-los-cabos-20130317.csv,7,Brett Carter,35,---,AUS,00:49:30,04:54:55,03:04:29,00:02:28,00:01:13,08:52:35
ironman-los-cabos-20130317.csv,8,Christine Anderson,---,COLORADO,USA,00:56:34,05:34:19,03:22:13,00:02:49,00:01:34,09:57:29
ironman-los-cabos-20130317.csv,9,Andres Castillo Latorre,33,---,COL,00:49:25,04:51:33,03:11:45,00:02:29,00:01:58,08:57:10
ironman-los-cabos-20130317.csv,10,Ronnie Schildknecht,36,---,CHE,00:53:25,04:45:38,---,00:02:27,00:01:55,DNF
ironman-los-cabos-20130317.csv,11,Luke Mckenzie,35,CA,AUS,00:49:23,---,---,00:02:36,---,DNF
ironman-los-cabos-20130317.csv,12,Mareen Hufe,38,---,DEU,01:04:03,05:09:23,03:21:52,00:03:01,00:02:31,09:40:50
ironman-los-cabos-20130317.csv,13,Jeff Symonds,30,BC,CAN,00:53:28,04:44:57,02:54:20,00:02:38,00:01:46,08:37:09
ironman-los-cabos-20130317.csv,14,Erika Csomor,42,---,HUN,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,15,Yvette Grice,36,---,GBR,00:56:42,05:35:04,03:27:55,00:03:00,00:01:49,10:04:30
ironman-los-cabos-20130317.csv,16,Jacqui Gordon,43,NJ,USA,01:03:55,05:49:33,03:36:13,00:03:17,00:01:33,10:34:31
ironman-los-cabos-20130317.csv,17,Jozsef Major,37,AZ,HUN,00:58:42,04:41:03,02:48:30,00:03:43,00:01:59,08:33:57
ironman-los-cabos-20130317.csv,18,Liz Lyles,38,NV,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,19,Jessica Smith,38,MA,USA,00:56:28,05:29:34,03:54:03,00:02:55,00:01:32,10:24:32
ironman-los-cabos-20130317.csv,20,Jerome Bresson,33,QC,CAN,01:03:26,04:59:16,---,00:03:05,00:01:43,DNF
ironman-los-cabos-20130317.csv,21,Matt Russell,33,FL,USA,01:03:02,04:48:51,02:53:41,00:02:46,00:01:37,08:49:57
ironman-los-cabos-20130317.csv,22,Sofie Goos,36,BE,BEL,00:56:43,05:26:22,03:20:11,00:02:28,00:02:36,09:48:20
ironman-los-cabos-20130317.csv,23,Adam O'Meara,34,BC,CAN,00:58:32,05:26:08,03:14:03,00:02:53,00:02:35,09:44:11
ironman-los-cabos-20130317.csv,24,Hillary Biscay,38,AZ,USA,00:56:40,05:57:57,03:35:15,00:03:13,00:05:08,10:38:13
ironman-los-cabos-20130317.csv,25,Michelle Vesterby,32,---,DNK,00:55:12,05:22:36,03:14:18,00:02:44,00:01:41,09:36:31
ironman-los-cabos-20130317.csv,26,Ashley Clifford,30,FL,USA,00:56:24,05:38:10,03:16:09,00:02:57,00:02:10,09:55:50
ironman-los-cabos-20130317.csv,27,Andrey Lyatskiy,29,---,RUS,00:49:47,05:03:30,03:08:33,00:02:36,00:01:47,09:06:13
ironman-los-cabos-20130317.csv,28,April Gellatly,33,GA,USA,00:56:39,05:26:08,03:24:21,00:02:51,00:02:37,09:52:36
ironman-los-cabos-20130317.csv,30,Bruno Clerbout,39,---,BEL,00:51:42,05:11:45,02:55:03,00:02:43,00:01:37,09:02:50
ironman-los-cabos-20130317.csv,31,Maik Twelsiek,35,AZ,DEU,00:49:35,04:41:15,03:02:27,00:02:37,00:01:49,08:37:43
ironman-los-cabos-20130317.csv,32,Torsten Abel,42,AZ,DEU,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,33,Lisa Roberts,37,AZ,USA,01:04:23,05:21:41,03:07:15,00:03:12,00:02:04,09:38:35
ironman-los-cabos-20130317.csv,34,Chris Bagg,37,OR,USA,00:57:42,04:59:01,---,00:03:00,00:02:07,DNF
ironman-los-cabos-20130317.csv,35,Katy Evans,34,CO,USA,00:56:08,05:32:57,03:17:17,00:02:44,00:01:23,09:50:29
ironman-los-cabos-20130317.csv,36,Johann Lindner,48,Intl State,AUT,01:00:08,05:14:24,05:41:54,00:02:42,00:02:17,12:01:25
ironman-los-cabos-20130317.csv,37,Axel Zeebroek,38,---,BEL,00:49:33,04:44:56,03:22:37,00:02:33,00:01:39,09:01:18
ironman-los-cabos-20130317.csv,39,Paul Amey,43,---,GBR,00:53:26,04:43:11,---,00:02:33,00:01:22,DNF
ironman-los-cabos-20130317.csv,40,Trevor Delsaut,31,---,FRA,00:57:43,04:42:25,02:48:02,00:03:12,00:02:04,08:33:26
ironman-los-cabos-20130317.csv,42,Daniel Fontana,40,Milano,ITA,00:51:41,04:46:19,02:57:06,00:02:56,00:01:22,08:39:24
ironman-los-cabos-20130317.csv,43,Jens Petersen-Bach,32,---,DNK,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,44,Ivçn Tejero,---,MALAGA,ESP,00:51:44,05:18:08,03:19:52,00:03:09,00:01:34,09:34:27
ironman-los-cabos-20130317.csv,45,Trish Deim,36,ID,USA,01:10:05,05:33:41,03:40:44,00:03:03,00:01:52,10:29:25
ironman-los-cabos-20130317.csv,46,Beth Gerdes,36,CA,USA,01:04:04,05:40:28,03:10:21,00:02:58,00:01:23,09:59:14
ironman-los-cabos-20130317.csv,47,Anne Basso,32,FR,FRA,01:02:00,05:23:13,03:51:11,00:03:31,00:01:19,10:21:14
ironman-los-cabos-20130317.csv,48,Evgeniy Nikitin,27,---,RUS,00:53:21,05:31:30,02:57:41,00:03:15,00:01:23,09:27:10
ironman-los-cabos-20130317.csv,49,Kathleen Calkins,41,CA,USA,01:02:01,05:22:17,03:17:31,00:03:12,00:01:54,09:46:55
ironman-los-cabos-20130317.csv,50,Jonathan Shearon,36,AZ,USA,00:56:02,04:56:52,---,00:02:44,00:02:27,DNF
ironman-los-cabos-20130317.csv,51,Thomas Gerlach,35,WI,USA,00:58:30,04:41:51,03:03:02,00:02:56,00:01:27,08:47:46
ironman-los-cabos-20130317.csv,52,Timo Bracht,41,---,DEU,00:53:23,04:37:34,02:51:39,00:02:31,00:01:41,08:26:48
ironman-los-cabos-20130317.csv,101,Eduardo Juarez Trujillo,40,---,MEX,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,102,David Lawrence,59,AZ,USA,01:34:45,06:26:46,05:00:17,00:08:44,00:06:22,13:16:54
ironman-los-cabos-20130317.csv,103,Cecelia Rondou,65,CA,USA,01:23:08,08:09:17,06:54:00,00:08:12,00:08:43,16:43:20
ironman-los-cabos-20130317.csv,104,Gregory Mirocke,39,CA,USA,01:20:47,06:26:20,---,00:11:32,00:10:39,DNF
ironman-los-cabos-20130317.csv,105,Dana Bullard,38,UT,USA,01:19:44,07:36:25,04:57:14,00:06:08,00:04:39,14:04:10
ironman-los-cabos-20130317.csv,106,Laura Basey,52,AZ,USA,01:33:16,07:34:59,05:25:24,00:08:26,00:07:30,14:49:35
ironman-los-cabos-20130317.csv,107,Henry Novell,55,AZ,USA,01:39:41,07:26:57,05:51:04,00:11:15,00:13:09,15:22:06
ironman-los-cabos-20130317.csv,108,Amy Lawrence,57,AZ,USA,01:36:03,07:16:16,07:05:42,00:10:07,00:06:24,16:14:32
ironman-los-cabos-20130317.csv,109,Todd Hall,45,TX,USA,01:21:45,06:14:38,04:37:55,00:07:39,00:08:08,12:30:05
ironman-los-cabos-20130317.csv,110,J Hermann Gruebler,---,TX,USA,02:01:38,---,---,00:12:58,---,DNF
ironman-los-cabos-20130317.csv,111,Jorge Guerrero,---,---,MEX,01:15:50,07:12:27,05:07:05,00:10:46,00:09:58,13:56:06
ironman-los-cabos-20130317.csv,112,James Tuscany,63,HI,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,113,Amy Larson,45,CA,USA,01:08:23,05:57:03,03:57:17,00:04:25,00:02:50,11:09:58
ironman-los-cabos-20130317.csv,114,Andy Larson,51,CA,USA,01:22:21,07:04:37,06:50:02,00:11:34,00:10:19,15:38:53
ironman-los-cabos-20130317.csv,115,Jack Daly,67,CA,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,116,Hector Zavala,41,Intl State,MEX,01:01:10,05:33:01,04:26:41,00:03:20,00:01:19,11:05:31
ironman-los-cabos-20130317.csv,117,Erik Flores,---,---,MEX,01:33:03,07:16:34,04:58:34,00:11:29,00:16:21,14:16:01
ironman-los-cabos-20130317.csv,118,Bryce Basey,62,AZ,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,119,Jennnifer Heeter,41,CA,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,120,Michael Patee,34,CA,USA,01:13:19,07:07:35,05:23:04,00:09:36,00:06:27,14:00:01
ironman-los-cabos-20130317.csv,121,Brandt Burns,41,CO,USA,01:21:08,06:59:56,05:22:08,00:06:33,00:04:15,13:54:00
ironman-los-cabos-20130317.csv,122,Michelle Burns,39,CO,USA,02:14:26,07:37:24,05:03:40,00:08:12,00:05:19,15:09:01
ironman-los-cabos-20130317.csv,123,Dave Kyle,46,---,USA,01:04:17,05:20:35,04:40:59,00:03:21,00:01:41,11:10:53
ironman-los-cabos-20130317.csv,124,Kyle Turner,48,ID,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,125,John White,41,---,CAN,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,126,Ana Gabriela Riva Palacio Obregon,38,Intl State,MEX,01:20:31,06:11:21,03:47:21,00:04:16,00:02:40,11:26:09
ironman-los-cabos-20130317.csv,127,Mario Alberto Partida,---,JALISCO,MDV,01:07:54,06:40:15,06:21:38,00:08:06,00:13:14,14:31:07
ironman-los-cabos-20130317.csv,128,Jimi Young,46,---,USA,01:26:51,06:17:21,03:43:00,00:06:06,00:03:50,11:37:08
ironman-los-cabos-20130317.csv,129,Jim Schulenberg,49,AZ,USA,01:43:44,06:48:45,05:49:48,00:08:35,00:09:07,14:39:59
ironman-los-cabos-20130317.csv,130,Suson Mclellan,58,CA,USA,01:47:57,08:14:10,06:07:55,00:15:47,00:08:00,16:33:49
ironman-los-cabos-20130317.csv,131,Brian Phillips,42,CA,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,132,Jeth Fogg,50,CO,USA,01:24:05,06:31:44,05:42:12,00:09:55,00:07:51,13:55:47
ironman-los-cabos-20130317.csv,133,Daniel Mikkelson,30,MN,USA,00:57:22,06:02:11,03:53:08,00:03:27,00:02:30,10:58:38
ironman-los-cabos-20130317.csv,134,Bruce Morgan,51,WA,USA,01:31:09,07:54:07,05:22:58,00:11:32,00:07:06,15:06:52
ironman-los-cabos-20130317.csv,135,Gregory Mcauley,50,TX,USA,01:29:29,06:55:56,05:55:27,00:11:13,00:08:25,14:40:30
ironman-los-cabos-20130317.csv,136,Javier Gonzalez,---,CALIFORNIA,USA,01:18:19,06:18:20,03:58:58,00:07:38,00:03:29,11:46:44
ironman-los-cabos-20130317.csv,137,Dave Orlowski,61,WI,USA,01:25:14,---,---,00:11:59,---,DNF
ironman-los-cabos-20130317.csv,138,Kurtis Kaun,36,HI,USA,01:07:22,07:23:40,05:31:49,00:10:32,00:05:51,14:19:14
ironman-los-cabos-20130317.csv,139,Nicki Leo,43,CO,USA,01:11:56,06:25:55,03:53:28,00:05:29,00:03:13,11:40:01
ironman-los-cabos-20130317.csv,140,Steven Gonzalez,30,CA,USA,01:25:42,06:00:37,04:27:02,00:06:19,00:02:45,12:02:25
ironman-los-cabos-20130317.csv,141,Warren Ancheta,53,CA,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,142,C. Jane Harman,57,CA,USA,01:30:48,07:15:14,---,00:11:42,---,DNF
ironman-los-cabos-20130317.csv,143,Thomas Scheer,43,FL,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,144,Sid Imes,59,TN,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,145,Mark Hughes,39,Gloucestershire,GBR,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,146,John Ulett,60,TN,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,147,Mark Ulett,33,AZ,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,148,Eduardo Tubert,43,---,MEX,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,149,David Murray,52,---,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,150,Heidi Vu,44,---,USA,01:35:43,07:50:37,05:17:21,00:10:13,00:07:56,15:01:50
ironman-los-cabos-20130317.csv,151,Thomas Dreher,55,---,DEU,01:22:48,06:57:48,06:26:36,00:07:32,00:06:30,15:01:14
ironman-los-cabos-20130317.csv,152,Danielle Hauptman,42,CA,USA,---,---,---,---,---,DNS
ironman-los-cabos-20130317.csv,153,Stephanie Gerena,50,NJ,USA,01:46:07,---,---,00:10:32,---,DNF
ironman-los-cabos-20130317.csv,154,Lisa Plunkett,50,CO,USA,01:22:18,07:51:40,04:54:50,00:05:03,00:04:24,14:18:15
ironman-los-cabos-20130317.csv,155,Nalani Kaun,34,HI,USA,00:57:14,06:25:00,04:05:41,00:05:08,00:02:31,11:35:34
ironman-los-cabos-20130317.csv,156,Maximiliano Gonzalez,46,MEXICO,MEX,---,---,---,---,---,DNS
