#File=ironman-maastricht-20160731.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-maastricht-20160731.csv,1,Bas Diederen,36,---,NLD,00:46:22,04:40:33,03:04:27,00:02:13,00:02:22,08:35:57
ironman-maastricht-20160731.csv,5,Lucky Berlage,43,Intl State,BEL,00:57:00,05:02:59,03:09:10,00:03:35,00:02:33,09:15:17
ironman-maastricht-20160731.csv,6,Rob Bobbaers,29,BE,BEL,01:01:21,---,---,00:03:05,---,DNF
ironman-maastricht-20160731.csv,7,Ludovic Le Guellec,34,---,FRA,00:58:38,05:58:59,03:41:46,00:04:03,00:03:35,10:47:01
ironman-maastricht-20160731.csv,8,Mike Schifferle,43,---,CHE,00:56:56,04:55:54,03:04:23,00:04:00,00:03:26,09:04:39
ironman-maastricht-20160731.csv,10,Darren Jenkins,35,WA,AUS,01:04:47,---,---,00:03:39,---,DNF
ironman-maastricht-20160731.csv,11,Erik-Simon Strijk,31,NL,NLD,00:51:19,04:56:15,02:59:58,00:02:39,00:03:04,08:53:15
ironman-maastricht-20160731.csv,12,Michael Louys,30,---,BEL,00:58:20,05:03:14,---,00:03:01,00:02:17,DNF
ironman-maastricht-20160731.csv,13,Wouter Monchy,30,---,BEL,00:46:24,---,---,00:02:12,---,DNF
ironman-maastricht-20160731.csv,14,Thomas Leboucher,35,FR,FRA,00:51:24,05:12:05,03:17:09,00:02:39,00:02:22,09:25:39
ironman-maastricht-20160731.csv,15,Diego Van Looy,25,BE,BEL,01:04:05,04:56:01,02:48:36,00:04:34,00:01:49,08:55:05
ironman-maastricht-20160731.csv,16,David Krupicka,39,CZ,CZE,---,---,---,---,---,DNS
ironman-maastricht-20160731.csv,18,David Jilek,28,Intl State,CZE,---,---,---,---,---,DNS
ironman-maastricht-20160731.csv,19,Michael Van Cleven,27,Intl State,BEL,00:47:57,04:45:39,03:27:54,00:02:53,00:02:19,09:06:42
ironman-maastricht-20160731.csv,20,Mark Oude Bennink,29,NL,NLD,00:46:18,04:47:26,02:56:08,00:02:11,00:01:41,08:33:44
ironman-maastricht-20160731.csv,21,Marek Nemcik,40,Intl State,SVK,---,---,---,---,---,DNS
ironman-maastricht-20160731.csv,22,Olivier Esser,35,Intl State,BEL,---,---,---,---,---,DNS
ironman-maastricht-20160731.csv,26,Remmert Wielanga,38,FR,NLD,---,---,---,---,---,DNS
ironman-maastricht-20160731.csv,27,Lukas Polan,27,Czech Republic,CZE,01:02:14,---,---,00:02:51,---,DNF
ironman-maastricht-20160731.csv,28,Markus Fachbach,33,DE,DEU,---,---,---,---,---,DNS
ironman-maastricht-20160731.csv,30,Igor Amorelli,31,Santa Catarina,BRA,00:46:16,04:40:41,02:57:15,00:02:12,00:01:53,08:28:17
ironman-maastricht-20160731.csv,51,Alexandra Tondeur,29,---,BEL,---,---,---,---,---,DNS
